ID,Persoonskenmerken,Perioden,k_20UurOfMeerPerWeek_1,k_10Tot20UurPerWeek_2,k_5Tot10UurPerWeek_3,k_1Tot5UurPerWeek_4,MinderDan1UurPerWeek_5,KijktDagelijksTelevisiejournaal_6,AbonnementDagblad_7,LeestDagelijksDeKrant_8,LeestWelEensEenBoek_9,JaEnGeleendAfgelopen2Maanden_10,JaEnNietGeleendAfgelopen2Maanden_11,HuishoudensMetPcMetInternet_12,HuishoudensMetPcZonderInternet_13,HuishoudensZonderPc_14,PersonenMetThuisPcMetInternet_15,PersonenMetThuisPcZonderInternet_16,PersonenZonderPc_17,HuishoudensMetToegangTotInternet_18,PCEnOpAndereWijze_19,AlleenViaPc_20,AlleenOpAndereWijze_21,ViaDesktopMinitower_22,ViaLaptop_23,OpAndereWijze_24,AnaloogModem_25,ISDN_26,BreedbandKabel_27,AndereBreedband_28,OpAndereWijze_29,PersonenMetThuisToegangTotInternet_30,ViaPcEnOpAnderWijze_31,AlleenViaPc_32,AlleenOpAndereWijze_33,ViaDesktopMinitower_34,ViaLaptop_35,ViaMobieleTelefoon_36,OpAndereWijze_37,AnaloogModem_38,ISDN_39,Kabel_40,AndereBreedband_41,OpAndereWijze_42,GeenInteresseNietZinvol_43,GeenPcGeenGeschiktePcVoorInternet_44,InternetgebruikTeDuur_45,BenodigdeApparatuurTeDuur_46,GeenKennisVaardigheden_47,VoeltZichTeOud_48,GeenTijdOmDezeTeGebruiken_49,HeeftMogelijkheidEldersTeInternetten_50,BezorgdOmPrivacyEnOfVeiligheid_51,GeenSpecialeReden_52,AndereReden_53,HeeftEenPersonalComputerGebruikt_54,VanAlleInwonersNederlandVanaf12Jr_55,VanDePersonalComputerGebruikers_56,VanAlleInwonersNederlandVanaf12Jr_57,VanDegenenDieThuisEenPcBezitten_58,VoorPriveDoeleinden_59,VoorHetWerk_60,ZowelVoorPriveEnWerkDoeleinden_61,Dagelijks_62,EenKeerPerWeek_63,EenKeerPerMaand_64,HelemaalNiet_65,HeeftEldersPcGebruikt_66,HeeftPcBijOpleidingsinstGebruikt_67,Dagelijks_68,EenKeerPerWeek_69,EenKeerPerMaand_70,HelemaalNiet_71,HeeftPcErgensAndersGebruikt_72,HeeftOoitGeinternetEnOfGeeMaild_73,HeeftInternetInDeAfg4WknGebruikt_74,VanAlleInwonersNederlandVanaf12Jr_75,VanDeInternetgebruikers_76,VanAlleInwonersNederlandVanaf12Jr_77,VanDegeneDieThuisInternetBezitten_78,VoorPriveDoeleinden_79,VoorHetWerk_80,ZowelVoorPriveAlsWerkDoeleinden_81,Dagelijks_82,EenKeerPerWeek_83,EenKeerPerMaand_84,HelemaalNiet_85,SurfenHalenVanGratisInformatie_86,EMailen_87,DownloadenSoftware_88,ElektronischWinkelen_89,AndereActiviteiten_90,HeeftEldersInternetGebruikt_91,HeeftInternetBijOplInstGebruikt_92,Dagelijks_93,EenKeerPerWeek_94,EenKeerPerMaand_95,HelemaalNiet_96,HeeftInternetErgensAndersGebruikt_97,BijEenCommercieleInstelling_98,BijEenOpenbaarGebouw_99,BijBurenVriendenOfFamilie_100,AnderePlaats_101,Dagelijks_102,EenKeerPerWeek_103,EenKeerPerMaand_104,EMailen_105,ChattenTelefoneren_106,ZomaarWatSurfen_107,HeeftSpecifiekeInformatieGezocht_108,OnderwijsOpleiding_109,ActualiteitNieuws_110,Gezondheid_111,CommercieleProductenDiensten_112,WerkVacatures_113,IetsAnders_114,HeeftGratisSoftwareGedownload_115,Spelletjes_116,Muziek_117,AndereSoftware_118,HeeftSiteSVanDeOverheidBezocht_119,VanAlleInwonersNederlandVanaf12Jr_120,VanDegenenDieThuisInternetHebben_121,VanDeInternetgebruikers_122,VanAlleInwonersNederlandVanaf12Jr_123,VanDegenenDieThuisInternetHebben_124,VanDeInternetgebruikers_125,ReizenVakantiesAccommodaties_126,VideoSDvdSMuziek_127,LiteratuurBoekenTijdschriften_128,Levensmiddelen_129,AandFinanDienstverlVerzekering_130,Software_131,HardwareElektronischeApparaten_132,KledingSportartikelen_133,KaartjesVoorEvenemConcVoorstel_134,AndereGoederen_135,AfgelopenVierWeken_136,LangerDan4WknKorterDan2MndGel_137,TweeADrieMaandenGeleden_138,GemiddeldBedragLaatsteAankoop_139,HeeftCreditcardGegevensDoorgegeven_140,GeenBehoefte_141,WilHetProductZelfZien_142,UitGewoonte_143,VanwegeVeiligheidPrivacy_144,NietVerkrijgbaarGeenVertrOngerust_145,HeeftErGeenErvaringMee_146,GeenComputerInternetverbinding_147,AndereRedenen_148
0, 10,1997JJ00,31.0,36.0,19.0,11.0,3.0,77.0,62.0,65.0,54.0,29.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 10,1998JJ00,32.0,37.0,18.0,10.0,3.0,77.0,62.0,65.0,,28.0,10.0,14.0,37.0,49.0,16.0,44.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,76.0,43.0,12.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, 10,1999JJ00,31.0,37.0,19.0,11.0,3.0,75.0,61.0,63.0,,28.0,10.0,23.0,34.0,44.0,26.0,39.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,82.0,46.0,12.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 10,2000JJ00,32.0,37.0,19.0,10.0,3.0,75.0,60.0,65.0,,27.0,11.0,38.0,22.0,40.0,45.0,25.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,86.0,47.0,16.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, 10,2001JJ00,32.0,37.0,18.0,10.0,3.0,77.0,59.0,63.0,51.0,25.0,10.0,48.0,17.0,35.0,56.0,18.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,90.0,49.0,20.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, 10,2002JJ00,31.0,38.0,19.0,10.0,3.0,78.0,58.0,63.0,,24.0,11.0,55.0,14.0,31.0,64.0,14.0,22.0,58.0,14.0,83.0,2.0,93.0,17.0,13.0,60.0,18.0,20.0,4.0,2.0,65.0,15.0,83.0,2.0,94.0,17.0,12.0,2.0,57.0,19.0,22.0,4.0,2.0,35.0,23.0,11.0,5.0,6.0,10.0,2.0,8.0,2.0,5.0,13.0,70.0,10.0,14.0,62.0,80.0,53.0,6.0,41.0,35.0,36.0,9.0,20.0,52.0,45.0,10.0,27.0,8.0,55.0,18.0,66.0,59.0,3.0,6.0,50.0,77.0,66.0,3.0,31.0,27.0,38.0,11.0,23.0,87.0,90.0,49.0,26.0,39.0,38.0,33.0,7.0,19.0,8.0,67.0,12.0,12.0,11.0,75.0,17.0,9.0,43.0,47.0,78.0,19.0,35.0,81.0,24.0,40.0,21.0,49.0,20.0,56.0,25.0,8.0,17.0,12.0,18.0,27.0,38.0,44.0,14.0,20.0,23.0,30.0,24.0,33.0,7.0,9.0,10.0,16.0,23.0,18.0,22.0,58.0,24.0,18.0,242.0,24.0,47.0,31.0,6.0,26.0,10.0,8.0,4.0,6.0
6, 10,2003JJ00,31.0,37.0,19.0,10.0,3.0,76.0,57.0,62.0,47.0,23.0,12.0,59.0,12.0,29.0,68.0,11.0,20.0,61.0,15.0,83.0,2.0,92.0,18.0,12.0,51.0,16.0,24.0,9.0,2.0,68.0,16.0,82.0,2.0,94.0,18.0,13.0,2.0,48.0,17.0,27.0,9.0,2.0,33.0,30.0,12.0,5.0,9.0,10.0,2.0,8.0,2.0,5.0,12.0,72.0,11.0,15.0,65.0,83.0,53.0,6.0,41.0,40.0,35.0,8.0,17.0,53.0,52.0,13.0,30.0,10.0,48.0,17.0,69.0,62.0,4.0,7.0,54.0,79.0,65.0,4.0,31.0,32.0,38.0,9.0,21.0,89.0,90.0,49.0,31.0,42.0,40.0,39.0,9.0,22.0,9.0,61.0,12.0,11.0,9.0,78.0,16.0,10.0,44.0,46.0,80.0,22.0,36.0,82.0,26.0,44.0,23.0,51.0,20.0,51.0,28.0,8.0,19.0,13.0,21.0,31.0,43.0,48.0,16.0,23.0,26.0,33.0,23.0,31.0,3.0,8.0,12.0,18.0,24.0,20.0,26.0,57.0,25.0,17.0,256.0,28.0,52.0,34.0,8.0,29.0,13.0,10.0,5.0,6.0
7, 10,2004JJ00,33.0,38.0,18.0,9.0,2.0,76.0,56.0,61.0,,21.0,11.0,64.0,9.0,26.0,73.0,9.0,18.0,65.0,18.0,80.0,2.0,93.0,21.0,15.0,37.0,14.0,30.0,19.0,3.0,73.0,20.0,79.0,1.0,94.0,21.0,15.0,2.0,33.0,14.0,31.0,20.0,3.0,34.0,29.0,11.0,5.0,9.0,11.0,3.0,10.0,1.0,5.0,12.0,74.0,12.0,16.0,68.0,84.0,53.0,4.0,43.0,45.0,33.0,7.0,16.0,54.0,54.0,14.0,31.0,9.0,46.0,19.0,72.0,66.0,5.0,7.0,59.0,81.0,64.0,4.0,32.0,37.0,37.0,6.0,19.0,91.0,92.0,53.0,39.0,51.0,43.0,42.0,10.0,24.0,7.0,58.0,14.0,10.0,10.0,81.0,14.0,10.0,48.0,41.0,82.0,26.0,40.0,85.0,26.0,48.0,26.0,53.0,22.0,52.0,30.0,9.0,20.0,15.0,23.0,37.0,48.0,55.0,21.0,28.0,32.0,37.0,24.0,29.0,4.0,9.0,12.0,17.0,24.0,21.0,29.0,60.0,23.0,17.0,294.0,29.0,53.0,32.0,9.0,28.0,15.0,10.0,3.0,7.0
8, 10,2005JJ00,31.0,38.0,18.0,10.0,3.0,75.0,52.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9, 10,2006JJ00,30.0,37.0,20.0,10.0,2.0,70.0,51.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
