ID,Geslacht,Leeftijd,Cijfersoort,RegioS,LevensverwInGoedErvarenGezondheid_1,LevensverwZonderLichBeperkingen_2,LevensverwZonderChronischeZiektes_3
0,2,1 ,1,NL01,62.3,69.4,47.9
1,2,1 ,1,LD01,62.8,69.6,46.9
2,2,1 ,1,LD02,62.7,69.2,48.7
3,2,1 ,1,LD03,62.7,69.8,48.2
4,2,1 ,1,LD04,61.0,68.7,46.7
5,2,1 ,2,NL01,0.1,,0.2
6,2,1 ,2,LD01,0.4,,0.7
7,2,1 ,2,LD02,0.3,,0.5
8,2,1 ,2,LD03,0.2,,0.4
9,2,1 ,2,LD04,0.3,,0.5
10,2,2 ,1,NL01,61.7,68.7,47.2
11,2,2 ,1,LD01,62.1,69.0,46.3
12,2,2 ,1,LD02,62.1,68.5,48.1
13,2,2 ,1,LD03,62.1,69.1,47.6
14,2,2 ,1,LD04,60.3,68.0,46.0
15,2,2 ,2,NL01,0.1,,0.2
16,2,2 ,2,LD01,0.4,,0.7
17,2,2 ,2,LD02,0.3,,0.5
18,2,2 ,2,LD03,0.2,,0.4
19,2,2 ,2,LD04,0.3,,0.5
20,2,3 ,1,NL01,58.0,64.8,43.9
21,2,3 ,1,LD01,58.5,65.1,43.1
22,2,3 ,1,LD02,58.3,64.6,44.8
23,2,3 ,1,LD03,58.5,65.2,44.2
24,2,3 ,1,LD04,56.6,64.1,42.7
25,2,3 ,2,NL01,0.1,,0.2
26,2,3 ,2,LD01,0.4,,0.7
27,2,3 ,2,LD02,0.3,,0.5
28,2,3 ,2,LD03,0.2,,0.4
29,2,3 ,2,LD04,0.3,,0.5
30,2,4 ,1,NL01,53.4,59.8,39.7
31,2,4 ,1,LD01,53.8,60.1,38.9
32,2,4 ,1,LD02,53.6,59.7,40.6
33,2,4 ,1,LD03,53.9,60.2,40.1
34,2,4 ,1,LD04,52.0,59.1,38.6
35,2,4 ,2,NL01,0.1,0.2,0.2
36,2,4 ,2,LD01,0.4,0.5,0.7
37,2,4 ,2,LD02,0.3,0.4,0.5
38,2,4 ,2,LD03,0.2,0.2,0.4
39,2,4 ,2,LD04,0.3,0.4,0.5
40,2,5 ,1,NL01,48.7,55.1,35.6
41,2,5 ,1,LD01,49.2,55.2,35.0
42,2,5 ,1,LD02,48.9,54.9,36.2
43,2,5 ,1,LD03,49.2,55.5,36.0
44,2,5 ,1,LD04,47.3,54.3,34.4
45,2,5 ,2,NL01,0.1,0.2,0.2
46,2,5 ,2,LD01,0.4,0.5,0.7
47,2,5 ,2,LD02,0.3,0.4,0.5
48,2,5 ,2,LD03,0.2,0.2,0.3
49,2,5 ,2,LD04,0.3,0.4,0.5
50,2,6 ,1,NL01,44.2,50.2,31.5
51,2,6 ,1,LD01,44.6,50.4,31.0
52,2,6 ,1,LD02,44.4,50.1,32.0
53,2,6 ,1,LD03,44.8,50.6,32.0
