ID,NECSectoren,EmissiesNaarLucht,Perioden,EmissiesNaarLucht_1
119,T001176  ,A051771,2009JJ00,22.2
120,T001176  ,A051771,2010JJ00,22.4
121,T001176  ,A051771,2011JJ00,20.7
122,T001176  ,A051771,2012JJ00,19.5
123,T001176  ,A051771,2013JJ00,19.5
124,T001176  ,A051771,2014JJ00,18.1
125,T001176  ,A051771,2015JJ00,18.1
126,T001176  ,A051771,2016JJ00,17.6
127,T001176  ,A051771,2017JJ00,17.1
128,T001176  ,A051771,2018JJ00,16.9
129,T001176  ,A051771,2019JJ00,16.1
130,T001176  ,A051771,2020JJ00,14.9
131,T001176  ,A051771,2021JJ00,15.1
132,T001176  ,A051771,2022JJ00,14.8
133,T001176  ,A051771,2023JJ00,14.4
134,T001176  ,A051771,2024JJ00,13.9
135,A025447  ,A044111,1990JJ00,345.6
136,A025447  ,A044111,1995JJ00,217.4
137,A025447  ,A044111,2000JJ00,170.5
138,A025447  ,A044111,2001JJ00,163.9
139,A025447  ,A044111,2002JJ00,156.2
140,A025447  ,A044111,2003JJ00,152.9
141,A025447  ,A044111,2004JJ00,152.6
142,A025447  ,A044111,2005JJ00,150.2
143,A025447  ,A044111,2006JJ00,153.2
144,A025447  ,A044111,2007JJ00,149.7
145,A025447  ,A044111,2008JJ00,137.4
146,A025447  ,A044111,2009JJ00,133.5
147,A025447  ,A044111,2010JJ00,130.7
148,A025447  ,A044111,2011JJ00,128.2
149,A025447  ,A044111,2012JJ00,124.4
150,A025447  ,A044111,2013JJ00,121.2
151,A025447  ,A044111,2014JJ00,125.0
152,A025447  ,A044111,2015JJ00,126.4
153,A025447  ,A044111,2016JJ00,127.6
154,A025447  ,A044111,2017JJ00,130.0
155,A025447  ,A044111,2018JJ00,128.5
156,A025447  ,A044111,2019JJ00,122.2
157,A025447  ,A044111,2020JJ00,122.0
158,A025447  ,A044111,2021JJ00,120.3
159,A025447  ,A044111,2022JJ00,117.7
160,A025447  ,A044111,2023JJ00,113.5
161,A025447  ,A044111,2024JJ00,108.9
162,A025447  ,A044112,1990JJ00,229.9
163,A025447  ,A044112,1995JJ00,188.7
164,A025447  ,A044112,2000JJ00,143.3
