ID,HerkomstVanUitvoer,Perioden,WaardeInWerkelijkePrijzen_1,WaardePrijsniveau2005_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4,WaardeInWerkelijkePrijzen_5,WaardePrijsniveau2005_6,VolumemutatieTOVVoorafgaandJaar_7,Prijsindexcijfers_8,WaardeInWerkelijkePrijzen_9,WaardePrijsniveau2005_10,VolumemutatieTOVVoorafgaandJaar_11,Prijsindexcijfers_12
0,300025,1988JJ00,89320.0,113608.0,,78.6,70541.0,88723.0,,79.5,18779.0,24859.0,,75.5
1,300025,1989JJ00,100123.0,122244.0,7.6,81.9,79155.0,94669.0,6.7,83.6,20968.0,27590.0,11.0,76.0
2,300025,1990JJ00,105002.0,128871.0,5.4,81.5,82683.0,99630.0,5.2,83.0,22319.0,29275.0,6.1,76.2
3,300025,1991JJ00,110625.0,134742.0,4.6,82.1,85474.0,103115.0,3.5,82.9,25151.0,31755.0,8.5,79.2
4,300025,1992JJ00,111163.0,137940.0,2.4,80.6,84409.0,104689.0,1.5,80.6,26754.0,33423.0,5.3,80.0
5,300025,1993JJ00,111733.0,141418.0,2.5,79.0,83089.0,106548.0,1.8,78.0,28644.0,35052.0,4.9,81.7
6,300025,1994JJ00,118802.0,148669.0,5.1,79.9,88416.0,112363.0,5.5,78.7,30386.0,36513.0,4.2,83.2
7,300025,1995JJ00,127784.0,157199.0,5.7,81.3,96707.0,120187.0,7.0,80.5,31077.0,37306.0,2.2,83.3
8,300025,1996JJ00,133610.0,162591.0,3.4,82.2,100328.0,123222.0,2.5,81.4,33282.0,39636.0,6.2,84.0
9,300025,1997JJ00,146027.0,173222.0,6.5,84.3,108585.0,129243.0,4.9,84.0,37442.0,44201.0,11.5,84.7
10,300025,1998JJ00,150355.0,180216.0,4.0,83.4,110116.0,133413.0,3.2,82.5,40239.0,47026.0,6.4,85.6
11,300025,1999JJ00,156805.0,188490.0,4.6,83.2,112989.0,138119.0,3.5,81.8,43816.0,50554.0,7.5,86.7
12,300025,2000JJ00,183774.0,202481.0,7.4,90.8,134250.0,147183.0,6.6,91.2,49524.0,55427.0,9.6,89.3
13,300025,2001JJ00,187933.0,202671.0,0.1,92.7,134766.0,145213.0,-1.3,92.8,53167.0,57632.0,4.0,92.3
14,300025,2002JJ00,189852.0,205390.0,1.3,92.4,135356.0,148265.0,2.1,91.3,54496.0,57294.0,-0.6,95.1
15,300025,2003JJ00,187814.0,202005.0,-1.6,93.0,132206.0,144648.0,-2.4,91.4,55608.0,57476.0,0.3,96.7
16,300025,2004JJ00,199920.0,211680.0,4.8,94.4,141449.0,151819.0,5.0,93.2,58471.0,59999.0,4.4,97.5
17,300025,2005JJ00,216854.0,216854.0,2.4,100.0,152300.0,152300.0,0.3,100.0,64554.0,64554.0,7.6,100.0
18,300025,2006JJ00,233612.0,224077.0,3.3,104.3,167912.0,158439.0,4.0,106.0,65700.0,65638.0,1.7,100.1
19,300025,2007JJ00,248722.0,234180.0,4.5,106.2,179872.0,165415.0,4.4,108.7,68850.0,68775.0,4.8,100.1
20,300025,2008JJ00,266569.0,234760.0,0.2,113.5,189098.0,161842.0,-2.2,116.8,77471.0,73271.0,6.5,105.7
21,300025,2009JJ00,228386.0,216594.0,-7.7,105.4,152793.0,147958.0,-8.6,103.3,75593.0,69104.0,-5.7,109.4
22,300025,2010JJ00,259638.0,231954.0,7.1,111.9,180157.0,161059.0,8.9,111.9,79481.0,71543.0,3.5,111.1
23,300025,2011JJ00,284793.0,236279.0,1.9,120.5,202954.0,164681.0,2.2,123.2,81839.0,72254.0,1.0,113.3
24,300025,2012JJ00,293616.0,238338.0,0.9,123.2,211557.0,166073.0,0.8,127.4,82059.0,72930.0,0.9,112.5
25,301000,1988JJ00,6331.0,6723.0,,94.2,6326.0,6720.0,,94.1,5.0,3.0,,
26,301000,1989JJ00,6936.0,7313.0,8.8,94.8,6935.0,7310.0,8.8,94.9,1.0,3.0,,
27,301000,1990JJ00,7425.0,7964.0,8.9,93.2,7422.0,7959.0,8.9,93.3,3.0,9.0,,
