ID,Energiedragers,Perioden,GemiddeldeKostenPerGigajoule_1
0,ste,1990JJ00,1.87
1,ste,1991JJ00,1.94
2,ste,1992JJ00,1.85
3,ste,1993JJ00,1.49
4,ste,1994JJ00,1.47
5,ste,1995JJ00,1.43
6,ste,1996JJ00,1.39
7,ste,1997JJ00,1.53
8,ste,1998JJ00,1.56
9,ste,1999JJ00,1.41
10,ste,2000JJ00,1.69
11,ste,2001JJ00,1.62
12,ste,2002JJ00,2.49
13,ste,2003JJ00,2.21
14,ste,2004JJ00,2.02
15,ste,2005JJ00,1.71
16,ste,2006JJ00,2.43
17,stc,1990JJ00,6.87
18,stc,1991JJ00,7.1
19,stc,1992JJ00,6.77
20,stc,1993JJ00,5.45
21,stc,1994JJ00,4.75
22,stc,1995JJ00,4.75
23,stc,1996JJ00,4.65
24,stc,1997JJ00,4.48
25,stc,1998JJ00,5.0
26,stc,1999JJ00,4.64
27,stc,2000JJ00,5.23
28,stc,2001JJ00,6.06
29,stc,2002JJ00,5.86
30,stc,2003JJ00,5.3
31,stc,2004JJ00,6.69
32,stc,2005JJ00,11.02
33,stc,2006JJ00,6.78
34,zws,1990JJ00,2.78
35,zws,1991JJ00,2.63
36,zws,1992JJ00,2.63
37,zws,1993JJ00,2.63
38,zws,1994JJ00,2.6
39,zws,1995JJ00,2.59
40,zws,1996JJ00,2.76
41,zws,1997JJ00,2.71
42,zws,1998JJ00,2.17
43,zws,1999JJ00,2.26
44,zws,2000JJ00,4.33
45,zws,2001JJ00,4.34
46,zws,2002JJ00,3.52
47,zws,2003JJ00,4.35
48,zws,2004JJ00,5.69
49,zws,2005JJ00,8.13
50,zws,2006JJ00,9.03
51,gol,1990JJ00,6.53
52,gol,1991JJ00,6.64
53,gol,1992JJ00,6.42
54,gol,1993JJ00,6.52
55,gol,1994JJ00,6.21
56,gol,1995JJ00,6.16
57,gol,1996JJ00,7.22
58,gol,1997JJ00,7.75
59,gol,1998JJ00,7.37
60,gol,1999JJ00,8.51
61,gol,2000JJ00,12.72
62,gol,2001JJ00,11.57
63,gol,2002JJ00,12.76
64,gol,2003JJ00,13.14
65,gol,2004JJ00,14.87
66,gol,2005JJ00,17.74
67,gol,2006JJ00,19.39
68,ele,1990JJ00,11.93
69,ele,1991JJ00,12.37
70,ele,1992JJ00,12.18
71,ele,1993JJ00,12.42
72,ele,1994JJ00,12.51
73,ele,1995JJ00,12.73
74,ele,1996JJ00,12.77
75,ele,1997JJ00,12.99
76,ele,1998JJ00,12.98
77,ele,1999JJ00,13.06
78,ele,2000JJ00,14.2
79,ele,2001JJ00,14.23
80,ele,2002JJ00,14.06
81,ele,2003JJ00,14.03
82,ele,2004JJ00,14.2
83,ele,2005JJ00,15.55
84,ele,2006JJ00,18.58
85,aar,1990JJ00,3.23
86,aar,1991JJ00,3.24
87,aar,1992JJ00,3.1
88,aar,1993JJ00,3.02
89,aar,1994JJ00,3.01
90,aar,1995JJ00,3.24
91,aar,1996JJ00,3.34
92,aar,1997JJ00,3.63
93,aar,1998JJ00,3.54
94,aar,1999JJ00,3.26
95,aar,2000JJ00,4.61
96,aar,2001JJ00,5.28
97,aar,2002JJ00,4.84
98,aar,2003JJ00,5.18
99,aar,2004JJ00,4.96
100,aar,2005JJ00,6.03
101,aar,2006JJ00,7.66
