ID,Geslacht,BedrijfstakkenBranchesSBI2008,Perioden,RechthebbendenOuderschapsverlof_1,TotaalOpgenomenOuderschapsverlof_2,BetaaldOuderschapsverlof_3,DuurOuderschapsverlof_4,UrenOuderschapsverlofPerWeek_5,ArbeidsduurGebruikers_6
85,3000    , 300012,2009JJ00,24.0,11.0,9.0,15.0,7.0,37.0
86,3000    , 300012,2010JJ00,25.0,12.0,11.0,13.0,9.0,37.0
87,3000    , 300012,2011JJ00,28.0,16.0,13.0,18.0,7.0,36.0
88,3000    , 300012,2012JJ00,,,,,,
89,3000    , 300012,2013JJ00,,,,,,
90,3000    ,3000045,2000JJ00,133.0,8.0,3.0,8.0,10.0,37.0
91,3000    ,3000045,2001XX00,128.0,7.0,2.0,10.0,8.0,37.0
92,3000    ,3000045,2001JJ00,130.0,7.0,2.0,10.0,7.0,37.0
93,3000    ,3000045,2002JJ00,131.0,12.0,3.0,10.0,8.0,37.0
94,3000    ,3000045,2003JJ00,126.0,12.0,3.0,10.0,9.0,37.0
95,3000    ,3000045,2004JJ00,125.0,13.0,4.0,9.0,10.0,37.0
96,3000    ,3000045,2005JJ00,125.0,15.0,3.0,11.0,8.0,38.0
97,3000    ,3000045,2006JJ00,117.0,14.0,4.0,10.0,9.0,37.0
98,3000    ,3000045,2007JJ00,118.0,15.0,4.0,10.0,8.0,37.0
99,3000    ,3000045,2008JJ00,114.0,14.0,4.0,12.0,9.0,38.0
100,3000    ,3000045,2009JJ00,112.0,15.0,3.0,13.0,9.0,38.0
101,3000    ,3000045,2010JJ00,111.0,20.0,6.0,15.0,8.0,38.0
102,3000    ,3000045,2011JJ00,110.0,21.0,7.0,19.0,9.0,37.0
103,3000    ,3000045,2012JJ00,,,,,,
104,3000    ,3000045,2013JJ00,,,,,,
105,3000    , 999999,2000JJ00,,,,,,
106,3000    , 999999,2001XX00,,,,,,
107,3000    , 999999,2001JJ00,,,,,,
108,3000    , 999999,2002JJ00,,,,,,
109,3000    , 999999,2003JJ00,,,,,,
110,3000    , 999999,2004JJ00,,,,,,
111,3000    , 999999,2005JJ00,,,,,,
112,3000    , 999999,2006JJ00,,,,,,
113,3000    , 999999,2007JJ00,,,,,,
114,3000    , 999999,2008JJ00,,,,,,
115,3000    , 999999,2009JJ00,,,,,,
116,3000    , 999999,2010JJ00,,,,,,
117,3000    , 999999,2011JJ00,,,,,,
118,3000    , 999999,2012JJ00,,,,,,
119,3000    , 999999,2013JJ00,,,,,,
120,4000    , 300025,2000JJ00,105.0,39.0,17.0,7.0,14.0,26.0
121,4000    , 300025,2001XX00,106.0,38.0,16.0,8.0,13.0,26.0
122,4000    , 300025,2001JJ00,105.0,37.0,15.0,8.0,13.0,25.0
123,4000    , 300025,2002JJ00,112.0,40.0,23.0,8.0,12.0,25.0
124,4000    , 300025,2003JJ00,115.0,48.0,26.0,8.0,12.0,26.0
125,4000    , 300025,2004JJ00,114.0,46.0,26.0,9.0,11.0,26.0
126,4000    , 300025,2005JJ00,120.0,51.0,30.0,8.0,11.0,26.0
127,4000    , 300025,2006JJ00,114.0,48.0,28.0,9.0,10.0,27.0
128,4000    , 300025,2007JJ00,120.0,50.0,27.0,9.0,10.0,27.0
129,4000    , 300025,2008JJ00,119.0,45.0,25.0,10.0,11.0,27.0
130,4000    , 300025,2009JJ00,128.0,53.0,30.0,10.0,12.0,28.0
131,4000    , 300025,2010JJ00,122.0,52.0,30.0,11.0,10.0,27.0
132,4000    , 300025,2011JJ00,128.0,63.0,32.0,12.0,10.0,27.0
133,4000    , 300025,2012JJ00,132.0,70.0,37.0,13.0,10.0,28.0
134,4000    , 300025,2013JJ00,124.0,71.0,35.0,12.0,10.0,29.0
135,4000    , 300012,2000JJ00,50.0,21.0,11.0,8.0,12.0,25.0
136,4000    , 300012,2001XX00,51.0,24.0,11.0,8.0,12.0,26.0
137,4000    , 300012,2001JJ00,50.0,23.0,10.0,8.0,12.0,25.0
138,4000    , 300012,2002JJ00,54.0,27.0,19.0,9.0,11.0,25.0
139,4000    , 300012,2003JJ00,55.0,29.0,20.0,8.0,12.0,25.0
140,4000    , 300012,2004JJ00,55.0,29.0,19.0,9.0,11.0,25.0
141,4000    , 300012,2005JJ00,59.0,32.0,25.0,8.0,11.0,25.0
142,4000    , 300012,2006JJ00,56.0,32.0,24.0,9.0,10.0,27.0
143,4000    , 300012,2007JJ00,57.0,33.0,22.0,9.0,10.0,26.0
144,4000    , 300012,2008JJ00,58.0,28.0,20.0,10.0,11.0,26.0
145,4000    , 300012,2009JJ00,68.0,33.0,25.0,10.0,11.0,27.0
146,4000    , 300012,2010JJ00,63.0,31.0,22.0,11.0,10.0,26.0
147,4000    , 300012,2011JJ00,70.0,39.0,27.0,11.0,9.0,26.0
148,4000    , 300012,2012JJ00,,,,,,
149,4000    , 300012,2013JJ00,,,,,,
150,4000    ,3000045,2000JJ00,56.0,18.0,6.0,7.0,16.0,27.0
151,4000    ,3000045,2001XX00,54.0,14.0,5.0,8.0,15.0,26.0
152,4000    ,3000045,2001JJ00,54.0,14.0,5.0,8.0,15.0,26.0
153,4000    ,3000045,2002JJ00,58.0,13.0,3.0,7.0,13.0,26.0
154,4000    ,3000045,2003JJ00,61.0,19.0,6.0,8.0,11.0,27.0
155,4000    ,3000045,2004JJ00,59.0,17.0,6.0,8.0,11.0,28.0
156,4000    ,3000045,2005JJ00,61.0,19.0,5.0,8.0,12.0,28.0
157,4000    ,3000045,2006JJ00,58.0,15.0,5.0,8.0,11.0,28.0
158,4000    ,3000045,2007JJ00,63.0,18.0,5.0,9.0,10.0,29.0
159,4000    ,3000045,2008JJ00,61.0,17.0,4.0,10.0,11.0,28.0
160,4000    ,3000045,2009JJ00,61.0,20.0,5.0,10.0,13.0,29.0
161,4000    ,3000045,2010JJ00,59.0,21.0,8.0,12.0,11.0,29.0
162,4000    ,3000045,2011JJ00,59.0,25.0,5.0,13.0,11.0,29.0
163,4000    ,3000045,2012JJ00,,,,,,
164,4000    ,3000045,2013JJ00,,,,,,
165,4000    , 999999,2000JJ00,,,,,,
166,4000    , 999999,2001XX00,,,,,,
167,4000    , 999999,2001JJ00,,,,,,
168,4000    , 999999,2002JJ00,,,,,,
169,4000    , 999999,2003JJ00,,,,,,
170,4000    , 999999,2004JJ00,,,,,,
171,4000    , 999999,2005JJ00,,,,,,
172,4000    , 999999,2006JJ00,,,,,,
173,4000    , 999999,2007JJ00,,,,,,
174,4000    , 999999,2008JJ00,,,,,,
175,4000    , 999999,2009JJ00,,,,,,
176,4000    , 999999,2010JJ00,,,,,,
177,4000    , 999999,2011JJ00,,,,,,
178,4000    , 999999,2012JJ00,,,,,,
179,4000    , 999999,2013JJ00,,,,,,
