ID,Kenmerken,Perioden,TotaalNIS_1,Medicatie_2,KunstmatigeToedieningVochtVoeding_3,KunstmatigeBeademing_4,OperatieEnIngrepen_5,Oncotherapie_6,OverigeBehandelingen_7,BehandelingNietGespecificeerd_8,TotaalNIS_9,Medicatie_10,KunstmatigeToedieningVochtVoeding_11,KunstmatigeBeademing_12,OperatieEnIngrepen_13,Oncotherapie_14,OverigeBehandelingen_15,BehandelingNietGespecificeerd_16,TotaalToedienenMiddelen_17,Opioiden_18,Benzodiazepinen_19,Barbituraten_20,Spierrelaxantia_21,PsychofarmacaAntipsychotica_22,OverigeMiddelen_23,MiddelNietGespecificeerd_24,TotaalToedienenMiddelen_25,Opioiden_26,Benzodiazepinen_27,Barbituraten_28,Spierrelaxantia_29,PsychofarmacaAntipsychotica_30,OverigeMiddelen_31,MiddelNietGespecificeerd_32
53,27,2001JJ00,4352.0,2133.0,1876.0,230.0,251.0,101.0,1120.0,424.0,32.0,32.0,40.0,12.0,24.0,14.0,32.0,28.0,3831.0,2996.0,490.0,62.0,52.0,106.0,228.0,595.0,27.0,28.0,22.0,7.0,6.0,22.0,54.0,27.0
54,28,1995JJ00,3671.0,1334.0,781.0,241.0,392.0,514.0,471.0,872.0,29.0,23.0,24.0,19.0,34.0,94.0,25.0,49.0,6602.0,5169.0,581.0,435.0,409.0,251.0,93.0,787.0,53.0,50.0,47.0,77.0,71.0,66.0,46.0,55.0
55,28,2001JJ00,3728.0,1565.0,1077.0,311.0,336.0,648.0,876.0,494.0,27.0,23.0,23.0,17.0,32.0,91.0,25.0,33.0,6228.0,4184.0,963.0,698.0,613.0,264.0,112.0,1131.0,44.0,40.0,43.0,77.0,77.0,55.0,27.0,52.0
56,29,1995JJ00,1869.0,1036.0,229.0,229.0,215.0,18.0,439.0,181.0,15.0,18.0,7.0,18.0,19.0,3.0,23.0,10.0,1413.0,1200.0,137.0,3.0,32.0,20.0,37.0,223.0,11.0,12.0,11.0,1.0,6.0,5.0,18.0,16.0
57,29,2001JJ00,1928.0,1133.0,334.0,314.0,256.0,31.0,562.0,169.0,14.0,17.0,7.0,17.0,25.0,4.0,16.0,11.0,1817.0,1491.0,210.0,16.0,10.0,66.0,39.0,272.0,13.0,14.0,9.0,2.0,1.0,14.0,9.0,12.0
58,30,1995JJ00,1324.0,840.0,274.0,221.0,43.0,0.0,165.0,118.0,11.0,14.0,8.0,18.0,4.0,0.0,9.0,7.0,959.0,884.0,110.0,7.0,7.0,25.0,10.0,74.0,8.0,9.0,9.0,1.0,1.0,7.0,5.0,5.0
59,30,2001JJ00,1509.0,871.0,432.0,300.0,27.0,5.0,275.0,179.0,11.0,13.0,9.0,16.0,3.0,1.0,8.0,12.0,1277.0,1066.0,163.0,35.0,29.0,24.0,64.0,139.0,9.0,10.0,7.0,4.0,4.0,5.0,15.0,6.0
60,31,1995JJ00,1953.0,1009.0,784.0,154.0,29.0,16.0,229.0,233.0,16.0,17.0,24.0,12.0,3.0,3.0,12.0,13.0,1030.0,885.0,78.0,68.0,35.0,24.0,20.0,90.0,8.0,9.0,6.0,12.0,6.0,6.0,10.0,6.0
61,31,2001JJ00,1943.0,905.0,937.0,260.0,100.0,0.0,304.0,226.0,14.0,14.0,20.0,14.0,10.0,0.0,9.0,15.0,1341.0,1017.0,201.0,54.0,47.0,17.0,61.0,220.0,10.0,10.0,9.0,6.0,6.0,4.0,15.0,10.0
62,32,1995JJ00,3767.0,1690.0,1202.0,408.0,468.0,0.0,586.0,371.0,30.0,29.0,37.0,33.0,41.0,0.0,31.0,21.0,2569.0,2188.0,319.0,51.0,95.0,58.0,43.0,246.0,20.0,21.0,26.0,9.0,16.0,15.0,21.0,17.0
63,32,2001JJ00,4609.0,2217.0,1963.0,676.0,325.0,29.0,1479.0,433.0,34.0,33.0,41.0,36.0,31.0,4.0,42.0,29.0,3418.0,2781.0,710.0,98.0,98.0,110.0,145.0,420.0,24.0,26.0,32.0,11.0,12.0,23.0,34.0,19.0
64,33,1995JJ00,2891.0,1235.0,682.0,39.0,146.0,277.0,541.0,708.0,23.0,21.0,21.0,3.0,13.0,51.0,29.0,40.0,5048.0,3681.0,431.0,405.0,437.0,149.0,80.0,738.0,40.0,36.0,35.0,72.0,75.0,39.0,39.0,52.0
65,33,2001JJ00,3500.0,1584.0,1069.0,80.0,225.0,347.0,1046.0,406.0,26.0,24.0,23.0,4.0,22.0,49.0,30.0,27.0,5241.0,3286.0,663.0,707.0,598.0,195.0,110.0,1022.0,37.0,31.0,29.0,78.0,75.0,41.0,26.0,47.0
66,34,1995JJ00,5216.0,2394.0,600.0,1155.0,733.0,238.0,743.0,682.0,41.0,41.0,18.0,92.0,64.0,43.0,39.0,38.0,4179.0,3666.0,375.0,146.0,131.0,112.0,59.0,380.0,33.0,35.0,31.0,26.0,23.0,30.0,29.0,27.0
67,34,2001JJ00,5444.0,2652.0,1057.0,1732.0,580.0,265.0,1497.0,685.0,40.0,40.0,22.0,93.0,56.0,37.0,43.0,46.0,4500.0,3663.0,689.0,168.0,180.0,113.0,64.0,637.0,32.0,35.0,31.0,19.0,23.0,24.0,15.0,29.0
68,35,1995JJ00,4131.0,2139.0,1810.0,34.0,257.0,26.0,560.0,359.0,33.0,36.0,55.0,3.0,22.0,5.0,30.0,20.0,3030.0,2695.0,386.0,13.0,7.0,107.0,54.0,274.0,24.0,26.0,31.0,2.0,1.0,28.0,27.0,19.0
69,35,2001JJ00,4575.0,2352.0,2533.0,48.0,229.0,94.0,945.0,378.0,33.0,35.0,53.0,3.0,22.0,13.0,27.0,25.0,4150.0,3439.0,867.0,26.0,21.0,173.0,224.0,503.0,29.0,33.0,39.0,3.0,3.0,36.0,53.0,23.0
70,36,1995JJ00,346.0,141.0,178.0,25.0,11.0,7.0,46.0,26.0,3.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,315.0,284.0,33.0,0.0,3.0,10.0,10.0,28.0,3.0,3.0,3.0,0.0,1.0,3.0,5.0,2.0
71,36,2001JJ00,183.0,100.0,80.0,1.0,10.0,7.0,9.0,22.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,189.0,151.0,29.0,0.0,0.0,0.0,23.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0
72,49,1995JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,49,2001JJ00,15.0,5.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,37,1995JJ00,7022.0,3317.0,1345.0,1152.0,837.0,258.0,1018.0,884.0,56.0,56.0,41.0,92.0,73.0,47.0,54.0,50.0,5656.0,4995.0,562.0,164.0,147.0,151.0,100.0,475.0,45.0,48.0,46.0,29.0,25.0,40.0,49.0,33.0
75,37,2001JJ00,5390.0,2564.0,1056.0,1723.0,580.0,268.0,1482.0,693.0,39.0,38.0,22.0,93.0,56.0,38.0,42.0,46.0,4414.0,3559.0,696.0,168.0,177.0,97.0,55.0,652.0,31.0,34.0,31.0,19.0,22.0,20.0,13.0,30.0
76,38,1995JJ00,5562.0,2592.0,1925.0,101.0,310.0,290.0,872.0,891.0,44.0,44.0,59.0,8.0,27.0,53.0,46.0,50.0,6918.0,5331.0,663.0,400.0,431.0,228.0,103.0,945.0,55.0,52.0,54.0,71.0,75.0,60.0,51.0,67.0
77,38,2001JJ00,8328.0,4128.0,3686.0,138.0,464.0,445.0,2015.0,808.0,61.0,62.0,78.0,7.0,44.0,62.0,58.0,54.0,9666.0,6980.0,1552.0,734.0,621.0,384.0,366.0,1530.0,69.0,66.0,69.0,81.0,78.0,80.0,87.0,70.0
78,39,1995JJ00,,,,,,,,,,,,,,,,,13273.0,11003.0,1225.0,596.0,578.0,378.0,203.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
79,39,2001JJ00,,,,,,,,,,,,,,,,,16158.0,11244.0,2266.0,915.0,798.0,494.0,441.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
80,40,1995JJ00,,,,,,,,,,,,,,,,,7900.0,8080.0,117.0,81.0,0.0,45.0,0.0,,60.0,73.0,10.0,14.0,0.0,12.0,0.0,
81,40,2001JJ00,,,,,,,,,,,,,,,,,7668.0,7213.0,216.0,101.0,3.0,35.0,100.0,,47.0,64.0,10.0,11.0,0.0,7.0,23.0,
82,41,1995JJ00,,,,,,,,,,,,,,,,,2686.0,1997.0,367.0,392.0,16.0,16.0,42.0,,20.0,18.0,30.0,66.0,3.0,4.0,21.0,
83,41,2001JJ00,,,,,,,,,,,,,,,,,5018.0,3420.0,501.0,767.0,4.0,110.0,216.0,,31.0,30.0,22.0,84.0,1.0,22.0,49.0,
84,42,1995JJ00,,,,,,,,,,,,,,,,,2686.0,926.0,741.0,123.0,562.0,318.0,161.0,,20.0,8.0,60.0,21.0,97.0,84.0,79.0,
85,42,2001JJ00,,,,,,,,,,,,,,,,,3472.0,611.0,1549.0,47.0,792.0,348.0,125.0,,21.0,5.0,68.0,5.0,99.0,70.0,28.0,
86,43,1995JJ00,,,,,,,,,,,,,,,,,1527.0,1389.0,42.0,95.0,2.0,50.0,31.0,,12.0,13.0,3.0,16.0,0.0,13.0,15.0,
87,43,2001JJ00,,,,,,,,,,,,,,,,,882.0,543.0,63.0,87.0,0.0,117.0,72.0,,5.0,5.0,3.0,10.0,0.0,24.0,16.0,
88,44,1995JJ00,,,,,,,,,,,,,,,,,1930.0,1611.0,351.0,26.0,0.0,40.0,5.0,,15.0,15.0,29.0,4.0,0.0,11.0,2.0,
89,44,2001JJ00,,,,,,,,,,,,,,,,,1649.0,813.0,584.0,10.0,0.0,23.0,219.0,,10.0,7.0,26.0,1.0,0.0,5.0,49.0,
90,45,1995JJ00,,,,,,,,,,,,,,,,,9219.0,7563.0,769.0,460.0,556.0,267.0,97.0,,69.0,69.0,63.0,77.0,96.0,71.0,48.0,
91,45,2001JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,46,1995JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,46,2001JJ00,,,,,,,,,,,,,,,,,4894.0,2606.0,629.0,783.0,786.0,65.0,25.0,,30.0,23.0,28.0,86.0,98.0,13.0,6.0,
94,47,1995JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,47,2001JJ00,,,,,,,,,,,,,,,,,8017.0,6788.0,854.0,23.0,,265.0,87.0,,50.0,60.0,38.0,3.0,0.0,54.0,20.0,
96,48,1995JJ00,,,,,,,,,,,,,,,,,597.0,441.0,63.0,15.0,20.0,21.0,69.0,,4.0,4.0,5.0,3.0,3.0,6.0,34.0,
97,48,2001JJ00,,,,,,,,,,,,,,,,,716.0,494.0,136.0,12.0,12.0,24.0,38.0,,4.0,4.0,6.0,1.0,2.0,5.0,9.0,
