ID,BedrijfstakkenBranches,Seizoencorrectie,Perioden,ProductieBedrAfgelopen3Mnd_1,ProductieBedrKomende3Mnd_2,OmzetAfgelopen3Mnd_3,OmzetKomende3Mnd_4,BuitenlandseOmzetAfgelopen3Mnd_5,BuitenlandseOmzetKomende3Mnd_6,VerkoopprijzenTarievenKomende3Mnd_7,PersoneelssterkteAfgelopen3Mnd_8,PersoneelssterkteKomende3Mnd_9,EconomischKlimaatAfgelopen3Mnd_10,WinstgevendheidAfgelopen3Mnd_11
48,300030,A042500,2020KW04,3.2,0.6,7.7,-6.4,-1.5,-1.6,4.7,-7.5,-5.1,-12.7,-7.3
49,300030,A042500,2021KW01,5.9,6.5,-0.5,-1.2,1.5,-0.2,8.0,-4.1,3.4,-14.9,-9.5
50,300030,A042500,2021KW02,11.8,12.1,8.5,9.9,8.8,6.3,18.6,2.9,9.7,-5.0,-3.1
51,300030,A042500,2021KW03,17.6,17.1,21.7,19.8,8.3,8.7,28.2,8.3,18.5,12.4,11.8
52,300030,A042500,2021KW04,16.2,19.0,22.6,18.9,7.6,10.7,35.5,10.8,23.0,13.9,12.2
53,300030,A042500,2022KW01,15.1,13.8,11.4,14.6,7.1,9.5,37.0,11.2,18.6,-11.4,0.2
54,300030,A042500,2022KW02,13.3,9.6,20.4,17.7,8.0,8.8,49.7,12.4,19.3,-4.4,-0.7
55,300030,A042500,2022KW03,9.0,8.5,17.9,4.3,8.3,6.1,41.4,6.5,16.5,-1.5,-4.3
56,300030,A042500,2022KW04,5.1,4.9,10.5,4.0,5.2,1.7,47.9,6.5,13.0,-22.2,-13.0
57,300030,A042500,2023KW01,8.6,9.3,18.4,10.7,8.1,5.8,43.7,8.3,16.5,-13.6,-8.9
58,301000,A042501,2016KW01,7.2,19.5,7.8,15.4,7.2,9.4,8.6,0.7,9.4,0.1,-0.9
59,301000,A042501,2016KW02,20.1,26.5,12.1,25.2,12.6,10.7,-0.7,3.8,17.6,-4.3,-2.3
