ID,Verkopen,Perioden,TotaalVerkoopwaarden_1,Elektriciteit_2,Aardgas_3,WaterGeenEnergie_4,OverigeVerkoopwaarden_5,Elektriciteit_6,Aardgas_7,Water_8
0,1,1990KW01,4118.0,2449.0,1340.0,209.0,119.0,52064.0,7948.0,385.0
1,1,1990KW02,3246.0,2326.0,599.0,221.0,100.0,49605.0,3540.0,427.0
2,1,1990KW03,3093.0,2368.0,407.0,223.0,94.0,50842.0,2354.0,430.0
3,1,1990KW04,4050.0,2446.0,1258.0,211.0,134.0,55451.0,7396.0,394.0
4,1,1990JJ00,14506.0,9589.0,3605.0,864.0,448.0,207962.0,21238.0,1635.0
5,1,1991KW01,4877.0,2646.0,1867.0,217.0,146.0,56847.0,9907.0,376.0
6,1,1991KW02,3636.0,2420.0,872.0,234.0,109.0,52421.0,4660.0,413.0
7,1,1991KW03,3134.0,2438.0,381.0,221.0,94.0,55627.0,2057.0,408.0
8,1,1991KW04,4524.0,2632.0,1546.0,212.0,135.0,58818.0,8028.0,386.0
9,1,1991JJ00,16171.0,10137.0,4665.0,884.0,485.0,223713.0,24653.0,1583.0
10,1,1992KW01,4776.0,2634.0,1778.0,233.0,131.0,57948.0,9514.0,388.0
11,1,1992KW02,3456.0,2416.0,668.0,254.0,117.0,54169.0,3659.0,425.0
12,1,1992KW03,3260.0,2496.0,404.0,246.0,113.0,54392.0,2217.0,415.0
13,1,1992KW04,4585.0,2680.0,1513.0,241.0,152.0,59163.0,8148.0,388.0
14,1,1992JJ00,16077.0,10226.0,4364.0,974.0,512.0,225672.0,23538.0,1615.0
15,1,1993KW01,4813.0,2720.0,1706.0,256.0,131.0,57852.0,9886.0,388.0
16,1,1993KW02,3431.0,2458.0,594.0,271.0,108.0,53880.0,3484.0,421.0
17,1,1993KW03,3377.0,2558.0,460.0,255.0,104.0,54886.0,2749.0,389.0
18,1,1993KW04,4758.0,2798.0,1551.0,248.0,161.0,60038.0,9145.0,376.0
19,1,1993JJ00,16379.0,10535.0,4310.0,1030.0,505.0,226655.0,25264.0,1575.0
20,1,1994KW01,5071.0,2889.0,1783.0,260.0,138.0,59165.0,10102.0,367.0
21,1,1994KW02,3772.0,2626.0,746.0,281.0,120.0,56271.0,4348.0,407.0
22,1,1994KW03,3395.0,2584.0,423.0,280.0,107.0,57872.0,2613.0,417.0
23,1,1994KW04,4587.0,2877.0,1285.0,270.0,154.0,60820.0,7325.0,392.0
24,1,1994JJ00,16825.0,10976.0,4238.0,1091.0,519.0,234127.0,24388.0,1583.0
25,1,1995KW01,5129.0,2892.0,1729.0,322.0,186.0,59201.0,9889.0,374.0
26,1,1995KW02,3949.0,2705.0,743.0,330.0,171.0,56910.0,4353.0,413.0
27,1,1995KW03,3642.0,2703.0,413.0,349.0,177.0,58551.0,2411.0,436.0
28,1,1995KW04,4919.0,2956.0,1453.0,319.0,189.0,61415.0,8592.0,390.0
29,1,1995JJ00,17638.0,11255.0,4340.0,1320.0,724.0,236076.0,25246.0,1613.0
30,1,1996KW01,5689.0,2988.0,2192.0,333.0,176.0,60526.0,12767.0,385.0
31,1,1996KW02,4034.0,2749.0,765.0,373.0,148.0,56058.0,4425.0,445.0
32,1,1996KW03,3677.0,2690.0,472.0,344.0,171.0,56145.0,2709.0,407.0
33,1,1996KW04,5204.0,3034.0,1624.0,326.0,221.0,62192.0,9054.0,380.0
34,1,1996JJ00,18605.0,11461.0,5052.0,1375.0,716.0,234921.0,28955.0,1618.0
35,1,1997KW01,5946.0,3437.0,1958.0,345.0,206.0,70676.0,10547.0,399.0
36,1,1997KW02,4700.0,3343.0,818.0,352.0,188.0,67388.0,4359.0,408.0
37,1,1997KW03,4206.0,3244.0,422.0,353.0,187.0,67996.0,2234.0,419.0
38,1,1997KW04,5669.0,3514.0,1542.0,349.0,264.0,73458.0,8227.0,386.0
39,1,1997JJ00,20521.0,13538.0,4739.0,1400.0,844.0,279518.0,25366.0,1611.0
40,1,1998KW01,5646.0,3276.0,1794.0,358.0,219.0,68162.0,9298.0,385.0
41,1,1998KW02,4659.0,3331.0,766.0,367.0,194.0,70522.0,3992.0,402.0
42,1,1998KW03,4136.0,3114.0,478.0,368.0,176.0,66214.0,2648.0,394.0
43,1,1998KW04,5679.0,3423.0,1648.0,355.0,253.0,75058.0,9245.0,380.0
44,1,1998JJ00,20119.0,13145.0,4686.0,1447.0,843.0,279956.0,25183.0,1561.0
45,1,1999KW01,5571.0,2997.0,1961.0,382.0,231.0,62221.0,11303.0,387.0
46,1,1999KW02,3958.0,2537.0,736.0,418.0,267.0,53985.0,4303.0,429.0
47,1,1999KW03,3727.0,2621.0,427.0,403.0,276.0,55105.0,2561.0,424.0
48,1,1999KW04,5351.0,2906.0,1571.0,392.0,483.0,59727.0,9551.0,407.0
49,1,1999JJ00,18607.0,11062.0,4696.0,1594.0,1256.0,231039.0,27718.0,1647.0
50,1,2000KW01,6366.0,,,,,,,
51,1,2000KW02,4854.0,,,,,,,
52,1,2000KW03,4909.0,,,,,,,
53,1,2000KW04,6198.0,,,,,,,
54,1,2000JJ00,22327.0,,,,,,,
55,1,2001KW01,7548.0,,,,,,,
56,1,2001KW02,5606.0,,,,,,,
57,1,2001KW03,5234.0,,,,,,,
58,1,2001KW04,7167.0,,,,,,,
59,1,2001JJ00,25555.0,,,,,,,
60,1,2002KW01,7992.0,,,,,,,
61,1,2002KW02,5936.0,,,,,,,
62,1,2002KW03,5542.0,,,,,,,
63,1,2002KW04,7588.0,,,,,,,
64,1,2002JJ00,27058.0,,,,,,,
65,2,1990KW01,1457.0,1386.0,31.0,22.0,17.0,35007.0,238.0,94.0
66,2,1990KW02,1383.0,1332.0,13.0,29.0,9.0,33282.0,101.0,114.0
67,2,1990KW03,1411.0,1370.0,10.0,26.0,5.0,34655.0,71.0,112.0
68,2,1990KW04,1412.0,1345.0,31.0,22.0,15.0,37735.0,233.0,95.0
