ID,Sources,Periods,CO_1,VOCByCombustion_2,VOCByEvaporation_3,VOCTotal_4,NOx_5,PM10_6,SO2_7,CO2_8,CH4_9,N2O_10,NMVOC_11,CO_12,VOCByCombustion_13,NOx_14,PM10_15,SO2_16,CO2_17,CH4_18,N2O_19,NMVOC_20
0,Totot,1990JJ00,777.4,173.96,39.53,213.49,421.1,29.03,71.11,33080,8.193,0.489,205.3,73.0,16.3,39.5,2.5,6.68,3106,0.77,0.05,15.6
1,Totot,1991JJ00,685.9,148.67,35.9,184.56,405.4,27.84,67.98,33020,7.017,0.579,177.55,64.6,14.0,38.2,2.4,6.4,3108,0.66,0.05,13.3
2,Totot,1992JJ00,665.5,140.6,33.34,173.94,400.1,27.38,69.7,34300,6.701,0.701,167.24,60.3,12.7,36.3,2.3,6.32,3109,0.61,0.06,12.1
3,Totot,1993JJ00,624.4,129.74,31.81,161.55,387.3,26.5,71.08,34670,6.198,0.786,155.35,56.1,11.6,34.8,2.2,6.38,3112,0.56,0.07,11.1
4,Totot,1994JJ00,593.4,121.04,29.96,151.0,373.0,25.53,71.61,35070,5.854,0.88,145.15,52.7,10.7,33.1,2.1,6.36,3114,0.52,0.08,10.2
5,Totot,1995JJ00,575.4,113.8,25.91,139.71,363.8,24.67,72.03,35280,5.579,0.949,134.13,50.7,10.0,32.1,2.0,6.35,3112,0.49,0.08,9.5
6,Totot,1996JJ00,561.5,107.59,22.5,130.09,357.8,23.94,70.82,35860,5.338,0.983,124.76,48.7,9.3,31.0,1.9,6.14,3111,0.46,0.09,8.9
7,Totot,1997JJ00,538.1,100.28,20.28,120.55,356.8,23.62,69.32,36940,5.055,1.017,115.5,45.2,8.4,30.0,1.8,5.83,3106,0.43,0.09,8.0
8,Totot,1998JJ00,517.0,93.75,17.77,111.52,349.7,23.08,71.52,37580,4.775,1.025,106.74,42.7,7.7,28.9,1.7,5.91,3106,0.39,0.08,7.4
9,Totot,1999JJ00,507.9,88.06,15.63,103.69,354.9,23.33,74.2,39220,4.542,1.049,99.15,40.2,7.0,28.1,1.7,5.88,3108,0.36,0.08,6.6
10,Totot,2000JJ00,491.1,77.93,12.6,90.53,351.0,23.04,75.7,39480,4.177,1.09,86.35,38.6,6.1,27.6,1.6,5.95,3105,0.33,0.09,5.8
11,Totot,2001JJ00,489.2,72.13,11.08,83.2,346.3,22.49,72.97,39980,4.021,1.083,79.18,38.0,5.6,26.9,1.6,5.67,3105,0.31,0.08,5.3
12,Totot,2002JJ00,492.5,67.5,8.73,76.23,337.7,21.6,71.81,40230,3.917,1.067,72.31,38.0,5.2,26.0,1.5,5.54,3104,0.3,0.08,4.9
13,Totot,2003JJ00,493.3,63.32,7.43,70.74,333.6,20.91,70.7,40620,3.817,1.049,66.93,37.7,4.8,25.5,1.4,5.4,3103,0.29,0.08,4.5
14,Totot,2004JJ00,492.0,59.09,6.32,65.41,331.0,20.2,68.07,41300,3.685,1.038,61.72,37.0,4.4,24.9,1.4,5.11,3103,0.28,0.08,4.2
15,Totot,2005JJ00,481.3,56.12,5.32,61.44,327.8,20.04,70.52,41420,3.568,1.0,57.87,36.0,4.2,24.5,1.3,5.28,3102,0.27,0.07,3.9
16,Totot,2006JJ00,475.7,53.88,5.28,59.16,328.6,19.86,73.41,41690,3.479,0.976,55.68,35.3,4.0,24.4,1.3,5.45,3094,0.26,0.07,3.7
17,Totot,2007JJ00,479.0,53.53,4.81,58.34,316.4,18.66,65.78,41590,3.5,0.974,54.84,35.3,3.9,23.3,1.2,4.85,3064,0.26,0.07,3.7
18,Totot,2008JJ00,473.1,51.91,4.4,56.3,297.6,16.81,44.62,41380,3.439,0.982,52.87,34.7,3.8,21.8,1.1,3.27,3036,0.25,0.07,3.6
19,Totot,2009JJ00,464.0,49.45,4.24,53.69,277.9,15.97,42.23,40570,3.307,1.002,50.38,34.7,3.7,20.8,1.0,3.16,3034,0.25,0.07,3.5
20,Totot,2010JJ00,456.1,47.33,4.29,51.62,269.6,14.94,36.94,40710,3.208,1.009,48.41,34.1,3.5,20.2,1.0,2.76,3047,0.24,0.08,3.3
21,Totot,2011JJ00,446.8,45.75,4.22,49.97,266.6,13.6,26.45,40930,3.119,1.018,46.85,33.1,3.4,19.8,0.9,1.96,3035,0.23,0.08,3.2
22,Totot,2012JJ00,431.7,43.84,4.16,48.0,251.4,12.7,24.53,40230,3.009,1.008,44.99,32.5,3.3,18.9,0.8,1.84,3025,0.23,0.08,3.1
23,Totot,2013JJ00,422.7,42.1,4.13,46.24,234.3,11.79,22.59,39170,2.939,0.998,43.3,32.8,3.3,18.2,0.8,1.75,3043,0.23,0.08,3.0
