ID,Kredietverstrekkers,Perioden,VerstrekteLeningen_1,UitstaandeContracten_2,VerstrektKrediet_3,Rente_4,Aflossingen_5,UitstaandSaldo_6,UitstaandSaldoExclusiefRente_7,UitstaandeContracten_8,ToegezegdeLimieten_9,NieuweToegezegdeLimieten_10,VerstrektKrediet_11,Rente_12,Aflossingen_13,UitstaandSaldo_14,ToegezegdeLimieten_15,NieuweToegezegdeLimieten_16,UitstaandeContracten_17,ToegezegdeLimieten_18,NieuweToegezegdeLimieten_19,VerstrektKrediet_20,Rente_21,Aflossingen_22,UitstaandSaldo_23,ToegezegdeLimieten_24,NieuweToegezegdeLimieten_25
26,10,2000MM03,28.0,717.0,135.0,24.0,159.0,3112.0,2604.0,,6337.0,178.0,624.0,67.0,582.0,9339.0,17499.0,450.0,,92.0,4.0,69.0,10.0,48.0,1487.0,1578.0,64.0
27,10,2000MM04,23.0,722.0,115.0,22.0,132.0,3116.0,2605.0,,6477.0,234.0,534.0,66.0,541.0,9398.0,17595.0,406.0,,94.0,3.0,58.0,10.0,41.0,1514.0,1604.0,54.0
28,10,2000MM05,25.0,716.0,127.0,25.0,144.0,3123.0,2612.0,,6581.0,189.0,573.0,68.0,556.0,9483.0,17770.0,446.0,,95.0,4.0,69.0,10.0,93.0,1499.0,1587.0,66.0
29,10,2000MM06,23.0,712.0,117.0,20.0,144.0,3116.0,2616.0,,6661.0,219.0,490.0,69.0,523.0,9518.0,17851.0,505.0,,96.0,3.0,66.0,10.0,45.0,1530.0,1619.0,58.0
30,10,2000MM07,24.0,717.0,121.0,22.0,124.0,3135.0,2631.0,,6823.0,233.0,535.0,71.0,489.0,9635.0,18050.0,439.0,,98.0,3.0,54.0,11.0,40.0,1555.0,1644.0,55.0
31,10,2000MM08,25.0,710.0,118.0,23.0,165.0,3110.0,2607.0,,6987.0,195.0,557.0,71.0,527.0,9736.0,18202.0,435.0,,100.0,3.0,61.0,11.0,44.0,1583.0,1677.0,60.0
32,10,2000MM09,22.0,711.0,106.0,20.0,132.0,3104.0,2598.0,,7117.0,190.0,527.0,75.0,493.0,9845.0,18327.0,407.0,,100.0,3.0,50.0,11.0,52.0,1592.0,1687.0,57.0
33,10,2000MM10,25.0,714.0,124.0,25.0,148.0,3105.0,2600.0,,7239.0,217.0,562.0,79.0,543.0,9942.0,18445.0,458.0,,98.0,3.0,51.0,12.0,48.0,1607.0,1703.0,48.0
34,10,2000MM11,22.0,714.0,110.0,22.0,142.0,3096.0,2579.0,,7361.0,196.0,552.0,80.0,540.0,10034.0,18567.0,480.0,,101.0,3.0,45.0,13.0,51.0,1615.0,1710.0,47.0
35,10,2000MM12,16.0,704.0,83.0,20.0,134.0,3065.0,2552.0,,7435.0,173.0,517.0,81.0,569.0,10063.0,18586.0,406.0,,101.0,2.0,34.0,13.0,30.0,1631.0,1737.0,30.0
36,10,2001MM01,20.0,693.0,116.0,24.0,170.0,3035.0,2531.0,,7445.0,169.0,548.0,80.0,471.0,10219.0,19079.0,397.0,,100.0,2.0,32.0,13.0,80.0,1596.0,1698.0,30.0
37,10,2001MM02,18.0,688.0,103.0,22.0,132.0,3027.0,2521.0,,7452.0,167.0,502.0,80.0,535.0,10267.0,19207.0,385.0,,100.0,2.0,37.0,13.0,53.0,1593.0,1694.0,33.0
38,10,2001MM03,20.0,678.0,116.0,25.0,158.0,3010.0,2502.0,,7450.0,148.0,567.0,81.0,541.0,10374.0,19303.0,408.0,,100.0,2.0,38.0,13.0,53.0,1591.0,1693.0,35.0
39,10,2001MM04,19.0,675.0,110.0,23.0,132.0,3011.0,2499.0,,7453.0,167.0,515.0,82.0,595.0,10377.0,19348.0,391.0,,100.0,2.0,34.0,12.0,48.0,1589.0,1691.0,31.0
40,10,2001MM05,21.0,671.0,132.0,24.0,148.0,3019.0,2503.0,,7513.0,136.0,536.0,82.0,611.0,10384.0,19429.0,393.0,,99.0,2.0,29.0,12.0,37.0,1593.0,1690.0,30.0
41,10,2001MM06,19.0,666.0,111.0,22.0,134.0,3018.0,2501.0,,7472.0,139.0,496.0,82.0,546.0,10417.0,19489.0,376.0,,99.0,1.0,17.0,12.0,55.0,1567.0,1670.0,18.0
42,10,2001MM07,20.0,681.0,115.0,23.0,162.0,2994.0,2471.0,,7467.0,150.0,574.0,84.0,583.0,10492.0,19874.0,418.0,,99.0,1.0,19.0,13.0,41.0,1558.0,1657.0,22.0
43,10,2001MM08,17.0,677.0,99.0,23.0,97.0,3019.0,2491.0,,7458.0,127.0,529.0,85.0,468.0,10638.0,20014.0,379.0,,98.0,2.0,33.0,12.0,42.0,1561.0,1649.0,29.0
44,10,2001MM09,15.0,666.0,87.0,21.0,145.0,2981.0,2451.0,,7449.0,129.0,502.0,85.0,543.0,10681.0,20028.0,341.0,,98.0,1.0,30.0,12.0,48.0,1556.0,1645.0,25.0
