ID,Perioden,TotaalBinnenlandseLiquiditeiten_1,TotaalGeldhoeveelheid_2,TotaalChartaalGeld_3,Bankbiljetten_4,MuntenEnMuntbiljetten_5,GiraalGeld_6,SecundaireLiquiditeiten_7,LagereOverheid_8,Fondsen_9,GezinnenEnBedrijven_10,WisseldiscontoNederlandscheBank_11,VoorschotrenteDNBUltimoJaarstand_12,PromesseDiscontoDNBUltimoJaarstand_13,k_1Maandsgemiddelde_14,k_3Maandsgemiddelde_15,k_6Maandsgemiddelde_16,k_12Maandsgemiddelde_17,GewoneSpaarrekeningen_18,GewoneRekeningCourant_19,k_3Maanden_20,k_2Jaar_21,k_4Jaar_22,k_5Jaar_23,CreditrenteGirorekening_24,DaggeldleningenOngedektGemiddelde_25,RendementEeuwigdurendeStaatsleningen_26,DebetvoorschotrenteEffectenUltimoDec_27,Rente3MaandEuroDepositoS_28,HeffingsEnInvorderingsrenteBelasting_29,k_3MaandSchatkistpapierUltimoJaarstand_30,KasgeldleningADLagereOverheid_31,Kapitaalmarktrente_32,TotaalGoudEnDeviezen_33,TotaalGoudEnNettoDeviezenbezit_34,Goud_35,NettoDeviezenbezit_36,NettoBuitenlandsActiefVanDeBanken_37,Aandelen_38,Obligaties_39,InternationaleConcerns_40,LokaleOndernemingen_41,Algemeen_42,AlgemeenExclusiefKoninklijkeOlie_43,InternationaleConcerns_44,LokaleFondsen_45,FinancieleInstellingen_46,NietFinancieleInstellingen_47,ConsumentengoederenIndustrie_48,KapitaalgoederenIndustrie_49,Basisindustrie_50,BouwnijverheidEnInstallatiebedrijven_51,TransportOpslagEnCommunicatie_52,NietFinancieleDienstverlening_53,Handel_54,BankenEnOverigeFinancieleDienstverl_55,Verzekeringsinstellingen_56,Algemeen_57,AlgemeenExclKoninklijkeOlie_58,InternationaleConcerns_59,LokaleFondsen_60,FinancieleInstellingen_61,NietFinancieleInstellingen_62,ConsumentengoederenIndustrie_63,KapitaalgoederenIndustrie_64,Basisindustrie_65,BouwnijverheidEnInstallatiebedrijven_66,TransportOpslagEnCommunicatie_67,NietFinancieleDienstverlening_68,Handel_69,BankenEnOverigeFinancieleDienstverl_70,Verzekeringsinstellingen_71,TotaleKoerswaardeVanAandelen_72,InternationaleConcerns_73,LokaleOndernemingen_74,Staatsleningen35Jaar_75,Staatsleningen58Jaar_76,Staatsleningen810Jaar_77,ObligatiesAlgemeen_78,StaatsleningenAlgemeen_79,StaatsleningenVasteLooptijd_80,Staatsleningen03Jaar_81,Staatsleningen35Jaar_82,Staatsleningen58Jaar_83,Staatsleningen8Jaar_84,GewoneObligatiesTLVFinInstelling_85,AchtergesteldeObligatiesFinInstel_86,GewoneObligatiesTLVSupernatInst_87,Eeuwigdurende_88,Algemeen_89,k_23Jaar_90,k_34Jaar_91,k_35Jaar_92,k_38Jaar_93,k_45Jaar_94,k_56Jaar_95,k_58Jaar_96,k_67Jaar_97,k_78Jaar_98,k_89Jaar_99,k_910Jaar_100,k_5Langstlopende_101,ObligatiesTLVAlgemeneBanken_102,Kapitaalobligaties_103,PandEnBankbriefleningen_104,OblTLVSupraNationaleInstellingen_105,TotaalOpenbareEmissies_106,Rijk_107,Aandelen_108,Obligaties_109,TotaalVerstrektKrediet_110,TotaalGeldkrediet_111,Geldleningen_112,Betaalzegelkrediet_113,Pandkrediet_114,DoorlopendGeldkrediet_115,OverigGeldkrediet_116,Financieringskrediet_117,Goederenkrediet_118,Uitstaand_119,Stortingen_120,Terugbetalingen_121,Spaarverschil_122,BijgeschrevenRente_123,Besparingen_124,SpaartegoedTotaal_125,GewoneSpaarrekeningen_126,DepositoSMetSpaargeldBehandeling_127,GemiddeldeRentevoet_128,Aantal_129,Bedrag_130,GemiddeldeRentevoet_131,Aantal_132,Bedrag_133,Aantal_134,Bedrag_135
0,1900JJ00,,150.0,120.0,101.0,,30.0,,,,,3.5,,,,,,,,,,,,,,,3.17,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,25.0,1.0,1.0,2,76,,,,35,86,,,,353.0,661.0
1,1905JJ00,,185.0,144.0,126.0,,41.0,,,,,3.0,,,,,,,,,,,,,,,3.17,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,38.0,5.0,1.0,5,102,,,4.31,44,117,,,,396.0,830.0
2,1910JJ00,,221.0,146.0,128.0,,76.0,,,,,4.0,,,,,,,,,,,,,,,3.34,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,61.0,2.0,4.0,6,138,,,4.48,46,105,,,,440.0,964.0
3,1915JJ00,,458.0,280.0,280.0,,179.0,,,,,4.5,,,,,,,,,,,,,,,4.05,,,,,,,,,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,64.0,10.0,4.0,15,178,,,5.17,32,88,,,,479.0,1133.0
4,1920JJ00,,1115.0,508.0,477.0,,607.0,,,,,4.5,,,,,,,,,,,,,,,5.73,,,,,3.85,,,,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.0,,206.0,316.0,,,,,,,,,,,172.0,168.0,3.0,9.0,12,330,,,5.73,96,445,,,,508.0,1595.0
5,1925JJ00,,856.0,416.0,387.0,,440.0,,,,,3.5,,,,,,,,,,,,,,,4.18,,,,,3.08,,,,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,24.0,60.0,,,,,,,,,,,,,,,18,425,,,5.62,87,364,,,,614.0,2221.0
6,1930JJ00,,879.0,406.0,390.0,,473.0,,,,,3.0,,,,,,,,,,,,,,,3.81,,,,,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,,9.0,124.0,,,,,,,,,,,283.0,248.0,34.0,10.0,44,583,,,5.2,88,414,,,,711.0,2740.0
7,1935JJ00,,702.0,388.0,359.0,,313.0,,,,,3.5,,,,,,,,,,,,,,,3.43,,,,,3.15,,,,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.0,1.0,15.0,,,,,,,,,,,249.0,264.0,-15.0,13.0,-2,657,,,4.62,56,178,,,,759.0,2885.0
8,1936JJ00,,775.0,393.0,373.0,,382.0,,,,,2.0,,,,,,,,,,,,,,,3.32,,,,,1.73,,,,327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,48.0,1.0,21.0,,,,,,,,,,,249.0,251.0,-2.0,26.0,11,668,,,4.67,47,134,,,,761.0,2857.0
9,1937JJ00,,914.0,430.0,424.0,,484.0,,,,,2.0,,,,,,,,,,,,,,,3.13,,,,,0.28,,,,621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,21.0,13.0,,,,,,,,,,,325.0,269.0,57.0,45.0,102,770,,,4.29,59,220,,,,758.0,2787.0
