ID,Versie,Voertuigcategorie,Wegtype,Bouwjaar,CO_1,VOS_2,NOx_3,PM10_4
0,Nie,Totot,1,-1996,9.12,1.27,1.33,0.081
1,Nie,Totot,1,1997 ,4.41,0.58,1.15,0.065
2,Nie,Totot,1,1998 ,3.79,0.52,1.35,0.077
3,Nie,Totot,1,1999 ,3.4,0.48,1.45,0.085
4,Nie,Totot,1,2000 ,2.66,0.49,1.64,0.08
5,Nie,Totot,1,2001 ,2.14,0.51,1.59,0.068
6,Nie,Totot,1,2002 ,2.09,0.49,1.38,0.066
7,Nie,Totot,1,2003 ,1.96,0.49,1.41,0.068
8,Nie,Totot,1,2004 ,1.87,0.49,1.48,0.07
9,Nie,Totot,1,2005 ,1.58,0.44,1.12,0.052
10,Nie,Totot,2,-1996,2.93,0.39,0.99,0.041
11,Nie,Totot,2,1997 ,1.64,0.1,0.54,0.028
12,Nie,Totot,2,1998 ,1.44,0.09,0.64,0.031
13,Nie,Totot,2,1999 ,1.32,0.09,0.69,0.03
14,Nie,Totot,2,2000 ,1.01,0.07,0.72,0.027
15,Nie,Totot,2,2001 ,0.62,0.06,0.7,0.025
16,Nie,Totot,2,2002 ,0.59,0.05,0.59,0.023
17,Nie,Totot,2,2003 ,0.49,0.07,0.77,0.028
18,Nie,Totot,2,2004 ,0.41,0.07,0.81,0.03
19,Nie,Totot,2,2005 ,0.3,0.06,0.63,0.022
20,Nie,Totot,3,-1996,3.92,0.37,1.71,0.052
21,Nie,Totot,3,1997 ,1.58,0.08,0.88,0.039
22,Nie,Totot,3,1998 ,1.3,0.08,1.08,0.049
23,Nie,Totot,3,1999 ,1.17,0.07,1.14,0.058
24,Nie,Totot,3,2000 ,0.78,0.05,1.09,0.053
25,Nie,Totot,3,2001 ,0.5,0.05,1.07,0.048
26,Nie,Totot,3,2002 ,0.46,0.04,0.88,0.046
27,Nie,Totot,3,2003 ,0.38,0.03,0.73,0.043
28,Nie,Totot,3,2004 ,0.34,0.03,0.77,0.044
29,Nie,Totot,3,2005 ,0.3,0.02,0.51,0.038
30,Nie,Paben,1,-1996,10.11,1.24,0.82,0.017
31,Nie,Paben,1,1997 ,5.44,0.42,0.33,0.01
32,Nie,Paben,1,1998 ,5.32,0.41,0.32,0.01
33,Nie,Paben,1,1999 ,5.3,0.4,0.32,0.01
34,Nie,Paben,1,2000 ,4.17,0.4,0.21,0.008
35,Nie,Paben,1,2001 ,3.04,0.4,0.11,0.006
36,Nie,Paben,1,2002 ,2.97,0.39,0.11,0.006
37,Nie,Paben,1,2003 ,2.65,0.39,0.08,0.006
38,Nie,Paben,1,2004 ,2.48,0.38,0.07,0.006
39,Nie,Paben,1,2005 ,2.33,0.38,0.06,0.006
40,Nie,Paben,2,-1996,2.78,0.35,0.65,0.01
41,Nie,Paben,2,1997 ,1.69,0.07,0.2,0.005
42,Nie,Paben,2,1998 ,1.7,0.07,0.19,0.005
43,Nie,Paben,2,1999 ,1.82,0.07,0.19,0.005
44,Nie,Paben,2,2000 ,1.4,0.05,0.1,0.003
45,Nie,Paben,2,2001 ,0.88,0.02,0.02,0.001
46,Nie,Paben,2,2002 ,0.84,0.02,0.02,0.001
47,Nie,Paben,2,2003 ,0.53,0.02,0.03,0.001
48,Nie,Paben,2,2004 ,0.38,0.02,0.03,0.001
49,Nie,Paben,2,2005 ,0.25,0.02,0.03,0.002
50,Nie,Paben,3,-1996,3.94,0.34,1.24,0.01
51,Nie,Paben,3,1997 ,1.87,0.06,0.08,0.005
52,Nie,Paben,3,1998 ,1.81,0.05,0.07,0.005
53,Nie,Paben,3,1999 ,1.8,0.05,0.07,0.005
54,Nie,Paben,3,2000 ,1.17,0.03,0.05,0.006
