ID,BedrijfSector,Perioden,TotaalUitgaven_1,TotaalUitgavenVoorVerwarming_2,Aardgas_3,Warmte_4,OverigeEnergieVoorVerwarming_5,Elektriciteit_6,Motorbrandstoffen_7,TotaalEnergieverbruik_8,TotaalEnergieVoorVerwarming_9,Aardgas_10,Warmte_11,OverigeEnergieVoorVerwarming_12,Elektriciteit_13,Motorbrandstoffen_14,TotaalEnergieverbruik_15,TotaalEnergieVoorVerwarming_16,Aardgas_17,Warmte_18,OverigeEnergieVoorVerwarming_19,Elektriciteit_20,Motorbrandstoffen_21,TotaalPerM2Glas_22,EnergieVoorVerwarming_23,Elektriciteit_24,Motorbrandstoffen_25,TotaalUitgavenPerM2Glas_26,EnergieVoorVerwarming_27,Elektriciteit_28,Motorbrandstoffen_29,TotaalEnergieverbruikPerBedrijf_30,TotaalEnergieVoorVerwarming_31,Aardgas_32,Warmte_33,OverigeEnergieVoorVerwarming_34,Elektriciteit_35,Motorbrandstoffen_36,TotaalUitgavenPerBedrijf_37,TotaalEnergieVoorVerwarming_38,Aardgas_39,Warmte_40,OverigeEnergieVoorVerwarming_41,Elektriciteit_42,Motorbrandstoffen_43,TotaalEnergieverbruikPerBedrijf_44,TotaalEnergieVoorVerwarming_45,Aardgas_46,Warmte_47,OverigeEnergieVoorVerwarming_48,Elektriciteit_49,Motorbrandstoffen_50
15,00,2004JJ00,,,,,,,,159.14,134.86,123.44,9.3,2.12,14.49,9.78,5028.0,4261.0,3900.1,293.8,67.1,4026.0,272.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,00,2005JJ00,,,,,,,,157.38,134.63,123.11,9.27,2.25,13.02,9.74,4972.6,4253.7,3889.7,292.9,71.1,3616.0,271.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,00,2006JJ00,,,,,,,,138.98,122.15,111.45,8.6,2.1,7.06,9.77,4391.3,3859.3,3521.2,271.7,66.3,1962.0,272.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,01,1989JJ00,,,,,,,,2.91,0.44,0.25,,0.19,0.41,2.07,91.9,14.0,8.0,,6.0,114.0,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,01,1990JJ00,,,,,,,,2.94,0.35,0.19,,0.16,0.4,2.2,92.9,11.0,6.0,,5.0,112.0,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,01,1991JJ00,,,,,,,,2.95,0.35,0.19,,0.16,0.41,2.2,93.2,11.0,6.0,,5.0,114.0,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,01,1992JJ00,,,,,,,,3.16,0.35,0.25,,0.09,0.41,2.39,99.8,11.0,8.0,,3.0,114.0,66.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,01,1993JJ00,,,,,,,,3.05,0.35,0.25,,0.09,0.4,2.29,96.4,11.0,8.0,,3.0,110.0,63.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,01,1994JJ00,36.9,2.1,0.3,,1.8,11.3,23.5,3.49,0.27,0.06,0.0,0.22,0.47,2.75,110.3,8.7,1.8,0.0,6.9,130.0,76.6,,,,,,,,,239.0,19.0,4.0,,15.0,32.0,188.0,2496.0,136.0,0.0,,136.0,771.0,1588.0,7541.0,593.0,125.0,,468.0,8893.0,5237.0
24,01,1995JJ00,37.7,2.0,0.1,,1.9,10.1,25.5,3.72,0.26,0.04,0.0,0.22,0.39,3.07,117.5,8.2,1.3,0.0,6.8,107.0,85.6,,,,,,,,,254.0,18.0,3.0,,15.0,26.0,210.0,2541.0,136.0,0.0,,136.0,681.0,1724.0,8027.0,558.0,91.0,,467.0,7343.0,5852.0
25,01,1996JJ00,39.9,3.5,0.6,,2.9,11.3,25.0,3.32,0.35,0.1,0.0,0.25,0.4,2.57,105.0,11.0,3.1,0.0,7.9,111.0,71.7,,,,,,,,,227.0,24.0,7.0,,17.0,27.0,176.0,2723.0,227.0,45.0,,182.0,771.0,1724.0,7170.0,751.0,211.0,,540.0,7615.0,4898.0
26,01,1997JJ00,42.0,2.2,0.7,,1.5,13.8,25.9,3.37,0.24,0.08,0.0,0.16,0.47,2.66,106.3,7.4,2.5,0.0,4.9,131.0,74.1,,,,,,,,,230.0,16.0,5.0,,11.0,32.0,181.0,2859.0,136.0,45.0,,91.0,953.0,1770.0,7257.0,507.0,170.0,,338.0,8934.0,5057.0
27,01,1998JJ00,41.1,3.2,0.5,,2.7,13.8,24.1,3.5,0.32,0.05,0.0,0.27,0.47,2.72,110.7,10.1,1.6,0.0,8.5,130.0,75.7,,,,,,,,,246.0,22.0,4.0,,19.0,33.0,190.0,2859.0,227.0,45.0,,182.0,953.0,1679.0,7757.0,709.0,113.0,,596.0,9111.0,5303.0
28,01,1999JJ00,67.0,1.4,0.4,,1.0,14.2,51.3,4.03,0.13,0.05,0.0,0.08,0.52,3.38,127.4,4.1,1.4,0.0,2.4,145.0,94.2,,,,,,,,,291.0,9.0,3.0,,6.0,38.0,244.0,4834.0,103.0,29.0,,74.0,1027.0,3705.0,9193.0,296.0,104.0,,170.0,10458.0,6801.0
29,01,2000JJ00,78.9,2.1,0.5,,1.5,15.1,61.8,4.14,0.16,0.06,0.0,0.1,0.51,3.47,130.8,5.0,1.8,0.0,2.8,142.0,96.7,,,,,,,,,301.0,11.0,4.0,,7.0,37.0,252.0,5742.0,149.0,40.0,,110.0,1095.0,4498.0,9517.0,363.0,131.0,,205.0,10364.0,7037.0
30,01,2001JJ00,77.5,2.2,0.7,,1.5,16.9,58.4,4.1,0.16,0.06,0.0,0.11,0.53,3.41,129.6,5.2,1.8,0.0,2.9,147.0,95.0,,,,,,,,,318.0,13.0,4.0,,8.0,41.0,264.0,6002.0,167.0,52.0,,116.0,1312.0,4523.0,10039.0,401.0,142.0,,228.0,11417.0,7358.0
31,01,2002JJ00,51.4,2.0,0.4,,1.5,15.4,34.0,4.0,0.16,0.05,0.0,0.11,0.52,3.31,126.4,5.2,1.7,0.0,3.0,146.0,92.4,,,,,,,,,314.0,13.0,4.0,,9.0,41.0,260.0,4031.0,153.0,33.0,,121.0,1210.0,2668.0,9909.0,405.0,135.0,,238.0,11424.0,7240.0
32,01,2003JJ00,,,,,,,,3.45,0.21,0.14,0.0,0.07,0.64,2.6,109.0,6.6,4.6,0.0,2.1,178.0,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,01,2004JJ00,,,,,,,,4.02,0.23,0.14,0.0,0.09,1.25,2.54,127.0,7.3,4.4,0.0,3.0,348.0,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,01,2005JJ00,,,,,,,,3.64,0.23,0.15,0.0,0.08,1.02,2.39,115.1,7.2,4.7,0.0,2.5,284.0,66.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,01,2006JJ00,,,,,,,,3.29,0.24,0.09,0.0,0.15,0.58,2.47,103.8,7.6,2.7,0.0,4.8,161.0,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,02,1989JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,02,1990JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,02,1991JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,02,1992JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,02,1993JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,02,1994JJ00,6.5,0.5,0.5,,0.1,3.7,2.3,0.61,0.09,0.08,0.0,0.01,0.2,0.32,19.3,2.8,2.4,0.0,0.4,57.0,8.9,,,,,,,,,297.0,43.0,37.0,,5.0,100.0,155.0,3176.0,272.0,227.0,,45.0,1815.0,1089.0,9389.0,1348.0,1175.0,,173.0,27706.0,4313.0
42,02,1995JJ00,7.9,0.6,0.4,,0.3,4.7,2.5,0.69,0.1,0.06,0.0,0.03,0.24,0.35,21.7,3.0,2.0,0.0,1.1,66.0,9.8,,,,,,,,,341.0,48.0,31.0,,17.0,118.0,175.0,3948.0,318.0,182.0,,136.0,2360.0,1271.0,10789.0,1516.0,989.0,,528.0,32791.0,4889.0
43,02,1996JJ00,7.3,0.7,0.5,,0.2,4.2,2.5,0.56,0.1,0.07,0.0,0.02,0.21,0.26,17.8,3.0,2.3,0.0,0.8,58.0,7.2,,,,,,,,,294.0,50.0,38.0,,12.0,109.0,136.0,3812.0,363.0,227.0,,136.0,2178.0,1271.0,9302.0,1587.0,1193.0,,394.0,30184.0,3777.0
44,02,1997JJ00,7.5,0.5,0.5,,0.1,4.4,2.6,0.58,0.07,0.07,0.0,0.01,0.2,0.3,18.3,2.3,2.1,0.0,0.2,55.0,8.5,,,,,,,,,333.0,42.0,38.0,,4.0,115.0,175.0,4311.0,318.0,272.0,,45.0,2496.0,1497.0,10508.0,1341.0,1201.0,,140.0,31875.0,4888.0
