ID,VAT,Periods,TransportRate_1,FixedDeliveryRate_2,VariableDeliveryRateContractPrices_3,VariableDeliveryRateWithPriceCap_4,ODELevySustainableEnergySurcharge_5,EnergyTax_6,TransportRate_7,FixedDeliveryRate_8,VariableDeliveryRateContractPrices_9,VariableDeliveryRateWithPriceCap_10,ODELevySustainableEnergySurcharge_11,EnergyTax_12,EnergyTaxRefund_13
0,A048944,2021MM01,187.85,67.48,0.2781,,0.10297,0.42176,257.35,67.49,0.0661,,0.0363,0.11408,-558.56
1,A048944,2021MM02,187.85,67.73,0.2763,,0.10297,0.42176,257.35,67.73,0.0657,,0.0363,0.11408,-558.56
2,A048944,2021MM03,187.85,67.95,0.2752,,0.10297,0.42176,257.35,67.96,0.0657,,0.0363,0.11408,-558.56
3,A048944,2021MM04,187.85,68.25,0.2754,,0.10297,0.42176,257.35,68.25,0.0659,,0.0363,0.11408,-558.56
4,A048944,2021MM05,187.85,68.56,0.2764,,0.10297,0.42176,257.35,68.56,0.0663,,0.0363,0.11408,-558.56
5,A048944,2021MM06,187.85,68.86,0.2779,,0.10297,0.42176,257.35,68.84,0.067,,0.0363,0.11408,-558.56
6,A048944,2021MM07,187.85,69.31,0.293,,0.10297,0.42176,257.35,69.34,0.0734,,0.0363,0.11408,-558.56
7,A048944,2021MM08,187.85,69.54,0.2958,,0.10297,0.42176,257.35,69.57,0.0745,,0.0363,0.11408,-558.56
8,A048944,2021MM09,187.85,69.73,0.2992,,0.10297,0.42176,257.35,69.76,0.0755,,0.0363,0.11408,-558.56
9,A048944,2021MM10,187.85,69.95,0.3056,,0.10297,0.42176,257.35,69.98,0.0773,,0.0363,0.11408,-558.56
10,A048944,2021MM11,187.85,70.2,0.3311,,0.10297,0.42176,257.35,70.22,0.083,,0.0363,0.11408,-558.56
11,A048944,2021MM12,187.85,70.48,0.3564,,0.10297,0.42176,257.35,70.5,0.089,,0.0363,0.11408,-558.56
12,A048944,2021JJ00,187.85,69.0,0.295,,0.10297,0.42176,257.35,69.02,0.0725,,0.0363,0.11408,-558.56
13,A048944,2022MM01,191.33,71.11,0.5036,,0.10467,0.4395,267.12,71.11,0.1256,,0.03691,0.04452,-824.77
14,A048944,2022MM02,191.33,71.69,0.5493,,0.10467,0.4395,267.12,71.66,0.1377,,0.03691,0.04452,-824.77
15,A048944,2022MM03,191.33,71.97,0.5696,,0.10467,0.4395,267.12,71.94,0.141,,0.03691,0.04452,-824.77
16,A048944,2022MM04,191.33,72.18,0.6307,,0.10467,0.4395,267.12,72.16,0.1546,,0.03691,0.04452,-824.77
17,A048944,2022MM05,191.33,72.43,0.6716,,0.10467,0.4395,267.12,72.4,0.1634,,0.03691,0.04452,-824.77
18,A048944,2022MM06,191.33,72.62,0.6928,,0.10467,0.4395,267.12,72.59,0.1691,,0.03691,0.04452,-824.77
19,A048944,2022MM07,172.35,65.58,0.7698,,0.09429,0.39591,240.63,65.51,0.1793,,0.03325,0.0401,-742.98
20,A048944,2022MM08,172.35,65.71,0.7975,,0.09429,0.39591,240.63,65.64,0.1882,,0.03325,0.0401,-742.98
21,A048944,2022MM09,172.35,65.03,0.8856,,0.09429,0.39591,240.63,65.74,0.2096,,0.03325,0.0401,-742.98
22,A048944,2022MM10,172.35,65.89,1.0886,,0.09429,0.39591,240.63,65.8,0.2592,,0.03325,0.0401,-742.98
23,A048944,2022MM11,172.35,66.02,1.4979,,0.09429,0.39591,240.63,65.92,0.3782,,0.03325,0.0401,-742.98
