ID,NederlandseEconomie,Energiedragers,Perioden,Winning_1,IntermediairEnHuishoudelijkVerbruik_2,Invoer_3,Productie_4,NettoEnergieverbruik_5,Uitvoer_6
129,B000579,A048077,2003JJ00,23.3,,,,,
130,B000579,A048077,2004JJ00,19.2,,,,,
131,B000579,A048077,2005JJ00,24.0,,,,,
132,B000579,A048077,2006JJ00,24.5,,,,,
133,B000579,A048077,2007JJ00,24.1,,,,,
134,B000579,A048077,2008JJ00,24.1,,,,,
135,B000579,A048077,2009JJ00,26.4,,,,,
136,B000579,A048077,2010JJ00,27.6,,,,,
137,B000579,A048077,2011JJ00,24.0,,,,,
138,B000579,A048077,2012JJ00,28.0,,,,,
139,B000579,A048077,2013JJ00,26.5,,,,,
140,B000579,A048077,2014JJ00,20.2,,,,,
141,B000579,A048077,2015JJ00,20.8,,,,,
142,B000579,A048077,2016JJ00,21.0,,,,,
143,B000579,A048077,2017JJ00,21.5,,,,,
144,B000579,A048077,2018JJ00,36.6,,,,,
145,B000579,A048077,2019JJ00,32.8,,,,,
146,B000579,A048077,2020JJ00,32.4,,,,,
147,B000579,A048078,2000JJ00,0.0,,,,,
148,B000579,A048078,2001JJ00,0.0,,,,,
149,B000579,A048078,2002JJ00,0.0,,,,,
150,B000579,A048078,2003JJ00,0.0,,,,,
151,B000579,A048078,2004JJ00,0.0,,,,,
152,B000579,A048078,2005JJ00,0.0,,,,,
153,B000579,A048078,2006JJ00,0.0,,,,,
154,B000579,A048078,2007JJ00,0.0,,,,,
155,B000579,A048078,2008JJ00,1.8,,,,,
156,B000579,A048078,2009JJ00,2.3,,,,,
157,B000579,A048078,2010JJ00,3.0,,,,,
158,B000579,A048078,2011JJ00,3.6,,,,,
159,B000579,A048078,2012JJ00,4.3,,,,,
160,B000579,A048078,2013JJ00,5.4,,,,,
161,B000579,A048078,2014JJ00,6.5,,,,,
162,B000579,A048078,2015JJ00,8.1,,,,,
163,B000579,A048078,2016JJ00,9.3,,,,,
164,B000579,A048078,2017JJ00,10.7,,,,,
165,B000579,A048078,2018JJ00,12.8,,,,,
166,B000579,A048078,2019JJ00,16.4,,,,,
167,B000579,A048078,2020JJ00,19.3,,,,,
168,B000579,E006461,2000JJ00,,327.5,371.8,0.0,,39.1
169,B000579,E006461,2001JJ00,,349.2,499.8,0.0,,147.3
170,B000579,E006461,2002JJ00,,348.4,362.9,0.0,,22.3
171,B000579,E006461,2003JJ00,,357.4,364.0,0.0,,-9.2
172,B000579,E006461,2004JJ00,,355.8,381.6,0.0,,32.1
173,B000579,E006461,2005JJ00,,342.7,346.6,0.0,,2.9
174,B000579,E006461,2006JJ00,,337.1,359.0,0.0,,37.0
175,B000579,E006461,2007JJ00,,351.2,341.4,0.0,,-27.9
176,B000579,E006461,2008JJ00,,330.7,330.4,0.0,,0.0
177,B000579,E006461,2009JJ00,,307.5,304.3,0.0,,0.0
178,B000579,E006461,2010JJ00,,309.9,315.0,0.0,,0.0
179,B000579,E006461,2011JJ00,,304.7,308.5,0.0,,0.0
180,B000579,E006461,2012JJ00,,332.3,331.0,0.0,,0.0
181,B000579,E006461,2013JJ00,,336.6,334.0,0.0,,0.0
182,B000579,E006461,2014JJ00,,377.9,526.9,0.0,,137.8
183,B000579,E006461,2015JJ00,,465.5,584.9,0.0,,135.7
184,B000579,E006461,2016JJ00,,430.5,568.3,0.0,,141.2
185,B000579,E006461,2017JJ00,,383.7,507.0,0.0,,117.8
186,B000579,E006461,2018JJ00,,345.7,442.5,0.0,,98.6
187,B000579,E006461,2019JJ00,,269.9,359.4,0.0,,84.7
188,B000579,E006461,2020JJ00,,176.8,205.2,0.0,,40.9
189,B000579,A048080,2000JJ00,,0.6,0.7,0.0,,0.1
190,B000579,A048080,2001JJ00,,0.8,0.9,0.0,,0.1
191,B000579,A048080,2002JJ00,,0.7,0.9,0.0,,0.1
192,B000579,A048080,2003JJ00,,0.5,0.5,0.0,,0.0
193,B000579,A048080,2004JJ00,,0.5,0.6,0.0,,0.1
194,B000579,A048080,2005JJ00,,0.6,0.7,0.0,,0.1
195,B000579,A048080,2006JJ00,,0.3,0.5,0.0,,0.2
196,B000579,A048080,2007JJ00,,0.5,1.0,0.0,,0.5
197,B000579,A048080,2008JJ00,,0.1,0.1,0.0,,0.0
198,B000579,A048080,2009JJ00,,0.4,0.7,0.0,,0.0
199,B000579,A048080,2010JJ00,,0.5,0.4,0.0,,0.0
200,B000579,A048080,2011JJ00,,0.5,0.4,0.0,,0.0
201,B000579,A048080,2012JJ00,,0.6,0.6,0.0,,0.0
202,B000579,A048080,2013JJ00,,0.5,0.8,0.0,,0.0
203,B000579,A048080,2014JJ00,,0.6,0.8,0.0,,0.0
204,B000579,A048080,2015JJ00,,0.8,0.8,0.0,,0.0
205,B000579,A048080,2016JJ00,,0.8,0.8,0.0,,0.0
206,B000579,A048080,2017JJ00,,1.0,1.0,0.0,,0.0
207,B000579,A048080,2018JJ00,,1.0,1.0,0.0,,0.0
208,B000579,A048080,2019JJ00,,0.2,0.2,0.0,,0.0
209,B000579,A048080,2020JJ00,,0.3,0.3,0.0,,0.0
210,B000579,E006477,2000JJ00,,47.8,0.0,47.8,,0.0
211,B000579,E006477,2001JJ00,,50.9,0.0,50.9,,0.0
212,B000579,E006477,2002JJ00,,49.8,0.0,49.8,,0.0
213,B000579,E006477,2003JJ00,,52.8,0.0,52.8,,0.0
214,B000579,E006477,2004JJ00,,55.1,0.0,55.1,,0.0
215,B000579,E006477,2005JJ00,,55.2,0.0,55.2,,0.0
216,B000579,E006477,2006JJ00,,50.4,0.0,50.4,,0.0
217,B000579,E006477,2007JJ00,,57.3,0.0,57.3,,0.0
218,B000579,E006477,2008JJ00,,56.1,0.0,56.1,,0.0
219,B000579,E006477,2009JJ00,,42.1,0.0,42.1,,0.0
220,B000579,E006477,2010JJ00,,52.6,0.0,52.6,,0.0
221,B000579,E006477,2011JJ00,,53.6,0.0,53.6,,0.0
222,B000579,E006477,2012JJ00,,52.9,0.0,52.9,,0.0
223,B000579,E006477,2013JJ00,,51.5,0.0,51.5,,0.0
224,B000579,E006477,2014JJ00,,52.5,0.0,52.5,,0.0
225,B000579,E006477,2015JJ00,,53.2,0.0,53.2,,0.0
226,B000579,E006477,2016JJ00,,51.4,0.0,51.4,,0.0
227,B000579,E006477,2017JJ00,,53.1,0.0,53.1,,0.0
228,B000579,E006477,2018JJ00,,52.9,0.0,52.9,,0.0
229,B000579,E006477,2019JJ00,,50.0,0.0,50.0,,0.0
230,B000579,E006477,2020JJ00,,47.0,0.0,47.0,,0.0
231,B000579,E007021,2000JJ00,,61.6,15.6,64.4,,16.8
232,B000579,E007021,2001JJ00,,62.9,19.3,66.5,,23.8
233,B000579,E007021,2002JJ00,,62.9,17.6,63.9,,20.9
234,B000579,E007021,2003JJ00,,66.6,18.8,65.0,,17.4
235,B000579,E007021,2004JJ00,,65.5,10.7,66.9,,10.8
236,B000579,E007021,2005JJ00,,63.2,10.9,67.6,,11.0
237,B000579,E007021,2006JJ00,,58.1,13.9,65.4,,22.2
238,B000579,E007021,2007JJ00,,66.1,17.0,65.7,,17.6
239,B000579,E007021,2008JJ00,,67.2,10.7,64.2,,10.2
240,B000579,E007021,2009JJ00,,56.2,5.7,51.8,,4.8
241,B000579,E007021,2010JJ00,,67.3,9.3,62.0,,4.7
242,B000579,E007021,2011JJ00,,67.7,7.1,61.5,,1.8
243,B000579,E007021,2012JJ00,,66.2,9.4,57.6,,3.2
244,B000579,E007021,2013JJ00,,63.2,6.5,60.2,,9.2
245,B000579,E007021,2014JJ00,,59.7,15.2,61.2,,18.4
246,B000579,E007021,2015JJ00,,58.4,2.3,61.4,,5.0
247,B000579,E007021,2016JJ00,,59.3,2.8,61.1,,3.2
248,B000579,E007021,2017JJ00,,59.4,4.0,59.0,,5.9
249,B000579,E007021,2018JJ00,,59.1,3.8,59.7,,3.3
250,B000579,E007021,2019JJ00,,58.1,3.8,59.4,,4.2
251,B000579,E007021,2020JJ00,,51.4,1.4,56.4,,7.8
252,B000579,E006480,2000JJ00,,2639.7,2567.4,101.9,,13.8
253,B000579,E006480,2001JJ00,,2647.1,2589.8,97.6,,17.6
254,B000579,E006480,2002JJ00,,2457.9,2357.8,136.3,,39.0
255,B000579,E006480,2003JJ00,,2571.1,2470.7,131.8,,54.7
256,B000579,E006480,2004JJ00,,2656.9,2585.5,125.5,,50.2
257,B000579,E006480,2005JJ00,,2685.4,2643.0,97.8,,46.0
258,B000579,E006480,2006JJ00,,2625.3,2570.6,86.9,,28.5
259,B000579,E006480,2007JJ00,,2570.1,2492.5,112.8,,39.6
260,B000579,E006480,2008JJ00,,2547.1,2488.3,92.8,,40.3
261,B000579,E006480,2009JJ00,,2494.6,2485.3,73.3,,29.0
262,B000579,E006480,2010JJ00,,2605.1,2568.8,62.3,,26.6
263,B000579,E006480,2011JJ00,,2514.1,2449.2,64.3,,16.5
264,B000579,E006480,2012JJ00,,2507.1,2474.2,70.6,,22.5
265,B000579,E006480,2013JJ00,,2400.7,2350.9,65.6,,23.8
266,B000579,E006480,2014JJ00,,2445.4,2337.4,82.1,,29.9
267,B000579,E006480,2015JJ00,,2583.9,2547.4,77.7,,14.0
268,B000579,E006480,2016JJ00,,2623.8,2609.3,53.9,,16.7
269,B000579,E006480,2017JJ00,,2622.3,2580.0,51.3,,21.2
270,B000579,E006480,2018JJ00,,2649.1,2622.0,47.7,,20.0
271,B000579,E006480,2019JJ00,,2687.1,2704.4,37.8,,20.7
272,B000579,E006480,2020JJ00,,2451.1,2424.8,36.6,,19.3
273,B000579,E006560,2000JJ00,,1480.0,527.3,2189.6,,1236.8
274,B000579,E006560,2001JJ00,,1533.5,660.9,2353.0,,1480.7
275,B000579,E006560,2002JJ00,,1502.5,799.4,2272.7,,1570.4
276,B000579,E006560,2003JJ00,,1547.0,797.7,2188.0,,1438.1
277,B000579,E006560,2004JJ00,,1578.2,598.5,2580.1,,1601.2
278,B000579,E006560,2005JJ00,,1524.0,726.8,2357.4,,1560.1
279,B000579,E006560,2006JJ00,,1440.6,753.1,2322.3,,1634.6
280,B000579,E006560,2007JJ00,,1411.8,791.1,2285.2,,1665.3
281,B000579,E006560,2008JJ00,,1468.2,801.0,2557.5,,1846.5
282,B000579,E006560,2009JJ00,,1483.7,760.3,2361.0,,1664.0
283,B000579,E006560,2010JJ00,,1658.8,746.0,2712.2,,1780.9
284,B000579,E006560,2011JJ00,,1455.9,700.0,2505.4,,1714.6
285,B000579,E006560,2012JJ00,,1405.5,835.6,2466.9,,1901.6
286,B000579,E006560,2013JJ00,,1419.6,924.6,2611.8,,2122.8
287,B000579,E006560,2014JJ00,,1243.8,948.4,2180.3,,1841.5
288,B000579,E006560,2015JJ00,,1239.4,1254.4,1656.9,,1658.4
289,B000579,E006560,2016JJ00,,1278.5,1394.4,1600.1,,1791.4
290,B000579,E006560,2017JJ00,,1312.4,1628.4,1371.5,,1678.3
291,B000579,E006560,2018JJ00,,1282.8,1811.6,1169.4,,1629.1
292,B000579,E006560,2019JJ00,,1340.5,1763.9,1009.1,,1425.4
293,B000579,E006560,2020JJ00,,1327.3,1786.4,731.3,,1193.8
294,B000579,E006510,2000JJ00,,186.2,132.9,393.2,,321.7
295,B000579,E006510,2001JJ00,,184.1,117.5,416.9,,343.5
296,B000579,E006510,2002JJ00,,187.0,118.2,354.7,,307.9
297,B000579,E006510,2003JJ00,,187.3,135.4,386.9,,325.7
298,B000579,E006510,2004JJ00,,190.2,147.6,397.0,,345.0
299,B000579,E006510,2005JJ00,,190.1,104.6,426.6,,341.5
300,B000579,E006510,2006JJ00,,189.2,96.4,442.1,,349.6
301,B000579,E006510,2007JJ00,,192.5,108.9,397.4,,317.6
302,B000579,E006510,2008JJ00,,186.1,173.0,412.4,,397.1
303,B000579,E006510,2009JJ00,,185.3,230.6,417.2,,471.4
304,B000579,E006510,2010JJ00,,185.4,204.1,463.6,,493.0
305,B000579,E006510,2011JJ00,,190.1,196.1,382.6,,381.0
306,B000579,E006510,2012JJ00,,187.7,282.8,491.6,,578.7
307,B000579,E006510,2013JJ00,,188.6,315.7,506.0,,628.2
308,B000579,E006510,2014JJ00,,167.9,236.6,577.8,,649.5
309,B000579,E006510,2015JJ00,,167.9,397.5,625.2,,851.0
310,B000579,E006510,2016JJ00,,174.3,354.5,576.7,,755.7
311,B000579,E006510,2017JJ00,,180.3,400.0,568.1,,790.4
312,B000579,E006510,2018JJ00,,180.0,310.5,814.1,,955.8
313,B000579,E006510,2019JJ00,,190.2,321.1,947.7,,1084.2
314,B000579,E006510,2020JJ00,,154.9,327.0,697.8,,854.2
315,B000579,A048081,2000JJ00,,196.0,90.9,317.1,,206.3
316,B000579,A048081,2001JJ00,,194.0,98.4,285.0,,194.0
317,B000579,A048081,2002JJ00,,193.7,83.9,272.2,,163.6
318,B000579,A048081,2003JJ00,,188.6,90.7,291.1,,190.8
319,B000579,A048081,2004JJ00,,190.2,108.9,301.9,,219.6
320,B000579,A048081,2005JJ00,,196.2,74.6,316.0,,193.3
321,B000579,A048081,2006JJ00,,210.6,140.3,313.2,,239.7
322,B000579,A048081,2007JJ00,,209.1,208.4,306.0,,308.2
323,B000579,A048081,2008JJ00,,196.1,199.1,282.9,,281.3
324,B000579,A048081,2009JJ00,,187.1,164.9,259.1,,235.9
325,B000579,A048081,2010JJ00,,202.7,165.2,288.5,,252.9
326,B000579,A048081,2011JJ00,,196.1,174.4,324.7,,306.9
327,B000579,A048081,2012JJ00,,200.9,201.5,310.9,,313.1
328,B000579,A048081,2013JJ00,,204.1,256.5,308.5,,356.5
329,B000579,A048081,2014JJ00,,196.3,209.5,321.7,,337.1
330,B000579,A048081,2015JJ00,,205.6,229.2,357.1,,369.3
331,B000579,A048081,2016JJ00,,202.0,288.4,362.3,,451.5
332,B000579,A048081,2017JJ00,,195.6,252.5,350.4,,415.4
333,B000579,A048081,2018JJ00,,206.9,243.1,400.8,,435.4
334,B000579,A048081,2019JJ00,,200.5,253.9,396.4,,441.9
335,B000579,A048081,2020JJ00,,135.6,184.0,209.8,,255.1
336,B000579,E006504,2000JJ00,,278.8,450.6,321.3,,485.5
337,B000579,E006504,2001JJ00,,293.3,398.0,311.3,,424.5
338,B000579,E006504,2002JJ00,,320.1,392.9,311.1,,386.3
339,B000579,E006504,2003JJ00,,451.6,616.6,336.9,,492.1
340,B000579,E006504,2004JJ00,,430.7,676.1,367.6,,607.1
341,B000579,E006504,2005JJ00,,416.5,604.7,367.8,,560.6
342,B000579,E006504,2006JJ00,,407.6,579.6,333.5,,501.8
343,B000579,E006504,2007JJ00,,453.3,569.7,381.0,,497.7
344,B000579,E006504,2008JJ00,,408.9,510.1,391.1,,484.5
345,B000579,E006504,2009JJ00,,448.5,566.6,386.2,,501.4
346,B000579,E006504,2010JJ00,,507.0,621.4,377.9,,504.2
347,B000579,E006504,2011JJ00,,407.8,561.7,380.8,,535.5
348,B000579,E006504,2012JJ00,,565.1,703.1,364.6,,502.0
349,B000579,E006504,2013JJ00,,498.4,638.4,367.2,,502.1
350,B000579,E006504,2014JJ00,,499.8,586.7,344.8,,420.3
351,B000579,E006504,2015JJ00,,581.0,638.7,411.4,,481.4
352,B000579,E006504,2016JJ00,,630.5,639.8,492.5,,499.0
353,B000579,E006504,2017JJ00,,682.9,695.5,506.4,,511.0
354,B000579,E006504,2018JJ00,,895.4,855.4,536.0,,485.5
355,B000579,E006504,2019JJ00,,1015.4,792.2,535.6,,305.8
356,B000579,E006504,2020JJ00,,848.3,728.4,525.8,,401.2
357,B000579,E006529,2000JJ00,,235.9,-139.7,373.2,,0.0
358,B000579,E006529,2001JJ00,,232.6,-92.5,375.2,,56.2
359,B000579,E006529,2002JJ00,,246.5,199.2,389.1,,347.3
360,B000579,E006529,2003JJ00,,251.5,205.6,446.6,,397.2
361,B000579,E006529,2004JJ00,,256.3,166.2,457.7,,370.7
362,B000579,E006529,2005JJ00,,261.7,138.2,509.9,,375.2
363,B000579,E006529,2006JJ00,,265.1,165.7,491.3,,397.9
364,B000579,E006529,2007JJ00,,263.3,148.6,498.6,,382.9
365,B000579,E006529,2008JJ00,,269.7,187.0,498.0,,402.5
366,B000579,E006529,2009JJ00,,259.7,217.5,573.3,,514.3
367,B000579,E006529,2010JJ00,,260.5,288.2,642.2,,660.6
368,B000579,E006529,2011JJ00,,255.9,351.6,599.6,,722.8
369,B000579,E006529,2012JJ00,,248.0,214.1,613.6,,577.2
370,B000579,E006529,2013JJ00,,288.1,223.7,663.5,,592.8
371,B000579,E006529,2014JJ00,,289.0,206.6,651.1,,571.1
372,B000579,E006529,2015JJ00,,291.4,180.9,697.6,,534.2
373,B000579,E006529,2016JJ00,,290.3,457.8,529.5,,683.4
374,B000579,E006529,2017JJ00,,289.1,408.7,485.2,,651.9
375,B000579,E006529,2018JJ00,,283.4,287.5,560.6,,582.2
376,B000579,E006529,2019JJ00,,271.0,311.2,650.8,,681.3
377,B000579,E006529,2020JJ00,,252.5,344.6,630.2,,668.7
378,B000579,E006533,2000JJ00,,353.5,712.4,518.5,,866.6
379,B000579,E006533,2001JJ00,,361.7,759.6,575.2,,968.9
380,B000579,E006533,2002JJ00,,190.2,390.6,479.3,,667.8
381,B000579,E006533,2003JJ00,,156.8,270.2,448.7,,588.8
382,B000579,E006533,2004JJ00,,167.5,456.2,443.2,,714.8
383,B000579,E006533,2005JJ00,,170.5,269.3,469.5,,556.0
384,B000579,E006533,2006JJ00,,217.1,352.7,490.7,,621.2
385,B000579,E006533,2007JJ00,,154.2,211.7,424.3,,505.8
386,B000579,E006533,2008JJ00,,148.0,281.8,448.7,,559.5
387,B000579,E006533,2009JJ00,,193.9,376.4,404.2,,582.6
388,B000579,E006533,2010JJ00,,181.7,413.2,377.7,,617.8
389,B000579,E006533,2011JJ00,,205.9,479.4,406.0,,694.9
390,B000579,E006533,2012JJ00,,218.2,593.8,383.7,,746.0
391,B000579,E006533,2013JJ00,,185.1,546.4,331.4,,703.5
392,B000579,E006533,2014JJ00,,198.3,462.9,359.8,,628.1
393,B000579,E006533,2015JJ00,,189.2,489.6,346.5,,608.2
