ID,NederlandseEconomie,Energiedragers,Perioden,Winning_1,IntermediairEnHuishoudelijkVerbruik_2,Invoer_3,Productie_4,NettoEnergieverbruik_5,Uitvoer_6
414,B000579,E006534,2015JJ00,,235.7,920.4,507.3,,1189.1
415,B000579,E006534,2016JJ00,,296.2,872.5,639.0,,1225.8
416,B000579,E006534,2017JJ00,,351.9,613.4,603.6,,908.4
417,B000579,E006534,2018JJ00,,394.5,536.7,642.7,,785.3
418,B000579,E006534,2019JJ00,,399.3,492.7,648.6,,738.5
419,B000579,E006534,2020JJ00,,293.8,831.9,618.7,,1122.0
420,B000579,E006526,2000JJ00,,,,,,
421,B000579,E006526,2001JJ00,,,,,,
422,B000579,E006526,2002JJ00,,,,,,
423,B000579,E006526,2003JJ00,,,,,,
424,B000579,E006526,2004JJ00,,,,,,
425,B000579,E006526,2005JJ00,,,,,,
426,B000579,E006526,2006JJ00,,,,,,
427,B000579,E006526,2007JJ00,,,,,,
428,B000579,E006526,2008JJ00,,,,,,
429,B000579,E006526,2009JJ00,,,,,,
430,B000579,E006526,2010JJ00,,,,,,
431,B000579,E006526,2011JJ00,,,,,,
432,B000579,E006526,2012JJ00,,,,,,
433,B000579,E006526,2013JJ00,,,,,,
434,B000579,E006526,2014JJ00,,,,,,
435,B000579,E006526,2015JJ00,,,,,,
436,B000579,E006526,2016JJ00,,,,,,
437,B000579,E006526,2017JJ00,,,,,,
438,B000579,E006526,2018JJ00,,,,,,
439,B000579,E006526,2019JJ00,,,,,,
440,B000579,E006526,2020JJ00,,,,,,
441,B000579,A048082,2000JJ00,,257.0,53.9,238.1,,36.0
442,B000579,A048082,2001JJ00,,264.4,59.5,241.4,,36.8
443,B000579,A048082,2002JJ00,,270.8,57.7,248.3,,35.9
444,B000579,A048082,2003JJ00,,274.3,44.3,264.3,,35.4
445,B000579,A048082,2004JJ00,,297.4,66.8,283.1,,51.5
446,B000579,A048082,2005JJ00,,303.9,70.2,278.1,,46.1
447,B000579,A048082,2006JJ00,,303.6,81.1,271.2,,49.0
448,B000579,A048082,2007JJ00,,313.5,74.1,288.5,,50.7
449,B000579,A048082,2008JJ00,,292.3,73.8,264.8,,46.4
450,B000579,A048082,2009JJ00,,277.8,68.4,260.4,,50.6
451,B000579,A048082,2010JJ00,,281.9,66.2,267.4,,50.1
452,B000579,A048082,2011JJ00,,295.1,100.2,265.2,,69.4
453,B000579,A048082,2012JJ00,,288.7,84.5,278.4,,73.9
454,B000579,A048082,2013JJ00,,321.0,129.2,258.9,,67.2
455,B000579,A048082,2014JJ00,,380.1,179.6,278.2,,76.0
456,B000579,A048082,2015JJ00,,383.5,222.2,280.7,,117.0
457,B000579,A048082,2016JJ00,,368.4,181.0,293.8,,111.2
458,B000579,A048082,2017JJ00,,344.9,159.6,278.7,,94.4
459,B000579,A048082,2018JJ00,,367.9,192.6,276.2,,99.6
460,B000579,A048082,2019JJ00,,336.9,152.7,278.0,,96.1
461,B000579,A048082,2020JJ00,,338.3,163.7,262.4,,86.8
462,B000579,A048083,2000JJ00,,102.8,95.6,127.7,,119.5
463,B000579,A048083,2001JJ00,,100.5,117.8,118.4,,135.8
464,B000579,A048083,2002JJ00,,99.1,114.8,124.3,,141.2
465,B000579,A048083,2003JJ00,,101.6,111.9,121.4,,132.3
466,B000579,A048083,2004JJ00,,131.1,172.1,121.4,,158.4
467,B000579,A048083,2005JJ00,,164.3,194.5,110.4,,140.5
468,B000579,A048083,2006JJ00,,143.2,201.6,107.1,,163.4
469,B000579,A048083,2007JJ00,,107.9,164.1,116.9,,168.6
470,B000579,A048083,2008JJ00,,102.8,163.9,122.3,,175.9
