ID,SBI93,Perioden,Ondernemingen_1,TotaalBedrijfsopbrengsten_2,TotaalNettoOmzet_3,WettelijkBudgetEnOfSubsidies_4,TotaalOverigeNettoOmzet_5,DBCOpbrengstenBSegment_6,TotNietGebudgetteerdeZorgprestaties_7,ZorgprestatiesTussenInstellingen_8,PersoonsgebondenEnVolgendeBudgetten_9,OvNietGebudgetteerdeZorgprestaties_10,OverigeDienstverlening_11,TotaalOverigeBedrijfsopbrengsten_12,WmoSubsidiesHuishoudelijkeHulp_13,OverigeSubsidiesEnBijdragen_14,NietEerderGenoemdeBedrijfsopbrengsten_15,TotaalBedrijfslasten_16,TotaalArbeidskosten_17,LonenEnSalarissen_18,PensioenlastenEnSocialeLasten_19,AfschrijvingenOpVasteActiva_20,BijzondereWaardeverminderingen_21,TotaalOverigeBedrijfslasten_22,TotaalAnderePersoneelskosten_23,KostenUitzendkrachtenEnOverigeInleen_24,OverigePersoneelskosten_25,TotaalNietEerderGenoemdeBedrLasten_26,VoedingEnHotelmatigeKosten_27,AlgemeneKosten_28,ClientEnBewonersgebondenKosten_29,OnderhoudEnEnergiekosten_30,HuurOperationeleLeasingKapGoederen_31,AndereBedrijfslasten_32,Bedrijfsresultaat_33,FinancieleBaten_34,FinancieleLasten_35,FinancieelResultaat_36,BuitengewoneBaten_37,BuitengewoneLasten_38,BuitengewoonResultaat_39,ResultaatVoorBelastingen_40,TotaalWettelijkBudget_41,ZiekenhEnRevalidZorgExclGGZ_42,GeestelijkeGezondheidszorgGGZ_43,IntraEnSemimuraleGehandicaptenzorg_44,IntramuraleVerplegingEnVerzorging_45,ZorgThuisEnDagactiviteit_46,OverigeZorg_47,OpbrengstenTerDekkingWettelijkBudget_48,FinancieringsverschilBudgetOpbrengsten_49,TotaalActiva_50,ImmaterieleVasteActiva_51,MaterieleVasteActiva_52,TotaalFinancieleVasteActiva_53,Deelnemingen_54,OverigeLanglopendeVorderingen_55,TotaalVoorradenInclOhwUHVDBCS_56,Voorraden_57,OnderhandenWerkUHVDBCS_58,TotaalKortlVordInclFinTekort_59,TotaalKortlopendeVorderingen_60,VorderingenOpDebiteuren_61,OverigeKortlopendeVorderingen_62,Financieringstekort_63,Effecten_64,LiquideMiddelen_65,TotaalPassiva_66,TotaalEigenVermogen_67,Kapitaal_68,CollectiefGefinGebVermogen_69,NietCollectiefGefinVrijVermogen_70,Voorzieningen_71,LanglopendeSchulden_72,TotKortlSchInclFinOverschot_73,TotaalKortlopendeSchulden_74,SchuldenAanKredietinstellingen_75,Crediteuren_76,AflossingsverplLanglLen_77,OvKortlopendeSchulden_78,Financieringsoverschot_79,BoekwaardePer1Januari_80,Investeringen_81,Herwaarderingen_82,Desinvesteringen_83,Afschrijvingen_84,BijzondereWaardeverminderingen_85,TerugnameAfgeschrevenActiva_86,BoekwaardePer31December_87,TotaalWerknemers_88,TotaalOverheadEnFacilitaireFuncties_89,AlgemeneEnAdministratieveFuncties_90,Hotelfuncties_91,TerreinEnGebouwgebondenFuncties_92,TotaalPatientEnBewonergebFuncties_93,VerpleegkundigEnVerzorgendPersoneel_94,MedischEnSociaalWetenschappFuncties_95,OvPatientEnBewonergebFuncties_96,LeerlingVerpleegkundigEnVerzorgend_97,OverigPersoneelInLoondienst_98,TotaalWerknemers_99,TotaalOverheadEnFacilitaireFuncties_100,AlgemeneEnAdministratieveFuncties_101,Hotelfuncties_102,TerreinEnGebouwgebondenFuncties_103,TotaalPatientEnBewonergebFuncties_104,VerpleegkundigEnVerzorgendPersoneel_105,MedischEnSociaalWetenschappFuncties_106,OvPatientEnBewonergebFuncties_107,LeerlingVerpleegkundigEnVerzorgend_108,OverigPersoneelInLoondienst_109,TotaalWerknemers_110,TotaalOverheadEnFacilitaireFuncties_111,AlgemeneEnAdministratieveFuncties_112,Hotelfuncties_113,TerreinEnGebouwgebondenFuncties_114,TotaalPatientEnBewonergebFuncties_115,VerpleegkundigEnVerzorgendPersoneel_116,MedischEnSociaalWetenschappFuncties_117,OvPatientEnBewonergebFuncties_118,LeerlingVerpleegkundigEnVerzorgend_119,OverigPersoneelInLoondienst_120,BeddenKlinischeDagDeeltijdbehand_121,KlinischeVerpleegdagen_122,DagEnDeeltijdbehandelingen_123,EerstePolikliniekbezoeken_124,KlinischeOpnamen_125,BeddenKlinischeBehandeling_126,PoliklinischeBehandelplaatsen_127,KlinischeVerpleegdagen_128,Revalidatiebehandeluren_129,EersteConsulten_130,BeddenKlinischeEnDeeltijdbehandGGZ_131,PlaatsenBeschermdWonen_132,KlinischeVerpleegdagenGGZ_133,VerzorgingsdagenBeschermdWonen_134,Deeltijdbehandelingen_135,PoliklinischeFaceToFaceContacten_136,EersteKlinischeOpnamen_137,IntramurPlaatsenMetBehandelingGHZ_138,IntramurPlaatsZonderBehandelingGHZ_139,KlinischeVerpleegdagenGHZ_140,KlinischeVerzorgingsdagenGHZ_141,IntramurPlaatsenMetBehandelingVPH_142,IntramurVerpleegdMetBehandelingVPH_143,NachtenNachtverpleging_144,IntramurPlaatsenZonderBehandelingVZH_145,IntramurVerzorgingsdagenZBehandVZH_146,DagenKortdurendVerblijf_147,NachtenNachtverzorging_148,UrenExtramuraleHuishoudelijkeVerz_149,UrenExtramuralePersoonlijkeVerz_150,UrenExtramuraleVerpleging_151,UrenExtramBegeleidingExclDagact_152,UrenExtramuraleBehandeling_153,UrenPrenataleZorg_154,DagdelenGroepsgewijzeDagactiviteiten_155,Capaciteit_156,Jeugdigen_157,Zorgaanspraken_158,Capaciteit_159,Jeugdigen_160,Zorgaanspraken_161,Capaciteit_162,Jeugdigen_163,Zorgaanspraken_164,Capaciteit_165,Jeugdigen_166,Zorgaanspraken_167,Capaciteit_168,Jeugdigen_169,Zorgaanspraken_170,Capaciteit_171,Jeugdigen_172
0, 1,2006JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33898,12147,3864.0,3966,7987,5206,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55900,11310,1483,9621,1754,1790.0,1000.0,466.0,2374.0,38.0,22570.0,9870.0,7921.0,3412.0,1516.0,11055.0,61.0,42670.0,23040.0,15319.0,8031.0,66880.0,23851.0,14.0,103200.0,36170.0,1184.0,6.0,54015,27859,12578,19072,763,83,29780,,35,36.0,,9,9.0,,19,17.0,,12,12.0,,6,6.0,0,0
1, 1,2007JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33497,11919,4134.0,4188,8241,4278,743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55730,11271,1703,10267,1780,1790.0,1070.0,455.0,2255.0,43.0,22380.0,11750.0,7701.0,3761.0,1549.0,12418.0,62.0,43070.0,24150.0,15524.0,8474.0,68250.0,24445.0,13.0,101150.0,35265.0,1113.0,2.0,52799,30457,11540,20650,745,80,30947,23.0,38,45.0,5.0,9,10.0,13.0,20,21.0,6.0,12,14.0,1.0,7,7.0,0,0
2, 1,2008JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34402,10824,4637.0,4586,8908,4495,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55640,10766,1718,10365,1823,1910.0,1110.0,456.0,2349.0,43.0,22970.0,13130.0,7302.0,4106.0,1377.0,13925.0,63.0,44770.0,25390.0,15986.0,8906.0,71020.0,25520.0,11.0,98270.0,34614.0,1107.0,2.0,53243,34494,9025,21428,875,77,30749,18.0,43,49.0,5.0,9,10.0,12.0,17,19.0,6.0,11,13.0,2.0,10,12.0,0,0
3, 1,2009JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35420,10446,4975.0,5037,9209,4747,1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55020,10621,1883,10730,1899,1910.0,1170.0,468.0,2343.0,47.0,23410.0,14870.0,8214.0,4992.0,1420.0,14912.0,66.0,46680.0,24700.0,16677.0,8632.0,74430.0,27221.0,11.0,96170.0,34046.0,1161.0,4.0,55350,37426,8590,22474,1014,0,31956,15.0,47,,4.0,9,,14.0,20,,5.0,11,,2.0,12,,1,2
4, 2,2006JJ00,8.0,4699.0,3693.0,3189.0,504.0,,,,,,,1006.0,0.0,844.0,162.0,4554.0,2697.0,2177.0,520.0,209.0,,1647.0,221.0,102.0,119.0,1426.0,131.0,307.0,792.0,125.0,37.0,34.0,145.0,12.0,67.0,-56.0,0.0,0.0,0.0,90.0,3169,3077,0.0,0,0,0,92,3444.0,-274.0,5305.0,78.0,3132.0,33.0,,,684.0,,,1027.0,,,,,3.0,348.0,5305.0,1436.0,,,,267.0,1382.0,2220.0,,,,,,,,395.0,,,,,,3132.0,60490.0,19660.0,14440.0,4400.0,820.0,39870.0,14300.0,13040.0,12530.0,950.0,,47900.0,15010.0,11120.0,3110.0,780.0,31960.0,10950.0,11030.0,9970.0,940.0,,2177.0,564.0,440.0,93.0,32.0,1597.0,433.0,744.0,420.0,16.0,,8050,1826,174,1073,220,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
5, 2,2007JJ00,8.0,5210.0,3772.0,3253.0,520.0,70.0,44.0,26.0,0.0,18.0,406.0,1438.0,0.0,1061.0,377.0,5071.0,2885.0,2340.0,545.0,261.0,,1925.0,229.0,116.0,113.0,1696.0,131.0,378.0,934.0,165.0,28.0,61.0,139.0,24.0,71.0,-47.0,0.0,3.0,-3.0,89.0,2982,2871,0.0,0,0,0,111,3486.0,-503.0,5319.0,2.0,3327.0,36.0,16.0,20.0,664.0,60.0,604.0,932.0,932.0,582.0,350.0,0.0,0.0,358.0,5319.0,1503.0,8.0,1287.0,209.0,305.0,1220.0,2292.0,1516.0,161.0,241.0,106.0,1009.0,776.0,3162.0,461.0,,15.0,280.0,,0.0,3327.0,61870.0,19690.0,14660.0,4130.0,900.0,39900.0,14060.0,13230.0,12620.0,990.0,1300.0,49600.0,14930.0,11140.0,3000.0,790.0,32560.0,10740.0,11630.0,10200.0,890.0,1210.0,2340.0,577.0,450.0,98.0,29.0,1656.0,440.0,823.0,393.0,17.0,90.0,8050,1740,190,1106,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
6, 2,2008JJ00,8.0,5841.0,3661.0,2926.0,735.0,166.0,79.0,31.0,0.0,48.0,490.0,2180.0,0.0,1739.0,442.0,5705.0,3218.0,2603.0,614.0,291.0,,2197.0,298.0,158.0,141.0,1898.0,144.0,438.0,1013.0,213.0,38.0,53.0,136.0,25.0,60.0,-35.0,0.0,0.0,0.0,101.0,2906,2572,195.0,0,0,0,139,3168.0,-261.0,5621.0,2.0,3604.0,41.0,8.0,33.0,587.0,64.0,523.0,890.0,888.0,603.0,286.0,1.0,0.0,496.0,5621.0,941.0,13.0,658.0,270.0,394.0,1913.0,2372.0,1567.0,103.0,233.0,82.0,1149.0,806.0,3381.0,560.0,,22.0,316.0,,0.0,3604.0,68220.0,21940.0,16640.0,4440.0,860.0,43950.0,16560.0,14140.0,13250.0,1020.0,1310.0,52790.0,16200.0,12320.0,3110.0,780.0,34480.0,12190.0,11980.0,10310.0,940.0,1170.0,2603.0,662.0,532.0,99.0,31.0,1843.0,515.0,925.0,403.0,18.0,80.0,7980,1679,187,1069,235,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,354.0,0.0,89.0,578.0,4.0,,,,,,,,,,,,0,0,0,49,0,0,111,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
7, 2,2009JJ00,8.0,6267.0,4057.0,3038.0,1019.0,307.0,83.0,28.0,0.0,55.0,629.0,2211.0,0.0,1849.0,362.0,6157.0,3488.0,2805.0,682.0,296.0,0.0,2374.0,330.0,188.0,142.0,2044.0,148.0,449.0,1088.0,242.0,37.0,79.0,110.0,16.0,57.0,-42.0,1.0,0.0,1.0,69.0,2942,2595,201.0,0,4,0,142,2811.0,132.0,5823.0,3.0,3918.0,41.0,7.0,34.0,649.0,72.0,577.0,949.0,918.0,554.0,364.0,31.0,0.0,264.0,5823.0,1050.0,14.0,722.0,314.0,454.0,2189.0,2129.0,1945.0,342.0,222.0,89.0,1292.0,184.0,3673.0,602.0,0.0,17.0,340.0,0.0,0.0,3918.0,70790.0,23110.0,17640.0,4550.0,920.0,44920.0,16010.0,15200.0,13710.0,1120.0,1640.0,54920.0,16720.0,13000.0,2870.0,840.0,35830.0,12300.0,12760.0,10780.0,980.0,1390.0,2805.0,708.0,578.0,97.0,33.0,1984.0,531.0,1022.0,432.0,23.0,91.0,7990,1663,217,1131,246,0.0,0.0,0.0,0.0,0.0,1130.0,0.0,382.0,0.0,89.0,652.0,5.0,0.0,0.0,0.0,0.0,60.0,22.0,0.0,0.0,0.0,0.0,0.0,0,0,0,52,0,0,122,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
8, 3,2006JJ00,82.0,10537.0,10309.0,9004.0,1305.0,,,,,,,228.0,0.0,33.0,195.0,10176.0,5603.0,4548.0,1055.0,760.0,,3814.0,441.0,217.0,224.0,3373.0,393.0,600.0,1954.0,261.0,86.0,79.0,361.0,16.0,304.0,-288.0,13.0,12.0,2.0,75.0,8975,8379,150.0,0,334,90,22,10421.0,-1446.0,12750.0,258.0,7932.0,181.0,,,1019.0,,,2858.0,,,,,0.0,502.0,12750.0,1133.0,,,,261.0,4966.0,6389.0,,,,,,,,1414.0,,,,,,7932.0,176350.0,58730.0,31940.0,24720.0,2080.0,112670.0,66220.0,8680.0,37770.0,4950.0,,123540.0,38510.0,22110.0,14450.0,1950.0,80500.0,45880.0,7550.0,27070.0,4540.0,,4548.0,1272.0,812.0,389.0,70.0,3179.0,1690.0,562.0,927.0,96.0,,45110,9122,1261,8311,1491,10.0,30.0,9.0,257.0,3.0,1110.0,0.0,380.0,0.0,134.0,326.0,11.0,0.0,0.0,0.0,0.0,3650.0,1296.0,1.0,2750.0,960.0,46.0,0.0,1020,559,254,207,1,1,377,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
9, 3,2007JJ00,81.0,11068.0,10412.0,9062.0,1350.0,862.0,270.0,109.0,2.0,160.0,218.0,656.0,27.0,270.0,359.0,10672.0,5812.0,4714.0,1098.0,880.0,,3980.0,477.0,258.0,219.0,3503.0,415.0,660.0,1994.0,282.0,77.0,76.0,396.0,31.0,287.0,-256.0,7.0,13.0,-6.0,134.0,8979,8333,157.0,0,391,83,15,10326.0,-1347.0,13000.0,37.0,8553.0,152.0,34.0,117.0,1236.0,143.0,1092.0,2568.0,2528.0,1867.0,662.0,39.0,3.0,450.0,13000.0,1282.0,73.0,1058.0,152.0,271.0,4936.0,6511.0,4864.0,1669.0,657.0,484.0,2054.0,1647.0,7811.0,2106.0,,564.0,823.0,,-23.0,8553.0,180320.0,57470.0,31620.0,23850.0,1990.0,116580.0,69770.0,8660.0,38150.0,4870.0,1400.0,125510.0,37590.0,21820.0,13910.0,1860.0,82720.0,47910.0,7520.0,27280.0,4270.0,930.0,4714.0,1241.0,779.0,395.0,67.0,3352.0,1826.0,565.0,961.0,91.0,30.0,45060,9248,1456,8897,1513,20.0,40.0,8.0,60.0,3.0,1120.0,0.0,357.0,0.0,124.0,412.0,10.0,0.0,0.0,0.0,0.0,4280.0,1532.0,0.0,3130.0,1105.0,40.0,0.0,1341,746,291,239,6,1,425,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
