ID,Zorgfuncties,Zorgaanbieders,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
0,T001104,A052785,2021JJ00,128928
1,T001104,A052785,2022JJ00,132683
2,T001104,A052785,2023JJ00,142239
3,T001104,A052785,2024JJ00,154933
4,T001104,A052786,2021JJ00,36871
5,T001104,A052786,2022JJ00,38095
6,T001104,A052786,2023JJ00,41020
7,T001104,A052786,2024JJ00,44199
8,T001104,A052787,2021JJ00,29057
9,T001104,A052787,2022JJ00,29771
10,T001104,A052787,2023JJ00,31896
11,T001104,A052787,2024JJ00,34094
12,T001104,A052788,2021JJ00,6367
13,T001104,A052788,2022JJ00,6837
14,T001104,A052788,2023JJ00,7543
15,T001104,A052788,2024JJ00,8398
16,T001104,A052789,2021JJ00,1448
17,T001104,A052789,2022JJ00,1487
18,T001104,A052789,2023JJ00,1581
19,T001104,A052789,2024JJ00,1707
20,T001104,A052790,2021JJ00,32530
21,T001104,A052790,2022JJ00,33378
22,T001104,A052790,2023JJ00,35830
23,T001104,A052790,2024JJ00,39311
24,T001104,A052791,2021JJ00,21440
25,T001104,A052791,2022JJ00,21929
26,T001104,A052791,2023JJ00,23550
27,T001104,A052791,2024JJ00,25855
28,T001104,A052792,2021JJ00,11089
29,T001104,A052792,2022JJ00,11449
30,T001104,A052792,2023JJ00,12281
31,T001104,A052792,2024JJ00,13456
32,T001104,A052795,2021JJ00,20220
33,T001104,A052795,2022JJ00,21723
34,T001104,A052795,2023JJ00,23949
35,T001104,A052795,2024JJ00,25846
36,T001104,A052796,2021JJ00,3937
37,T001104,A052796,2022JJ00,3891
38,T001104,A052796,2023JJ00,4280
39,T001104,A052796,2024JJ00,4739
40,T001104,A052797,2021JJ00,3080
41,T001104,A052797,2022JJ00,3123
42,T001104,A052797,2023JJ00,3355
43,T001104,A052797,2024JJ00,3468
44,T001104,A052799,2021JJ00,6933
45,T001104,A052799,2022JJ00,7465
46,T001104,A052799,2023JJ00,8192
47,T001104,A052799,2024JJ00,8716
48,T001104,A052798,2021JJ00,4870
49,T001104,A052798,2022JJ00,5669
50,T001104,A052798,2023JJ00,6140
51,T001104,A052798,2024JJ00,6851
52,T001104,A052800,2021JJ00,1400
53,T001104,A052800,2022JJ00,1574
54,T001104,A052800,2023JJ00,1982
55,T001104,A052800,2024JJ00,2071
56,T001104,A052801,2021JJ00,1122
57,T001104,A052801,2022JJ00,935
58,T001104,A052801,2023JJ00,883
59,T001104,A052801,2024JJ00,955
60,T001104,A052802,2021JJ00,501
61,T001104,A052802,2022JJ00,488
62,T001104,A052802,2023JJ00,587
63,T001104,A052802,2024JJ00,636
64,T001104,A052803,2021JJ00,622
65,T001104,A052803,2022JJ00,447
66,T001104,A052803,2023JJ00,295
67,T001104,A052803,2024JJ00,320
68,T001104,A052806,2021JJ00,8665
69,T001104,A052806,2022JJ00,8677
70,T001104,A052806,2023JJ00,8777
71,T001104,A052806,2024JJ00,9358
72,T001104,A052807,2021JJ00,4488
73,T001104,A052807,2022JJ00,4627
74,T001104,A052807,2023JJ00,4649
75,T001104,A052807,2024JJ00,4988
76,T001104,A052808,2021JJ00,4177
77,T001104,A052808,2022JJ00,4049
78,T001104,A052808,2023JJ00,4128
79,T001104,A052808,2024JJ00,4369
80,T001104,A052811,2021JJ00,7009
81,T001104,A052811,2022JJ00,4729
82,T001104,A052811,2023JJ00,3829
83,T001104,A052811,2024JJ00,3741
84,T001104,A052812,2021JJ00,3698
85,T001104,A052812,2022JJ00,3790
86,T001104,A052812,2023JJ00,3899
87,T001104,A052812,2024JJ00,4208
88,T001104,A052813,2021JJ00,1440
89,T001104,A052813,2022JJ00,1453
90,T001104,A052813,2023JJ00,1468
91,T001104,A052813,2024JJ00,1644
92,T001104,A052814,2021JJ00,1797
93,T001104,A052814,2022JJ00,1849
94,T001104,A052814,2023JJ00,1940
95,T001104,A052814,2024JJ00,2078
96,T001104,A052815,2021JJ00,462
97,T001104,A052815,2022JJ00,488
98,T001104,A052815,2023JJ00,492
99,T001104,A052815,2024JJ00,487
100,T001104,A052816,2021JJ00,0
101,T001104,A052816,2022JJ00,0
102,T001104,A052816,2023JJ00,0
103,T001104,A052816,2024JJ00,0
104,T001104,A052817,2021JJ00,18173
105,T001104,A052817,2022JJ00,20663
106,T001104,A052817,2023JJ00,23396
107,T001104,A052817,2024JJ00,26660
108,T001104,A052818,2021JJ00,1734
109,T001104,A052818,2022JJ00,1782
110,T001104,A052818,2023JJ00,1903
111,T001104,A052818,2024JJ00,2086
112,T001104,A052819,2021JJ00,16439
113,T001104,A052819,2022JJ00,18881
114,T001104,A052819,2023JJ00,21493
115,T001104,A052819,2024JJ00,24574
116,T001104,A052820,2021JJ00,639
