ID,Perioden,Mestproductie_1,StikstofuitscheidingN_2,FosfaatuitscheidingP2O5_3,RundveeTotaal_4,MelkEnKalfkoeien_5,OverigRundvee_6,Varkens_7,Pluimvee_8,MestproductieTotaal_9,Rundveemest_10,Varkensmest_11,Pluimveemest_12,OverigeMest_13,StikstofuitscheidingTotaal_14,Rundvee_15,Varkens_16,Pluimvee_17,OverigeDiersoorten_18,FosfaatuitscheidingTotaal_19,Rundvee_20,Varkens_21,Pluimvee_22,OverigeDiersoorten_23,TotaalGasvormigeStikstofverliezenN_24,AmmoniakUitgedruktInN_25,OverigeGasvormigeStikstofverliezenN_26,AmmoniakverliesTijdensBeweidingN_27,AfgevoerdeMestTotaal_28,StikstofInAfgevoerdeMest_29,FosfaatInAfgevoerdeMest_30,AangevoerdeMestTotaal_31,StikstofInAangevoerdeMest_32,FosfaatInAangevoerdeMest_33,VerwerkteStikstofN_34,VerwerktFosfaatP2O5_35,StikstofafvoerNNaarHetBuitenland_36,FosfaatafvoerP2O5NaarHetBuitenland_37,BemestbareCultuurgrondTotaal_38,Bouwland_39,Grasland_40,PlaatsingsruimteStikstofN_41,PlaatsingsruimteFosfaatP2O5_42,StikstofgebruikNInDeLandbouw_43,FosfaatgebruikP2O5InDeLandbouw_44
20,1998JJ00,76.931,602.443,196.057,4283.084,1610.63,2672.454,13445.866,101162.699,76.931,57.188,15.163,1.984,2.596,602.443,376.388,136.125,61.511,28.42,196.057,104.383,53.997,29.134,8.542,77.941,61.789,16.152,5.6,13.301,98.314,60.466,11.51,80.88,49.141,5.014,2.162,9.757,7.24,1957.689,925.918,1031.771,933.881,221.034,507.068,184.732
21,1999JJ00,75.445,585.325,199.649,4205.69,1588.489,2617.201,13566.817,107281.687,75.445,56.039,14.66,2.075,2.671,585.325,360.25,131.526,66.555,26.994,199.649,108.509,49.781,32.552,8.808,77.086,60.787,16.299,6.023,15.27,117.122,71.962,13.923,98.215,58.152,5.205,2.426,12.883,10.364,1939.975,921.962,1018.013,924.214,218.968,489.332,185.839
22,2000JJ00,75.56,549.075,190.924,4068.855,1504.076,2564.779,13117.817,106516.961,75.56,56.726,14.127,2.085,2.622,549.075,339.222,120.623,62.608,26.623,190.924,102.146,48.171,32.064,8.543,70.539,55.353,15.186,4.236,13.212,102.544,65.049,11.484,77.973,46.955,4.256,1.77,14.746,13.123,1925.592,914.399,1011.193,870.995,207.727,453.965,172.83
23,2001JJ00,74.989,541.723,184.854,4045.429,1545.821,2499.608,13072.98,102723.904,74.989,57.084,13.389,1.944,2.572,541.723,347.721,110.301,57.662,26.039,184.854,106.623,42.251,27.52,8.46,66.862,52.189,14.673,6.007,13.944,103.923,66.873,12.192,77.327,46.748,5.144,2.017,17.99,15.928,1896.243,903.683,992.56,800.656,199.55,448.264,164.73
24,2002JJ00,71.529,504.418,172.923,3856.687,1485.378,2371.309,11647.677,103354.862,71.529,54.911,12.272,1.863,2.482,504.418,320.099,99.124,60.328,24.867,172.923,97.441,39.68,27.382,8.42,65.158,50.67,14.488,3.995,12.816,97.27,63.601,11.371,69.976,43.189,5.076,2.502,19.701,16.488,1914.376,914.61,999.766,774.044,193.863,411.966,152.511
25,2003JJ00,69.247,479.166,165.859,3757.223,1477.649,2279.574,11169.095,81053.188,69.247,53.829,11.719,1.155,2.545,479.166,313.053,96.827,43.945,25.341,165.859,98.386,38.602,20.558,8.313,59.447,46.971,12.477,2.651,11.899,87.296,55.734,10.006,65.105,40.282,3.707,1.966,11.586,9.433,1889.912,904.938,984.973,726.692,177.572,397.527,150.407
26,2004JJ00,70.39,466.983,161.779,3764.863,1470.483,2294.38,11152.5,87777.231,70.39,54.697,11.724,1.341,2.628,466.983,299.527,93.655,52.769,21.032,161.779,92.822,37.107,23.934,7.915,60.606,47.55,13.056,2.113,11.557,91.116,56.427,9.618,65.204,38.927,5.036,2.886,15.545,12.56,1894.599,912.023,982.577,720.453,180.34,380.465,144.278
27,2005JJ00,70.117,478.843,169.679,3796.778,1433.202,2363.576,11311.558,95190.463,70.117,54.029,11.852,1.484,2.753,478.843,297.277,101.18,58.362,22.024,169.679,93.093,41.521,26.797,8.268,61.469,47.787,13.682,2.732,11.685,92.01,59.638,10.053,70.761,44.262,4.866,2.733,14.914,14.274,1878.491,902.831,975.66,685.328,170.404,396.124,154.303
28,2006JJ00,69.284,471.24,169.187,3745.093,1419.716,2325.377,11355.967,93965.448,69.284,53.306,11.787,1.471,2.72,471.24,289.714,102.418,57.731,21.377,169.187,91.511,42.776,26.909,7.991,60.77,47.549,13.221,2.311,14.92,101.656,63.63,12.643,72.275,41.847,1.722,0.327,20.262,16.149,1876.691,879.927,996.764,400.839,184.438,381.089,147.405
29,2007JJ00,69.236,479.602,169.386,3762.784,1413.166,2349.618,11662.654,95127.359,69.236,53.009,12.009,1.439,2.778,479.602,294.567,104.84,59.08,21.115,169.386,91.267,42.708,26.996,8.414,63.449,49.198,14.252,1.911,16.968,125.937,80.047,13.884,81.797,47.189,1.431,0.054,33.473,27.511,1870.865,880.891,989.974,400.009,178.823,372.013,136.528
30,2008JJ00,71.277,491.346,175.928,3890.195,1466.134,2424.061,12026.467,98808.351,71.277,54.731,12.326,1.483,2.736,491.346,299.92,108.811,61.44,21.176,175.928,94.943,45.053,27.926,8.005,64.839,50.082,14.756,2.126,18.015,135.356,83.997,14.747,83.6,46.06,6.472,3.209,36.668,29.262,1885.441,903.288,982.153,402.644,174.995,374.751,137.991
31,2009JJ00,72.703,484.249,174.831,3967.599,1489.071,2478.528,12186.453,99075.876,72.703,55.991,12.425,1.502,2.785,484.249,292.824,108.047,63.083,20.295,174.831,91.964,46.537,28.759,7.571,65.095,50.151,14.944,1.378,19.695,162.199,85.298,15.723,102.832,49.565,11.703,7.157,40.699,27.607,1857.31,882.615,974.695,397.18,172.492,359.786,139.099
32,2010JJ00,72.172,489.715,178.878,3975.194,1478.635,2496.559,12254.972,103370.978,72.172,55.942,11.841,1.527,2.863,489.715,298.515,105.54,64.503,21.156,178.878,96.237,45.454,29.125,8.063,63.205,48.15,15.054,1.621,19.421,154.764,80.818,15.357,93.827,44.726,17.23,9.369,37.911,24.674,1810.19,859.42,950.77,386.923,154.311,365.573,142.787
33,2011JJ00,71.434,477.418,169.734,3885.345,1469.72,2415.625,12429.138,98924.76,71.434,55.354,11.821,1.457,2.801,477.418,287.647,107.262,62.315,20.193,169.734,90.192,43.666,28.059,7.817,61.57,45.82,15.75,1.188,19.925,166.207,84.273,16.069,103.945,46.99,16.514,9.2,38.679,25.201,1791.337,852.638,938.698,382.73,149.378,353.587,132.451
34,2012JJ00,71.207,460.9,160.574,3879.252,1483.991,2395.261,12233.649,97015.805,71.207,55.416,11.571,1.416,2.804,460.9,277.38,104.94,58.237,20.344,160.574,87.237,39.193,26.048,8.096,58.231,43.167,15.064,1.008,20.353,163.919,81.589,15.944,97.006,42.265,18.478,9.806,40.453,26.999,1775.103,837.272,937.83,379.801,141.09,335.756,121.25
35,2013JJ00,73.172,471.101,163.988,3999.221,1552.919,2446.302,12219.169,99370.414,73.172,57.428,11.481,1.45,2.813,471.101,287.235,103.708,59.792,20.366,163.988,90.254,38.791,26.842,8.102,59.407,44.005,15.402,1.025,,,,,,,,,,,1777.79,846.621,931.169,,,,
