ID,Geslacht,Kenmerken,Perioden,WerknemersMetKinderenTot8Jaar_1,WerknemersMetOuderschapsverlof_2,GeenOuderschapsverlofWelBehoefte_3,GeenOuderschapsverlofGeenBehoefte_4,OuderschapsverlofOnbekend_5
116,1,13,2007JJ00,76.0,8.0,8.0,49.0,10.0
117,1,13,2009JJ00,75.0,10.0,9.0,47.0,9.0
118,1,13,2011JJ00,77.0,13.0,6.0,48.0,9.0
119,1,13,2013JJ00,70.0,12.0,6.0,46.0,7.0
120,1,14,2005JJ00,672.0,35.0,76.0,534.0,27.0
121,1,14,2007JJ00,665.0,40.0,86.0,510.0,30.0
122,1,14,2009JJ00,630.0,36.0,75.0,490.0,28.0
123,1,14,2011JJ00,603.0,50.0,56.0,466.0,31.0
124,1,14,2013JJ00,564.0,47.0,61.0,427.0,29.0
125,1,26,2005JJ00,36.0,2.0,6.0,26.0,2.0
126,1,26,2007JJ00,14.0,,2.0,11.0,
127,1,26,2009JJ00,12.0,,,11.0,
128,1,26,2011JJ00,,,,,
129,1,26,2013JJ00,,,,,
130,1,27,2005JJ00,256.0,9.0,20.0,218.0,8.0
131,1,27,2007JJ00,163.0,6.0,20.0,133.0,5.0
132,1,27,2009JJ00,110.0,3.0,14.0,90.0,3.0
133,1,27,2011JJ00,,,,,
134,1,27,2013JJ00,,,,,
135,1,28,2005JJ00,270.0,15.0,32.0,209.0,13.0
136,1,28,2007JJ00,282.0,16.0,38.0,213.0,14.0
137,1,28,2009JJ00,239.0,12.0,30.0,186.0,12.0
138,1,28,2011JJ00,,,,,
139,1,28,2013JJ00,,,,,
140,1,29,2005JJ00,113.0,10.0,15.0,79.0,9.0
141,1,29,2007JJ00,148.0,12.0,17.0,106.0,13.0
142,1,29,2009JJ00,164.0,13.0,18.0,121.0,12.0
143,1,29,2011JJ00,,,,,
144,1,29,2013JJ00,,,,,
145,1,30,2005JJ00,95.0,8.0,13.0,71.0,4.0
146,1,30,2007JJ00,138.0,13.0,17.0,99.0,9.0
147,1,30,2009JJ00,176.0,18.0,21.0,127.0,11.0
148,1,30,2011JJ00,,,,,
149,1,30,2013JJ00,,,,,
150,1,31,2005JJ00,4.0,,,3.0,
151,1,31,2007JJ00,5.0,,,4.0,
152,1,31,2009JJ00,13.0,,,11.0,
153,1,31,2011JJ00,,,,,
154,1,31,2013JJ00,,,,,
