ID,SBI93,Grootteklassen,Perioden,Bedrijven_1,WerkzamePersonen_2,Werknemers_3,VerloondeSocialeVerzekeringsdagen_4,GewerkteDagen_5,Totaal_6,ProductieBouwbedrijf_7,OmzetHandelEnOverigeOpbrengsten_8,Totaal_9,Totaal_10,VoorBouwactiviteiten_11,VoorHandelEnOvActiviteiten_12,BetalingenAanOnderaannemers_13,KostenEnergieverbruik_14,OverigeBedrijfskosten_15,Totaal_16,Arbeidskosten_17,SubsidiesEnHeffingen_18,Totaal_19,SaldoInterest_20,SaldoBatenEnLasten_21,SaldoVoorzieningen_22,AfschrijvingenOpVasteActiva_23,SaldoBouwactiviteitenBuitenland_24,ResultaatVoorBelastingen_25,CodeBedrijfsactiviteit_26
555,45332 ,A,1997JJ00,614,1.0,0.0,77.0,72.0,48.0,44.0,4.0,30.0,24.0,0.0,0.0,0.0,0.0,6.0,18.0,7.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,9.0,45332 
556,45332 ,A,1998JJ00,641,1.0,0.0,57.0,50.0,44.0,41.0,2.0,27.0,21.0,0.0,0.0,0.0,0.0,5.0,17.0,5.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,10.0,45332 
557,45332 ,A,1999JJ00,712,1.0,0.0,54.0,49.0,43.0,39.0,3.0,28.0,20.0,0.0,0.0,2.0,0.0,5.0,15.0,5.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,9.0,45332 
558,45332 ,B,1997JJ00,904,4.0,4.0,850.0,772.0,351.0,332.0,20.0,221.0,166.0,0.0,0.0,10.0,1.0,46.0,130.0,83.0,1.0,46.0,-2.0,0.0,-1.0,9.0,2.0,36.0,45332 
559,45332 ,B,1998JJ00,855,4.0,3.0,727.0,642.0,350.0,329.0,21.0,229.0,167.0,0.0,0.0,18.0,1.0,44.0,121.0,75.0,0.0,45.0,-2.0,0.0,0.0,8.0,0.0,35.0,45332 
560,45332 ,B,1999JJ00,829,4.0,3.0,667.0,605.0,343.0,324.0,19.0,227.0,157.0,0.0,0.0,29.0,1.0,41.0,116.0,72.0,0.0,44.0,-2.0,0.0,0.0,8.0,0.0,35.0,45332 
561,45332 ,C,1997JJ00,416,11.0,11.0,2751.0,2414.0,1141.0,1109.0,32.0,771.0,517.0,154.0,1.0,120.0,2.0,134.0,371.0,310.0,0.0,59.0,-5.0,0.0,-1.0,16.0,5.0,43.0,45332 
562,45332 ,C,1998JJ00,441,13.0,13.0,3111.0,2696.0,1271.0,1222.0,49.0,836.0,562.0,169.0,7.0,124.0,3.0,150.0,435.0,363.0,0.0,71.0,-5.0,1.0,-1.0,21.0,3.0,48.0,45332 
563,45332 ,C,1999JJ00,458,12.0,12.0,3031.0,2639.0,1292.0,1242.0,50.0,850.0,565.0,175.0,3.0,129.0,3.0,155.0,442.0,364.0,0.0,77.0,-3.0,1.0,-1.0,19.0,6.0,60.0,45332 
564,45332 ,D,1997JJ00,32,8.0,8.0,1987.0,1664.0,879.0,865.0,14.0,584.0,338.0,333.0,5.0,140.0,1.0,106.0,294.0,265.0,0.0,29.0,0.0,19.0,2.0,11.0,6.0,45.0,45332 
