ID,BedrijfstakkenBranchesSBI2008,Perioden,OutputBasisprijzen_1,IntermediairVerbruik_2,BrutoToegevoegdeWaardeBasisprijzen_3,OutputBasisprijzen_4,IntermediairVerbruik_5,BrutoToegevoegdeWaardeBasisprijzen_6,OutputBasisprijzen_7,IntermediairVerbruik_8,BrutoToegevoegdeWaardeBasisprijzen_9,OutputBasisprijzen_10,IntermediairVerbruik_11,BrutoToegevoegdeWaardeBasisprijzen_12,Totaal_13,Lonen_14,SocialePremiesTLVWerkgevers_15,Bruto_16,VerbruikVanVasteActiva_17,Netto_18,Saldo_19,NietProductgebondenBelastingen_20,NietProductgebondenSubsidies_21,BrutoToegevoegdeWaardeBasisprijzen_22
3348,428100 ,2013JJ00,14691.0,7472.0,7219.0,17145.0,8322.0,8886.0,0.0,3.5,-3.5,85.7,89.8,81.2,3629.0,2896.0,733.0,3901.0,875.0,3026.0,-311.0,80.0,391.0,7219.0
3349,428100 ,2014JJ00,15372.0,7870.0,7502.0,17640.0,8784.0,8897.0,2.9,5.6,0.1,87.1,89.6,84.3,3698.0,2924.0,774.0,4127.0,900.0,3227.0,-323.0,85.0,408.0,7502.0
3350,428100 ,2015JJ00,16239.0,8314.0,7925.0,18259.0,9226.0,9067.0,3.5,5.0,1.9,88.9,90.1,87.4,3648.0,2920.0,728.0,4592.0,930.0,3662.0,-315.0,70.0,385.0,7925.0
3351,428100 ,2016JJ00,16883.0,8686.0,8197.0,18841.0,9610.0,9264.0,3.2,4.2,2.2,89.6,90.4,88.5,3782.0,3017.0,765.0,4728.0,957.0,3771.0,-313.0,64.0,377.0,8197.0
3352,428100 ,2017JJ00,17563.0,9153.0,8410.0,19392.0,9950.0,9475.0,2.9,3.5,2.3,90.6,92.0,88.8,3939.0,3149.0,790.0,4848.0,983.0,3865.0,-377.0,67.0,444.0,8410.0
3353,428100 ,2018JJ00,18316.0,9640.0,8676.0,19971.0,10295.0,9707.0,3.0,3.5,2.4,91.7,93.6,89.4,4183.0,3329.0,854.0,4861.0,1025.0,3836.0,-368.0,69.0,437.0,8676.0
3354,428100 ,2019JJ00,19306.0,10204.0,9102.0,20706.0,10660.0,10079.0,3.7,3.5,3.8,93.2,95.7,90.3,4507.0,3567.0,940.0,4935.0,1085.0,3850.0,-340.0,66.0,406.0,9102.0
3355,428100 ,2020JJ00,13929.0,7425.0,6504.0,14193.0,7702.0,6490.0,-31.5,-27.8,-35.6,98.1,96.4,100.2,4435.0,3485.0,950.0,3612.0,1116.0,2496.0,-1543.0,39.0,1582.0,6504.0
3356,428100 ,2021JJ00,14109.0,7681.0,6428.0,14109.0,7681.0,6428.0,-0.6,-0.3,-1.0,100.0,100.0,100.0,4524.0,3558.0,966.0,4077.0,1156.0,2921.0,-2173.0,37.0,2210.0,6428.0
3357,428100 ,2022JJ00,19503.0,10132.0,9371.0,18813.0,8942.0,9871.0,33.3,16.4,53.6,103.7,113.3,94.9,5021.0,3904.0,1117.0,5175.0,1262.0,3913.0,-825.0,60.0,885.0,9371.0
3358,428100 ,2023JJ00,22223.0,11567.0,10656.0,20365.0,9585.0,10798.0,8.3,7.2,9.4,109.1,120.7,98.7,5510.0,4313.0,1197.0,5691.0,1362.0,4329.0,-545.0,68.0,613.0,10656.0
3359,428100 ,2024JJ00,24188.0,12128.0,12060.0,21075.0,9890.0,11210.0,3.5,3.2,3.8,114.8,122.6,107.6,6116.0,4771.0,1345.0,6479.0,,,-535.0,76.0,611.0,12060.0
3360,900048 ,1995JJ00,3718.0,1725.0,1993.0,6872.0,2687.0,4255.0,,,,54.1,64.2,46.8,1049.0,855.0,194.0,1096.0,257.0,839.0,-152.0,20.0,172.0,1993.0
3361,900048 ,1996JJ00,4034.0,1835.0,2199.0,7282.0,2802.0,4571.0,6.0,4.3,7.4,55.4,65.5,48.1,1075.0,894.0,181.0,1293.0,272.0,1021.0,-169.0,18.0,187.0,2199.0
3362,900048 ,1997JJ00,4450.0,2005.0,2445.0,7815.0,3016.0,4894.0,7.3,7.6,7.0,56.9,66.5,50.0,1126.0,948.0,178.0,1484.0,293.0,1191.0,-165.0,19.0,184.0,2445.0
3363,900048 ,1998JJ00,4787.0,2148.0,2639.0,8226.0,3198.0,5120.0,5.3,6.0,4.6,58.2,67.2,51.5,1220.0,955.0,265.0,1584.0,318.0,1266.0,-165.0,23.0,188.0,2639.0
3364,900048 ,1999JJ00,5209.0,2313.0,2896.0,8803.0,3377.0,5539.0,7.0,5.6,8.2,59.2,68.5,52.3,1317.0,1027.0,290.0,1744.0,348.0,1396.0,-165.0,25.0,190.0,2896.0
3365,900048 ,2000JJ00,5573.0,2510.0,3063.0,9151.0,3545.0,5713.0,4.0,5.0,3.1,60.9,70.8,53.6,1441.0,1115.0,326.0,1803.0,380.0,1423.0,-181.0,25.0,206.0,3063.0
3366,900048 ,2001JJ00,6092.0,2748.0,3344.0,9654.0,3748.0,6015.0,5.5,5.7,5.3,63.1,73.3,55.6,1564.0,1247.0,317.0,1981.0,416.0,1565.0,-201.0,30.0,231.0,3344.0
3367,900048 ,2002JJ00,6490.0,2883.0,3607.0,9985.0,3850.0,6256.0,3.4,2.7,4.0,65.0,74.9,57.7,1677.0,1323.0,354.0,2125.0,449.0,1676.0,-195.0,32.0,227.0,3607.0
3368,900048 ,2003JJ00,6727.0,2962.0,3765.0,10037.0,3854.0,6310.0,0.5,0.1,0.9,67.0,76.8,59.7,1720.0,1357.0,363.0,2239.0,464.0,1775.0,-194.0,34.0,228.0,3765.0
3369,900048 ,2004JJ00,6997.0,2995.0,4002.0,10119.0,3839.0,6422.0,0.8,-0.4,1.8,69.1,78.0,62.3,1747.0,1371.0,376.0,2472.0,483.0,1989.0,-217.0,34.0,251.0,4002.0
3370,900048 ,2005JJ00,7136.0,3059.0,4077.0,10197.0,3831.0,6518.0,0.8,-0.2,1.5,70.0,79.8,62.5,1753.0,1386.0,367.0,2550.0,502.0,2048.0,-226.0,36.0,262.0,4077.0
3371,900048 ,2006JJ00,7482.0,3296.0,4186.0,10700.0,4000.0,6865.0,4.9,4.4,5.3,69.9,82.4,61.0,1800.0,1439.0,361.0,2632.0,520.0,2112.0,-246.0,37.0,283.0,4186.0
3372,900048 ,2007JJ00,7849.0,3446.0,4403.0,11038.0,4086.0,7136.0,3.2,2.2,3.9,71.1,84.3,61.7,1901.0,1524.0,377.0,2747.0,545.0,2202.0,-245.0,39.0,284.0,4403.0
3373,900048 ,2008JJ00,7993.0,3543.0,4450.0,10848.0,4090.0,6912.0,-1.7,0.1,-3.1,73.7,86.6,64.4,1980.0,1570.0,410.0,2739.0,572.0,2167.0,-269.0,38.0,307.0,4450.0
3374,900048 ,2009JJ00,7934.0,3474.0,4460.0,10471.0,3999.0,6603.0,-3.5,-2.2,-4.5,75.8,86.9,67.5,2033.0,1614.0,419.0,2696.0,592.0,2104.0,-269.0,36.0,305.0,4460.0
3375,900048 ,2010JJ00,7999.0,3386.0,4613.0,10286.0,3894.0,6531.0,-1.8,-2.6,-1.1,77.8,87.0,70.6,2033.0,1603.0,430.0,2865.0,593.0,2272.0,-285.0,38.0,323.0,4613.0
3376,900048 ,2011JJ00,8548.0,3711.0,4837.0,10673.0,4164.0,6624.0,3.8,6.9,1.4,80.1,89.1,73.0,2045.0,1605.0,440.0,3029.0,593.0,2436.0,-237.0,40.0,277.0,4837.0
3377,900048 ,2012JJ00,8620.0,3820.0,4800.0,10547.0,4255.0,6375.0,-1.2,2.2,-3.8,81.7,89.8,75.3,2053.0,1603.0,450.0,2968.0,598.0,2370.0,-221.0,38.0,259.0,4800.0
3378,900048 ,2013JJ00,8837.0,4058.0,4779.0,10524.0,4481.0,6080.0,-0.2,5.3,-4.6,84.0,90.6,78.6,1976.0,1547.0,429.0,2982.0,606.0,2376.0,-179.0,43.0,222.0,4779.0
3379,900048 ,2014JJ00,9359.0,4393.0,4966.0,10951.0,4860.0,6100.0,4.1,8.5,0.3,85.5,90.4,81.4,2006.0,1553.0,453.0,3152.0,622.0,2530.0,-192.0,43.0,235.0,4966.0
3380,900048 ,2015JJ00,10002.0,4687.0,5315.0,11416.0,5139.0,6278.0,4.2,5.7,2.9,87.6,91.2,84.7,1979.0,1555.0,424.0,3510.0,646.0,2864.0,-174.0,43.0,217.0,5315.0
3381,900048 ,2016JJ00,10532.0,4966.0,5566.0,11942.0,5431.0,6508.0,4.6,5.7,3.7,88.2,91.4,85.5,2058.0,1614.0,444.0,3676.0,671.0,3005.0,-168.0,42.0,210.0,5566.0
3382,900048 ,2017JJ00,10955.0,5224.0,5731.0,12323.0,5641.0,6676.0,3.2,3.9,2.6,88.9,92.6,85.8,2140.0,1682.0,458.0,3797.0,691.0,3106.0,-206.0,41.0,247.0,5731.0
3383,900048 ,2018JJ00,11438.0,5506.0,5932.0,12732.0,5849.0,6876.0,3.3,3.7,3.0,89.8,94.1,86.3,2243.0,1751.0,492.0,3880.0,718.0,3162.0,-191.0,44.0,235.0,5932.0
3384,900048 ,2019JJ00,12206.0,5883.0,6323.0,13382.0,6119.0,7259.0,5.1,4.6,5.6,91.2,96.1,87.1,2390.0,1849.0,541.0,4107.0,757.0,3350.0,-174.0,43.0,217.0,6323.0
3385,900048 ,2020JJ00,8724.0,3921.0,4803.0,8903.0,4049.0,4853.0,-33.5,-33.8,-33.1,98.0,96.8,99.0,2383.0,1839.0,544.0,3274.0,770.0,2504.0,-854.0,26.0,880.0,4803.0
3386,900048 ,2021JJ00,8876.0,4084.0,4792.0,8876.0,4084.0,4792.0,-0.3,0.9,-1.2,100.0,100.0,100.0,2418.0,1865.0,553.0,3452.0,787.0,2665.0,-1078.0,24.0,1102.0,4792.0
3387,900048 ,2022JJ00,12013.0,5447.0,6566.0,11526.0,4880.0,6646.0,29.9,19.5,38.7,104.2,111.6,98.8,2631.0,1996.0,635.0,4394.0,840.0,3554.0,-459.0,34.0,493.0,6566.0
3388,900048 ,2023JJ00,13491.0,6068.0,7423.0,12285.0,5122.0,7173.0,6.6,5.0,7.9,109.8,118.5,103.5,2881.0,2204.0,677.0,4852.0,888.0,3964.0,-310.0,36.0,346.0,7423.0
3389,900048 ,2024JJ00,14608.0,6382.0,8226.0,12676.0,5252.0,7439.0,3.2,2.5,3.7,115.2,121.5,110.6,3202.0,2445.0,757.0,5311.0,,,-287.0,49.0,336.0,8226.0
3390,428200 ,1995JJ00,,,,,,,,,,,,,,,,,,,,,,
3391,428200 ,1996JJ00,,,,,,,,,,,,,,,,,,,,,,
3392,428200 ,1997JJ00,,,,,,,,,,,,,,,,,,,,,,
3393,428200 ,1998JJ00,,,,,,,,,,,,,,,,,,,,,,
3394,428200 ,1999JJ00,,,,,,,,,,,,,,,,,,,,,,
3395,428200 ,2000JJ00,,,,,,,,,,,,,,,,,,,,,,
3396,428200 ,2001JJ00,,,,,,,,,,,,,,,,,,,,,,
3397,428200 ,2002JJ00,,,,,,,,,,,,,,,,,,,,,,
3398,428200 ,2003JJ00,,,,,,,,,,,,,,,,,,,,,,
3399,428200 ,2004JJ00,,,,,,,,,,,,,,,,,,,,,,
3400,428200 ,2005JJ00,,,,,,,,,,,,,,,,,,,,,,
