ID,TypeLozing,IndustrieVolgensSBI93,Perioden,FosforverbindingenAlsP_1,StikstofverbindingenAlsN_2,AntimoonverbindingenAlsSb_3,ArseenverbindingenAlsAs_4,CadmiumverbindingenAlsCd_5,ChroomverbindingenAlsCr_6,KobaltverbindingenAlsCo_7,KoperverbindingenAlsCu_8,KwikverbindingenAlsHg_9,LoodverbindingenAlsPb_10,NikkelverbindingenAlsNi_11,ZinkverbindingenAlsZn_12,Benzeen_13,Ethylbenzeen_14,Isopropylbenzeen_15,SomPAK6VanBorneff_16,Tolueen_17,XyleenTotaal_18,Dichloorethaan12_19,Hexachloorbutadieen_20,TetrachlooretheenPer_21,TetrachloormethaanTetra_22,DrinsAldrinDieldrinEnz_23,Hexachloorbenzenen_24,Pentachloorfenol_25,ChloorverbAnorgChloridenAlsCl_26,Fluoriden_27,CyanidenAnorganischAlsCN_28,CZV_29
201,T         ,244       ,2003JJ00  ,56.0,557.0,0.0,0.5,0.015,10.7,0.0,164.0,0.121,2.0,116.0,556.0,0.2,0.0,0.0,0.0,365.5,1.2,0.1,0.0,0.027,0.021,0.0,0.0,0.0,1621.0,0.0,0.0,4408.0
202,T         ,244       ,2004JJ00  ,45.0,448.0,0.0,0.8,0.069,6.2,0.0,145.0,0.004,3.0,92.0,456.0,0.1,0.2,0.0,0.0,171.6,0.0,0.0,0.0,0.028,0.028,0.0,0.0,0.0,1614.0,0.0,0.0,3405.0
203,T         ,244       ,2005JJ00  ,51.0,398.0,0.0,6.5,0.15,11.6,0.0,149.0,0.007,4.0,52.0,470.0,0.0,0.0,0.0,0.0,145.5,0.0,0.0,0.0,0.028,0.028,0.0,0.0,0.0,1578.0,0.0,0.0,3177.0
204,T         ,244       ,2006JJ00  ,58.0,399.0,0.0,1.3,0.15,10.9,0.0,139.0,0.007,2.0,65.0,378.0,0.0,0.0,0.0,0.0,152.6,0.0,0.0,0.0,0.028,0.028,0.0,0.0,0.0,1542.0,0.0,0.0,3415.0
205,T         ,244       ,2007JJ00  ,27.0,351.0,0.0,0.0,0.15,1.5,0.0,141.0,0.007,1.0,46.0,355.0,0.0,0.0,0.0,0.0,96.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21845.0,0.0,0.0,2222.0
206,T         ,244       ,2008JJ00  ,67.0,946.0,0.0,0.0,0.0,2.8,0.0,190.0,0.008,0.0,23.0,886.0,0.0,0.0,0.0,0.0,485.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62004.0,0.0,0.0,5962.0
207,T         ,245       ,1990JJ00  ,0.0,31.0,0.0,1.4,0.278,11.9,,20.0,0.0,14.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2716.0,0.0,0.0,302.0
208,T         ,245       ,1995JJ00  ,1.0,10.0,0.0,0.5,0.095,5.5,,69.0,0.0,14.0,9.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,593.0
209,T         ,245       ,2000JJ00  ,3.0,11.0,0.0,3.2,0.0,2.1,,21.0,0.0,1.0,6.0,69.0,0.0,0.2,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,666.0
210,T         ,245       ,2003JJ00  ,4.0,14.0,0.0,0.0,0.0,0.2,0.0,5.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,1388.0
