ID,SoortTrombosedienst,Perioden,Trombosediensten_1,TotaalOnderControle11_2,MannenOnderControle11_3,VrouwenOnderControle11_4,TotaalNieuwIngeschreven_5,MannenNieuwIngeschreven_6,VrouwenNieuwIngeschreven_7,TotaalUitgeschreven_8,MannenUitgeschreven_9,VrouwenUitgeschreven_10,TotaalOverleden_11,MannenOverleden_12,VrouwenOverleden_13,TotaalAndereReden_14,MannenAndereReden_15,VrouwenAndereReden_16,TotaalOnderControle3112_17,MannenOnderControle3112_18,VrouwenOnderControle3112_19,Totaal_20,AanHuis_21,Poliklinisch_22
46,13,1999JJ00,25.0,44.0,,,22.0,,,20.0,,,,,,,,,45.0,,,789.0,293.0,497.0
47,13,2000JJ00,,,,,,,,,,,,,,,,,,,,,,
48,13,2001JJ00,25.0,40.8,23.4,17.4,20.6,9.8,10.8,18.8,9.0,9.7,2.8,1.6,1.2,16.0,7.5,8.5,42.6,24.2,18.5,761.0,253.0,508.0
49,13,2002JJ00,26.0,60.0,34.4,25.6,26.4,12.9,13.6,24.2,11.7,12.5,3.8,2.2,1.6,20.3,9.5,10.9,62.2,35.5,26.7,1126.0,392.0,734.0
50,13,2003JJ00,27.0,61.7,35.2,26.5,22.4,11.1,11.3,20.8,10.1,10.6,4.0,2.3,1.7,16.8,7.9,8.9,63.3,36.2,27.2,1171.0,407.0,764.0
51,13,2004JJ00,27.0,63.9,36.4,27.4,20.9,11.0,9.9,15.3,7.8,7.4,3.1,1.8,1.3,12.2,6.0,6.2,69.5,39.6,30.0,1235.0,425.0,810.0
52,13,2005JJ00,29.0,75.0,,,28.2,,,,,,,,,,,,,,,1384.0,491.0,894.0
53,13,2006JJ00,30.0,83.1,46.9,36.2,28.3,14.1,14.2,23.3,11.5,11.7,5.1,2.7,2.3,18.2,8.8,9.4,88.1,49.5,38.6,1513.0,557.0,956.0
54,13,2007JJ00,31.0,93.9,52.7,41.2,33.7,16.6,17.0,28.5,13.7,14.8,6.2,3.3,2.9,22.2,10.4,11.9,100.4,56.0,44.4,1741.0,635.0,1106.0
55,13,2008JJ00,34.0,114.7,64.4,50.3,33.0,17.5,15.5,27.5,14.5,13.1,6.6,3.5,3.2,20.9,11.0,9.9,120.2,67.4,52.8,2096.0,780.0,1316.0
56,13,2009JJ00,34.0,126.8,71.0,55.9,32.7,17.2,15.5,28.3,15.1,13.1,7.2,3.9,3.3,21.1,11.3,9.8,131.2,73.0,58.2,2298.0,879.0,1420.0
57,13,2010JJ00,34.0,117.2,64.4,52.8,36.7,19.6,17.1,28.6,15.4,13.2,8.8,4.6,4.2,19.8,10.8,9.0,125.4,68.6,56.8,2361.0,911.0,1449.0
58,13,2011JJ00,33.0,127.2,69.7,57.5,40.7,21.3,19.4,30.5,16.3,14.2,8.8,4.6,4.2,21.7,11.7,10.0,137.4,74.7,62.7,2499.0,975.0,1524.0
59,13,2012JJ00,32.0,129.1,70.0,59.1,37.5,19.8,17.7,29.7,16.0,13.7,9.0,4.7,4.3,20.6,11.3,9.4,136.9,73.8,63.1,2498.0,991.0,1507.0
