ID,WoonlandVanGasten,Sterklassen,Perioden,Gasten_1,Overnachtingen_2
123,00018,102,2015MM04,274.0,544.0
124,00018,102,2015MM05,306.0,608.0
125,00018,102,2015MM06,288.0,566.0
126,00018,102,2015KW02,868.0,1719.0
127,00018,102,2015MM07,314.0,647.0
128,00018,102,2015MM08,319.0,651.0
129,00018,102,2015MM09,280.0,582.0
130,00018,102,2015KW03,913.0,1880.0
131,00018,102,2015MM10,282.0,530.0
132,00018,102,2015MM11,233.0,414.0
133,00018,102,2015MM12,215.0,396.0
134,00018,102,2015KW04,730.0,1340.0
135,00018,102,2015JJ00,3113.0,6052.0
136,00018,103,2012MM01,16.0,34.0
137,00018,103,2012MM02,17.0,35.0
138,00018,103,2012MM03,25.0,53.0
139,00018,103,2012KW01,58.0,122.0
140,00018,103,2012MM04,34.0,67.0
141,00018,103,2012MM05,29.0,61.0
142,00018,103,2012MM06,31.0,61.0
143,00018,103,2012KW02,94.0,189.0
144,00018,103,2012MM07,30.0,63.0
145,00018,103,2012MM08,39.0,78.0
146,00018,103,2012MM09,28.0,56.0
147,00018,103,2012KW03,96.0,197.0
148,00018,103,2012MM10,30.0,54.0
149,00018,103,2012MM11,23.0,42.0
150,00018,103,2012MM12,21.0,38.0
151,00018,103,2012KW04,74.0,134.0
152,00018,103,2012JJ00,322.0,642.0
153,00018,103,2013MM01,15.0,30.0
154,00018,103,2013MM02,21.0,42.0
155,00018,103,2013MM03,24.0,47.0
156,00018,103,2013KW01,59.0,119.0
157,00018,103,2013MM04,26.0,55.0
158,00018,103,2013MM05,31.0,65.0
159,00018,103,2013MM06,29.0,62.0
160,00018,103,2013KW02,86.0,182.0
161,00018,103,2013MM07,32.0,74.0
162,00018,103,2013MM08,46.0,83.0
163,00018,103,2013MM09,32.0,65.0
164,00018,103,2013KW03,110.0,222.0
165,00018,103,2013MM10,26.0,56.0
166,00018,103,2013MM11,24.0,40.0
167,00018,103,2013MM12,19.0,32.0
168,00018,103,2013KW04,70.0,128.0
169,00018,103,2013JJ00,325.0,650.0
170,00018,103,2014MM01,17.0,26.0
171,00018,103,2014MM02,18.0,29.0
172,00018,103,2014MM03,22.0,40.0
173,00018,103,2014KW01,57.0,96.0
174,00018,103,2014MM04,33.0,60.0
175,00018,103,2014MM05,35.0,69.0
176,00018,103,2014MM06,34.0,59.0
177,00018,103,2014KW02,102.0,189.0
178,00018,103,2014MM07,34.0,62.0
179,00018,103,2014MM08,36.0,73.0
180,00018,103,2014MM09,33.0,59.0
181,00018,103,2014KW03,103.0,194.0
182,00018,103,2014MM10,28.0,54.0
183,00018,103,2014MM11,23.0,43.0
184,00018,103,2014MM12,19.0,39.0
185,00018,103,2014KW04,70.0,136.0
186,00018,103,2014JJ00,332.0,615.0
187,00018,103,2015MM01,17.0,38.0
188,00018,103,2015MM02,21.0,40.0
189,00018,103,2015MM03,20.0,43.0
190,00018,103,2015KW01,59.0,122.0
191,00018,103,2015MM04,30.0,56.0
192,00018,103,2015MM05,33.0,64.0
193,00018,103,2015MM06,38.0,75.0
194,00018,103,2015KW02,100.0,194.0
195,00018,103,2015MM07,34.0,71.0
196,00018,103,2015MM08,35.0,69.0
197,00018,103,2015MM09,30.0,58.0
198,00018,103,2015KW03,99.0,198.0
199,00018,103,2015MM10,25.0,52.0
200,00018,103,2015MM11,21.0,45.0
201,00018,103,2015MM12,22.0,47.0
202,00018,103,2015KW04,68.0,144.0
203,00018,103,2015JJ00,327.0,658.0
204,00018,104,2012MM01,47.0,91.0
205,00018,104,2012MM02,54.0,98.0
206,00018,104,2012MM03,66.0,132.0
207,00018,104,2012KW01,168.0,320.0
208,00018,104,2012MM04,87.0,168.0
209,00018,104,2012MM05,87.0,179.0
210,00018,104,2012MM06,89.0,173.0
211,00018,104,2012KW02,263.0,520.0
212,00018,104,2012MM07,83.0,191.0
213,00018,104,2012MM08,94.0,209.0
214,00018,104,2012MM09,85.0,169.0
215,00018,104,2012KW03,262.0,569.0
216,00018,104,2012MM10,79.0,156.0
217,00018,104,2012MM11,67.0,128.0
218,00018,104,2012MM12,55.0,110.0
219,00018,104,2012KW04,201.0,394.0
220,00018,104,2012JJ00,894.0,1803.0
221,00018,104,2013MM01,40.0,79.0
222,00018,104,2013MM02,40.0,77.0
223,00018,104,2013MM03,58.0,129.0
224,00018,104,2013KW01,138.0,284.0
225,00018,104,2013MM04,69.0,140.0
226,00018,104,2013MM05,86.0,180.0
227,00018,104,2013MM06,83.0,160.0
228,00018,104,2013KW02,238.0,481.0
229,00018,104,2013MM07,96.0,206.0
230,00018,104,2013MM08,99.0,224.0
231,00018,104,2013MM09,77.0,156.0
232,00018,104,2013KW03,273.0,586.0
233,00018,104,2013MM10,77.0,153.0
234,00018,104,2013MM11,62.0,120.0
235,00018,104,2013MM12,45.0,94.0
