ID,Geslacht,Leeftijd,Cijfersoort,Perioden,HasjOfMarihuana_1,Cocaine_2,Amfetaminen_3,Ecstasy_4,Heroine_5,PrestatieverbeterendeMiddelen_6,LSD_7,HasjOfMarihuana_8,Cocaine_9,Amfetaminen_10,Ecstasy_11,Heroine_12,PrestatieverbeterendeMiddelen_13,LSD_14
38,1,5,1,2009JJ00,22.2,4.6,1.4,3.4,0.6,1.4,0.7,2.6,0.1,0.0,0.2,0.0,,0.0
39,1,5,2,2007JJ00,18.6,2.0,1.3,1.4,0.2,0.6,0.8,1.3,0.0,0.0,0.0,0.0,,0.0
40,1,5,2,2008JJ00,19.4,3.2,1.9,2.6,0.6,0.6,0.5,2.2,0.0,0.1,0.0,0.0,,0.0
41,1,5,2,2009JJ00,19.9,3.5,0.9,2.5,0.2,0.9,0.4,1.8,0.0,0.0,0.0,0.0,,0.0
42,1,5,3,2007JJ00,23.4,4.1,2.9,3.3,1.3,1.8,2.1,3.2,0.6,0.0,0.0,0.0,,0.0
43,1,5,3,2008JJ00,24.0,5.6,3.9,4.8,2.0,1.7,1.7,4.3,0.5,0.8,0.5,0.0,,0.0
44,1,5,3,2009JJ00,24.7,6.0,2.2,4.7,1.3,2.3,1.4,3.7,1.0,0.0,0.7,0.0,,0.0
45,1,6,1,2007JJ00,10.9,2.0,1.5,0.8,0.8,0.3,1.5,1.0,0.0,0.0,0.0,0.1,,0.0
46,1,6,1,2008JJ00,14.1,2.0,1.5,0.7,0.6,0.3,1.6,0.8,0.1,0.1,0.0,0.0,,0.0
47,1,6,1,2009JJ00,13.4,1.8,1.5,0.7,0.6,0.2,1.2,1.0,0.0,0.0,0.0,0.0,,0.0
48,1,6,2,2007JJ00,9.5,1.4,0.9,0.4,0.4,0.1,1.0,0.6,0.0,0.0,0.0,0.0,,0.0
49,1,6,2,2008JJ00,12.5,1.4,1.0,0.4,0.3,0.2,1.1,0.5,0.0,0.0,0.0,0.0,,0.0
50,1,6,2,2009JJ00,11.7,1.2,1.0,0.4,0.3,0.1,0.8,0.6,0.0,0.0,0.0,0.0,,0.0
51,1,6,3,2007JJ00,12.6,2.9,2.3,1.3,1.4,0.7,2.3,1.6,0.0,0.0,0.0,0.7,,0.0
52,1,6,3,2008JJ00,15.8,2.8,2.2,1.3,1.0,0.8,2.3,1.4,0.5,0.5,0.4,0.0,,0.0
53,1,6,3,2009JJ00,15.2,2.7,2.3,1.3,1.2,0.5,1.9,1.7,0.0,0.0,0.0,0.0,,0.0
54,2,1,1,2007JJ00,27.2,2.0,1.6,2.0,0.0,2.1,0.0,11.2,0.4,0.0,0.4,0.0,,0.0
55,2,1,1,2008JJ00,28.0,2.2,1.6,3.6,0.0,1.5,0.4,9.5,0.3,0.0,0.0,0.0,,0.0
56,2,1,1,2009JJ00,22.9,1.9,1.6,1.9,0.0,1.5,0.6,8.2,0.5,0.6,0.2,0.0,,0.0
57,2,1,2,2007JJ00,22.0,0.8,0.6,0.8,0.0,0.9,0.0,7.6,0.1,0.0,0.1,0.0,,0.0
58,2,1,2,2008JJ00,23.3,1.1,0.7,2.0,0.0,0.7,0.1,6.8,0.0,0.0,0.0,0.0,,0.0
59,2,1,2,2009JJ00,18.5,0.9,0.7,0.9,0.0,0.6,0.1,5.6,0.1,0.1,0.0,0.0,,0.0
60,2,1,3,2007JJ00,33.2,4.8,4.3,4.8,0.0,4.6,0.0,16.1,3.1,0.0,2.9,0.0,,0.0
61,2,1,3,2008JJ00,33.2,4.6,3.9,6.4,0.0,3.3,2.5,13.3,1.8,0.0,0.0,0.0,,0.0
62,2,1,3,2009JJ00,28.0,4.0,3.6,3.8,0.0,3.7,2.4,11.9,2.1,2.4,1.6,0.0,,0.0
63,2,2,1,2007JJ00,45.2,9.7,5.0,15.8,0.0,6.3,2.4,13.8,1.2,0.9,2.3,0.0,,0.0
64,2,2,1,2008JJ00,54.0,10.9,5.3,14.3,0.7,8.2,3.8,17.3,3.1,1.1,1.4,0.0,,0.0
65,2,2,1,2009JJ00,51.2,11.4,5.6,12.5,0.4,7.2,1.8,14.8,0.9,0.3,1.3,0.0,,0.4
66,2,2,2,2007JJ00,38.9,6.4,2.9,11.5,0.0,3.8,1.0,9.9,0.4,0.2,0.9,0.0,,0.0
67,2,2,2,2008JJ00,47.7,7.4,3.1,10.3,0.2,5.3,1.8,12.9,1.5,0.2,0.4,0.0,,0.0
68,2,2,2,2009JJ00,44.8,7.9,3.3,8.7,0.1,4.4,0.7,10.7,0.2,0.0,0.4,0.0,,0.1
69,2,2,3,2007JJ00,51.6,14.4,8.7,21.2,0.0,10.4,5.7,19.1,3.6,3.5,5.5,0.0,,0.0
70,2,2,3,2008JJ00,60.2,15.7,9.0,19.6,2.6,12.4,7.6,22.9,6.7,4.7,4.7,0.0,,0.0
71,2,2,3,2009JJ00,57.6,16.2,9.3,17.5,2.8,11.4,4.2,20.2,3.5,2.1,4.0,0.0,,3.0
72,2,3,1,2007JJ00,57.2,17.7,11.4,24.2,0.0,8.8,4.4,12.4,1.2,0.4,0.5,0.0,,0.5
73,2,3,1,2008JJ00,52.3,14.5,9.0,21.9,1.3,6.7,5.0,11.7,1.1,0.9,0.4,0.0,,0.0
74,2,3,1,2009JJ00,54.8,17.2,13.2,24.2,1.2,8.4,4.7,14.2,2.7,1.2,1.9,0.0,,0.0
75,2,3,2,2007JJ00,50.4,13.1,7.6,18.8,0.0,5.6,2.2,8.5,0.3,0.1,0.1,0.0,,0.1
76,2,3,2,2008JJ00,45.7,10.3,6.0,16.9,0.4,4.1,2.7,8.2,0.4,0.2,0.0,0.0,,0.0
77,2,3,2,2009JJ00,48.0,12.7,9.3,18.9,0.4,5.2,2.5,10.0,1.2,0.4,0.7,0.0,,0.0
78,2,3,3,2007JJ00,63.7,23.5,16.7,30.5,0.0,13.5,8.7,17.8,4.7,2.7,3.5,0.0,,3.3
79,2,3,3,2008JJ00,58.8,20.0,13.4,27.8,3.8,10.8,9.3,16.6,3.6,3.5,2.5,0.0,,0.0
80,2,3,3,2009JJ00,61.4,22.8,18.3,30.4,3.8,13.2,8.8,19.7,6.0,3.7,4.9,0.0,,
81,2,4,1,2007JJ00,38.3,8.7,5.3,12.3,0.8,3.3,4.6,6.5,1.1,0.1,0.6,0.1,,0.0
82,2,4,1,2008JJ00,41.3,12.0,7.4,15.3,1.2,3.8,3.6,7.4,1.0,0.4,1.3,0.4,,0.0
