ID,StationDistrict,Perioden,Temperatuur_1,Zonneschijn_2,Neerslag_3
0,Kooy,1960X001,2.5,53.8,65.0
1,Kooy,1960X002,2.4,74.0,46.0
2,Kooy,1960X003,4.4,127.2,38.0
3,Kooy,1960X004,7.6,180.8,39.0
4,Kooy,1960X005,11.3,226.8,40.0
5,Kooy,1960X006,14.5,238.1,41.0
6,Kooy,1960X007,16.7,216.9,67.0
7,Kooy,1960X008,17.1,206.5,74.0
8,Kooy,1960X009,15.2,151.1,75.0
9,Kooy,1960X010,11.2,102.3,88.0
10,Kooy,1960X011,7.2,48.3,79.0
11,Kooy,1960X012,4.3,39.6,66.0
12,Kooy,1960X013,9.5,1665.4,718.0
13,Kooy,1980X001,2.6,45.9,65.0
14,Kooy,1980X002,2.4,69.0,44.0
15,Kooy,1980X003,4.4,120.0,43.0
16,Kooy,1980X004,7.2,172.5,44.0
17,Kooy,1980X005,11.2,223.9,41.0
18,Kooy,1980X006,14.3,227.9,45.0
19,Kooy,1980X007,16.2,204.5,68.0
20,Kooy,1980X008,16.7,198.8,78.0
21,Kooy,1980X009,14.8,144.5,78.0
22,Kooy,1980X010,11.3,99.5,80.0
23,Kooy,1980X011,7.1,52.2,91.0
24,Kooy,1980X012,4.3,38.7,79.0
25,Kooy,1980X013,9.4,1597.4,756.0
26,Kooy,1980MM01,0.7,50.8,51.0
27,Kooy,1980MM02,4.3,62.7,56.0
28,Kooy,1980MM03,4.4,90.9,55.0
29,Kooy,1980MM04,7.7,167.4,20.0
30,Kooy,1980MM05,11.4,293.8,10.0
31,Kooy,1980MM06,14.2,197.5,70.0
32,Kooy,1980MM07,15.2,165.8,112.0
33,Kooy,1980MM08,16.5,165.9,84.0
34,Kooy,1980MM09,15.4,164.3,35.0
35,Kooy,1980MM10,10.3,97.6,126.0
36,Kooy,1980MM11,5.8,58.9,97.0
37,Kooy,1980MM12,4.8,48.0,99.0
38,Kooy,1980JJ00,9.2,1563.6,815.0
39,Kooy,1981MM01,3.6,46.6,88.0
40,Kooy,1981MM02,1.8,59.0,38.0
41,Kooy,1981MM03,6.7,54.1,117.0
42,Kooy,1981MM04,7.4,162.0,8.0
43,Kooy,1981MM05,12.4,235.0,59.0
44,Kooy,1981MM06,13.5,145.0,27.0
45,Kooy,1981MM07,15.7,210.0,50.0
46,Kooy,1981MM08,16.5,177.2,26.0
47,Kooy,1981MM09,15.3,161.7,67.0
48,Kooy,1981MM10,9.6,75.9,176.0
49,Kooy,1981MM11,7.7,46.6,84.0
50,Kooy,1981MM12,0.2,35.1,70.0
51,Kooy,1981JJ00,9.2,1408.8,806.0
52,Kooy,1982MM01,1.1,88.2,67.0
53,Kooy,1982MM02,2.6,95.9,22.0
54,Kooy,1982MM03,4.6,125.7,57.0
55,Kooy,1982MM04,6.9,196.2,22.0
56,Kooy,1982MM05,11.4,272.9,32.0
57,Kooy,1982MM06,15.6,231.8,91.0
58,Kooy,1982MM07,17.7,254.3,48.0
59,Kooy,1982MM08,17.0,202.2,88.0
60,Kooy,1982MM09,15.4,145.9,62.0
61,Kooy,1982MM10,11.3,80.0,115.0
62,Kooy,1982MM11,8.4,46.8,94.0
63,Kooy,1982MM12,4.2,16.9,87.0
64,Kooy,1982JJ00,9.7,1756.8,785.0
65,Kooy,1983MM01,6.2,41.3,79.0
66,Kooy,1983MM02,1.1,100.4,45.0
67,Kooy,1983MM03,5.1,119.0,86.0
68,Kooy,1983MM04,7.7,139.2,69.0
69,Kooy,1983MM05,10.2,115.0,107.0
70,Kooy,1983MM06,14.9,263.2,38.0
71,Kooy,1983MM07,17.9,250.4,12.0
72,Kooy,1983MM08,17.2,223.3,25.0
73,Kooy,1983MM09,14.2,119.5,181.0
74,Kooy,1983MM10,11.5,100.0,86.0
75,Kooy,1983MM11,7.2,65.8,69.0
76,Kooy,1983MM12,4.3,58.8,67.0
77,Kooy,1983JJ00,9.8,1595.9,864.0
78,Kooy,1984MM01,3.9,45.1,119.0
79,Kooy,1984MM02,2.2,71.3,43.0
80,Kooy,1984MM03,4.0,136.6,58.0
81,Kooy,1984MM04,7.4,216.8,16.0
82,Kooy,1984MM05,10.0,119.6,82.0
83,Kooy,1984MM06,12.8,179.9,68.0
84,Kooy,1984MM07,15.2,130.9,56.0
85,Kooy,1984MM08,17.6,229.7,22.0
86,Kooy,1984MM09,14.0,89.2,170.0
87,Kooy,1984MM10,12.2,80.8,67.0
88,Kooy,1984MM11,8.3,49.3,96.0
89,Kooy,1984MM12,5.3,37.6,54.0
90,Kooy,1984JJ00,9.4,1386.8,851.0
91,Kooy,1985MM01,-1.9,41.2,107.0
92,Kooy,1985MM02,0.4,95.1,5.0
93,Kooy,1985MM03,3.5,82.3,50.0
94,Kooy,1985MM04,7.5,138.7,45.0
95,Kooy,1985MM05,11.8,192.3,40.0
96,Kooy,1985MM06,13.0,170.1,117.0
