ID,Donorregistation,CharacteristicsHouseholdsPersons,Periods,DonorregisterFixedChoice_1,DonorregisterFixedChoice_2
0,T001421,T009002,2014JJ00,14591.0,100
1,T001421,T009002,2015JJ00,14685.1,100
2,T001421,T009002,2016JJ00,14782.6,100
3,T001421,T009002,2017JJ00,14895.2,100
4,T001421,T009002,2018JJ00,15005.8,100
5,T001421,T009002,2019JJ00,15117.2,100
6,T001421,T009002,2020JJ00,15265.4,100
7,T001421,3000   ,2014JJ00,7188.2,100
8,T001421,3000   ,2015JJ00,7238.6,100
9,T001421,3000   ,2016JJ00,7292.1,100
10,T001421,3000   ,2017JJ00,7354.4,100
11,T001421,3000   ,2018JJ00,7412.1,100
12,T001421,3000   ,2019JJ00,7471.5,100
13,T001421,3000   ,2020JJ00,7549.6,100
14,T001421,4000   ,2014JJ00,7402.8,100
15,T001421,4000   ,2015JJ00,7446.5,100
16,T001421,4000   ,2016JJ00,7490.5,100
17,T001421,4000   ,2017JJ00,7540.8,100
18,T001421,4000   ,2018JJ00,7593.7,100
19,T001421,4000   ,2019JJ00,7645.7,100
20,T001421,4000   ,2020JJ00,7715.7,100
21,T001421,52020  ,2014JJ00,1206.7,100
22,T001421,52020  ,2015JJ00,1215.9,100
23,T001421,52020  ,2016JJ00,1225.6,100
24,T001421,52020  ,2017JJ00,1224.4,100
25,T001421,52020  ,2018JJ00,1214.9,100
26,T001421,52020  ,2019JJ00,1197.4,100
27,T001421,52020  ,2020JJ00,1180.6,100
28,T001421,53090  ,2014JJ00,403.2,100
29,T001421,53090  ,2015JJ00,398.8,100
30,T001421,53090  ,2016JJ00,401.8,100
31,T001421,53090  ,2017JJ00,412.9,100
32,T001421,53090  ,2018JJ00,424.5,100
33,T001421,53090  ,2019JJ00,434.0,100
34,T001421,53090  ,2020JJ00,436.7,100
35,T001421,60300  ,2014JJ00,2098.5,100
36,T001421,60300  ,2015JJ00,2119.0,100
37,T001421,60300  ,2016JJ00,2134.8,100
38,T001421,60300  ,2017JJ00,2153.8,100
39,T001421,60300  ,2018JJ00,2173.6,100
40,T001421,60300  ,2019JJ00,2200.1,100
41,T001421,60300  ,2020JJ00,2231.7,100
42,T001421,60400  ,2014JJ00,2018.1,100
43,T001421,60400  ,2015JJ00,2014.3,100
44,T001421,60400  ,2016JJ00,2025.4,100
45,T001421,60400  ,2017JJ00,2048.5,100
46,T001421,60400  ,2018JJ00,2077.1,100
47,T001421,60400  ,2019JJ00,2107.0,100
48,T001421,60400  ,2020JJ00,2148.9,100
49,T001421,60500  ,2014JJ00,2517.5,100
50,T001421,60500  ,2015JJ00,2462.5,100
