ID,Landen,Perioden,Totaal_1,PlantaardigeProducten_2,Totaal_3,Dieren_4,DierlijkeProducten_5,Landbouwdiensten_6,NietTotDeLandbouwBehorendeNevena_7,IntermediairVerbruik_8,BrutoToegevoegdeWaardeBasisprijzen_9,BrutoToegevoegdeWaardeBasisprijzen_10,VerbruikVanVasteActiva_11,NietProductgebondenBelastingen_12,NietProductgebondenSubsidies_13,Landbouwinkomen_14,Arbeidsvolume_15,Inkomensindex2010100_16,MutatieTOVVoorafgaandJaar_17
460,10370,2015JJ00,128.0,53.0,68.0,41.0,27.0,0.0,7.0,67.0,61.0,61.0,7.0,0.0,19.0,73.0,5.0,84.1,5.8
461,10370,2016JJ00,126.0,52.0,67.0,39.0,28.0,0.0,7.0,63.0,63.0,63.0,7.0,0.0,13.0,69.0,5.0,78.3,-6.8
462,10420,1995JJ00,18831.0,8826.0,8885.0,4880.0,4005.0,1041.0,79.0,9819.0,9012.0,9012.0,1978.0,289.0,211.0,6956.0,186.0,112.5,
463,10420,1996JJ00,19107.0,8905.0,9051.0,5084.0,3967.0,1050.0,100.0,10408.0,8699.0,8699.0,2016.0,265.0,350.0,6768.0,189.0,106.0,-5.8
464,10420,1997JJ00,20247.0,9425.0,9561.0,5555.0,4006.0,1143.0,118.0,10552.0,9695.0,9695.0,2060.0,273.0,264.0,7626.0,190.0,115.8,9.3
465,10420,1998JJ00,19372.0,9657.0,8384.0,4228.0,4157.0,1194.0,137.0,10594.0,8778.0,8778.0,2118.0,265.0,263.0,6658.0,187.0,100.7,-13.1
466,10420,1999JJ00,19029.0,9653.0,7926.0,4026.0,3900.0,1284.0,166.0,10662.0,8366.0,8366.0,2188.0,264.0,436.0,6351.0,190.0,93.3,-7.3
467,10420,2000JJ00,20109.0,9921.0,8613.0,4431.0,4182.0,1375.0,199.0,11138.0,8970.0,8970.0,2338.0,277.0,267.0,6623.0,185.0,96.4,3.3
468,10420,2001JJ00,20869.0,10242.0,8863.0,4463.0,4400.0,1532.0,232.0,11657.0,9212.0,9212.0,2485.0,324.0,347.0,6751.0,178.0,98.4,2.1
469,10420,2002JJ00,20642.0,10503.0,8130.0,3998.0,4132.0,1759.0,250.0,11808.0,8834.0,8834.0,2587.0,326.0,221.0,6142.0,176.0,87.3,-11.2
470,10420,2003JJ00,20679.0,11046.0,7639.0,3547.0,4092.0,1734.0,260.0,11639.0,9040.0,9040.0,2650.0,297.0,368.0,6462.0,171.0,92.4,5.8
471,10420,2004JJ00,20561.0,10343.0,8159.0,4188.0,3971.0,1778.0,281.0,12150.0,8412.0,8412.0,2731.0,296.0,395.0,5780.0,164.0,84.8,-8.2
472,10420,2005JJ00,21037.0,10456.0,8399.0,4382.0,4017.0,1850.0,332.0,12323.0,8714.0,8714.0,2778.0,329.0,371.0,5979.0,162.0,87.1,2.7
473,10420,2006JJ00,22810.0,11546.0,8775.0,4568.0,4206.0,2039.0,450.0,13019.0,9790.0,9790.0,2845.0,327.0,658.0,7275.0,160.0,105.2,20.8
474,10420,2007JJ00,23919.0,12088.0,9132.0,4566.0,4566.0,2110.0,589.0,14340.0,9579.0,9579.0,2932.0,315.0,827.0,7158.0,158.0,102.6,-2.4
475,10420,2008JJ00,24741.0,11768.0,9829.0,4898.0,4932.0,2310.0,833.0,15824.0,8917.0,8917.0,3075.0,337.0,942.0,6446.0,154.0,92.3,-10.0
476,10420,2009JJ00,23122.0,11182.0,8787.0,4730.0,4057.0,2347.0,806.0,15032.0,8089.0,8089.0,3211.0,384.0,940.0,5435.0,153.0,78.0,-15.5
477,10420,2010JJ00,25319.0,12632.0,9384.0,4660.0,4724.0,2395.0,907.0,15646.0,9673.0,9673.0,3302.0,388.0,922.0,6906.0,150.0,100.0,28.1
478,10420,2011JJ00,25858.0,12341.0,10066.0,4923.0,5144.0,2510.0,940.0,17293.0,8565.0,8565.0,3325.0,388.0,1110.0,5962.0,149.0,86.9,-13.1
479,10420,2012JJ00,26811.0,12861.0,10589.0,5365.0,5224.0,2477.0,884.0,17665.0,9146.0,9146.0,3448.0,379.0,1103.0,6423.0,147.0,94.0,8.1
480,10420,2013JJ00,28241.0,13489.0,11356.0,5471.0,5885.0,2516.0,880.0,18047.0,10194.0,10194.0,3576.0,350.0,1144.0,7412.0,148.0,105.8,12.6
481,10420,2014JJ00,27086.0,12674.0,10992.0,5090.0,5902.0,2574.0,846.0,17121.0,9965.0,9965.0,3640.0,347.0,1031.0,7008.0,146.0,101.2,-4.4
482,10420,2015JJ00,26759.0,13314.0,10144.0,4810.0,5334.0,2486.0,815.0,16760.0,9999.0,9999.0,3706.0,370.0,1056.0,6979.0,146.0,99.8,-1.4
483,10420,2016JJ00,27020.0,13455.0,10332.0,4988.0,5344.0,2487.0,746.0,16650.0,10370.0,10370.0,3792.0,369.0,887.0,7096.0,146.0,100.9,1.1
484,10430,1995JJ00,3848.0,1268.0,2521.0,1182.0,1339.0,0.0,59.0,1927.0,1921.0,1921.0,620.0,0.0,255.0,1556.0,81.0,113.1,
485,10430,1996JJ00,3918.0,1289.0,2558.0,1205.0,1353.0,0.0,71.0,1930.0,1987.0,1987.0,632.0,0.0,280.0,1636.0,79.0,116.3,2.8
486,10430,1997JJ00,3988.0,1320.0,2596.0,1232.0,1364.0,0.0,72.0,2025.0,1963.0,1963.0,653.0,0.0,284.0,1594.0,76.0,111.3,-4.3
487,10430,1998JJ00,3910.0,1299.0,2538.0,1213.0,1325.0,0.0,73.0,1920.0,1990.0,1990.0,625.0,0.0,274.0,1639.0,75.0,124.1,11.5
488,10430,1999JJ00,3898.0,1327.0,2496.0,1213.0,1283.0,0.0,75.0,1953.0,1945.0,1945.0,644.0,0.0,292.0,1593.0,74.0,112.2,-9.6
489,10430,2000JJ00,3900.0,1346.0,2478.0,1166.0,1311.0,0.0,76.0,1962.0,1938.0,1938.0,667.0,0.0,335.0,1606.0,72.0,98.1,-12.5
