ID,Voertuigcategorie,Bouwjaar,COBebouwdeKom_1,COLandelijkeWegen_2,COAutosnelwegen_3,VOSBebouwdeKom_4,VOSLandelijkeWegen_5,VOSAutosnelwegen_6,NOxBebouwdeKom_7,NOxLandelijkeWegen_8,NOxAutosnelwegen_9,PM10BebouwdeKom_10,PM10LandelijkeWegen_11,PM10Autosnelwegen_12
69,Baben,2004 ,4.2,2.1,1.5,0.44,0.08,0.03,0.0,0.0,0.0,0.008,0.002,0.015
70,Badie,-1995,0.8,0.3,0.3,0.22,0.16,0.19,1.1,0.9,1.4,0.328,0.179,0.195
71,Badie,1996 ,0.9,0.2,0.3,0.17,0.09,0.13,1.1,0.8,1.1,0.215,0.119,0.137
72,Badie,1997 ,1.0,0.2,0.2,0.19,0.09,0.12,1.1,0.8,1.1,0.163,0.09,0.103
73,Badie,1998 ,1.0,0.2,0.2,0.19,0.09,0.12,1.1,0.8,1.1,0.154,0.086,0.098
74,Badie,1999 ,1.0,0.2,0.2,0.18,0.08,0.12,1.2,0.9,1.2,0.14,0.078,0.088
75,Badie,2000 ,0.8,0.2,0.2,0.17,0.06,0.08,1.1,0.8,1.1,0.116,0.064,0.073
76,Badie,2001 ,0.6,0.1,0.1,0.15,0.04,0.05,1.0,0.7,1.0,0.091,0.051,0.057
77,Badie,2002 ,0.6,0.1,0.1,0.15,0.04,0.05,1.0,0.7,1.0,0.091,0.051,0.057
78,Badie,2003 ,0.6,0.1,0.1,0.15,0.04,0.05,1.0,0.7,1.0,0.091,0.051,0.057
79,Badie,2004 ,0.6,0.1,0.1,0.15,0.04,0.05,1.0,0.7,1.0,0.091,0.051,0.057
80,BaLPG,-1995,8.4,4.0,2.4,3.11,2.2,1.52,3.2,3.1,5.1,0.019,0.011,0.017
81,BaLPG,1996 ,3.3,1.6,1.1,0.93,0.36,0.14,0.5,0.3,0.7,0.006,0.002,0.009
82,BaLPG,1997 ,2.9,1.4,1.0,0.74,0.29,0.11,0.4,0.2,0.6,0.006,0.002,0.009
83,BaLPG,1998 ,2.8,1.4,1.0,0.73,0.29,0.11,0.4,0.2,0.6,0.006,0.002,0.009
84,BaLPG,1999 ,2.8,1.4,1.0,0.72,0.28,0.11,0.4,0.2,0.5,0.006,0.002,0.009
85,BaLPG,2000 ,2.2,1.1,0.8,0.58,0.23,0.09,0.3,0.2,0.3,0.006,0.002,0.009
86,BaLPG,2001 ,1.7,0.9,0.6,0.46,0.19,0.07,0.2,0.1,0.2,0.006,0.002,0.009
87,BaLPG,2002 ,1.7,0.9,0.6,0.45,0.18,0.07,0.2,0.1,0.2,0.006,0.002,0.009
88,BaLPG,2003 ,1.2,0.6,0.4,0.32,0.13,0.05,0.1,0.1,0.1,0.006,0.002,0.009
89,BaLPG,2004 ,1.0,0.5,0.4,0.26,0.11,0.04,0.1,0.1,0.1,0.006,0.002,0.009
90,Vadie,-1995,4.3,2.5,1.8,1.74,0.83,0.59,14.1,11.1,9.8,0.821,0.472,0.355
91,Vadie,1996 ,3.0,1.8,1.3,0.84,0.45,0.33,13.4,10.1,8.7,0.391,0.248,0.197
92,Vadie,1997 ,2.8,1.7,1.2,0.7,0.38,0.28,13.7,10.3,8.9,0.285,0.196,0.163
93,Vadie,1998 ,2.7,1.7,1.2,0.69,0.38,0.28,13.6,10.2,8.8,0.279,0.193,0.161
94,Vadie,1999 ,2.7,1.7,1.2,0.69,0.38,0.28,13.6,10.3,8.9,0.28,0.194,0.161
95,Vadie,2000 ,2.9,1.8,1.2,0.72,0.39,0.29,13.7,10.2,8.7,0.302,0.2,0.16
96,Vadie,2001 ,3.0,1.8,1.2,0.77,0.43,0.32,12.6,9.3,7.4,0.346,0.204,0.14
97,Vadie,2002 ,3.2,1.9,1.3,0.82,0.45,0.34,11.9,8.7,6.6,0.379,0.208,0.127
98,Vadie,2003 ,3.2,1.9,1.3,0.82,0.45,0.34,11.9,8.7,6.6,0.379,0.208,0.127
99,Vadie,2004 ,3.2,1.9,1.3,0.82,0.45,0.34,11.9,8.7,6.6,0.379,0.208,0.127
100,Trdie,-1995,4.7,2.6,1.8,1.49,0.7,0.47,17.1,12.7,10.6,0.925,0.525,0.386
101,Trdie,1996 ,4.1,2.5,1.7,0.98,0.52,0.35,17.2,12.4,10.2,0.528,0.33,0.254
102,Trdie,1997 ,3.8,2.4,1.6,0.8,0.43,0.3,17.6,12.6,10.4,0.399,0.269,0.217
103,Trdie,1998 ,3.8,2.4,1.6,0.79,0.43,0.3,17.6,12.6,10.4,0.394,0.267,0.215
104,Trdie,1999 ,3.8,2.4,1.6,0.79,0.43,0.3,17.6,12.6,10.4,0.394,0.267,0.215
105,Trdie,2000 ,3.8,2.4,1.6,0.81,0.44,0.3,17.3,12.4,10.1,0.403,0.266,0.209
106,Trdie,2001 ,3.9,2.4,1.6,0.88,0.48,0.33,15.9,11.4,9.0,0.441,0.265,0.181
107,Trdie,2002 ,4.0,2.4,1.6,0.94,0.51,0.36,14.9,10.7,8.1,0.47,0.264,0.161
108,Trdie,2003 ,4.0,2.4,1.6,0.94,0.51,0.36,14.9,10.7,8.1,0.47,0.264,0.161
109,Trdie,2004 ,4.0,2.4,1.6,0.94,0.51,0.36,14.9,10.7,8.1,0.47,0.264,0.161
110,Abdie,-1995,4.4,2.7,2.0,1.7,0.8,0.52,14.1,11.0,9.8,0.822,0.47,0.345
111,Abdie,1996 ,2.6,1.6,1.1,0.66,0.35,0.26,12.0,9.0,7.9,0.342,0.218,0.176
112,Abdie,1997 ,2.5,1.5,1.0,0.56,0.3,0.22,12.3,9.1,8.0,0.261,0.178,0.147
113,Abdie,1998 ,2.5,1.5,1.0,0.56,0.3,0.22,12.3,9.1,8.0,0.258,0.176,0.146
114,Abdie,1999 ,2.5,1.5,1.0,0.56,0.3,0.22,12.3,9.1,8.0,0.258,0.176,0.146
115,Abdie,2000 ,2.5,1.5,1.0,0.57,0.31,0.23,12.1,8.9,7.8,0.264,0.176,0.141
116,Abdie,2001 ,2.6,1.5,1.0,0.61,0.33,0.25,11.2,8.2,6.8,0.29,0.174,0.12
117,Abdie,2002 ,2.7,1.6,1.0,0.65,0.35,0.26,10.6,7.6,6.0,0.309,0.173,0.104
118,Abdie,2003 ,2.7,1.6,1.0,0.65,0.35,0.26,10.6,7.6,6.0,0.309,0.173,0.104
119,Abdie,2004 ,2.7,1.6,1.0,0.65,0.35,0.26,10.6,7.6,6.0,0.309,0.173,0.104
