ID,NederlandseEconomie,Perioden,RamingCO2EmissieMlnKg_1,RamingCO2EmissieJaarmutatie_2,RamingCO2EmissieWeersgecorrigeerd_3
0,T001393,2015KW01,,8.1,3.8
1,T001393,2015KW02,,4.1,2.7
2,T001393,2015KW03,,6.8,6.4
3,T001393,2015KW04,,0.4,2.4
4,T001393,2016KW01,,-1.3,-0.8
5,T001393,2016KW02,,-0.3,0.3
6,T001393,2016KW03,,-2.3,-1.0
7,T001393,2016KW04,,7.3,2.7
8,T001393,2017KW01,,1.9,2.3
9,T001393,2017KW02,,-0.9,-0.4
10,T001393,2017KW03,,0.2,-1.2
11,T001393,2017KW04,,-2.2,-0.2
12,T001393,2018KW01,,2.5,1.1
13,T001393,2018KW02,,-3.8,-0.8
14,T001393,2018KW03,,0.1,0.8
15,T001393,2018KW04,,0.5,0.4
16,T001393,2019KW01,,-0.8,1.6
17,T001393,2019KW02,,2.9,-1.3
18,T001393,2019KW03,,-4.4,-4.9
19,T001393,2019KW04,,1.8,1.2
20,T001393,2020KW01,,-8.7,-7.5
21,T001393,2020KW02,,-21.1,-20.5
22,T001393,2020KW03,,-4.5,-5.7
23,T001393,2020KW04,,-9.7,-9.0
24,T001393,2021KW01,48229.0,-0.6,-3.8
25,T001393,2021KW02,40907.0,14.1,9.2
26,T001393,2021KW03,38857.0,-0.6,0.5
27,T001393,2021KW04,48422.0,2.8,3.2
28,T001393,2021JJ00,177942.0,3.1,1.6
29,T001393,2022KW01,44517.0,-10.9,-7.5
30,T001393,2022KW02,36988.0,-7.5,-4.2
31,T001393,2022KW03,35448.0,-3.5,-4.3
32,T001393,2022KW04,42167.0,-10.5,-9.8
33,T001393,2022JJ00,159121.0,-8.4,-6.6
34,T001393,2023KW01,41928.0,-3.3,-5.3
35,T001393,2023KW02,34449.0,-3.2,-1.0
36,T001393,2023KW03,33773.0,-10.5,-8.5
37,T001393,2023KW04,42478.0,-4.4,-2.6
38,T001393,2023JJ00,159455.0,-5.5,-4.7
39,T001393,2024KW01,43722.0,-4.1,-2.7
40,T001393,2024KW02,35231.0,-6.6,-4.9
41,T001393,2024KW03,32660.0,-2.9,-4.2
42,T001393,2024KW04,43354.0,3.4,1.3
43,T001393,2024JJ00,154001.0,-1.5,-1.6
44,T001393,2025KW01,46831.0,7.7,3.6
45,T001393,2025KW02,32628.0,-4.4,-3.5
46,T001393,2025KW03,34688.0,1.5,1.1
47,A044975,2015KW01,,9.8,
48,A044975,2015KW02,,6.4,
49,A044975,2015KW03,,2.0,
50,A044975,2015KW04,,-4.2,
51,A044975,2016KW01,,-0.8,
52,A044975,2016KW02,,-0.2,
53,A044975,2016KW03,,-0.4,
54,A044975,2016KW04,,13.7,
55,A044975,2017KW01,,-1.1,
56,A044975,2017KW02,,0.0,
57,A044975,2017KW03,,5.3,
58,A044975,2017KW04,,-3.2,
59,A044975,2018KW01,,5.2,
60,A044975,2018KW02,,-6.3,
61,A044975,2018KW03,,-1.3,
62,A044975,2018KW04,,1.8,
63,A044975,2019KW01,,-3.0,
64,A044975,2019KW02,,12.7,
65,A044975,2019KW03,,2.9,
66,A044975,2019KW04,,1.0,
67,A044975,2020KW01,,-5.9,
68,A044975,2020KW02,,-17.1,
69,A044975,2020KW03,,-1.3,
70,A044975,2020KW04,,-9.0,
71,A044975,2021KW01,11296.0,3.0,
72,A044975,2021KW02,7718.0,25.4,
73,A044975,2021KW03,4870.0,-1.1,
74,A044975,2021KW04,9282.0,4.8,
75,A044975,2021JJ00,31827.0,6.8,
76,A044975,2022KW01,9660.0,-13.6,
77,A044975,2022KW02,5409.0,-15.3,
78,A044975,2022KW03,4155.0,-1.9,
79,A044975,2022KW04,8227.0,-10.8,
80,A044975,2022JJ00,27451.0,-11.5,
81,A044975,2023KW01,9440.0,-4.9,
82,A044975,2023KW02,5640.0,2.5,
83,A044975,2023KW03,4170.0,-6.6,
84,A044975,2023KW04,8726.0,-3.9,
85,A044975,2023JJ00,29771.0,-2.9,
86,A044975,2024KW01,9813.0,-5.2,
87,A044975,2024KW02,5628.0,-10.0,
88,A044975,2024KW03,4466.0,4.6,
89,A044975,2024KW04,8523.0,1.6,
90,A044975,2024JJ00,27987.0,-2.2,
91,A044975,2025KW01,9954.0,3.6,
92,A044975,2025KW02,4971.0,-7.8,
93,A044975,2025KW03,4402.0,-4.8,
94,A044976,2015KW01,,16.5,
95,A044976,2015KW02,,10.2,
96,A044976,2015KW03,,17.3,
97,A044976,2015KW04,,4.3,
98,A044976,2016KW01,,-3.2,
99,A044976,2016KW02,,-2.9,
100,A044976,2016KW03,,-6.0,
101,A044976,2016KW04,,5.5,
102,A044976,2017KW01,,4.3,
103,A044976,2017KW02,,-4.8,
104,A044976,2017KW03,,-8.3,
105,A044976,2017KW04,,-8.2,
106,A044976,2018KW01,,-3.8,
107,A044976,2018KW02,,-6.9,
108,A044976,2018KW03,,0.7,
109,A044976,2018KW04,,-1.7,
110,A044976,2019KW01,,0.7,
111,A044976,2019KW02,,-3.8,
112,A044976,2019KW03,,-12.7,
113,A044976,2019KW04,,3.2,
114,A044976,2020KW01,,-20.1,
115,A044976,2020KW02,,-24.8,
116,A044976,2020KW03,,8.6,
117,A044976,2020KW04,,-12.1,
118,A044976,2021KW01,4670.0,6.7,
119,A044976,2021KW02,9914.0,-0.6,
120,A044976,2021KW03,11756.0,-8.3,
121,A044976,2021KW04,14351.0,10.7,
122,A044976,2021JJ00,49353.0,3.0,
123,A044976,2022KW01,11234.0,-12.8,
124,A044976,2022KW02,10242.0,-0.5,
125,A044976,2022KW03,11932.0,9.5,
126,A044976,2022KW04,12170.0,-12.0,
127,A044976,2022JJ00,45578.0,-4.8,
128,A044976,2023KW01,10081.0,-3.0,
129,A044976,2023KW02,7835.0,-13.7,
130,A044976,2023KW03,8968.0,-27.8,
131,A044976,2023KW04,10337.0,-14.9,
132,A044976,2023JJ00,39647.0,-15.3,
133,A044976,2024KW01,9990.0,-12.1,
134,A044976,2024KW02,6905.0,-23.0,
135,A044976,2024KW03,7473.0,-12.8,
136,A044976,2024KW04,12015.0,22.0,
137,A044976,2024JJ00,37032.0,-2.5,
138,A044976,2025KW01,12266.0,28.7,
139,A044976,2025KW02,7663.0,6.1,
140,A044976,2025KW03,9564.0,18.4,
141,A044977,2015KW01,,0.3,
142,A044977,2015KW02,,1.0,
143,A044977,2015KW03,,4.3,
144,A044977,2015KW04,,1.7,
145,A044977,2016KW01,,2.3,
146,A044977,2016KW02,,1.9,
147,A044977,2016KW03,,4.6,
148,A044977,2016KW04,,5.3,
149,A044977,2017KW01,,4.8,
150,A044977,2017KW02,,4.7,
151,A044977,2017KW03,,2.9,
152,A044977,2017KW04,,3.5,
153,A044977,2018KW01,,5.1,
