ID,Zorgfuncties,FinancieringsvormenZorg,Perioden,UitgavenAanGezondheidszorgIngezetenen_1
0,A019168,A019149,2021JJ00,99490.0
1,A019168,A019149,2022JJ00,99832.0
2,A019168,A019149,2023JJ00,105142.0
3,A019168,A019149,2024JJ00,113403.0
4,A019168,A019150,2021JJ00,83329.0
5,A019168,A019150,2022JJ00,82721.0
6,A019168,A019150,2023JJ00,86761.0
7,A019168,A019150,2024JJ00,94092.0
8,A019168,A019151,2021JJ00,13601.0
9,A019168,A019151,2022JJ00,10268.0
10,A019168,A019151,2023JJ00,8634.0
11,A019168,A019151,2024JJ00,9147.0
12,A019168,A019152,2021JJ00,69728.0
13,A019168,A019152,2022JJ00,72453.0
14,A019168,A019152,2023JJ00,78127.0
15,A019168,A019152,2024JJ00,84945.0
16,A019168,A019154,2021JJ00,21772.0
17,A019168,A019154,2022JJ00,22975.0
18,A019168,A019154,2023JJ00,25108.0
19,A019168,A019154,2024JJ00,27768.0
20,A019168,A019155,2021JJ00,
21,A019168,A019155,2022JJ00,
22,A019168,A019155,2023JJ00,
23,A019168,A019155,2024JJ00,
24,A019168,A019156,2021JJ00,47956.0
25,A019168,A019156,2022JJ00,49479.0
26,A019168,A019156,2023JJ00,53020.0
27,A019168,A019156,2024JJ00,57177.0
28,A019168,A041720,2021JJ00,16161.0
29,A019168,A041720,2022JJ00,17111.0
30,A019168,A041720,2023JJ00,18381.0
31,A019168,A041720,2024JJ00,19311.0
32,A019168,A019157,2021JJ00,5246.0
33,A019168,A019157,2022JJ00,5200.0
34,A019168,A019157,2023JJ00,5540.0
35,A019168,A019157,2024JJ00,5742.0
36,A019168,A019158,2021JJ00,4127.0
37,A019168,A019158,2022JJ00,4136.0
38,A019168,A019158,2023JJ00,4303.0
39,A019168,A019158,2024JJ00,4359.0
40,A019168,A019161,2021JJ00,44.0
41,A019168,A019161,2022JJ00,21.0
42,A019168,A019161,2023JJ00,69.0
43,A019168,A019161,2024JJ00,95.0
44,A019168,A019162,2021JJ00,1076.0
45,A019168,A019162,2022JJ00,1044.0
46,A019168,A019162,2023JJ00,1168.0
47,A019168,A019162,2024JJ00,1288.0
48,A019168,A019163,2021JJ00,10915.0
49,A019168,A019163,2022JJ00,11911.0
50,A019168,A019163,2023JJ00,12841.0
51,A019168,A019163,2024JJ00,13569.0
52,A019168,A019164,2021JJ00,5821.0
53,A019168,A019164,2022JJ00,6605.0
54,A019168,A019164,2023JJ00,7367.0
