ID,SBI93,Perioden,ProducentenprijzenAfzetBinnenland_1,IngekochteGrondstoffenHalffabrikaten_2
0,101000,1935JJ00,8.0,6.0
1,101000,1936JJ00,8.0,6.0
2,101000,1937JJ00,10.0,8.0
3,101000,1938JJ00,10.0,6.0
4,101000,1939JJ00,10.0,8.0
5,101000,1940JJ00,12.0,11.0
6,101000,1941JJ00,14.0,11.0
7,101000,1942JJ00,14.0,11.0
8,101000,1943JJ00,14.0,11.0
9,101000,1944JJ00,15.0,11.0
10,101000,1945JJ00,17.0,14.0
11,101000,1946JJ00,24.0,19.0
12,101000,1947JJ00,25.0,23.0
13,101000,1948JJ00,26.0,24.0
14,101000,1949JJ00,27.0,25.0
15,101000,1950JJ00,30.0,30.0
16,101000,1951JJ00,38.0,40.0
17,101000,1952JJ00,36.0,39.0
18,101000,1953JJ00,35.0,37.0
19,101000,1954JJ00,35.0,37.0
20,101000,1955JJ00,36.0,38.0
21,101000,1956JJ00,36.0,40.0
22,101000,1957JJ00,37.0,41.0
23,101000,1958JJ00,36.0,41.0
24,101000,1959JJ00,36.0,40.0
25,101000,1960JJ00,36.0,39.0
26,101000,1961JJ00,36.0,39.0
27,101000,1962JJ00,37.0,38.0
28,101000,1963JJ00,38.0,39.0
29,101000,1964JJ00,40.0,40.0
30,101000,1965JJ00,41.0,41.0
31,101000,1966JJ00,43.0,43.0
32,101000,1967JJ00,43.0,41.0
33,101000,1968JJ00,44.0,41.0
34,101000,1969JJ00,47.0,44.0
35,101000,1970JJ00,48.0,46.0
36,101000,1971JJ00,50.0,47.0
37,101000,1972JJ00,53.0,47.0
38,101000,1973JJ00,56.0,54.0
39,101000,1974JJ00,62.0,72.0
40,101000,1975JJ00,66.0,73.0
41,101000,1976JJ00,71.0,79.0
42,101000,1977JJ00,75.0,81.0
43,101000,1978JJ00,77.0,78.0
44,101000,1979JJ00,79.0,88.0
45,101000,1980JJ00,85.0,104.0
46,101000,1981JJ00,91.0,125.0
47,101000,1982JJ00,96.0,127.0
48,101000,1983JJ00,97.0,127.0
49,101000,1984JJ00,102.0,137.0
50,101000,1985JJ00,102.0,137.0
51,101000,1986JJ00,96.0,101.0
52,101000,1987JJ00,95.0,96.0
53,101000,1988JJ00,96.0,94.0
54,101000,1989JJ00,98.0,102.0
55,101000,1990JJ00,100.0,100.0
56,101000,1991JJ00,102.0,98.0
57,101000,1992JJ00,102.0,94.0
58,101000,1993JJ00,101.0,91.0
59,101000,1994JJ00,102.0,92.0
60,101000,1995JJ00,104.0,94.0
61,101000,1996JJ00,106.0,98.0
62,101000,1997JJ00,108.0,102.0
63,101000,1998JJ00,107.0,96.0
64,101000,1999JJ00,107.0,110.0
65,101000,2000JJ00,116.0,125.0
66,101000,2001JJ00,119.0,121.0
67,101000,2002JJ00,119.0,120.0
68,101010,1935JJ00,12.0,
69,101010,1936JJ00,13.0,
70,101010,1937JJ00,13.0,
71,101010,1938JJ00,13.0,
72,101010,1939JJ00,13.0,
73,101010,1940JJ00,14.0,
74,101010,1941JJ00,16.0,
75,101010,1942JJ00,17.0,
76,101010,1943JJ00,17.0,
77,101010,1944JJ00,18.0,
78,101010,1945JJ00,21.0,
79,101010,1946JJ00,27.0,
80,101010,1947JJ00,28.0,
81,101010,1948JJ00,28.0,
82,101010,1949JJ00,29.0,
83,101010,1950JJ00,32.0,
84,101010,1951JJ00,38.0,
85,101010,1952JJ00,39.0,
86,101010,1953JJ00,38.0,
87,101010,1954JJ00,39.0,
88,101010,1955JJ00,38.0,
89,101010,1956JJ00,39.0,
90,101010,1957JJ00,40.0,
91,101010,1958JJ00,41.0,
92,101010,1959JJ00,41.0,
93,101010,1960JJ00,40.0,
94,101010,1961JJ00,40.0,
