ID,KenmerkenDagtochten,Perioden,TotaleUitgavenAanDagtochten_1,TotaleEntreeEnDeelnamekosten_2,TotaleConsumptiekosten_3,TotaleReiskosten_4,UitgavenPerPersoonPerDagtocht_5,EntreeEnDeelnamekostenPPPDagt_6,ConsumptiekostenPerPersoonPerDagt_7,ReiskostenPerPersoonPerDagtocht_8
0,01,1990VJ04,5259,1045,3259,954,6.06,1.2,3.76,1.1
1,01,1996VJ08,6714,1608,3990,1116,7.17,1.72,4.26,1.19
2,01,2002VJ11,11511,2863,6845,1803,11.73,2.92,6.97,1.84
3,01,2007VJ09,12715,3116,7526,2073,14.02,3.44,8.3,2.29
4,02,1990VJ04,204,62,98,44,3.43,1.04,1.65,0.74
5,02,1996VJ08,208,81,86,42,3.91,1.51,1.61,0.78
6,02,2002VJ11,340,128,148,64,5.87,2.22,2.56,1.1
7,02,2007VJ09,357,137,156,64,8.62,3.3,3.78,1.54
8,03,1990VJ04,62,3,43,16,6.66,0.36,4.6,1.7
9,03,1996VJ08,50,3,32,15,5.86,0.4,3.73,1.73
10,03,2002VJ11,91,3,65,23,8.61,0.29,6.14,2.18
11,03,2007VJ09,101,7,65,28,14.93,1.1,9.62,4.2
12,05,1990VJ04,21,9,10,1,2.25,1.04,1.06,0.16
13,05,1996VJ08,14,7,5,2,2.47,1.29,0.91,0.27
14,05,2002VJ11,24,15,7,1,3.47,2.18,1.09,0.19
15,05,2007VJ09,11,6,4,1,3.39,1.84,1.29,0.25
16,04,1990VJ04,23,3,15,5,2.71,0.33,1.75,0.63
17,04,1996VJ08,13,3,7,3,2.59,0.56,1.49,0.53
18,04,2002VJ11,29,5,16,8,4.67,0.75,2.61,1.31
19,04,2007VJ09,10,1,5,4,3.72,0.47,1.95,1.29
20,06,1990VJ04,16,1,7,8,3.96,0.27,1.73,1.97
21,06,1996VJ08,24,2,12,10,5.33,0.52,2.65,2.16
22,06,2002VJ11,33,7,14,13,7.04,1.47,2.9,2.67
23,06,2007VJ09,44,4,28,12,9.0,0.87,5.65,2.47
24,07,1990VJ04,83,45,24,13,2.89,1.59,0.84,0.47
25,07,1996VJ08,107,65,29,13,3.62,2.19,0.99,0.44
26,07,2002VJ11,163,99,46,18,5.52,3.35,1.54,0.62
27,07,2007VJ09,183,112,53,18,7.8,4.77,2.25,0.79
28,08,1990VJ04,993,263,546,184,3.4,0.9,1.87,0.63
29,08,1996VJ08,1167,397,584,186,3.92,1.33,1.96,0.63
30,08,2002VJ11,1970,723,939,308,6.48,2.38,3.09,1.01
31,08,2007VJ09,2038,719,969,350,8.12,2.87,3.86,1.39
32,10,1990VJ04,69,7,58,5,1.85,0.17,1.54,0.14
33,10,1996VJ08,103,9,83,11,2.4,0.2,1.94,0.26
34,10,2002VJ11,204,16,160,28,4.27,0.34,3.35,0.59
35,10,2007VJ09,215,20,171,24,6.18,0.58,4.91,0.69
36,09,1990VJ04,154,7,97,49,2.57,0.12,1.63,0.83
37,09,1996VJ08,169,7,108,54,2.85,0.13,1.81,0.92
38,09,2002VJ11,306,25,191,91,4.65,0.37,2.9,1.38
39,09,2007VJ09,328,31,183,114,6.82,0.64,3.8,2.38
40,11,1990VJ04,13,7,4,2,6.86,3.43,2.24,1.19
41,11,1996VJ08,47,24,17,6,12.38,6.36,4.47,1.56
42,11,2002VJ11,143,76,50,17,22.92,12.25,7.98,2.69
43,11,2007VJ09,180,105,57,17,26.53,15.55,8.41,2.58
44,12,1990VJ04,27,8,12,8,3.98,1.15,1.68,1.16
45,12,1996VJ08,33,13,12,8,6.14,2.4,2.25,1.49
46,12,2002VJ11,68,22,32,13,9.45,3.1,4.47,1.88
47,12,2007VJ09,74,25,34,16,10.26,3.44,4.63,2.19
48,13,1990VJ04,19,8,6,6,3.27,1.28,0.96,1.03
49,13,1996VJ08,21,9,5,7,3.47,1.45,0.82,1.19
50,13,2002VJ11,27,12,8,6,7.02,3.24,2.11,1.67
51,13,2007VJ09,21,8,6,7,6.37,2.27,1.89,2.22
52,14,1990VJ04,36,24,8,4,3.84,2.58,0.89,0.38
53,14,1996VJ08,65,44,12,8,5.34,3.66,1.02,0.66
54,14,2002VJ11,82,53,19,9,7.08,4.62,1.67,0.79
55,14,2007VJ09,85,65,11,9,11.09,8.54,1.37,1.18
56,15,1990VJ04,84,50,24,9,4.57,2.74,1.33,0.5
57,15,1996VJ08,164,106,43,16,5.27,3.38,1.37,0.51
58,15,2002VJ11,263,172,62,29,7.85,5.13,1.87,0.86
59,15,2007VJ09,296,193,73,29,10.41,6.81,2.58,1.02
60,16,1990VJ04,23,7,10,6,1.73,0.54,0.72,0.47
61,16,1996VJ08,36,11,16,9,2.1,0.64,0.92,0.53
62,16,2002VJ11,48,24,12,12,8.53,4.31,2.04,2.17
63,16,2007VJ09,33,22,5,6,8.84,5.86,1.29,1.69
64,17,1990VJ04,233,78,125,30,4.03,1.35,2.16,0.52
65,17,1996VJ08,303,117,151,36,4.82,1.86,2.4,0.57
66,17,2002VJ11,503,227,213,64,8.45,3.8,3.58,1.07
67,17,2007VJ09,375,111,206,59,7.82,2.31,4.29,1.22
68,18,1990VJ04,191,33,125,34,3.59,0.62,2.34,0.64
69,18,1996VJ08,225,57,137,31,3.95,1.0,2.41,0.54
70,18,2002VJ11,327,95,192,39,5.19,1.51,3.06,0.62
71,18,2007VJ09,403,125,216,63,6.67,2.06,3.57,1.04
72,19,1990VJ04,142,34,78,30,5.19,1.26,2.84,1.09
73,19,1996VJ08,215,66,100,49,6.48,2.0,3.01,1.47
74,19,2002VJ11,347,108,163,76,9.61,3.0,4.52,2.09
75,19,2007VJ09,416,140,194,81,10.95,3.69,5.12,2.14
76,20,1990VJ04,209,20,93,96,10.2,0.97,4.53,4.71
77,20,1996VJ08,178,21,79,78,10.25,1.23,4.54,4.47
78,20,2002VJ11,283,30,132,121,13.18,1.39,6.13,5.66
79,20,2007VJ09,262,77,106,80,24.02,7.02,9.68,7.32
80,21,1990VJ04,674,153,324,197,8.31,1.89,4.0,2.43
81,21,1996VJ08,863,234,392,237,9.61,2.61,4.36,2.64
82,21,2002VJ11,1519,442,719,358,14.14,4.11,6.69,3.34
83,21,2007VJ09,1874,540,914,420,15.75,4.54,7.68,3.53
84,22,1990VJ04,228,78,92,57,8.23,2.83,3.32,2.08
85,22,1996VJ08,326,126,118,82,9.94,3.84,3.59,2.51
86,22,2002VJ11,645,279,236,129,13.92,6.03,5.1,2.79
87,22,2007VJ09,731,306,290,135,14.97,6.26,5.94,2.77
88,23,1990VJ04,16,4,8,4,2.79,0.74,1.37,0.68
89,23,1996VJ08,21,6,10,5,3.4,1.0,1.59,0.81
90,23,2002VJ11,69,28,31,10,5.82,2.34,2.6,0.88
91,23,2007VJ09,116,43,58,14,7.61,2.85,3.83,0.93
92,24,1990VJ04,105,39,40,26,14.76,5.52,5.64,3.6
93,24,1996VJ08,154,65,50,40,18.29,7.7,5.87,4.73
94,24,2002VJ11,258,119,93,46,24.67,11.34,8.91,4.42
95,24,2007VJ09,251,121,86,44,25.2,12.17,8.62,4.41
96,25,1990VJ04,80,30,31,19,10.5,3.92,4.03,2.55
97,25,1996VJ08,116,47,43,27,12.34,4.97,4.53,2.84
98,25,2002VJ11,193,92,68,33,17.58,8.4,6.18,3.0
99,25,2007VJ09,278,104,113,62,20.38,7.59,8.25,4.54
100,26,1990VJ04,27,5,13,9,3.63,0.68,1.79,1.17
101,26,1996VJ08,34,8,16,10,3.89,0.91,1.79,1.2
102,26,2002VJ11,125,41,45,40,9.63,3.13,3.44,3.05
103,26,2007VJ09,86,38,33,15,8.62,3.77,3.31,1.54
104,27,1990VJ04,253,39,121,93,9.96,1.53,4.76,3.67
105,27,1996VJ08,261,45,122,94,10.36,1.78,4.83,3.75
106,27,2002VJ11,417,71,196,149,14.52,2.48,6.84,5.2
107,27,2007VJ09,583,121,284,178,18.19,3.77,8.87,5.55
108,28,1990VJ04,98,7,56,35,15.88,1.13,9.07,5.68
109,28,1996VJ08,91,7,50,34,14.16,1.11,7.8,5.25
110,28,2002VJ11,139,10,83,45,21.44,1.62,12.91,6.91
111,28,2007VJ09,175,14,104,58,21.1,1.65,12.49,6.95
112,29,1990VJ04,88,22,36,30,8.29,2.11,3.36,2.82
113,29,1996VJ08,97,26,40,31,10.05,2.67,4.18,3.2
114,29,2002VJ11,163,42,64,57,14.54,3.75,5.72,5.07
115,29,2007VJ09,231,57,109,65,18.23,4.47,8.65,5.11
116,30,1990VJ04,66,9,29,28,7.74,1.1,3.38,3.27
117,30,1996VJ08,72,12,31,30,8.0,1.31,3.42,3.28
118,30,2002VJ11,115,19,49,48,10.45,1.69,4.42,4.34
119,30,2007VJ09,177,50,71,56,15.97,4.55,6.4,5.01
120,31,1990VJ04,194,36,112,46,6.91,1.28,3.98,1.65
121,31,1996VJ08,276,63,152,61,8.67,1.99,4.78,1.9
122,31,2002VJ11,457,91,286,80,14.13,2.83,8.84,2.47
123,31,2007VJ09,554,111,338,105,14.74,2.95,8.99,2.8
124,32,1990VJ04,70,7,51,12,5.63,0.58,4.07,0.98
125,32,1996VJ08,93,11,70,13,6.97,0.8,5.22,0.95
126,32,2002VJ11,146,17,109,20,11.6,1.32,8.66,1.62
127,32,2007VJ09,180,21,132,28,11.67,1.36,8.52,1.79
128,33,1990VJ04,84,24,33,27,8.57,2.46,3.33,2.79
129,33,1996VJ08,132,42,50,40,11.24,3.6,4.24,3.4
130,33,2002VJ11,168,55,73,40,17.12,5.6,7.47,4.05
131,33,2007VJ09,167,49,67,51,18.18,5.36,7.27,5.55
132,34,1990VJ04,39,5,28,7,6.82,0.78,4.89,1.15
133,34,1996VJ08,50,10,32,8,7.56,1.54,4.86,1.16
134,34,2002VJ11,143,20,104,20,14.37,1.99,10.42,1.96
135,34,2007VJ09,188,34,132,23,15.67,2.83,10.96,1.88
136,35,1990VJ04,564,22,365,178,4.38,0.17,2.83,1.38
137,35,1996VJ08,627,39,392,196,4.86,0.3,3.04,1.52
138,35,2002VJ11,893,61,563,270,7.92,0.54,4.99,2.39
139,35,2007VJ09,1459,45,991,423,10.87,0.34,7.38,3.15
140,36,1990VJ04,2226,397,1646,184,13.29,2.37,9.83,1.1
141,36,1996VJ08,2943,576,2129,238,15.8,3.09,11.43,1.28
142,36,2002VJ11,5345,1030,3872,442,23.9,4.61,17.32,1.98
143,36,2007VJ09,5486,1111,3875,500,25.36,5.13,17.92,2.31
144,37,1990VJ04,396,222,132,42,11.19,6.27,3.74,1.18
145,37,1996VJ08,581,332,191,57,14.06,8.04,4.63,1.39
146,37,2002VJ11,1158,631,423,104,19.95,10.87,7.29,1.79
147,37,2007VJ09,1331,752,441,138,23.48,13.26,7.78,2.44
148,38,1990VJ04,129,74,43,11,9.42,5.46,3.16,0.8
149,38,1996VJ08,178,99,65,15,10.22,5.66,3.72,0.85
150,38,2002VJ11,365,184,151,31,13.92,7.01,5.74,1.16
151,38,2007VJ09,367,182,145,39,14.7,7.32,5.81,1.57
152,39,1990VJ04,267,147,89,31,12.3,6.78,4.1,1.42
153,39,1996VJ08,402,233,126,43,16.87,9.79,5.3,1.78
154,39,2002VJ11,793,447,272,73,24.94,14.06,8.57,2.31
155,39,2007VJ09,964,569,296,99,30.38,17.93,9.33,3.12
156,40,1990VJ04,1831,175,1514,142,13.86,1.33,11.46,1.08
157,40,1996VJ08,2362,244,1937,181,16.3,1.68,13.37,1.25
158,40,2002VJ11,4186,399,3449,338,25.29,2.41,20.83,2.04
159,40,2007VJ09,4155,359,3434,362,26.03,2.25,21.51,2.27
160,41,1990VJ04,62,2,49,10,9.64,0.39,7.74,1.52
161,41,1996VJ08,49,3,39,8,10.24,0.61,8.04,1.59
162,41,2002VJ11,131,9,107,16,13.8,0.9,11.21,1.69
163,41,2007VJ09,126,3,104,19,15.11,0.31,12.49,2.31
164,42,1990VJ04,819,12,764,43,20.17,0.29,18.82,1.05
165,42,1996VJ08,946,25,864,57,21.9,0.59,19.99,1.32
166,42,2002VJ11,1759,41,1615,102,31.9,0.74,29.3,1.85
167,42,2007VJ09,2050,53,1878,119,32.38,0.84,29.67,1.87
168,43,1990VJ04,431,20,379,32,13.59,0.63,11.96,0.99
169,43,1996VJ08,771,37,685,48,16.17,0.79,14.37,1.01
170,43,2002VJ11,1360,91,1163,106,25.04,1.67,21.42,1.95
171,43,2007VJ09,1208,65,1030,113,28.04,1.5,23.91,2.63
172,44,1990VJ04,78,41,33,4,9.56,5.04,4.06,0.46
173,44,1996VJ08,87,48,35,5,11.03,6.08,4.36,0.6
174,44,2002VJ11,123,73,44,6,14.88,8.81,5.36,0.7
175,44,2007VJ09,110,58,45,6,14.53,7.69,6.01,0.82
176,45,1990VJ04,331,62,239,31,11.97,2.24,8.61,1.11
177,45,1996VJ08,348,75,244,29,15.6,3.36,10.96,1.29
178,45,2002VJ11,572,117,396,58,29.69,6.08,20.58,3.03
179,45,2007VJ09,387,94,255,37,24.51,5.97,16.18,2.36
180,46,1990VJ04,110,37,49,23,6.26,2.13,2.79,1.34
181,46,1996VJ08,161,55,71,35,8.47,2.89,3.75,1.82
182,46,2002VJ11,242,69,123,50,12.67,3.61,6.45,2.6
