ID,Geslacht,Leeftijden,TypeZorg,BurgerlijkeStaat,Perioden,AantalInVerslagjaar_1,PercentageInVerslagjaar_2,TotaalUrenInVerslagjaar_3,GemiddeldPerPersoonInVerslagjaar_4,GemiddeldInBevolkingInVerslagjaar_5
0,0,0, 0,0,2004JJ00,608095,4.77,89515,147,7.02
1,0,0, 0,0,2005JJ00,595375,4.66,90493,152,7.08
2,0,0, 0,0,2006JJ00,607575,4.74,95031,156,7.42
3,0,0, 0,0,2007JJ00,610180,4.76,95279,156,7.43
4,0,0, 0,0,2008JJ00,620190,4.79,96447,156,7.44
5,0,0, 0,0,2009JJ00,620890,4.76,99194,160,7.6
6,0,0, 0,0,2010JJ00,629155,4.79,101725,162,7.74
7,0,0, 0,1,2004JJ00,60100,1.54,8482,141,2.18
8,0,0, 0,1,2005JJ00,61360,1.54,8865,144,2.23
9,0,0, 0,1,2006JJ00,63835,1.58,9449,148,2.35
10,0,0, 0,1,2007JJ00,64600,1.59,9491,147,2.33
11,0,0, 0,1,2008JJ00,66270,1.6,9734,147,2.35
12,0,0, 0,1,2009JJ00,66190,1.57,9944,150,2.36
13,0,0, 0,1,2010JJ00,67530,1.57,10336,153,2.4
14,0,0, 0,2,2004JJ00,219075,3.13,24994,114,3.57
15,0,0, 0,2,2005JJ00,206515,2.96,23910,116,3.43
16,0,0, 0,2,2006JJ00,208970,3.02,24734,118,3.57
17,0,0, 0,2,2007JJ00,208160,3.02,24680,119,3.58
18,0,0, 0,2,2008JJ00,210095,3.06,24926,119,3.63
19,0,0, 0,2,2009JJ00,208600,3.04,25873,124,3.77
20,0,0, 0,2,2010JJ00,212850,3.11,26851,126,3.92
21,0,0, 0,3,2004JJ00,265350,30.25,46993,177,53.56
22,0,0, 0,3,2005JJ00,263170,30.06,48227,183,55.09
23,0,0, 0,3,2006JJ00,267775,30.66,50793,190,58.15
24,0,0, 0,3,2007JJ00,268265,30.83,50797,189,58.37
25,0,0, 0,3,2008JJ00,270515,31.06,50892,188,58.44
26,0,0, 0,3,2009JJ00,269925,31.1,51819,192,59.71
27,0,0, 0,3,2010JJ00,268260,30.98,52085,194,60.14
28,0,0, 0,4,2004JJ00,63570,6.55,9047,142,9.33
29,0,0, 0,4,2005JJ00,64330,6.67,9491,148,9.85
30,0,0, 0,4,2006JJ00,66995,6.82,10054,150,10.23
31,0,0, 0,4,2007JJ00,69155,6.89,10311,149,10.28
32,0,0, 0,4,2008JJ00,73310,6.79,10895,149,10.1
33,0,0, 0,4,2009JJ00,76170,6.91,11558,152,10.48
34,0,0, 0,4,2010JJ00,80515,7.19,12455,155,11.12
35,0,0, 1,0,2004JJ00,169795,1.33,16552,97,1.3
36,0,0, 1,0,2005JJ00,219245,1.71,24001,109,1.88
37,0,0, 1,0,2006JJ00,234270,1.83,26167,112,2.04
38,0,0, 1,0,2007JJ00,237020,1.85,26770,113,2.09
39,0,0, 1,0,2008JJ00,240110,1.85,27481,114,2.12
40,0,0, 1,0,2009JJ00,243535,1.87,28900,119,2.21
41,0,0, 1,0,2010JJ00,242320,1.84,29442,122,2.24
42,0,0, 1,1,2004JJ00,14030,0.36,1237,88,0.32
