ID,Sectoren,Perioden,TotaalBelastingen_1,BTWBelastingOverToegevoegdeWaarde_2,LoonEnInkomstenbelasting_3,Vennootschapsbelasting_4,Accijnzen_5,VerbruiksbelOpMilieugrondslag_6,Milieuheffingen_7,Motorrijtuigenbelasting_8,BPMBelPersonenautoSEnMotorrijw_9,Overdrachtsbelasting_10,Onroerendezaakbelasting_11,Dividendbelasting_12,Vermogensheffingen_13,Assurantiebelasting_14,Kansspelbelasting_15,BankenbelastingInclResolutieheffing_16,Verhuurderheffing_17,Loonkostenheffing_18,OverigeBelastingen_19,TotaalBelastOpProductieEnInvoer_20,TotaalProductgebondenBelastingen_21,BTWBelastingOverToegevoegdeWaarde_22,TotaalAccijnzen_23,Benzineaccijns_24,AccijnsOpOverigeMineraleOlien_25,Tabakaccijns_26,Alcoholaccijns_27,Bieraccijns_28,WijnaccijnsEAMousserendeDranken_29,OverigeAccijnzen_30,VerbruiksbelOpAlcoholvrijeDranken_31,BelastingenOpMilieugrondslag_32,BPMBelOpPersonenautoSEnMotorrijw_33,Kansspelbelasting_34,Overdrachtsbelasting_35,Assurantiebelasting_36,Kapitaalbelasting_37,VoorraadheffingAardolieprodukten_38,TotaalNietProductgebondenBelastingen_39,Onroerendezaakbelasting_40,Motorrijtuigenbelasting_41,TotaalMilieuheffingen_42,Rioolrechten_43,HeffingenOpWaterverontreiniging_44,OmslagheffingWaterschappen_45,OverigeMilieuheffingen_46,BankenbelastingInclResolutieheffing_47,Verhuurderheffing_48,Loonkostenheffing_49,PBOHeffingen_50,InschrijfgeldenKamerVanKoophandel_51,Toeristenbelasting_52,NietProductgebondenOverig_53,TotaalBelastOpInkomenEnVermogen_54,TotaalBelastingenOpInkomen_55,Vennootschapsbelasting_56,Loonbelasting_57,Inkomstenbelasting_58,Dividendbelasting_59,Kansspelbelasting_60,TotaalBelastingenOpVermogen_61,Onroerendezaakbelasting_62,Vermogensbelasting_63,Motorrijtuigenbelasting_64,TotaalMilieuheffingen_65,Rioolrechten_66,HeffingenOpWaterverontreiniging_67,OmslagheffingWaterschappen_68,OverigeBelastingenInkomenEnVermogen_69,Vermogensheffingen_70
10,10,2005JJ00,124654.0,36950.0,31224.0,17069.0,9327.0,4128.0,2918.0,3467.0,3148.0,4252.0,3590.0,4262.0,1713.0,743.0,184.0,,,570.0,1109.0,64493.0,59088.0,36950.0,9327.0,3835.0,2585.0,2000.0,373.0,297.0,200.0,37.0,149.0,4128.0,3148.0,99.0,4252.0,743.0,214.0,78.0,5405.0,2559.0,676.0,1110.0,155.0,365.0,505.0,85.0,,,570.0,237.0,135.0,108.0,10.0,58448.0,52640.0,17069.0,27573.0,3651.0,4262.0,85.0,5808.0,1031.0,60.0,2791.0,1808.0,731.0,832.0,245.0,118.0,1713.0
11,10,2006JJ00,133147.0,39888.0,35163.0,17907.0,9860.0,4545.0,3102.0,3771.0,3452.0,4566.0,2558.0,4226.0,1817.0,752.0,196.0,,,511.0,833.0,68971.0,63513.0,39888.0,9860.0,3982.0,2836.0,2144.0,321.0,335.0,207.0,35.0,152.0,4545.0,3452.0,103.0,4566.0,752.0,114.0,81.0,5458.0,2558.0,735.0,1196.0,204.0,378.0,523.0,91.0,,,511.0,198.0,136.0,114.0,10.0,62359.0,57389.0,17907.0,31646.0,3517.0,4226.0,93.0,4970.0,,-6.0,3036.0,1906.0,808.0,834.0,264.0,34.0,1817.0
12,10,2007JJ00,141857.0,42873.0,40023.0,18552.0,10013.0,3789.0,3201.0,3971.0,3647.0,4925.0,2685.0,3750.0,1882.0,807.0,247.0,,,497.0,995.0,72035.0,66446.0,42873.0,10013.0,4010.0,2965.0,2136.0,335.0,310.0,222.0,35.0,155.0,3789.0,3647.0,109.0,4925.0,807.0,43.0,85.0,5589.0,2685.0,760.0,1189.0,211.0,365.0,527.0,86.0,,,497.0,186.0,136.0,125.0,11.0,67940.0,62463.0,18552.0,37729.0,2294.0,3750.0,138.0,5477.0,,30.0,3211.0,2012.0,883.0,855.0,274.0,224.0,1882.0
13,10,2008KW01,33189.0,9290.0,9031.0,3931.0,2629.0,1218.0,886.0,1192.0,1087.0,1124.0,675.0,1206.0,222.0,273.0,53.0,,,103.0,269.0,17201.0,15705.0,9290.0,2629.0,1034.0,812.0,562.0,82.0,77.0,54.0,8.0,36.0,1218.0,1087.0,28.0,1124.0,273.0,-1.0,21.0,1496.0,675.0,233.0,352.0,52.0,93.0,134.0,73.0,,,103.0,45.0,33.0,34.0,21.0,15766.0,14193.0,3931.0,9296.0,-265.0,1206.0,25.0,1573.0,,4.0,959.0,534.0,239.0,226.0,69.0,76.0,222.0
14,10,2008KW02,37047.0,11174.0,10412.0,4521.0,2582.0,1035.0,890.0,1066.0,829.0,1155.0,691.0,1593.0,481.0,183.0,48.0,,,110.0,277.0,18520.0,17050.0,11174.0,2582.0,994.0,769.0,591.0,71.0,87.0,62.0,8.0,43.0,1035.0,829.0,25.0,1155.0,183.0,3.0,21.0,1470.0,691.0,202.0,333.0,53.0,93.0,134.0,53.0,,,110.0,45.0,33.0,34.0,22.0,18046.0,16549.0,4521.0,11954.0,-1542.0,1593.0,23.0,1497.0,,2.0,864.0,557.0,261.0,227.0,69.0,74.0,481.0
15,10,2008KW03,33907.0,10251.0,9360.0,4160.0,2641.0,1031.0,916.0,1082.0,772.0,1139.0,666.0,799.0,492.0,168.0,101.0,,,99.0,230.0,17573.0,16120.0,10251.0,2641.0,1006.0,796.0,608.0,82.0,79.0,62.0,8.0,42.0,1031.0,772.0,53.0,1139.0,168.0,3.0,20.0,1453.0,666.0,206.0,348.0,52.0,106.0,134.0,56.0,,,99.0,44.0,34.0,35.0,21.0,15842.0,14367.0,4160.0,9060.0,300.0,799.0,48.0,1475.0,,4.0,876.0,568.0,257.0,239.0,72.0,27.0,492.0
16,10,2008KW04,40203.0,12506.0,11691.0,6202.0,2664.0,1340.0,787.0,1060.0,548.0,957.0,762.0,353.0,601.0,171.0,131.0,,,215.0,215.0,19961.0,18327.0,12506.0,2664.0,1015.0,799.0,599.0,93.0,75.0,73.0,10.0,37.0,1340.0,548.0,68.0,957.0,171.0,15.0,21.0,1634.0,762.0,203.0,318.0,54.0,74.0,133.0,57.0,,,215.0,44.0,35.0,34.0,23.0,19641.0,18309.0,6202.0,10326.0,1365.0,353.0,63.0,1332.0,,10.0,857.0,469.0,207.0,193.0,69.0,-4.0,601.0
17,10,2008JJ00,144346.0,43221.0,40494.0,18814.0,10516.0,4624.0,3479.0,4400.0,3236.0,4375.0,2794.0,3951.0,1796.0,795.0,333.0,,,527.0,991.0,73255.0,67202.0,43221.0,10516.0,4049.0,3176.0,2360.0,328.0,318.0,251.0,34.0,158.0,4624.0,3236.0,174.0,4375.0,795.0,20.0,83.0,6053.0,2794.0,844.0,1351.0,211.0,366.0,535.0,239.0,,,527.0,178.0,135.0,137.0,87.0,69295.0,63418.0,18814.0,40636.0,-142.0,3951.0,159.0,5877.0,,20.0,3556.0,2128.0,964.0,885.0,279.0,173.0,1796.0
18,10,2009KW01,33058.0,8877.0,10432.0,3827.0,2684.0,1494.0,958.0,1191.0,696.0,665.0,713.0,408.0,350.0,316.0,103.0,,,108.0,236.0,16429.0,14839.0,8877.0,2684.0,1050.0,830.0,568.0,83.0,84.0,60.0,9.0,33.0,1494.0,696.0,49.0,665.0,316.0,0.0,25.0,1590.0,713.0,231.0,405.0,56.0,77.0,162.0,110.0,,,108.0,45.0,37.0,33.0,18.0,16279.0,14721.0,3827.0,10474.0,-42.0,408.0,54.0,1558.0,,2.0,960.0,553.0,260.0,195.0,98.0,43.0,350.0
19,10,2009KW02,35666.0,10017.0,13332.0,2592.0,2711.0,956.0,937.0,1211.0,555.0,660.0,735.0,858.0,445.0,180.0,113.0,,,130.0,234.0,16809.0,15204.0,10017.0,2711.0,994.0,867.0,618.0,73.0,86.0,64.0,9.0,42.0,956.0,555.0,53.0,660.0,180.0,5.0,25.0,1605.0,735.0,233.0,373.0,55.0,76.0,166.0,76.0,,,130.0,46.0,37.0,32.0,19.0,18412.0,16842.0,2592.0,12844.0,488.0,858.0,60.0,1570.0,,2.0,978.0,564.0,270.0,195.0,99.0,26.0,445.0
20,10,2009KW03,30770.0,9722.0,10019.0,2000.0,2531.0,834.0,933.0,1153.0,543.0,671.0,706.0,512.0,509.0,181.0,96.0,,,126.0,234.0,16150.0,14592.0,9722.0,2531.0,934.0,786.0,569.0,70.0,105.0,60.0,7.0,44.0,834.0,543.0,45.0,671.0,181.0,1.0,20.0,1558.0,706.0,221.0,371.0,55.0,77.0,167.0,72.0,,,126.0,45.0,36.0,30.0,23.0,14111.0,12582.0,2000.0,9928.0,91.0,512.0,51.0,1529.0,,3.0,932.0,562.0,269.0,195.0,98.0,32.0,509.0
21,10,2009KW04,38160.0,11470.0,13796.0,3185.0,2770.0,1313.0,921.0,1204.0,351.0,749.0,782.0,306.0,511.0,172.0,132.0,,,252.0,246.0,18758.0,16963.0,11470.0,2770.0,1050.0,886.0,563.0,80.0,115.0,69.0,7.0,39.0,1313.0,351.0,75.0,749.0,172.0,0.0,24.0,1795.0,782.0,233.0,391.0,56.0,79.0,171.0,85.0,,,252.0,46.0,36.0,26.0,29.0,18891.0,17344.0,3185.0,13798.0,-2.0,306.0,57.0,1547.0,,18.0,971.0,530.0,228.0,194.0,108.0,28.0,511.0
22,10,2009JJ00,137654.0,40086.0,47579.0,11604.0,10696.0,4597.0,3749.0,4759.0,2145.0,2745.0,2936.0,2084.0,1815.0,849.0,444.0,,,616.0,950.0,68146.0,61598.0,40086.0,10696.0,4028.0,3369.0,2318.0,306.0,390.0,253.0,32.0,158.0,4597.0,2145.0,222.0,2745.0,849.0,6.0,94.0,6548.0,2936.0,918.0,1540.0,222.0,309.0,666.0,343.0,,,616.0,182.0,146.0,121.0,89.0,67693.0,61489.0,11604.0,47044.0,535.0,2084.0,222.0,6204.0,,25.0,3841.0,2209.0,1027.0,779.0,403.0,129.0,1815.0
23,10,2010KW01,33681.0,9653.0,10018.0,3860.0,2638.0,1442.0,995.0,1272.0,627.0,658.0,729.0,638.0,357.0,327.0,102.0,,,123.0,242.0,17108.0,15456.0,9653.0,2638.0,966.0,844.0,572.0,96.0,86.0,65.0,9.0,35.0,1442.0,627.0,51.0,658.0,327.0,0.0,25.0,1652.0,729.0,247.0,408.0,52.0,81.0,173.0,102.0,,,123.0,43.0,40.0,33.0,29.0,16216.0,14567.0,3860.0,10122.0,-104.0,638.0,51.0,1649.0,,7.0,1025.0,587.0,277.0,203.0,107.0,30.0,357.0
24,10,2010KW02,37493.0,10628.0,13595.0,3196.0,2899.0,910.0,986.0,1266.0,546.0,693.0,746.0,995.0,397.0,186.0,110.0,,,142.0,198.0,17657.0,15987.0,10628.0,2899.0,1055.0,936.0,644.0,77.0,108.0,72.0,7.0,45.0,910.0,546.0,55.0,693.0,186.0,0.0,25.0,1670.0,746.0,246.0,397.0,51.0,80.0,174.0,92.0,,,142.0,42.0,39.0,32.0,26.0,19439.0,17841.0,3196.0,12988.0,607.0,995.0,55.0,1598.0,,7.0,1020.0,589.0,279.0,202.0,108.0,-18.0,397.0
25,10,2010KW03,31249.0,9845.0,10072.0,2016.0,2739.0,828.0,981.0,1266.0,528.0,685.0,789.0,460.0,430.0,160.0,102.0,,,73.0,275.0,16537.0,14900.0,9845.0,2739.0,1019.0,879.0,605.0,69.0,103.0,58.0,6.0,39.0,828.0,528.0,51.0,685.0,160.0,0.0,25.0,1637.0,789.0,245.0,390.0,52.0,79.0,176.0,83.0,,,73.0,42.0,39.0,34.0,25.0,14282.0,12599.0,2016.0,9895.0,177.0,460.0,51.0,1683.0,,5.0,1021.0,591.0,281.0,201.0,109.0,66.0,430.0
26,10,2010KW04,40789.0,12528.0,14493.0,3710.0,2844.0,1426.0,951.0,1256.0,395.0,749.0,782.0,307.0,533.0,188.0,128.0,,,271.0,228.0,20059.0,18256.0,12528.0,2844.0,1027.0,933.0,616.0,89.0,92.0,79.0,8.0,37.0,1426.0,395.0,64.0,749.0,188.0,0.0,25.0,1803.0,782.0,238.0,383.0,51.0,79.0,172.0,81.0,,,271.0,42.0,39.0,32.0,16.0,20197.0,18574.0,3710.0,13097.0,1396.0,307.0,64.0,1623.0,,4.0,1018.0,568.0,261.0,202.0,105.0,33.0,533.0
27,10,2010JJ00,143212.0,42654.0,48178.0,12782.0,11120.0,4606.0,3913.0,5060.0,2096.0,2785.0,3046.0,2400.0,1717.0,861.0,442.0,,,609.0,943.0,71361.0,64599.0,42654.0,11120.0,4067.0,3592.0,2437.0,331.0,389.0,274.0,30.0,156.0,4606.0,2096.0,221.0,2785.0,861.0,0.0,100.0,6762.0,3046.0,976.0,1578.0,206.0,319.0,695.0,358.0,,,609.0,169.0,157.0,131.0,96.0,70134.0,63581.0,12782.0,46102.0,2076.0,2400.0,221.0,6553.0,,23.0,4084.0,2335.0,1098.0,808.0,429.0,111.0,1717.0
28,10,2011KW01,34481.0,9443.0,10666.0,4256.0,2724.0,1407.0,1028.0,1269.0,580.0,694.0,793.0,436.0,348.0,335.0,134.0,,,110.0,258.0,17013.0,15303.0,9443.0,2724.0,1011.0,905.0,574.0,80.0,85.0,62.0,7.0,35.0,1407.0,580.0,67.0,694.0,335.0,-4.0,22.0,1710.0,793.0,250.0,421.0,53.0,82.0,179.0,107.0,,,110.0,40.0,40.0,34.0,22.0,17120.0,15425.0,4256.0,10487.0,179.0,436.0,67.0,1695.0,,-4.0,1019.0,607.0,287.0,206.0,114.0,73.0,348.0
29,10,2011KW02,37564.0,9844.0,14850.0,2685.0,2902.0,869.0,1033.0,1271.0,545.0,614.0,811.0,975.0,427.0,262.0,104.0,,,97.0,275.0,16899.0,15158.0,9844.0,2902.0,1034.0,925.0,687.0,75.0,106.0,69.0,6.0,48.0,869.0,545.0,52.0,614.0,262.0,0.0,22.0,1741.0,811.0,248.0,421.0,54.0,82.0,180.0,105.0,,,97.0,44.0,41.0,35.0,44.0,20238.0,18562.0,2685.0,13557.0,1293.0,975.0,52.0,1676.0,,-2.0,1023.0,612.0,292.0,207.0,113.0,43.0,427.0
30,10,2011KW03,32582.0,10259.0,10476.0,2770.0,2796.0,810.0,1037.0,1260.0,463.0,279.0,796.0,649.0,350.0,188.0,96.0,,,85.0,268.0,16612.0,14905.0,10259.0,2796.0,1009.0,873.0,666.0,75.0,101.0,66.0,6.0,40.0,810.0,463.0,48.0,279.0,188.0,0.0,22.0,1707.0,796.0,247.0,429.0,55.0,83.0,179.0,112.0,,,85.0,44.0,41.0,36.0,29.0,15620.0,13943.0,2770.0,10199.0,277.0,649.0,48.0,1677.0,,0.0,1013.0,608.0,280.0,214.0,114.0,56.0,350.0
31,10,2011KW04,35225.0,12064.0,10701.0,2698.0,2846.0,1322.0,1007.0,1254.0,390.0,348.0,771.0,530.0,413.0,235.0,141.0,,,249.0,256.0,19161.0,17334.0,12064.0,2846.0,1047.0,941.0,600.0,84.0,91.0,75.0,8.0,36.0,1322.0,390.0,71.0,348.0,235.0,-1.0,23.0,1827.0,771.0,231.0,411.0,58.0,78.0,167.0,108.0,,,249.0,44.0,41.0,43.0,37.0,15651.0,13999.0,2698.0,12983.0,-2282.0,530.0,70.0,1652.0,,17.0,1023.0,596.0,289.0,198.0,109.0,16.0,413.0
32,10,2011JJ00,139852.0,41610.0,46693.0,12409.0,11268.0,4408.0,4105.0,5054.0,1978.0,1935.0,3171.0,2590.0,1538.0,1020.0,475.0,,,541.0,1057.0,69685.0,62700.0,41610.0,11268.0,4101.0,3644.0,2527.0,314.0,383.0,272.0,27.0,159.0,4408.0,1978.0,238.0,1935.0,1020.0,-5.0,89.0,6985.0,3171.0,976.0,1682.0,220.0,325.0,705.0,432.0,,,541.0,172.0,163.0,148.0,132.0,68629.0,61929.0,12409.0,47226.0,-533.0,2590.0,237.0,6700.0,,11.0,4078.0,2423.0,1148.0,825.0,450.0,188.0,1538.0
33,10,2012KW01,33836.0,9184.0,10632.0,4377.0,2790.0,1240.0,1064.0,1244.0,476.0,265.0,814.0,566.0,288.0,408.0,122.0,,,100.0,266.0,16185.0,14474.0,9184.0,2790.0,1012.0,897.0,639.0,84.0,85.0,66.0,7.0,36.0,1240.0,476.0,61.0,265.0,408.0,0.0,14.0,1711.0,814.0,240.0,426.0,64.0,83.0,183.0,96.0,,,100.0,41.0,39.0,39.0,12.0,17363.0,15636.0,4377.0,10717.0,-85.0,566.0,61.0,1727.0,,4.0,1004.0,638.0,305.0,217.0,116.0,81.0,288.0
34,10,2012KW02,37464.0,9926.0,15258.0,2711.0,2878.0,860.0,1042.0,1295.0,451.0,318.0,844.0,908.0,356.0,230.0,114.0,,,14.0,259.0,16445.0,14783.0,9926.0,2878.0,1035.0,916.0,681.0,71.0,104.0,66.0,5.0,39.0,860.0,451.0,57.0,318.0,230.0,0.0,24.0,1662.0,844.0,250.0,420.0,54.0,83.0,180.0,103.0,,,14.0,40.0,35.0,39.0,20.0,20663.0,18934.0,2711.0,13810.0,1448.0,908.0,57.0,1729.0,,-6.0,1045.0,622.0,290.0,216.0,116.0,68.0,356.0
