ID,Instellingen,Perioden,AantalInstellingen_1,TotaalBedrijfsopbrengsten_2,TotaalNettoOmzet_3,OpbrengstenTerDekkingWettelijkBudget_4,OverigeNettoOmzet_5,TotaalOverigeBedrijfsopbrengsten_6,SubsidiesEnBijdragen_7,OverigeBedrijfsopbrengstenNEG_8,TotaalBedrijfslasten_9,InkoopwaardeOmzet_10,TotaalArbeidskosten_11,LonenEnSalarissen_12,Pensioenlasten_13,SocialeLasten_14,AfschrijvOpVasteActiva_15,TotaalOverigeBedrijfslasten_16,TotaalAnderePersoneelskosten_17,KostenUitzendkrachtenEnOverigeInleen_18,OverigePersoneelskosten_19,TotaalOverigeBedrijfslastenNEG_20,VoedingEnHotelmatigeKosten_21,AlgemeneKosten_22,ClientBewonerGebondenKosten_23,OnderhoudEnEnergiekosten_24,HuurEnOperationeleLeasingKapGoed_25,AndereBedrijfslasten_26,Bedrijfsresultaat_27,FinancieleBaten_28,FinancieleLasten_29,FinancieelResultaat_30,OnttrekkingAanVoorzieningen_31,ToevoegingenAanVoorzieningen_32,SaldoVoorzieningen_33,BuitengewoneBaten_34,BuitengewoneLasten_35,BuitengewoonResultaat_36,ResultaatVoorBelastingen_37,WettelijkBudgetAanvaardbareKosten_38,OpbrengstenTerDekkingWettelijkBudget_39,FinancieringsverschilBoekjaar_40
16, 120,2004JJ00,21,480.1,290.3,281.1,9.1,189.9,189.6,0.2,461.0,,316.2,258.1,19.2,38.9,18.8,125.8,36.8,20.7,16.1,89.0,18.3,29.1,14.0,16.2,7.4,3.9,19.1,1.9,14.7,-12.9,,,,,,6.2,12.4,280.5,281.1,-0.6
17, 120,2005JJ00,20,462.8,254.0,244.3,9.7,208.8,205.9,2.9,439.5,,297.4,243.2,19.2,35.1,17.7,124.3,33.4,17.3,16.1,90.9,17.6,26.4,14.5,16.8,9.6,6.1,23.3,1.1,14.1,-13.1,,,,,,-0.5,9.8,247.5,244.3,3.2
18, 130,2000JJ00,23,105.3,101.3,97.3,4.0,4.0,4.2,-0.2,101.9,,59.0,47.4,1.8,9.8,4.6,38.3,9.1,5.4,3.7,29.2,7.8,8.4,1.8,5.0,4.7,1.5,3.4,0.2,3.4,-3.2,,,,,,0.0,0.1,99.3,97.3,2.0
19, 130,2001JJ00,22,118.8,117.2,111.7,5.5,1.6,2.5,-0.9,116.4,,68.4,54.7,2.0,11.7,4.8,43.1,8.2,4.5,3.7,34.9,8.2,11.3,1.4,7.0,6.6,0.4,2.4,0.3,2.9,-2.6,,,,,,-1.1,-1.2,115.4,111.7,3.7
20, 130,2002JJ00,21,139.1,134.5,129.3,5.2,4.6,4.7,-0.1,137.4,,78.0,62.1,2.6,13.3,5.0,54.3,11.2,5.2,6.0,43.1,10.4,12.7,1.7,7.5,7.3,3.5,1.7,0.3,2.9,-2.6,,,,,,-0.7,-1.6,135.0,129.3,5.7
21, 130,2003JJ00,21,170.4,167.1,160.9,6.3,3.3,3.4,-0.1,160.1,,91.4,71.6,4.0,15.8,5.6,63.1,14.4,6.6,7.8,48.7,10.7,16.5,2.4,8.9,8.9,1.3,10.3,0.3,2.0,-1.7,,,,,,0.5,9.1,160.8,160.9,0.0
22, 130,2004JJ00,20,185.6,180.3,174.0,6.3,5.3,3.8,1.5,175.8,,103.4,82.4,5.8,15.2,5.7,66.7,12.6,6.8,5.8,54.1,11.8,18.1,2.3,10.1,10.5,1.3,9.8,0.4,2.6,-2.1,,,,,,0.6,8.3,175.2,174.0,1.2
23, 130,2005JJ00,21,219.8,216.1,208.3,7.9,3.7,3.4,0.3,204.2,,123.7,100.6,7.3,15.8,6.3,74.2,11.7,4.9,6.8,62.5,13.0,19.3,3.1,12.7,13.4,0.9,15.6,0.5,2.4,-2.0,,,,,,0.0,13.7,204.6,208.3,-3.7
24, 140,2000JJ00,19,126.7,121.4,109.8,11.6,5.3,5.1,0.2,125.7,,89.3,75.2,2.5,11.6,3.2,33.2,10.9,4.8,6.1,22.3,1.7,10.6,1.6,2.0,5.9,0.5,1.0,0.3,1.0,-0.7,,,,,,-0.8,-0.6,110.6,109.8,0.8
25, 140,2001JJ00,17,126.1,125.1,113.3,11.7,1.0,0.9,0.1,128.1,,93.9,78.6,2.9,12.4,3.5,30.7,10.2,5.0,5.2,20.5,0.8,11.2,1.0,1.7,4.7,1.1,-2.0,0.4,1.9,-1.5,,,,,,0.1,-3.4,118.7,113.3,5.4
26, 140,2002JJ00,15,131.0,129.8,117.8,12.0,1.2,1.6,-0.3,129.2,,91.7,76.5,3.2,12.0,4.0,33.5,10.3,4.9,5.4,23.2,1.6,11.8,0.9,1.5,5.0,2.4,1.8,0.4,2.0,-1.7,,,,,,0.3,0.4,117.5,117.8,-0.3
27, 140,2003JJ00,14,152.3,150.6,142.5,8.2,1.6,1.3,0.3,143.5,,102.3,84.0,4.5,13.8,3.7,37.7,10.6,4.7,5.9,27.1,1.9,15.2,1.2,1.6,5.4,1.8,8.8,0.4,1.4,-1.0,,,,,,0.1,7.9,139.5,142.5,-3.0
28, 140,2004JJ00,8,90.5,90.3,84.8,5.6,0.2,0.2,0.0,90.2,,58.7,49.7,3.6,5.4,2.0,29.4,5.4,2.0,3.4,24.0,0.9,9.2,1.8,1.1,4.5,6.6,0.3,0.2,0.3,0.0,,,,,,-0.2,0.1,84.4,84.8,-0.3
29, 140,2005JJ00,7,93.5,92.6,88.7,3.8,0.9,0.9,0.0,88.4,,64.4,54.6,4.6,5.2,2.5,21.5,5.6,3.0,2.7,15.9,0.7,9.4,0.3,1.4,3.9,0.2,5.2,0.3,0.5,-0.2,,,,,,0.1,5.1,86.7,88.7,-2.0
30, 150,2000JJ00,14,55.1,9.0,0.0,9.0,46.1,46.1,0.1,55.3,,38.9,32.2,1.3,5.4,1.1,15.3,5.3,3.4,1.9,10.0,1.0,4.1,1.1,1.5,1.9,0.4,-0.2,0.1,0.3,-0.2,,,,,,1.1,0.6,0.0,0.0,0.0
31, 150,2001JJ00,10,41.5,6.6,0.0,6.6,34.8,34.8,0.0,39.0,,27.7,22.8,0.9,4.0,0.7,10.6,3.1,1.3,1.8,7.5,0.4,3.5,1.1,1.1,0.7,0.7,2.5,0.0,0.1,-0.1,,,,,,0.1,2.4,0.0,0.0,0.0
32, 150,2002JJ00,10,44.1,6.2,0.0,6.2,37.9,37.9,0.0,43.6,,30.8,25.6,0.9,4.3,0.7,12.0,2.8,1.2,1.6,9.2,0.9,4.3,1.0,1.3,1.1,0.6,0.5,0.1,0.3,-0.2,,,,,,0.0,0.3,0.0,0.0,0.0
33, 150,2003JJ00,9,34.8,9.7,0.0,9.7,25.1,25.1,0.0,34.9,,25.0,19.9,1.1,4.0,0.6,9.4,2.0,0.8,1.2,7.4,0.6,3.5,1.1,0.9,0.7,0.6,-0.2,0.0,0.1,-0.1,,,,,,0.1,-0.2,0.0,0.0,0.0
34, 150,2004JJ00,5,11.5,1.8,0.9,0.9,9.7,9.7,0.0,11.4,,7.6,6.2,0.4,1.0,0.3,3.6,0.8,0.3,0.5,2.8,0.2,1.4,0.2,0.2,0.6,0.2,0.1,0.0,0.0,0.0,,,,,,0.0,0.1,0.9,0.9,0.0
35, 150,2005JJ00,5,12.7,2.7,2.0,0.7,10.0,10.0,0.0,12.4,,8.5,6.8,0.5,1.2,0.4,3.5,0.9,0.4,0.6,2.6,0.1,1.5,0.2,0.3,0.4,0.0,0.4,0.0,0.0,0.0,,,,,,0.0,0.4,2.0,2.0,0.0
