ID,Classifications,Periods,OutputBasicPrices_1,IntermediateConsumption_2,ValueAddedBasicPrices_3,ValueAddedBasicPrVolumeChanges_4,ValueAddedBasicPrVolumeIndices_5,ValueAddedBasicPrPricesOf2000_6,ValueAddedMarketPrices_7,TotalTaxesOnProductionAndImports_8,OnProducts_9,OtherOnProduction_10,TotalSubsidies_11,OnProducts_12,OtherOnProduction_13,TotalCompensationOfEmployees_14,WagesAndSalaries_15,EmployersSocialContributions_16,GrossOperatingSurplusMixedIncome_17,ConsumptionOfFixedCapital_18,NetOperatingSurplusMixedIncome_19
1677,RK_71   ,2006JJ00,8337.0,3577.0,4760.0,1.1,98.3,4096.0,4760.0,301.0,0.0,301.0,7.0,0.0,7.0,844.0,672.0,172.0,3622.0,4154.0,-532.0
1678,RK_71   ,2007JJ00,8993.0,3815.0,5178.0,6.4,104.6,4357.0,5178.0,320.0,0.0,320.0,7.0,0.0,7.0,901.0,721.0,180.0,3964.0,4469.0,-505.0
1679,RK_71   ,2008JJ00,9259.0,4200.0,5059.0,-0.1,104.5,4354.0,5060.0,346.0,1.0,345.0,6.0,0.0,6.0,943.0,750.0,193.0,3777.0,4656.0,-879.0
1680,RK_71   ,2009JJ00,9051.0,4280.0,4771.0,-7.5,96.7,4029.0,4772.0,361.0,1.0,360.0,14.0,0.0,14.0,955.0,762.0,193.0,3470.0,4511.0,-1041.0
1681,RK_72   ,1969JJ00,,,,,,,,,,,,,,,,,,1.0,
1682,RK_72   ,1970JJ00,,,,,,,,,,,,,,,,,,2.0,
1683,RK_72   ,1971JJ00,,,,,,,,,,,,,,,,,,3.0,
1684,RK_72   ,1972JJ00,,,,,,,,,,,,,,,,,,5.0,
1685,RK_72   ,1973JJ00,,,,,,,,,,,,,,,,,,7.0,
1686,RK_72   ,1974JJ00,,,,,,,,,,,,,,,,,,9.0,
1687,RK_72   ,1975JJ00,,,,,,,,,,,,,,,,,,12.0,
1688,RK_72   ,1976JJ00,,,,,,,,,,,,,,,,,,14.0,
1689,RK_72   ,1977JJ00,,,,,,,,,,,,,,,,,,17.0,
1690,RK_72   ,1978JJ00,,,,,,,,,,,,,,,,,,18.0,
1691,RK_72   ,1979JJ00,,,,,,,,,,,,,,,,,,21.0,
1692,RK_72   ,1980JJ00,,,,,,,,,,,,,,,,,,23.0,
1693,RK_72   ,1981JJ00,,,,,,,,,,,,,,,,,,27.0,
1694,RK_72   ,1982JJ00,,,,,,,,,,,,,,,,,,33.0,
1695,RK_72   ,1983JJ00,,,,,,,,,,,,,,,,,,44.0,
1696,RK_72   ,1984JJ00,,,,,,,,,,,,,,,,,,60.0,
1697,RK_72   ,1985JJ00,,,,,,,,,,,,,,,,,,80.0,
1698,RK_72   ,1986JJ00,,,,,,,,,,,,,,,,,,97.0,
1699,RK_72   ,1987JJ00,1936.0,856.0,1080.0,,15.1,1114.0,1080.0,5.0,0.0,5.0,1.0,0.0,1.0,850.0,705.0,145.0,226.0,108.0,118.0
1700,RK_72   ,1988JJ00,2191.0,980.0,1211.0,14.2,17.3,1271.0,1211.0,5.0,0.0,5.0,3.0,0.0,3.0,933.0,782.0,151.0,276.0,119.0,157.0
1701,RK_72   ,1989JJ00,2458.0,1073.0,1385.0,18.7,20.5,1510.0,1385.0,6.0,0.0,6.0,2.0,0.0,2.0,1057.0,901.0,156.0,324.0,136.0,188.0
1702,RK_72   ,1990JJ00,2852.0,1194.0,1658.0,19.6,24.5,1805.0,1658.0,6.0,0.0,6.0,2.0,0.0,2.0,1212.0,1114.0,98.0,442.0,158.0,284.0
1703,RK_72   ,1991JJ00,3133.0,1341.0,1792.0,6.5,26.1,1923.0,1792.0,6.0,0.0,6.0,2.0,0.0,2.0,1342.0,1236.0,106.0,446.0,181.0,265.0
1704,RK_72   ,1992JJ00,3287.0,1402.0,1885.0,9.7,28.7,2109.0,1885.0,8.0,0.0,8.0,2.0,0.0,2.0,1459.0,1343.0,116.0,420.0,192.0,228.0
1705,RK_72   ,1993JJ00,3524.0,1529.0,1995.0,5.5,30.2,2226.0,1995.0,7.0,0.0,7.0,3.0,0.0,3.0,1556.0,1440.0,116.0,435.0,205.0,230.0
1706,RK_72   ,1994JJ00,3780.0,1653.0,2127.0,8.0,32.7,2403.0,2127.0,8.0,0.0,8.0,3.0,0.0,3.0,1555.0,1437.0,118.0,567.0,217.0,350.0
1707,RK_72   ,1995JJ00,4316.0,1828.0,2488.0,18.3,38.6,2843.0,2488.0,10.0,0.0,10.0,3.0,0.0,3.0,1853.0,1703.0,150.0,628.0,222.0,406.0
1708,RK_72   ,1996JJ00,5642.0,2387.0,3255.0,27.4,49.2,3621.0,3255.0,9.0,0.0,9.0,6.0,0.0,6.0,2330.0,2131.0,199.0,922.0,230.0,692.0
1709,RK_72   ,1997JJ00,7644.0,3279.0,4365.0,32.9,65.4,4812.0,4365.0,10.0,0.0,10.0,9.0,0.0,9.0,2917.0,2680.0,237.0,1447.0,249.0,1198.0
1710,RK_72   ,1998JJ00,9566.0,4174.0,5392.0,19.8,78.4,5766.0,5392.0,11.0,0.0,11.0,27.0,0.0,27.0,3762.0,3196.0,566.0,1646.0,274.0,1372.0
1711,RK_72   ,1999JJ00,11478.0,4932.0,6546.0,16.3,91.1,6705.0,6546.0,8.0,0.0,8.0,31.0,0.0,31.0,4593.0,3909.0,684.0,1976.0,328.0,1648.0
1712,RK_72   ,2000JJ00,13130.0,5772.0,7358.0,9.7,100.0,7358.0,7358.0,9.0,0.0,9.0,36.0,0.0,36.0,5254.0,4453.0,801.0,2131.0,400.0,1731.0
1713,RK_72   ,2001JJ00,14745.0,6532.0,8213.0,7.6,107.6,7919.0,8213.0,12.0,0.0,12.0,45.0,0.0,45.0,5933.0,5024.0,909.0,2313.0,455.0,1858.0
1714,RK_72   ,2002JJ00,13908.0,6134.0,7774.0,-6.8,100.3,7377.0,7774.0,12.0,0.0,12.0,46.0,0.0,46.0,5851.0,4839.0,1012.0,1957.0,483.0,1474.0
1715,RK_72   ,2003JJ00,13593.0,5815.0,7778.0,-1.2,99.0,7285.0,7778.0,11.0,0.0,11.0,44.0,0.0,44.0,6002.0,4852.0,1150.0,1809.0,484.0,1325.0
1716,RK_72   ,2004JJ00,14110.0,6048.0,8062.0,2.4,101.4,7460.0,8062.0,11.0,0.0,11.0,51.0,0.0,51.0,6079.0,4856.0,1223.0,2023.0,492.0,1531.0
1717,RK_72   ,2005JJ00,15460.0,6632.0,8828.0,7.1,108.5,7987.0,8828.0,14.0,0.0,14.0,39.0,0.0,39.0,6613.0,5347.0,1266.0,2240.0,509.0,1731.0
1718,RK_72   ,2006JJ00,17180.0,7368.0,9812.0,8.9,118.2,8695.0,9812.0,14.0,0.0,14.0,29.0,0.0,29.0,7213.0,5829.0,1384.0,2614.0,540.0,2074.0
1719,RK_72   ,2007JJ00,19278.0,8121.0,11157.0,8.2,127.9,9409.0,11157.0,14.0,0.0,14.0,29.0,0.0,29.0,7951.0,6452.0,1499.0,3221.0,605.0,2616.0
1720,RK_72   ,2008JJ00,20625.0,8731.0,11894.0,4.7,133.9,9855.0,11894.0,15.0,0.0,15.0,32.0,0.0,32.0,8604.0,6990.0,1614.0,3307.0,673.0,2634.0
1721,RK_72   ,2009JJ00,19972.0,8517.0,11455.0,-3.9,128.7,9468.0,11455.0,14.0,0.0,14.0,51.0,0.0,51.0,8751.0,7097.0,1654.0,2741.0,716.0,2025.0
1722,RK_73   ,1969JJ00,,,,,,,,,,,,,,,,,,35.0,
1723,RK_73   ,1970JJ00,,,,,,,,,,,,,,,,,,41.0,
1724,RK_73   ,1971JJ00,,,,,,,,,,,,,,,,,,48.0,
1725,RK_73   ,1972JJ00,,,,,,,,,,,,,,,,,,52.0,
1726,RK_73   ,1973JJ00,,,,,,,,,,,,,,,,,,57.0,
1727,RK_73   ,1974JJ00,,,,,,,,,,,,,,,,,,64.0,
1728,RK_73   ,1975JJ00,,,,,,,,,,,,,,,,,,74.0,
1729,RK_73   ,1976JJ00,,,,,,,,,,,,,,,,,,82.0,
1730,RK_73   ,1977JJ00,,,,,,,,,,,,,,,,,,87.0,
1731,RK_73   ,1978JJ00,,,,,,,,,,,,,,,,,,92.0,
1732,RK_73   ,1979JJ00,,,,,,,,,,,,,,,,,,100.0,
1733,RK_73   ,1980JJ00,,,,,,,,,,,,,,,,,,108.0,
1734,RK_73   ,1981JJ00,,,,,,,,,,,,,,,,,,120.0,
1735,RK_73   ,1982JJ00,,,,,,,,,,,,,,,,,,126.0,
1736,RK_73   ,1983JJ00,,,,,,,,,,,,,,,,,,129.0,
1737,RK_73   ,1984JJ00,,,,,,,,,,,,,,,,,,134.0,
1738,RK_73   ,1985JJ00,,,,,,,,,,,,,,,,,,136.0,
1739,RK_73   ,1986JJ00,,,,,,,,,,,,,,,,,,141.0,
1740,RK_73   ,1987JJ00,1667.0,652.0,1015.0,,88.8,1367.0,759.0,8.0,0.0,8.0,272.0,256.0,16.0,729.0,592.0,137.0,294.0,149.0,145.0
1741,RK_73   ,1988JJ00,1689.0,663.0,1026.0,0.7,89.4,1377.0,776.0,9.0,0.0,9.0,267.0,250.0,17.0,751.0,614.0,137.0,283.0,159.0,124.0
1742,RK_73   ,1989JJ00,1773.0,718.0,1055.0,3.5,92.6,1425.0,785.0,7.0,0.0,7.0,289.0,270.0,19.0,769.0,635.0,134.0,298.0,167.0,131.0
1743,RK_73   ,1990JJ00,1963.0,831.0,1132.0,5.5,97.7,1503.0,801.0,7.0,0.0,7.0,352.0,331.0,21.0,813.0,715.0,98.0,333.0,175.0,158.0
1744,RK_73   ,1991JJ00,2080.0,927.0,1153.0,2.0,99.7,1534.0,827.0,6.0,0.0,6.0,329.0,326.0,3.0,818.0,712.0,106.0,332.0,186.0,146.0
1745,RK_73   ,1992JJ00,2154.0,1000.0,1154.0,-3.5,96.2,1481.0,764.0,7.0,0.0,7.0,393.0,390.0,3.0,847.0,729.0,118.0,303.0,194.0,109.0
1746,RK_73   ,1993JJ00,2161.0,1014.0,1147.0,-4.2,92.1,1418.0,802.0,10.0,0.0,10.0,345.0,345.0,0.0,894.0,776.0,118.0,243.0,200.0,43.0
1747,RK_73   ,1994JJ00,2140.0,1007.0,1133.0,-3.7,88.7,1366.0,793.0,11.0,0.0,11.0,380.0,340.0,40.0,956.0,835.0,121.0,206.0,203.0,3.0
1748,RK_73   ,1995JJ00,2340.0,1102.0,1238.0,9.3,97.0,1492.0,919.0,12.0,0.0,12.0,455.0,319.0,136.0,1048.0,905.0,143.0,314.0,206.0,108.0
1749,RK_73   ,1996JJ00,2433.0,1137.0,1296.0,3.2,100.0,1539.0,981.0,9.0,0.0,9.0,464.0,315.0,149.0,1112.0,945.0,167.0,324.0,206.0,118.0
1750,RK_73   ,1997JJ00,2526.0,1233.0,1293.0,-3.6,96.4,1484.0,922.0,7.0,0.0,7.0,567.0,371.0,196.0,1242.0,1077.0,165.0,240.0,208.0,32.0
1751,RK_73   ,1998JJ00,2603.0,1279.0,1324.0,-1.6,94.8,1459.0,953.0,8.0,0.0,8.0,570.0,371.0,199.0,1364.0,1091.0,273.0,151.0,215.0,-64.0
1752,RK_73   ,1999JJ00,2847.0,1379.0,1468.0,4.5,99.1,1524.0,911.0,11.0,0.0,11.0,770.0,557.0,213.0,1555.0,1234.0,321.0,115.0,226.0,-111.0
1753,RK_73   ,2000JJ00,3030.0,1491.0,1539.0,1.0,100.0,1539.0,966.0,11.0,0.0,11.0,806.0,573.0,233.0,1647.0,1296.0,351.0,114.0,240.0,-126.0
1754,RK_73   ,2001JJ00,3303.0,1610.0,1693.0,7.3,107.3,1651.0,1145.0,12.0,0.0,12.0,819.0,548.0,271.0,1788.0,1407.0,381.0,164.0,245.0,-81.0
1755,RK_73   ,2002JJ00,3202.0,1540.0,1662.0,-4.9,102.0,1570.0,1140.0,12.0,0.0,12.0,836.0,522.0,314.0,1809.0,1436.0,373.0,155.0,247.0,-92.0
1756,RK_73   ,2003JJ00,3421.0,1627.0,1794.0,4.8,106.9,1646.0,1258.0,12.0,0.0,12.0,800.0,536.0,264.0,1905.0,1494.0,411.0,141.0,243.0,-102.0
1757,RK_73   ,2004JJ00,3714.0,1773.0,1941.0,7.2,114.7,1765.0,1392.0,13.0,0.0,13.0,875.0,549.0,326.0,1969.0,1540.0,429.0,285.0,241.0,44.0
1758,RK_73   ,2005JJ00,3809.0,1824.0,1985.0,1.4,116.3,1790.0,1381.0,14.0,0.0,14.0,902.0,604.0,298.0,1891.0,1486.0,405.0,378.0,236.0,142.0
1759,RK_73   ,2006JJ00,3983.0,1896.0,2087.0,3.8,120.7,1858.0,1412.0,14.0,0.0,14.0,1049.0,675.0,374.0,1991.0,1566.0,425.0,456.0,232.0,224.0
1760,RK_73   ,2007JJ00,4028.0,1929.0,2099.0,-0.8,119.8,1844.0,1401.0,16.0,0.0,16.0,1104.0,698.0,406.0,2148.0,1695.0,453.0,341.0,235.0,106.0
1761,RK_73   ,2008JJ00,4286.0,2088.0,2198.0,3.2,123.6,1903.0,1494.0,12.0,0.0,12.0,1150.0,704.0,446.0,2279.0,1798.0,481.0,353.0,240.0,113.0
1762,RK_73   ,2009JJ00,4475.0,2110.0,2365.0,1.9,126.0,1939.0,1616.0,12.0,0.0,12.0,1293.0,749.0,544.0,2444.0,1924.0,520.0,453.0,247.0,206.0
1763,RK_74_1 ,1969JJ00,,,,,,,,,,,,,,,,,,129.0,
1764,RK_74_1 ,1970JJ00,,,,,,,,,,,,,,,,,,154.0,
1765,RK_74_1 ,1971JJ00,,,,,,,,,,,,,,,,,,182.0,
1766,RK_74_1 ,1972JJ00,,,,,,,,,,,,,,,,,,197.0,
1767,RK_74_1 ,1973JJ00,,,,,,,,,,,,,,,,,,217.0,
1768,RK_74_1 ,1974JJ00,,,,,,,,,,,,,,,,,,248.0,
1769,RK_74_1 ,1975JJ00,,,,,,,,,,,,,,,,,,291.0,
1770,RK_74_1 ,1976JJ00,,,,,,,,,,,,,,,,,,320.0,
1771,RK_74_1 ,1977JJ00,,,,,,,,,,,,,,,,,,340.0,
1772,RK_74_1 ,1978JJ00,,,,,,,,,,,,,,,,,,354.0,
1773,RK_74_1 ,1979JJ00,,,,,,,,,,,,,,,,,,388.0,
1774,RK_74_1 ,1980JJ00,,,,,,,,,,,,,,,,,,423.0,
1775,RK_74_1 ,1981JJ00,,,,,,,,,,,,,,,,,,474.0,
1776,RK_74_1 ,1982JJ00,,,,,,,,,,,,,,,,,,505.0,
1777,RK_74_1 ,1983JJ00,,,,,,,,,,,,,,,,,,523.0,
1778,RK_74_1 ,1984JJ00,,,,,,,,,,,,,,,,,,543.0,
1779,RK_74_1 ,1985JJ00,,,,,,,,,,,,,,,,,,569.0,
1780,RK_74_1 ,1986JJ00,,,,,,,,,,,,,,,,,,604.0,
1781,RK_74_1 ,1987JJ00,10110.0,5137.0,4973.0,,56.1,7348.0,5614.0,723.0,698.0,25.0,66.0,57.0,9.0,3739.0,3012.0,727.0,1218.0,640.0,2163.0
1782,RK_74_1 ,1988JJ00,10109.0,5001.0,5108.0,0.4,56.4,7378.0,5780.0,760.0,730.0,30.0,68.0,58.0,10.0,3757.0,3086.0,671.0,1331.0,688.0,2482.0
1783,RK_74_1 ,1989JJ00,11299.0,5735.0,5564.0,7.9,60.8,7958.0,6298.0,804.0,776.0,28.0,52.0,42.0,10.0,4001.0,3323.0,678.0,1545.0,748.0,2736.0
1784,RK_74_1 ,1990JJ00,12419.0,6135.0,6284.0,8.1,65.7,8606.0,7004.0,807.0,776.0,31.0,69.0,56.0,13.0,4337.0,3865.0,472.0,1929.0,816.0,3326.0
1785,RK_74_1 ,1991JJ00,13514.0,6673.0,6841.0,3.7,68.2,8924.0,7584.0,822.0,790.0,32.0,55.0,47.0,8.0,4675.0,4176.0,499.0,2142.0,892.0,3841.0
1786,RK_74_1 ,1992JJ00,14430.0,7127.0,7303.0,2.3,69.7,9126.0,8165.0,964.0,926.0,38.0,70.0,64.0,6.0,5006.0,4449.0,557.0,2265.0,966.0,4060.0
1787,RK_74_1 ,1993JJ00,15326.0,7488.0,7838.0,3.2,71.9,9416.0,8832.0,1099.0,1062.0,37.0,74.0,68.0,6.0,5294.0,4733.0,561.0,2513.0,1019.0,4310.0
1788,RK_74_1 ,1994JJ00,16134.0,7873.0,8261.0,4.0,74.8,9797.0,9511.0,1354.0,1316.0,38.0,74.0,66.0,8.0,5595.0,5033.0,562.0,2636.0,1048.0,4737.0
1789,RK_74_1 ,1995JJ00,16966.0,8286.0,8680.0,4.2,77.9,10205.0,9859.0,1294.0,1254.0,40.0,87.0,75.0,12.0,5832.0,5217.0,615.0,2820.0,1068.0,5181.0
1790,RK_74_1 ,1996JJ00,18367.0,8965.0,9402.0,5.2,82.0,10738.0,10976.0,1690.0,1649.0,41.0,94.0,75.0,19.0,6193.0,5541.0,652.0,3187.0,1090.0,6200.0
1791,RK_74_1 ,1997JJ00,20375.0,9873.0,10502.0,8.7,89.1,11671.0,12412.0,2015.0,1978.0,37.0,90.0,68.0,22.0,6909.0,6135.0,774.0,3578.0,1165.0,6236.0
1792,RK_74_1 ,1998JJ00,21229.0,10449.0,10780.0,-0.9,88.4,11567.0,12951.0,2279.0,2245.0,34.0,95.0,74.0,21.0,7373.0,6067.0,1306.0,3394.0,1327.0,6247.0
1793,RK_74_1 ,1999JJ00,23282.0,11249.0,12033.0,7.8,95.2,12464.0,14696.0,2771.0,2727.0,44.0,94.0,64.0,30.0,8055.0,6654.0,1401.0,3964.0,1517.0,6826.0
1794,RK_74_1 ,2000JJ00,25788.0,12696.0,13092.0,5.0,100.0,13092.0,15826.0,2852.0,2804.0,48.0,95.0,70.0,25.0,9219.0,7562.0,1657.0,3850.0,1715.0,6945.0
1795,RK_74_1 ,2001JJ00,28415.0,13810.0,14605.0,5.3,105.3,13782.0,17982.0,3490.0,3437.0,53.0,90.0,60.0,30.0,10336.0,8432.0,1904.0,4246.0,1889.0,7856.0
1796,RK_74_1 ,2002JJ00,28173.0,13378.0,14795.0,-4.5,100.5,13163.0,18341.0,3640.0,3589.0,51.0,71.0,43.0,28.0,11052.0,8890.0,2162.0,3720.0,2030.0,7035.0
1797,RK_74_1 ,2003JJ00,28238.0,13360.0,14878.0,-4.1,96.5,12629.0,18268.0,3503.0,3449.0,54.0,89.0,59.0,30.0,11302.0,8967.0,2335.0,3552.0,2099.0,6280.0
1798,RK_74_1 ,2004JJ00,28999.0,13784.0,15215.0,-3.0,93.6,12248.0,18957.0,3851.0,3794.0,57.0,86.0,52.0,34.0,11528.0,9055.0,2473.0,3664.0,2128.0,6538.0
1799,RK_74_1 ,2005JJ00,30704.0,14629.0,16075.0,0.6,94.1,12324.0,20273.0,4312.0,4252.0,60.0,83.0,54.0,29.0,11810.0,9333.0,2477.0,4234.0,2197.0,7694.0
