ID,NuttigeToepassingEnEindverwerking,BedrijfstakkenBranchesSBI2008,Perioden,Bedrijfsafval_1
0,T001523,300002,1994JJ00,
1,T001523,300002,1996JJ00,
2,T001523,300002,1998JJ00,
3,T001523,300002,2000JJ00,
4,T001523,300002,2001JJ00,
5,T001523,300002,2002JJ00,
6,T001523,300002,2003JJ00,
7,T001523,300002,2004JJ00,
8,T001523,300002,2005JJ00,
9,T001523,300002,2006JJ00,
10,T001523,300002,2007JJ00,26061.0
11,T001523,300002,2008JJ00,26352.0
12,T001523,300002,2009JJ00,24776.0
13,T001523,300002,2010JJ00,24581.0
14,T001523,300002,2011JJ00,25191.0
15,T001523,300002,2012JJ00,24528.0
16,T001523,300002,2013JJ00,24332.0
17,T001523,300002,2014JJ00,24724.0
18,T001523,300002,2015JJ00,25056.0
19,T001523,300002,2016JJ00,25736.0
20,T001523,300002,2017JJ00,26353.0
21,T001523,300002,2018JJ00,25576.0
22,T001523,300002,2019JJ00,24687.0
23,T001523,300002,2020JJ00,24398.0
24,T001523,300002,2021JJ00,24837.0
25,T001523,305700,1994JJ00,179.0
26,T001523,305700,1996JJ00,299.0
27,T001523,305700,1998JJ00,268.0
28,T001523,305700,2000JJ00,202.0
29,T001523,305700,2001JJ00,183.0
30,T001523,305700,2002JJ00,192.0
31,T001523,305700,2003JJ00,302.0
32,T001523,305700,2004JJ00,275.0
33,T001523,305700,2005JJ00,229.0
34,T001523,305700,2006JJ00,203.0
35,T001523,305700,2007JJ00,217.0
36,T001523,305700,2008JJ00,335.0
37,T001523,305700,2009JJ00,217.0
38,T001523,305700,2010JJ00,244.0
39,T001523,305700,2011JJ00,200.0
40,T001523,305700,2012JJ00,213.0
41,T001523,305700,2013JJ00,209.0
42,T001523,305700,2014JJ00,209.0
43,T001523,305700,2015JJ00,183.0
44,T001523,305700,2016JJ00,97.0
45,T001523,305700,2017JJ00,89.0
46,T001523,305700,2018JJ00,107.0
47,T001523,305700,2019JJ00,97.0
48,T001523,305700,2020JJ00,112.0
49,T001523,305700,2021JJ00,100.0
50,T001523,307500,1994JJ00,19245.0
51,T001523,307500,1996JJ00,18761.0
52,T001523,307500,1998JJ00,19183.0
53,T001523,307500,2000JJ00,19039.0
54,T001523,307500,2001JJ00,18074.0
55,T001523,307500,2002JJ00,17595.0
56,T001523,307500,2003JJ00,16971.0
57,T001523,307500,2004JJ00,16372.0
58,T001523,307500,2005JJ00,16149.0
59,T001523,307500,2006JJ00,15981.0
60,T001523,307500,2007JJ00,16313.0
61,T001523,307500,2008JJ00,16072.0
62,T001523,307500,2009JJ00,14340.0
63,T001523,307500,2010JJ00,14400.0
64,T001523,307500,2011JJ00,14630.0
65,T001523,307500,2012JJ00,14357.0
66,T001523,307500,2013JJ00,14052.0
67,T001523,307500,2014JJ00,13811.0
68,T001523,307500,2015JJ00,13858.0
69,T001523,307500,2016JJ00,14125.0
70,T001523,307500,2017JJ00,14654.0
71,T001523,307500,2018JJ00,14271.0
72,T001523,307500,2019JJ00,13715.0
73,T001523,307500,2020JJ00,13361.0
74,T001523,307500,2021JJ00,13611.0
75,T001523,307610,1994JJ00,10263.0
76,T001523,307610,1996JJ00,9847.0
77,T001523,307610,1998JJ00,9871.0
78,T001523,307610,2000JJ00,10278.0
79,T001523,307610,2001JJ00,10132.0
80,T001523,307610,2002JJ00,9705.0
81,T001523,307610,2003JJ00,9125.0
82,T001523,307610,2004JJ00,8440.0
83,T001523,307610,2005JJ00,8070.0
84,T001523,307610,2006JJ00,8078.0
85,T001523,307610,2007JJ00,8205.0
86,T001523,307610,2008JJ00,8144.0
87,T001523,307610,2009JJ00,8157.0
88,T001523,307610,2010JJ00,8217.0
89,T001523,307610,2011JJ00,8130.0
90,T001523,307610,2012JJ00,8242.0
91,T001523,307610,2013JJ00,8394.0
92,T001523,307610,2014JJ00,8208.0
93,T001523,307610,2015JJ00,8275.0
94,T001523,307610,2016JJ00,8478.0
95,T001523,307610,2017JJ00,8728.0
96,T001523,307610,2018JJ00,8762.0
97,T001523,307610,2019JJ00,8352.0
98,T001523,307610,2020JJ00,8277.0
99,T001523,307610,2021JJ00,8329.0
100,T001523,307600,1994JJ00,9556.0
101,T001523,307600,1996JJ00,9055.0
102,T001523,307600,1998JJ00,9135.0
103,T001523,307600,2000JJ00,9477.0
104,T001523,307600,2001JJ00,9358.0
105,T001523,307600,2002JJ00,8926.0
106,T001523,307600,2003JJ00,8355.0
107,T001523,307600,2004JJ00,7686.0
108,T001523,307600,2005JJ00,7309.0
109,T001523,307600,2006JJ00,7298.0
110,T001523,307600,2007JJ00,7423.0
111,T001523,307600,2008JJ00,7295.0
112,T001523,307600,2009JJ00,7361.0
113,T001523,307600,2010JJ00,7381.0
114,T001523,307600,2011JJ00,7380.0
115,T001523,307600,2012JJ00,7564.0
116,T001523,307600,2013JJ00,7680.0
117,T001523,307600,2014JJ00,7544.0
118,T001523,307600,2015JJ00,7620.0
119,T001523,307600,2016JJ00,7800.0
120,T001523,307600,2017JJ00,8040.0
121,T001523,307600,2018JJ00,8067.0
122,T001523,307600,2019JJ00,7668.0
123,T001523,307600,2020JJ00,7631.0
124,T001523,307600,2021JJ00,7684.0
125,T001523,311300,1994JJ00,675.0
126,T001523,311300,1996JJ00,763.0
127,T001523,311300,1998JJ00,715.0
128,T001523,311300,2000JJ00,778.0
129,T001523,311300,2001JJ00,750.0
130,T001523,311300,2002JJ00,757.0
131,T001523,311300,2003JJ00,749.0
132,T001523,311300,2004JJ00,729.0
133,T001523,311300,2005JJ00,736.0
134,T001523,311300,2006JJ00,755.0
135,T001523,311300,2007JJ00,761.0
136,T001523,311300,2008JJ00,825.0
137,T001523,311300,2009JJ00,774.0
138,T001523,311300,2010JJ00,820.0
139,T001523,311300,2011JJ00,734.0
140,T001523,311300,2012JJ00,663.0
141,T001523,311300,2013JJ00,699.0
142,T001523,311300,2014JJ00,651.0
143,T001523,311300,2015JJ00,650.0
144,T001523,311300,2016JJ00,674.0
145,T001523,311300,2017JJ00,684.0
146,T001523,311300,2018JJ00,692.0
147,T001523,311300,2019JJ00,681.0
148,T001523,311300,2020JJ00,643.0
149,T001523,311300,2021JJ00,643.0
150,T001523,312200,1994JJ00,32.0
151,T001523,312200,1996JJ00,28.0
152,T001523,312200,1998JJ00,21.0
153,T001523,312200,2000JJ00,23.0
154,T001523,312200,2001JJ00,24.0
155,T001523,312200,2002JJ00,22.0
156,T001523,312200,2003JJ00,21.0
157,T001523,312200,2004JJ00,25.0
158,T001523,312200,2005JJ00,24.0
159,T001523,312200,2006JJ00,22.0
160,T001523,312200,2007JJ00,21.0
161,T001523,312200,2008JJ00,21.0
162,T001523,312200,2009JJ00,21.0
163,T001523,312200,2010JJ00,16.0
164,T001523,312200,2011JJ00,16.0
165,T001523,312200,2012JJ00,15.0
166,T001523,312200,2013JJ00,15.0
167,T001523,312200,2014JJ00,13.0
168,T001523,312200,2015JJ00,5.0
169,T001523,312200,2016JJ00,4.0
170,T001523,312200,2017JJ00,4.0
171,T001523,312200,2018JJ00,3.0
172,T001523,312200,2019JJ00,3.0
173,T001523,312200,2020JJ00,3.0
174,T001523,312200,2021JJ00,3.0
175,T001523,312505,1994JJ00,72.0
176,T001523,312505,1996JJ00,68.0
177,T001523,312505,1998JJ00,86.0
178,T001523,312505,2000JJ00,74.0
179,T001523,312505,2001JJ00,68.0
180,T001523,312505,2002JJ00,100.0
181,T001523,312505,2003JJ00,92.0
182,T001523,312505,2004JJ00,72.0
183,T001523,312505,2005JJ00,77.0
184,T001523,312505,2006JJ00,81.0
185,T001523,312505,2007JJ00,82.0
186,T001523,312505,2008JJ00,89.0
187,T001523,312505,2009JJ00,78.0
188,T001523,312505,2010JJ00,82.0
189,T001523,312505,2011JJ00,79.0
190,T001523,312505,2012JJ00,101.0
191,T001523,312505,2013JJ00,100.0
192,T001523,312505,2014JJ00,39.0
193,T001523,312505,2015JJ00,39.0
194,T001523,312505,2016JJ00,47.0
195,T001523,312505,2017JJ00,50.0
196,T001523,312505,2018JJ00,53.0
197,T001523,312505,2019JJ00,52.0
198,T001523,312505,2020JJ00,63.0
199,T001523,312505,2021JJ00,59.0
200,T001523,315805,1994JJ00,1036.0
