ID,Heffingen,Perioden,BenzineOngelood_1,Dieselolie_2,LPG_3,CNG_4,PropaanButaan_5,Huisbrandolie_6,Petroleum_7,k_800M3_8,k_8005000M3_9,k_5000170000M3_10,k_1700001MlnM3_11,k_1Mln10MlnM3_12,k_10mlnM3NietZakelijkVerbruik_13,k_10MlnM3ZakelijkVerbruik_14,GroenGas5000M3_15,GroenGas5000TM10MlnM3_16,GroenGas10MlnM3_17,HoogovenCokesovenKolenRaffinGas_18,Steenkool_19,ZwareStookolie_20,KVGas_21,Uranium235_22,Petroleumcokes_23,VloeibareBrandstof_24,GasvormigeBrandstof_25,k_08MWh_26,k_0810MWh_27,k_1050MWh_28,k_50MWh10000MWh_29,k_10MlnKWhNietZakelijkVerbruik_30,k_10MlnKWhZakelijkVerbruik_31,GroeneStroom10MWh_32,GroeneStroom10MWh_33
29,H10001,2008MM01,697.24,382.84,101.51,30.5,203.71,220.16,218.87,155.4,155.4,136.2,37.8,12.0,11.2,7.9,,,,0.0,12.95,32.51,0.0,0.0,0.0,0.0,0.0,72.7,72.7,37.5,10.4,1.0,0.5,,0.0
30,H10001,2008MM07,697.24,412.94,129.5,30.5,203.71,220.16,218.87,155.4,155.4,136.2,37.8,12.0,11.2,7.9,,,,0.0,12.95,32.51,0.0,0.0,0.0,0.0,0.0,75.2,75.2,37.5,10.4,1.0,0.5,,0.0
31,H10001,2009MM01,709.0,419.86,131.37,31.0,207.08,254.42,253.13,158.0,158.0,138.5,38.4,12.2,11.4,8.0,,,,0.0,13.17,33.06,0.0,0.0,0.0,0.0,0.0,108.5,108.5,39.8,10.6,1.0,0.5,,0.0
32,H10001,2010MM01,722.98,428.39,160.02,31.6,0.0,259.76,259.87,162.9,162.9,141.1,39.1,12.4,11.6,8.2,,,,0.0,13.42,33.69,0.0,0.0,0.0,0.0,0.0,111.4,111.4,40.6,10.8,1.0,0.5,,0.0
33,H10001,2011MM01,724.2,429.5,160.94,31.8,0.0,261.28,261.4,163.9,163.9,141.9,39.3,12.5,11.7,8.2,,,,0.0,13.5,33.89,0.0,0.0,0.0,0.0,0.0,112.1,112.1,40.8,10.9,1.0,0.5,,0.0
34,H10001,2012MM01,736.4,436.7,173.44,63.9,0.0,265.63,265.63,166.7,166.7,144.3,40.0,12.7,11.9,8.3,,,,0.0,13.73,34.47,0.0,0.0,0.0,0.0,0.0,114.0,114.0,41.5,11.1,1.0,0.5,,0.0
35,H10001,2013MM01,752.5,446.2,185.94,95.9,0.0,0.0,0.0,188.5,188.5,188.5,44.8,16.3,11.7,11.7,,,,0.0,14.03,35.23,0.0,0.0,0.0,0.0,0.0,117.6,117.6,43.8,11.7,1.02,0.52,,0.0
36,H10001,2013MM04,754.6,448.3,188.04,95.9,0.0,0.0,0.0,188.5,188.5,188.5,44.8,16.3,11.7,11.7,,,,0.0,14.03,35.23,0.0,0.0,0.0,0.0,0.0,117.6,117.6,43.8,11.7,1.02,0.52,,0.0
37,H10001,2014MM01,767.24,485.76,330.17,128.0,0.0,0.0,0.0,194.0,194.0,194.0,46.3,16.8,12.1,12.1,,,,0.0,14.27,35.83,0.0,0.0,0.0,0.0,0.0,120.8,120.8,45.8,12.2,1.03,0.53,,0.0
38,H10001,2015MM01,774.07,490.06,342.67,160.0,0.0,0.0,0.0,198.5,198.5,198.5,70.5,25.5,12.4,12.4,,,,0.0,14.4,36.15,0.0,0.0,0.0,0.0,0.0,123.2,123.2,51.5,13.7,1.06,0.56,,0.0
39,H10002,1993MM01,440.85,251.94,0.0,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
40,H10002,1993MM08,440.85,251.94,0.0,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
41,H10002,1994MM01,490.76,288.24,0.0,,0.0,46.56,46.56,,,,,,,,,,,,,15.54,,,,,,,,,,,,,
