ID,ProfielVDInstellingen,Perioden,TotaalAantalInstellingen_1,Galerieen_2,Kunstuitleen_3,Kunstadvies_4,Collecties_5,Exposities_6,Uitleningen_7,BezoekenExposities_8,GebruikersKunstuitleen_9,TotaalAbonnementenKunstuitleen_10,Huur_11,HuurMetSpaarOfKooptegoed_12,GebruikersKunstadvies_13,TotaalBetaaldPersoneel_14,EigenarenFirmanten_15,InLoondienst_16,OverigBetaaldPersoneel_17,Vrijwilligers_18,TotaalVerkoopbedragKunstwerken_19,ConsignatieGehuurdWerk_20,UitAangekochtWerk_21,TotaalBetalingenAanKunstenaars_22,Huurvergoedingen_23,AankoopInstellingen_24,VerkoopConsignatieGehuurdWerk_25,TotaalBedrijfsopbrengsten_26,Subsidies_27,VerhuurKunstwerken_28,Provisies_29,VerkoopAangekochtWerk_30,OverigeBedrijfsopbrengsten_31,TotaalBedrijfslasten_32,Personeelskosten_33,AankoopHuurkoopKunstwerken_34,Promotiekosten_35,Huisvestingskosten_36,OverigeBedrijfslasten_37,Exploitatiesaldo_38
0,   7,1994JJ00,508,364,76,68,409.0,3688.0,203.0,1607.0,81.0,90.0,53.0,37.0,7014.0,751.0,365.0,344.0,42.0,97.0,48.0,38.0,10.0,36.0,4.0,6.0,24.0,47.0,11.0,8.0,14.0,10.0,4.0,44.0,10.0,11.0,6.0,6.0,11.0,3.0
1,   7,1996JJ00,522,330,81,111,503.0,3538.0,209.0,2152.0,81.0,101.0,52.0,49.0,8697.0,698.0,342.0,304.0,53.0,113.0,45.0,28.0,17.0,33.0,3.0,12.0,17.0,52.0,11.0,9.0,11.0,17.0,4.0,45.0,10.0,16.0,5.0,5.0,8.0,8.0
2,   7,2001JJ00,651,487,125,39,409.0,3982.0,149.0,2412.0,102.0,128.0,45.0,83.0,,965.0,451.0,446.0,68.0,,140.0,110.0,30.0,96.0,3.0,21.0,67.0,100.0,8.0,7.0,43.0,30.0,13.0,81.0,16.0,24.0,13.0,11.0,18.0,19.0
3,   1,1994JJ00,51,39,9,3,43.0,406.0,17.0,219.0,8.0,10.0,6.0,4.0,594.0,59.0,32.0,19.0,8.0,10.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0
4,   1,1996JJ00,57,39,14,4,52.0,382.0,24.0,335.0,9.0,12.0,7.0,5.0,561.0,57.0,32.0,15.0,9.0,19.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0
5,   1,2001JJ00,76,67,8,1,219.0,2184.0,83.0,1297.0,55.0,72.0,23.0,49.0,,512.0,236.0,241.0,35.0,,80.0,63.0,17.0,55.0,1.0,12.0,38.0,59.0,5.0,4.0,25.0,17.0,8.0,47.0,8.0,14.0,8.0,6.0,11.0,11.0
6,   2,1994JJ00,71,53,10,8,43.0,522.0,22.0,227.0,10.0,12.0,7.0,5.0,780.0,85.0,43.0,37.0,5.0,16.0,5.0,3.0,1.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0
7,   2,1996JJ00,84,48,20,16,69.0,525.0,27.0,154.0,12.0,13.0,7.0,6.0,1717.0,102.0,51.0,47.0,4.0,7.0,5.0,3.0,2.0,4.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0
8,   2,2001JJ00,91,66,21,4,42.0,505.0,10.0,268.0,7.0,8.0,4.0,4.0,,105.0,51.0,46.0,8.0,,9.0,7.0,2.0,6.0,0.0,1.0,4.0,6.0,1.0,1.0,3.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0
9,   3,1994JJ00,287,203,44,40,260.0,2174.0,129.0,953.0,50.0,54.0,33.0,21.0,4348.0,454.0,198.0,234.0,22.0,54.0,30.0,25.0,5.0,23.0,3.0,4.0,16.0,30.0,8.0,5.0,9.0,5.0,3.0,28.0,7.0,7.0,4.0,4.0,7.0,2.0
10,   3,1996JJ00,243,151,34,58,293.0,1861.0,115.0,1429.0,40.0,54.0,27.0,27.0,4832.0,346.0,126.0,188.0,32.0,54.0,26.0,16.0,9.0,20.0,2.0,8.0,10.0,30.0,8.0,5.0,6.0,9.0,2.0,27.0,6.0,10.0,3.0,3.0,5.0,3.0
11,   3,2001JJ00,349,251,70,28,59.0,458.0,22.0,271.0,17.0,21.0,9.0,12.0,,129.0,51.0,69.0,10.0,,11.0,9.0,3.0,8.0,1.0,2.0,5.0,10.0,1.0,1.0,4.0,3.0,2.0,8.0,2.0,2.0,1.0,1.0,2.0,2.0
12,   4,1994JJ00,99,69,13,17,64.0,586.0,34.0,208.0,14.0,14.0,7.0,7.0,1292.0,153.0,91.0,54.0,8.0,17.0,11.0,8.0,3.0,7.0,1.0,1.0,5.0,10.0,2.0,1.0,3.0,3.0,1.0,9.0,1.0,2.0,1.0,1.0,2.0,1.0
13,   4,1996JJ00,138,92,12,34,90.0,769.0,43.0,234.0,20.0,22.0,11.0,11.0,1587.0,194.0,132.0,54.0,8.0,33.0,11.0,6.0,5.0,7.0,0.0,3.0,4.0,12.0,1.0,2.0,2.0,5.0,1.0,9.0,2.0,3.0,1.0,1.0,2.0,3.0
14,   4,2001JJ00,135,103,26,6,88.0,834.0,34.0,576.0,23.0,27.0,9.0,18.0,,219.0,114.0,90.0,15.0,,39.0,31.0,8.0,27.0,0.0,6.0,19.0,26.0,1.0,2.0,12.0,8.0,3.0,20.0,3.0,6.0,3.0,3.0,5.0,6.0
15,   5,1994JJ00,252,164,52,36,144.0,1611.0,71.0,690.0,34.0,40.0,21.0,19.0,3297.0,310.0,175.0,120.0,14.0,50.0,19.0,14.0,5.0,13.0,2.0,2.0,9.0,17.0,3.0,3.0,5.0,5.0,2.0,16.0,3.0,4.0,3.0,2.0,4.0,1.0
16,   5,1996JJ00,295,161,63,70,195.0,1664.0,88.0,630.0,40.0,49.0,22.0,27.0,4096.0,294.0,190.0,87.0,17.0,60.0,18.0,13.0,5.0,13.0,2.0,3.0,8.0,18.0,3.0,3.0,5.0,5.0,2.0,14.0,2.0,5.0,2.0,2.0,3.0,4.0
