ID,TypeLozing,BrancheBedrijfstak,Perioden,FosforverbindingenAlsP_1,StikstofverbindingenAlsN_2,AntimoonverbindingenAlsSb_3,ArseenverbindingenAlsAs_4,CadmiumverbindingenAlsCd_5,ChroomverbindingenAlsCr_6,KobaltverbindingenAlsCo_7,KoperverbindingenAlsCu_8,KwikverbindingenAlsHg_9,LoodverbindingenAlsPb_10,NikkelverbindingenAlsNi_11,ZinkverbindingenAlsZn_12,Benzeen_13,Ethylbenzeen_14,Isopropylbenzeen_15,SomPAK6VanBorneff_16,Tolueen_17,Xyleen_18,Dichloorethaan12_19,Hexachloorbutadieen_20,TetrachlooretheenPer_21,TetrachloormethaanTetra_22,DrinsAldrinDieldrinEnz_23,Hexachloorbenzenen_24,CZV_25,TOC_26,ChloridenAnorganischAlsCl_27,Fluoriden_28,CyanidenAnorganischAlsCN_29
10,T         ,307610,2010JJ00,980.0,5068.0,0.0,118.1,8.6,550.0,0.0,1466.0,0.5,170.0,598.0,4981.0,2098.0,0.0,0.0,0.0,5245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16840.0,10722.0,61399.0,0.0,0.0
11,T         ,307610,2011JJ00,1028.0,4998.0,0.0,124.7,8.9,551.0,0.0,1494.0,0.3,153.0,642.0,5243.0,3515.0,0.0,0.0,0.0,8787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15056.0,10904.0,60532.0,0.0,0.0
12,T         ,307610,2012JJ00,953.0,4462.0,0.0,76.6,5.8,351.0,0.0,1035.0,0.5,124.0,444.0,3544.0,551.0,0.0,0.0,0.0,1376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16786.0,14457.0,72134.0,0.0,0.0
13,T         ,307610,2013JJ00,835.0,4234.0,0.0,62.4,4.8,314.0,0.0,877.0,0.6,114.0,352.0,3422.0,1085.0,0.0,0.0,0.0,2712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18377.0,12093.0,67201.0,0.0,0.0
14,T         ,307610,2014JJ00,844.0,4441.0,0.0,58.8,4.1,274.0,0.0,783.0,0.2,98.0,371.0,2981.0,770.0,0.0,0.0,0.0,1924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16606.0,10416.0,63249.0,0.0,0.0
15,T         ,307610,2015JJ00,928.0,4684.0,0.0,87.2,8.6,388.0,0.0,1061.0,0.1,134.0,429.0,4069.0,857.0,0.0,0.0,0.0,2142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20855.0,12237.0,57335.0,0.0,0.0
16,T         ,307600,2008JJ00,1087.0,3682.0,0.0,55.3,5.2,121.0,0.0,462.0,0.4,77.0,314.0,1752.0,0.0,0.0,0.0,0.0,3870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37837.0,5578.0,59783.0,0.0,0.0
17,T         ,307600,2009JJ00,1011.0,3990.0,0.0,50.1,4.8,115.0,0.0,433.0,0.0,61.0,322.0,1846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15082.0,14290.0,56580.0,0.0,0.0
18,T         ,307600,2010JJ00,928.0,4918.0,0.0,110.9,8.6,527.0,0.0,1284.0,0.4,169.0,593.0,4669.0,2098.0,0.0,0.0,0.0,5245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16840.0,10387.0,60681.0,0.0,0.0
19,T         ,307600,2011JJ00,969.0,4846.0,0.0,124.6,8.9,550.0,0.0,1365.0,0.2,153.0,642.0,4948.0,3515.0,0.0,0.0,0.0,8787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15056.0,10571.0,60024.0,0.0,0.0
20,T         ,307600,2012JJ00,909.0,4394.0,0.0,76.5,5.8,350.0,0.0,910.0,0.4,124.0,444.0,3323.0,551.0,0.0,0.0,0.0,1376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16786.0,13891.0,71612.0,0.0,0.0
21,T         ,307600,2013JJ00,800.0,4073.0,0.0,62.3,4.8,294.0,0.0,765.0,0.6,114.0,347.0,3036.0,1085.0,0.0,0.0,0.0,2712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18377.0,11014.0,66705.0,0.0,0.0
22,T         ,307600,2014JJ00,808.0,4297.0,0.0,58.7,4.1,252.0,0.0,670.0,0.2,98.0,366.0,2734.0,770.0,0.0,0.0,0.0,1924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16606.0,9531.0,62799.0,0.0,0.0
23,T         ,307600,2015JJ00,879.0,4552.0,0.0,87.1,8.6,370.0,0.0,952.0,0.1,134.0,425.0,3738.0,857.0,0.0,0.0,0.0,2142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20855.0,11277.0,56617.0,0.0,0.0
24,T         ,307700,2008JJ00,29.0,514.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1834.0,3965.0,0.0,0.0
25,T         ,307700,2009JJ00,32.0,512.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1714.0,5650.0,0.0,0.0
26,T         ,307700,2010JJ00,49.0,516.0,0.0,3.7,6.0,264.0,0.0,688.0,0.0,98.0,185.0,2882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.0,4151.0,0.0,0.0
27,T         ,307700,2011JJ00,55.0,673.0,0.0,3.8,6.2,272.0,0.0,718.0,0.0,102.0,192.0,3085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,3732.0,0.0,0.0
28,T         ,307700,2012JJ00,40.0,623.0,0.0,2.6,4.2,183.0,0.0,493.0,0.0,69.0,131.0,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1737.0,13404.0,0.0,0.0
29,T         ,307700,2013JJ00,36.0,649.0,0.0,2.1,3.5,152.0,0.0,407.0,0.0,57.0,106.0,1827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1840.0,2732.0,0.0,0.0
30,T         ,307700,2014JJ00,31.0,953.0,0.0,1.8,3.0,128.0,0.0,350.0,0.0,48.0,89.0,1487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,2823.0,0.0,0.0
31,T         ,307700,2015JJ00,39.0,458.0,0.0,2.5,4.1,176.0,0.0,475.0,0.0,66.0,123.0,1969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,2630.0,0.0,0.0
32,T         ,308100,2008JJ00,17.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1858.0,0.0,8001.0,0.0,0.0
33,T         ,308100,2009JJ00,13.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1402.0,0.0,6038.0,0.0,0.0
34,T         ,308100,2010JJ00,17.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1779.0,0.0,7659.0,0.0,0.0
35,T         ,308100,2011JJ00,17.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1878.0,0.0,8084.0,0.0,0.0
36,T         ,308100,2012JJ00,18.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1887.0,0.0,8126.0,0.0,0.0
37,T         ,308100,2013JJ00,21.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2213.0,0.0,9529.0,0.0,0.0
38,T         ,308100,2014JJ00,21.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2252.0,0.0,9698.0,0.0,0.0
39,T         ,308100,2015JJ00,23.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2502.0,0.0,10771.0,0.0,0.0
40,T         ,308300,2008JJ00,237.0,1208.0,0.0,25.7,2.8,88.0,0.0,273.0,0.0,57.0,81.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9756.0,0.0,9983.0,0.0,0.0
41,T         ,308300,2009JJ00,176.0,1408.0,0.0,29.1,2.9,91.0,0.0,274.0,0.0,48.0,85.0,863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9906.0,67.0,10909.0,0.0,0.0
42,T         ,308300,2010JJ00,149.0,2449.0,0.0,98.0,2.4,241.0,0.0,500.0,0.3,68.0,212.0,1079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11448.0,171.0,15471.0,0.0,0.0
43,T         ,308300,2011JJ00,197.0,2244.0,0.0,110.5,2.4,259.0,0.0,559.0,0.1,48.0,265.0,1207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9432.0,996.0,13225.0,0.0,0.0
44,T         ,308300,2012JJ00,171.0,1864.0,0.0,65.1,1.4,152.0,0.0,332.0,0.0,53.0,146.0,719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11349.0,4230.0,14566.0,0.0,0.0
45,T         ,308300,2013JJ00,151.0,1591.0,0.0,55.6,1.2,127.0,0.0,279.0,0.0,55.0,132.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12191.0,1768.0,13560.0,0.0,0.0
46,T         ,308300,2014JJ00,153.0,1325.0,0.0,47.5,1.0,109.0,0.0,240.0,0.0,47.0,136.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10383.0,1125.0,12479.0,0.0,0.0
