ID,EnergyCommodities,Periods,EnergyConsumptionInSectorTransport_1
0,1 ,1955JJ00,58.0
1,1 ,1956JJ00,66.0
2,1 ,1957JJ00,68.0
3,1 ,1958JJ00,74.0
4,1 ,1959JJ00,81.0
5,1 ,1960JJ00,90.0
6,1 ,1961JJ00,96.0
7,1 ,1962JJ00,106.0
8,1 ,1963JJ00,115.0
9,1 ,1964JJ00,126.0
10,1 ,1965JJ00,137.0
11,1 ,1966JJ00,148.0
12,1 ,1967JJ00,158.0
13,1 ,1968JJ00,171.0
14,1 ,1969JJ00,180.0
15,1 ,1970JJ00,198.0
16,1 ,1971JJ00,212.0
17,1 ,1972JJ00,226.0
18,1 ,1973JJ00,236.0
19,1 ,1974JJ00,225.0
20,1 ,1975JJ00,242.0
21,1 ,1976JJ00,268.0
22,1 ,1977JJ00,288.0
23,1 ,1978JJ00,294.0
24,1 ,1979JJ00,306.0
25,1 ,1980JJ00,315.0
26,1 ,1981JJ00,314.0
27,1 ,1982JJ00,312.0
28,1 ,1983JJ00,321.0
29,1 ,1984JJ00,322.0
30,1 ,1985JJ00,326.0
31,1 ,1986JJ00,339.0
32,1 ,1987JJ00,340.0
33,1 ,1988JJ00,353.0
34,1 ,1989JJ00,370.0
35,1 ,1990JJ00,375.0
36,1 ,1991JJ00,376.0
37,1 ,1992JJ00,394.0
38,1 ,1993JJ00,401.0
39,1 ,1994JJ00,408.0
40,1 ,1995JJ00,421.0
41,1 ,1996JJ00,447.0
42,1 ,1997JJ00,443.0
43,1 ,1998JJ00,442.0
44,1 ,1999KW01,109.0
45,1 ,1999KW02,121.0
46,1 ,1999KW03,112.0
47,1 ,1999KW04,116.0
48,1 ,1999JJ00,457.0
49,1 ,2000KW01,116.0
50,1 ,2000KW02,118.0
51,1 ,2000KW03,110.0
52,1 ,2000KW04,118.0
53,1 ,2000JJ00,462.0
54,1 ,2001KW01,114.0
55,1 ,2001KW02,119.0
56,1 ,2001KW03,111.0
57,1 ,2001KW04,123.0
58,1 ,2001JJ00,467.0
59,1 ,2002KW01,116.0
60,1 ,2002KW02,120.0
61,1 ,2002KW03,116.0
62,1 ,2002KW04,125.0
63,1 ,2002JJ00,476.0
64,1 ,2003KW01,116.0
65,1 ,2003KW02,123.0
66,1 ,2003KW03,118.0
67,1 ,2003KW04,125.0
68,1 ,2003JJ00,482.0
69,1 ,2004KW01,119.0
70,1 ,2004KW02,124.0
71,1 ,2004KW03,119.0
72,1 ,2004KW04,127.0
73,1 ,2004JJ00,488.0
74,1 ,2005KW01,118.0
75,1 ,2005KW02,125.0
76,1 ,2005KW03,118.0
77,1 ,2005KW04,126.0
78,1 ,2005JJ00,486.0
79,1 ,2006KW01,123.0
80,1 ,2006KW02,128.0
81,1 ,2006KW03,120.0
82,1 ,2006KW04,129.0
83,1 ,2006JJ00,500.0
84,1 ,2007KW01,125.0
85,1 ,2007KW02,127.0
86,1 ,2007KW03,125.0
87,1 ,2007KW04,128.0
88,1 ,2007JJ00,505.0
89,1 ,2008KW01,127.0
90,1 ,2008KW02,128.0
91,1 ,2008KW03,122.0
92,1 ,2008KW04,127.0
93,1 ,2008JJ00,504.0
94,1 ,2009KW01,121.0
95,1 ,2009KW02,124.0
96,1 ,2009KW03,124.0
97,1 ,2009KW04,119.0
98,1 ,2009JJ00,489.0
99,1 ,2010KW01,119.0
100,1 ,2010KW02,126.0
101,1 ,2010KW03,121.0
102,1 ,2010KW04,126.0
103,1 ,2010JJ00,492.0
104,1 ,2011KW01,122.0
105,1 ,2011KW02,128.0
106,1 ,2011KW03,120.0
107,1 ,2011KW04,129.0
108,1 ,2011JJ00,499.0
109,1 ,2012KW01,120.0
110,1 ,2012KW02,123.0
111,1 ,2012KW03,117.0
112,1 ,2012KW04,121.0
113,1 ,2012JJ00,481.0
114,1 ,2013KW01,118.0
115,1 ,2013KW02,120.0
116,7 ,1955JJ00,
117,7 ,1956JJ00,
118,7 ,1957JJ00,
119,7 ,1958JJ00,
120,7 ,1959JJ00,
121,7 ,1960JJ00,
122,7 ,1961JJ00,
123,7 ,1962JJ00,
124,7 ,1963JJ00,
125,7 ,1964JJ00,
126,7 ,1965JJ00,
127,7 ,1966JJ00,
128,7 ,1967JJ00,
129,7 ,1968JJ00,
130,7 ,1969JJ00,
131,7 ,1970JJ00,
132,7 ,1971JJ00,
133,7 ,1972JJ00,
134,7 ,1973JJ00,
135,7 ,1974JJ00,
136,7 ,1975JJ00,238.0
137,7 ,1976JJ00,265.0
138,7 ,1977JJ00,285.0
139,7 ,1978JJ00,291.0
140,7 ,1979JJ00,303.0
141,7 ,1980JJ00,312.0
142,7 ,1981JJ00,310.0
143,7 ,1982JJ00,308.0
144,7 ,1983JJ00,317.0
145,7 ,1984JJ00,318.0
146,7 ,1985JJ00,322.0
147,7 ,1986JJ00,335.0
148,7 ,1987JJ00,335.0
149,7 ,1988JJ00,349.0
150,7 ,1989JJ00,365.0
151,7 ,1990JJ00,371.0
152,7 ,1991JJ00,371.0
153,7 ,1992JJ00,389.0
154,7 ,1993JJ00,396.0
155,7 ,1994JJ00,402.0
156,7 ,1995JJ00,415.0
157,7 ,1996JJ00,441.0
158,7 ,1997JJ00,437.0
159,7 ,1998JJ00,436.0
160,7 ,1999KW01,107.0
161,7 ,1999KW02,119.0
162,7 ,1999KW03,110.0
163,7 ,1999KW04,115.0
164,7 ,1999JJ00,451.0
165,7 ,2000KW01,114.0
166,7 ,2000KW02,117.0
167,7 ,2000KW03,109.0
168,7 ,2000KW04,117.0
169,7 ,2000JJ00,457.0
170,7 ,2001KW01,112.0
171,7 ,2001KW02,118.0
172,7 ,2001KW03,110.0
173,7 ,2001KW04,122.0
174,7 ,2001JJ00,462.0
175,7 ,2002KW01,114.0
176,7 ,2002KW02,118.0
177,7 ,2002KW03,115.0
178,7 ,2002KW04,123.0
179,7 ,2002JJ00,471.0
180,7 ,2003KW01,114.0
181,7 ,2003KW02,122.0
182,7 ,2003KW03,117.0
183,7 ,2003KW04,124.0
184,7 ,2003JJ00,477.0
185,7 ,2004KW01,118.0
186,7 ,2004KW02,122.0
187,7 ,2004KW03,117.0
188,7 ,2004KW04,125.0
189,7 ,2004JJ00,482.0
190,7 ,2005KW01,116.0
191,7 ,2005KW02,123.0
192,7 ,2005KW03,117.0
193,7 ,2005KW04,124.0
194,7 ,2005JJ00,481.0
195,7 ,2006KW01,122.0
196,7 ,2006KW02,127.0
197,7 ,2006KW03,118.0
198,7 ,2006KW04,127.0
199,7 ,2006JJ00,494.0
200,7 ,2007KW01,123.0
201,7 ,2007KW02,126.0
202,7 ,2007KW03,123.0
203,7 ,2007KW04,127.0
204,7 ,2007JJ00,499.0
205,7 ,2008KW01,125.0
206,7 ,2008KW02,127.0
207,7 ,2008KW03,121.0
208,7 ,2008KW04,126.0
209,7 ,2008JJ00,499.0
210,7 ,2009KW01,119.0
211,7 ,2009KW02,123.0
212,7 ,2009KW03,123.0
213,7 ,2009KW04,118.0
214,7 ,2009JJ00,483.0
215,7 ,2010KW01,117.0
216,7 ,2010KW02,125.0
217,7 ,2010KW03,119.0
218,7 ,2010KW04,124.0
219,7 ,2010JJ00,485.0
220,7 ,2011KW01,121.0
221,7 ,2011KW02,126.0
222,7 ,2011KW03,119.0
223,7 ,2011KW04,127.0
224,7 ,2011JJ00,493.0
225,7 ,2012KW01,118.0
226,7 ,2012KW02,122.0
227,7 ,2012KW03,115.0
228,7 ,2012KW04,120.0
229,7 ,2012JJ00,474.0
230,7 ,2013KW01,116.0
231,7 ,2013KW02,119.0
232,8 ,1955JJ00,
233,8 ,1956JJ00,
234,8 ,1957JJ00,
235,8 ,1958JJ00,
236,8 ,1959JJ00,
237,8 ,1960JJ00,
238,8 ,1961JJ00,
239,8 ,1962JJ00,
240,8 ,1963JJ00,
241,8 ,1964JJ00,
242,8 ,1965JJ00,
243,8 ,1966JJ00,
244,8 ,1967JJ00,
245,8 ,1968JJ00,
246,8 ,1969JJ00,
