ID,ManureAndNutrients,Periods,TotalExcretion_1,ExcretionDuringHousing_2,ExcretionDuringGrazing_3,TotalNitrogenLossesN_4,AmmoniaEmissionsN_5,OtherGaseousNitrogenLossesN_6,EffluentAirScrubbersN_7,StoredManureAndManureDuringGrazing_8,ManureRemovalFromFarms_9,ManureSupplyToFarms_10,ProcessedManureExcludingExports_11,NetManureExports_12,SpreadingAreaForManure_13,UseOfLivestockManureInAgriculture_14
38,T001263   ,2016JJ00,78211.0,70136.0,8075.0,,,,,78211.0,25624.0,19251.0,,,,71837.0
39,T001263   ,2017JJ00,77878.0,69620.0,8258.0,,,,,77878.0,25922.0,19724.0,,,,71680.0
40,T001263   ,2018JJ00,75163.0,67130.0,8033.0,,,,,75163.0,25259.0,19813.0,,,,69718.0
41,T001263   ,2019JJ00,74602.0,66190.0,8412.0,,,,,74602.0,25519.0,20054.0,,,,69137.0
42,T001263   ,2020JJ00,74328.0,65983.0,8346.0,,,,,74328.0,25816.0,20524.0,,,,69037.0
43,T001263   ,2021JJ00,73462.0,65774.0,7688.0,,,,,73462.0,25490.0,20728.0,,,,68701.0
44,T001263   ,2022JJ00,73538.0,65706.0,7832.0,,,,,73538.0,26191.0,21568.0,,,,68916.0
45,T001263   ,2023JJ00,74651.0,66506.0,8146.0,,,,,74651.0,25453.0,20924.0,,,,70123.0
46,T001263   ,2024JJ00,74419.0,66614.0,7805.0,,,,,74419.0,,,,,,
47,A028942   ,1950JJ00,,,,,,,,,,,,,,
48,A028942   ,1960JJ00,,,,,,,,,,,,,,
49,A028942   ,1965JJ00,,,,,,,,,,,,,,
50,A028942   ,1970JJ00,,,,,,,,,,,,,,
51,A028942   ,1974JJ00,,,,,,,,,,,,,,
52,A028942   ,1976JJ00,,,,,,,,,,,,,,
53,A028942   ,1978JJ00,,,,,,,,,,,,,,
54,A028942   ,1980JJ00,565.0,,,,67.0,,0.0,,,,,,,
55,A028942   ,1982JJ00,612.0,,,,73.0,,0.0,,,,,,,
56,A028942   ,1984JJ00,659.0,,,,79.0,,0.0,,,,,,,
57,A028942   ,1986JJ00,696.0,,,,83.0,,0.0,,,,,3.0,,
58,A028942   ,1988JJ00,656.0,,,,80.0,,0.0,,,,,3.0,,
59,A028942   ,1990JJ00,691.0,503.0,188.0,92.0,81.0,12.0,0.0,599.0,,,6.0,7.0,,
60,A028942   ,1991JJ00,719.0,,,90.0,74.0,17.0,0.0,628.0,,,1.0,8.0,,
61,A028942   ,1992JJ00,717.0,,,91.0,74.0,16.0,0.0,626.0,,,1.0,13.0,,
62,A028942   ,1993JJ00,709.0,,,91.0,74.0,16.0,0.0,619.0,,,1.0,17.0,,
63,A028942   ,1994JJ00,681.0,511.0,169.0,93.0,81.0,12.0,0.0,588.0,155.0,129.0,3.0,23.0,,562.0
64,A028942   ,1995JJ00,680.0,508.0,172.0,91.0,79.0,12.0,0.0,589.0,154.0,127.0,3.0,26.0,,563.0
65,A028942   ,1996JJ00,669.0,489.0,180.0,89.0,78.0,11.0,0.0,580.0,148.0,127.0,2.0,15.0,,559.0
66,A028942   ,1997JJ00,645.0,477.0,168.0,85.0,74.0,11.0,0.0,560.0,138.0,124.0,2.0,11.0,,546.0
67,A028942   ,1998JJ00,602.0,460.0,142.0,81.0,70.0,10.0,0.0,522.0,98.0,81.0,5.0,12.0,934.0,504.0
68,A028942   ,1999JJ00,585.0,450.0,135.0,80.0,70.0,10.0,0.0,505.0,117.0,98.0,5.0,18.0,924.0,487.0
69,A028942   ,2000JJ00,549.0,424.0,125.0,73.0,63.0,9.0,0.0,476.0,102.0,78.0,4.0,21.0,871.0,452.0
70,A028942   ,2001JJ00,542.0,414.0,127.0,69.0,60.0,9.0,0.0,472.0,104.0,77.0,4.0,28.0,801.0,446.0
71,A028942   ,2002JJ00,504.0,399.0,105.0,67.0,58.0,9.0,0.0,438.0,97.0,70.0,5.0,30.0,774.0,410.0
72,A028942   ,2003JJ00,479.0,380.0,99.0,63.0,55.0,9.0,0.0,416.0,87.0,65.0,4.0,15.0,727.0,394.0
73,A028942   ,2004JJ00,467.0,376.0,92.0,64.0,55.0,8.0,0.0,403.0,91.0,65.0,5.0,18.0,720.0,378.0
74,A028942   ,2005JJ00,479.0,386.0,93.0,65.0,56.0,9.0,1.0,414.0,108.0,83.0,5.0,29.0,685.0,388.0
75,A028942   ,2006JJ00,471.0,382.0,89.0,65.0,56.0,8.0,1.0,406.0,119.0,81.0,2.0,24.0,409.0,369.0
76,A028942   ,2007JJ00,480.0,399.0,81.0,68.0,57.0,9.0,1.0,412.0,152.0,94.0,1.0,35.0,409.0,354.0
77,A028942   ,2008JJ00,491.0,406.0,86.0,69.0,59.0,9.0,1.0,422.0,158.0,91.0,9.0,41.0,413.0,355.0
78,A028942   ,2009JJ00,484.0,411.0,73.0,69.0,59.0,9.0,1.0,415.0,160.0,87.0,15.0,38.0,410.0,342.0
79,A028942   ,2010JJ00,490.0,416.0,74.0,68.0,57.0,9.0,3.0,421.0,154.0,82.0,19.0,38.0,400.0,349.0
80,A028942   ,2011JJ00,477.0,416.0,62.0,68.0,55.0,9.0,5.0,410.0,163.0,91.0,17.0,37.0,397.0,338.0
81,A028942   ,2012JJ00,461.0,403.0,57.0,65.0,52.0,8.0,5.0,396.0,169.0,95.0,20.0,33.0,394.0,322.0
82,A028942   ,2013JJ00,473.0,412.0,61.0,64.0,49.0,8.0,7.0,408.0,167.0,92.0,19.0,37.0,394.0,333.0
83,A028942   ,2014JJ00,487.0,426.0,61.0,66.0,51.0,9.0,7.0,421.0,170.0,95.0,18.0,41.0,383.0,346.0
