ID,Uitval,RegioS,Perioden,TotaalVoertuigen_1,PersonenautoS_2,TotaalBedrijfsvoertuigen_3,BestelautoS_4,VrachtautoS_5,Trekkers_6,SpecialeVoertuigen_7,Autobussen_8,TotaalGewichtVoertuigen_9,PersonenautoS_10,TotaalGewichtBedrijfsvoertuigen_11,BestelautoS_12,VrachtautoS_13,Trekkers_14,SpecialeVoertuigen_15,Autobussen_16
0,1,NL1 ,1996JJ00,424001,375449,48552.0,36208,5836,4321,1378,809,499331,353368,145963.0,49135,48756,29992,9931,8149
1,1,NL1 ,1997JJ00,448598,396456,52142.0,37164,6747,5642,1623,966,542734,374085,168649.0,50219,57412,39048,12026,9944
2,1,NL1 ,1998JJ00,406934,360276,46658.0,33417,5932,5364,1322,623,488477,337859,150618.0,45032,51334,37606,10124,6522
3,1,NL1 ,1999JJ00,421231,377138,44093.0,31552,5805,4920,1346,470,492029,349285,142744.0,42115,50384,34423,10851,4971
4,1,LD01,1996JJ00,38259,35797,2462.0,2008,156,87,120,91,38449,32555,5894.0,2522,1267,595,533,977
5,1,LD01,1997JJ00,38237,35594,2643.0,2001,216,174,149,103,39402,32299,7103.0,2413,1780,1171,654,1085
6,1,LD01,1998JJ00,34956,32399,2557.0,2012,200,148,128,69,36028,29545,6483.0,2442,1671,1014,562,794
7,1,LD01,1999JJ00,34675,32223,2452.0,1905,218,156,113,60,35580,29228,6352.0,2233,1921,1077,477,644
8,1,LD02,1996JJ00,91154,78475,12679.0,9023,1829,1431,283,113,115007,73972,41035.0,12483,15564,9967,1896,1125
9,1,LD02,1997JJ00,96676,83390,13286.0,8932,1955,1911,375,113,125209,78660,46549.0,12338,16918,13227,2993,1073
10,1,LD02,1998JJ00,88151,76283,11868.0,7880,1782,1812,298,96,112814,71124,41690.0,10848,15236,12591,1970,1045
11,1,LD02,1999JJ00,94561,83144,11417.0,7446,1841,1683,318,129,118042,76663,41379.0,10185,15852,11774,2165,1403
12,1,LD03,1996JJ00,195385,172730,22655.0,17426,2350,1848,672,359,229714,164194,65520.0,23231,20052,12865,5829,3543
13,1,LD03,1997JJ00,209829,184752,25077.0,18544,2978,2334,728,493,255105,177091,78014.0,24749,25831,16212,6098,5124
14,1,LD03,1998JJ00,188004,166165,21839.0,16265,2569,2088,596,321,226518,158357,68161.0,21827,22806,14656,5595,3277
15,1,LD03,1999JJ00,202226,181107,21119.0,16105,2339,1924,602,149,233251,169949,63302.0,21361,20868,13491,6110,1472
16,1,LD04,1996JJ00,97751,87145,10606.0,7620,1492,948,300,246,114614,81412,33202.0,10719,11806,6508,1664,2505
17,1,LD04,1997JJ00,103673,92589,11084.0,7658,1591,1222,364,249,122626,85896,36730.0,10677,12840,8427,2205,2581
18,1,LD04,1998JJ00,95738,85365,10373.0,7249,1377,1312,298,137,112957,78759,34198.0,9899,11584,9314,1994,1407
19,1,LD04,1999JJ00,89740,80643,9097.0,6092,1404,1156,313,132,105106,73423,31683.0,8331,11724,8076,2099,1453
20,1,PV20,1996JJ00,14586,13747,839.0,733,34,11,44,17,14047,12451,1596.0,894,278,72,172,180
21,1,PV20,1997JJ00,14674,13812,862.0,715,42,49,50,6,14231,12461,1770.0,832,322,337,221,58
22,1,PV20,1998JJ00,12951,12141,810.0,678,31,53,44,4,12709,11072,1637.0,817,243,370,170,37
23,1,PV20,1999JJ00,12550,11837,713.0,610,23,39,36,5,12189,10783,1406.0,699,220,273,175,39
24,1,PV21,1996JJ00,14234,13236,998.0,800,69,18,40,71,14729,12115,2614.0,971,559,120,189,775
25,1,PV21,1997JJ00,13483,12356,1127.0,823,100,58,57,89,14678,11346,3332.0,988,773,376,263,932
26,1,PV21,1998JJ00,13005,11940,1065.0,851,80,31,52,51,13554,10916,2638.0,1018,587,206,216,611
27,1,PV21,1999JJ00,13333,12225,1108.0,842,112,51,54,49,14065,11080,2985.0,988,925,336,194,542
28,1,PV22,1996JJ00,9439,8814,625.0,475,53,58,36,3,9673,7989,1684.0,657,430,403,172,22
29,1,PV22,1997JJ00,10080,9426,654.0,463,74,67,42,8,10493,8492,2001.0,593,685,458,170,95
30,1,PV22,1998JJ00,9000,8318,682.0,483,89,64,32,14,9765,7557,2208.0,607,841,438,176,146
31,1,PV22,1999JJ00,8792,8161,631.0,453,83,66,23,6,9326,7365,1961.0,546,776,468,108,63
32,1,PV23,1996JJ00,25408,22553,2855.0,2160,348,245,62,40,29486,21173,8313.0,2944,2847,1674,433,415
33,1,PV23,1997JJ00,26173,23277,2896.0,2131,333,316,74,42,30571,21797,8774.0,2853,2810,2142,502,467
34,1,PV23,1998JJ00,25981,23583,2398.0,1790,248,288,60,12,28551,21735,6816.0,2362,2062,1993,246,153
35,1,PV23,1999JJ00,25596,23412,2184.0,1593,238,274,69,10,27610,21218,6392.0,2066,1863,1887,463,113
36,1,PV24,1996JJ00,9776,8605,1171.0,1057,29,66,16,3,10218,8098,2120.0,1345,232,467,51,25
37,1,PV24,1997JJ00,9800,8574,1226.0,1088,46,58,29,5,10415,7994,2421.0,1369,383,420,230,19
38,1,PV24,1998JJ00,10418,9035,1383.0,1276,47,37,23,0,11012,8538,2474.0,1681,365,257,171,0
39,1,PV24,1999JJ00,10448,9138,1310.0,1217,32,40,20,1,10818,8599,2219.0,1603,272,271,69,4
40,1,PV25,1996JJ00,55970,47317,8653.0,5806,1452,1120,205,70,75303,44701,30602.0,8194,12485,7826,1412,685
41,1,PV25,1997JJ00,60703,51539,9164.0,5713,1576,1537,272,66,84223,48869,35354.0,8116,13725,10665,2261,587
42,1,PV25,1998JJ00,51752,43665,8087.0,4814,1487,1487,215,84,73251,40851,32400.0,6805,12809,10341,1553,892
43,1,PV25,1999JJ00,58517,50594,7923.0,4636,1571,1369,229,118,79614,46846,32768.0,6516,13717,9616,1633,1286
44,1,PV26,1996JJ00,23316,20915,2401.0,1813,220,204,99,65,27239,19611,7628.0,2363,1884,1416,1306,659
45,1,PV26,1997JJ00,24273,21390,2883.0,2077,291,292,118,105,29679,20025,9654.0,2721,2498,2026,1379,1030
46,1,PV26,1998JJ00,21905,19616,2289.0,1738,213,190,72,76,25223,18073,7150.0,2257,1849,1317,940,787
47,1,PV26,1999JJ00,21717,19670,2047.0,1498,186,252,95,16,23943,17721,6222.0,1885,1573,1736,851,177
48,1,PV27,1996JJ00,90424,81280,9144.0,8101,482,277,212,72,97008,78809,18199.0,10868,3949,1926,797,659
49,1,PV27,1997JJ00,101706,91199,10507.0,9136,609,366,279,117,112465,89709,22756.0,12288,5172,2528,1743,1025
