ID,Perioden,BrutoProductie_1,EigenVerbruikBijElektrProductie_2,NettoProductieTotaal_3,Kernenergie_4,BrandstoffenTotaal_5,Kolen_6,Olieproducten_7,Aardgas_8,Biomassa_9,OverigeBrandstoffenNietHernieuwbaar_10,Waterkracht_11,WindenergieTotaal_12,WindenergieOpLand_13,WindenergieOpZee_14,Zonnestroom_15,OverigeBronnen_16,InvoerTotaal_17,Belgie_18,Denemarken_19,Duitsland_20,VerenigdKoninkrijk_21,Noorwegen_22,UitvoerTotaal_23,Belgie_24,Denemarken_25,Duitsland_26,VerenigdKoninkrijk_27,Noorwegen_28,Distributieverliezen_29,NettoVerbruikBerekend_30
721,2015KW03,25845.0,1101.0,24744.0,1027.0,21495.0,10106.0,404.0,9507.0,1089.0,388.0,8.0,1498.0,1211.0,287.0,403.0,313.0,8094,273.0,,6413.0,0.0,1408.0,5286,3191.0,,62.0,2033.0,0.0,1245.0,26305.0
722,2015MM10,10352.0,416.0,9936.0,360.0,9092.0,3783.0,158.0,4649.0,381.0,121.0,3.0,312.0,238.0,73.0,65.0,105.0,2551,4.0,,2052.0,0.0,494.0,2622,1847.0,,45.0,730.0,0.0,451.0,9413.0
723,2015MM11,10064.0,392.0,9672.0,349.0,8028.0,3119.0,103.0,4316.0,372.0,120.0,6.0,1101.0,938.0,163.0,38.0,149.0,2052,70.0,,1504.0,1.0,477.0,1817,1087.0,,46.0,684.0,0.0,463.0,9445.0
724,2015MM12,10417.0,389.0,10028.0,363.0,8313.0,3487.0,124.0,4174.0,400.0,128.0,13.0,1177.0,989.0,188.0,26.0,136.0,2077,87.0,,1476.0,5.0,509.0,1771,1029.0,,59.0,681.0,2.0,483.0,9851.0
725,2015KW04,30834.0,1197.0,29636.0,1072.0,25433.0,10388.0,385.0,13139.0,1152.0,369.0,23.0,2589.0,2165.0,424.0,129.0,390.0,6680,161.0,,5032.0,6.0,1481.0,6210,3963.0,,150.0,2095.0,2.0,1398.0,28709.0
726,2015JJ00,110213.0,4462.0,105752.0,3862.0,91815.0,40195.0,1278.0,44567.0,4339.0,1436.0,93.0,7550.0,6420.0,1130.0,1109.0,1324.0,30760,1023.0,,23961.0,8.0,5768.0,22012,13428.0,,339.0,8233.0,12.0,5264.0,109236.0
727,2016MM01,10362.0,354.0,10009.0,364.0,8519.0,3077.0,104.0,4823.0,383.0,132.0,14.0,930.0,771.0,158.0,41.0,140.0,2011,266.0,,1361.0,10.0,374.0,1518,742.0,,49.0,713.0,14.0,507.0,9994.0
728,2016MM02,9637.0,375.0,9262.0,340.0,7854.0,3143.0,81.0,4140.0,368.0,122.0,5.0,865.0,739.0,126.0,83.0,115.0,2034,204.0,,1423.0,0.0,407.0,1445,679.0,,40.0,702.0,23.0,454.0,9398.0
729,2016MM03,9961.0,344.0,9617.0,363.0,8368.0,3277.0,59.0,4528.0,380.0,124.0,14.0,640.0,525.0,115.0,124.0,108.0,1987,191.0,,1394.0,0.0,402.0,1528,663.0,,106.0,739.0,20.0,467.0,9610.0
730,2016KW01,29961.0,1073.0,28888.0,1068.0,24741.0,9497.0,244.0,13490.0,1131.0,379.0,33.0,2434.0,2035.0,399.0,249.0,363.0,6032,661.0,,4178.0,10.0,1182.0,4491,2084.0,,196.0,2154.0,57.0,1427.0,29001.0
731,2016MM04,8778.0,334.0,8444.0,344.0,7210.0,2935.0,86.0,3721.0,341.0,127.0,16.0,591.0,478.0,114.0,192.0,91.0,2107,326.0,,1422.0,0.0,359.0,1459,642.0,,50.0,728.0,38.0,428.0,8664.0
732,2016MM05,8334.0,451.0,7883.0,135.0,6815.0,2885.0,100.0,3377.0,324.0,129.0,13.0,604.0,463.0,142.0,219.0,95.0,2397,320.0,,1715.0,1.0,361.0,1245,551.0,,71.0,594.0,29.0,430.0,8605.0
733,2016MM06,7882.0,298.0,7584.0,117.0,6844.0,3093.0,104.0,3236.0,312.0,99.0,9.0,358.0,262.0,96.0,174.0,82.0,2413,603.0,,1406.0,1.0,403.0,998,240.0,,104.0,637.0,17.0,421.0,8579.0
