ID,Perioden,BrutoProductie_1,EigenVerbruikBijElektrProductie_2,NettoProductieTotaal_3,Kernenergie_4,BrandstoffenTotaal_5,Kolen_6,Olieproducten_7,Aardgas_8,Biomassa_9,OverigeBrandstoffenNietHernieuwbaar_10,Waterkracht_11,WindenergieTotaal_12,WindenergieOpLand_13,WindenergieOpZee_14,Zonnestroom_15,OverigeBronnen_16,InvoerTotaal_17,Belgie_18,Denemarken_19,Duitsland_20,VerenigdKoninkrijk_21,Noorwegen_22,UitvoerTotaal_23,Belgie_24,Denemarken_25,Duitsland_26,VerenigdKoninkrijk_27,Noorwegen_28,Distributieverliezen_29,NettoVerbruikBerekend_30
770,2018MM08,9115.0,284.0,8831.0,40.0,7690.0,2296.0,115.0,4818.0,316.0,145.0,1.0,591.0,375.0,216.0,470.0,39.0,2178,168.0,,1676.0,21.0,312.0,1611,882.0,,151.0,541.0,36.0,409.0,8989.0
771,2018MM09,9094.0,299.0,8795.0,170.0,7411.0,2331.0,68.0,4503.0,364.0,145.0,1.0,824.0,501.0,323.0,352.0,37.0,2420,14.0,,1972.0,17.0,418.0,1882,1290.0,,93.0,479.0,20.0,421.0,8913.0
772,2018KW03,27579.0,876.0,26703.0,558.0,22700.0,6976.0,314.0,13995.0,980.0,435.0,2.0,1839.0,1170.0,670.0,1490.0,114.0,6802,332.0,,5525.0,48.0,897.0,4893,2831.0,,262.0,1631.0,168.0,1262.0,27352.0
773,2018MM10,10340.0,343.0,9997.0,355.0,8420.0,2864.0,77.0,4899.0,426.0,153.0,1.0,941.0,576.0,364.0,242.0,39.0,1843,1.0,,1348.0,1.0,492.0,1977,1270.0,,82.0,624.0,0.0,457.0,9406.0
774,2018MM11,10373.0,292.0,10081.0,347.0,8491.0,2428.0,83.0,5489.0,359.0,133.0,1.0,1095.0,702.0,393.0,108.0,38.0,2132,1.0,,1652.0,47.0,432.0,1801,1286.0,,28.0,486.0,1.0,469.0,9942.0
775,2018MM12,10751.0,328.0,10423.0,360.0,8656.0,2675.0,129.0,5321.0,388.0,142.0,10.0,1303.0,896.0,407.0,56.0,38.0,2281,32.0,,1847.0,30.0,372.0,1823,1165.0,,65.0,558.0,34.0,490.0,10392.0
776,2018KW04,31465.0,963.0,30501.0,1062.0,25567.0,7967.0,290.0,15709.0,1173.0,428.0,11.0,3338.0,2175.0,1164.0,406.0,116.0,6256,34.0,,4847.0,78.0,1297.0,5601,3721.0,,176.0,1668.0,35.0,1416.0,29740.0
777,2018JJ00,114380.0,3539.0,110841.0,3333.0,92660.0,29318.0,1290.0,56462.0,3906.0,1684.0,72.0,10549.0,6918.0,3630.0,3708.0,520.0,26755,1776.0,,20914.0,188.0,3877.0,18785,10784.0,,735.0,6932.0,334.0,5334.0,113477.0
778,2019MM01,12024.0,327.0,11697.0,361.0,9920.0,2733.0,118.0,6511.0,394.0,165.0,10.0,1269.0,899.0,371.0,81.0,56.0,1607,21.0,0.0,1364.0,26.0,196.0,2138,1333.0,0.0,122.0,582.0,101.0,472.0,10694.0
779,2019MM02,10552.0,294.0,10258.0,247.0,8807.0,2332.0,90.0,5898.0,344.0,143.0,8.0,953.0,656.0,298.0,194.0,49.0,1349,39.0,0.0,1280.0,5.0,25.0,1892,1075.0,0.0,138.0,619.0,59.0,422.0,9293.0
780,2019MM03,10851.0,307.0,10544.0,359.0,8380.0,1979.0,91.0,5755.0,423.0,132.0,9.0,1440.0,1059.0,381.0,305.0,52.0,1682,114.0,0.0,1448.0,3.0,116.0,1900,761.0,0.0,228.0,676.0,234.0,435.0,9891.0
781,2019KW01,33427.0,928.0,32499.0,967.0,27106.0,7044.0,300.0,18163.0,1160.0,439.0,27.0,3663.0,2614.0,1049.0,579.0,156.0,4638,174.0,0.0,4092.0,35.0,337.0,5930,3169.0,0.0,488.0,1877.0,395.0,1329.0,29879.0
782,2019MM04,9022.0,290.0,8732.0,347.0,6900.0,1610.0,82.0,4726.0,359.0,123.0,8.0,813.0,549.0,264.0,613.0,50.0,1670,392.0,0.0,1165.0,6.0,107.0,1175,310.0,0.0,135.0,609.0,121.0,399.0,8829.0
783,2019MM05,9706.0,298.0,9408.0,329.0,7604.0,1347.0,103.0,5655.0,369.0,130.0,8.0,688.0,451.0,238.0,729.0,50.0,2132,1.0,0.0,1652.0,47.0,432.0,1801,1286.0,0.0,28.0,486.0,1.0,400.0,9339.0
784,2019MM06,8285.0,247.0,8038.0,32.0,6547.0,1049.0,79.0,4924.0,366.0,129.0,6.0,583.0,414.0,169.0,860.0,10.0,2035,701.0,0.0,888.0,46.0,400.0,1077,122.0,0.0,487.0,448.0,20.0,392.0,8605.0
785,2019KW02,27014.0,835.0,26179.0,708.0,21051.0,4007.0,264.0,15305.0,1094.0,382.0,23.0,2084.0,1413.0,671.0,2202.0,110.0,5837,1095.0,0.0,3705.0,99.0,939.0,4052,1719.0,0.0,650.0,1542.0,141.0,1190.0,26773.0
786,2019MM07,9438.0,276.0,9162.0,309.0,7432.0,1136.0,143.0,5635.0,387.0,131.0,1.0,549.0,341.0,207.0,834.0,38.0,1763,735.0,3.0,618.0,40.0,367.0,1377,142.0,2.0,653.0,512.0,68.0,410.0,9139.0
787,2019MM08,9197.0,254.0,8942.0,318.0,7069.0,638.0,121.0,5762.0,418.0,129.0,1.0,761.0,502.0,258.0,756.0,38.0,1843,1117.0,8.0,408.0,71.0,239.0,1424,31.0,15.0,833.0,391.0,153.0,388.0,8974.0
788,2019MM09,9261.0,262.0,9000.0,337.0,7208.0,547.0,142.0,6172.0,249.0,98.0,1.0,925.0,612.0,313.0,493.0,38.0,1636,641.0,146.0,442.0,72.0,335.0,1411,108.0,104.0,830.0,315.0,53.0,399.0,8827.0
789,2019KW03,27896.0,792.0,27104.0,963.0,21709.0,2320.0,407.0,17569.0,1054.0,359.0,3.0,2234.0,1455.0,778.0,2083.0,114.0,5243,2493.0,157.0,1468.0,183.0,942.0,4211,281.0,122.0,2316.0,1219.0,274.0,1196.0,26939.0
790,2019MM10,10943.0,318.0,10625.0,354.0,8842.0,1628.0,151.0,6553.0,379.0,131.0,5.0,1111.0,753.0,358.0,276.0,36.0,1254,283.0,102.0,706.0,37.0,126.0,1679,346.0,257.0,532.0,398.0,146.0,434.0,9766.0
791,2019MM11,11270.0,361.0,10909.0,348.0,9429.0,2259.0,129.0,6245.0,668.0,127.0,8.0,937.0,632.0,306.0,150.0,38.0,1454,97.0,91.0,1104.0,7.0,154.0,1963,791.0,175.0,204.0,574.0,218.0,445.0,9955.0
792,2019MM12,10858.0,312.0,10545.0,360.0,8550.0,1993.0,136.0,5572.0,712.0,137.0,8.0,1478.0,1068.0,411.0,109.0,39.0,1978,386.0,268.0,1163.0,23.0,136.0,1712,684.0,118.0,207.0,538.0,165.0,464.0,10347.0
793,2019KW04,33071.0,992.0,32079.0,1062.0,26820.0,5879.0,417.0,18370.0,1760.0,395.0,21.0,3527.0,2452.0,1075.0,536.0,113.0,4685,766.0,461.0,2972.0,68.0,417.0,5354,1821.0,550.0,944.0,1510.0,530.0,1343.0,30067.0
794,2019JJ00,121408.0,3546.0,117862.0,3700.0,96687.0,19250.0,1387.0,69407.0,5067.0,1575.0,74.0,11508.0,7935.0,3573.0,5399.0,493.0,20403,4528.0,619.0,12238.0,385.0,2634.0,19548,6991.0,671.0,4398.0,6148.0,1340.0,5059.0,113658.0
795,2020MM01,11582.0,308.0,11274.0,361.0,9227.0,935.0,147.0,7498.0,513.0,136.0,11.0,1522.0,1105.0,417.0,113.0,40.0,1746,57.0,463.0,921.0,47.0,260.0,2002,987.0,2.0,586.0,422.0,6.0,442.0,10576.0
796,2020MM02,10334.0,281.0,10054.0,330.0,7574.0,842.0,145.0,5875.0,588.0,125.0,2.0,1893.0,1471.0,423.0,215.0,39.0,1669,205.0,372.0,765.0,46.0,282.0,1508,500.0,46.0,478.0,476.0,8.0,396.0,9819.0
797,2020MM03,10014.0,294.0,9720.0,360.0,7213.0,920.0,139.0,5337.0,705.0,112.0,6.0,1446.0,1077.0,370.0,654.0,41.0,2029,341.0,352.0,843.0,14.0,479.0,1764,466.0,49.0,655.0,574.0,20.0,408.0,9577.0
798,2020KW01,31931.0,883.0,31048.0,1050.0,24015.0,2696.0,431.0,18710.0,1805.0,373.0,19.0,4862.0,3653.0,1209.0,982.0,120.0,5444,602.0,1186.0,2528.0,107.0,1021.0,5274,1953.0,96.0,1720.0,1471.0,33.0,1246.0,29972.0
799,2020MM04,8368.0,260.0,8108.0,347.0,5809.0,472.0,104.0,4542.0,552.0,138.0,7.0,818.0,598.0,221.0,1088.0,40.0,2029,589.0,301.0,640.0,42.0,457.0,1508,255.0,78.0,663.0,490.0,22.0,374.0,8256.0
800,2020MM05,9560.0,276.0,9284.0,311.0,6790.0,501.0,77.0,5397.0,661.0,154.0,4.0,785.0,576.0,208.0,1356.0,38.0,1899,843.0,195.0,398.0,56.0,407.0,2244,264.0,159.0,1345.0,450.0,26.0,375.0,8564.0
801,2020MM06,9216.0,245.0,8971.0,156.0,6815.0,391.0,95.0,5677.0,516.0,137.0,2.0,759.0,508.0,251.0,1212.0,26.0,1353,330.0,43.0,660.0,119.0,201.0,1386,361.0,229.0,535.0,254.0,8.0,367.0,8570.0
802,2020KW02,27144.0,781.0,26363.0,815.0,19414.0,1365.0,276.0,15616.0,1728.0,429.0,13.0,2361.0,1681.0,680.0,3656.0,104.0,5281,1762.0,539.0,1697.0,218.0,1065.0,5137,880.0,465.0,2543.0,1194.0,55.0,1116.0,25390.0
803,2020MM07,10837.0,270.0,10567.0,304.0,8215.0,542.0,105.0,6734.0,695.0,139.0,1.0,831.0,546.0,285.0,1179.0,37.0,1154,272.0,140.0,348.0,84.0,309.0,2422,423.0,152.0,1543.0,294.0,10.0,385.0,8914.0
804,2020MM08,11140.0,296.0,10844.0,346.0,8445.0,600.0,112.0,6915.0,680.0,137.0,0.0,860.0,527.0,333.0,1152.0,40.0,1108,75.0,61.0,501.0,25.0,446.0,2286,703.0,238.0,956.0,388.0,1.0,363.0,9303.0
805,2020MM09,10240.0,293.0,9946.0,337.0,7766.0,1157.0,94.0,5723.0,664.0,128.0,1.0,964.0,517.0,447.0,840.0,40.0,1427,143.0,155.0,646.0,21.0,462.0,1938,890.0,101.0,622.0,323.0,3.0,374.0,9061.0
806,2020KW03,32217.0,859.0,31357.0,987.0,24425.0,2299.0,311.0,19372.0,2039.0,404.0,2.0,2654.0,1590.0,1065.0,3171.0,117.0,3689,490.0,357.0,1495.0,130.0,1217.0,6645,2016.0,491.0,3120.0,1005.0,14.0,1122.0,27278.0
807,2020MM10,10564.0,300.0,10264.0,354.0,7559.0,1094.0,109.0,5475.0,744.0,138.0,3.0,1935.0,1015.0,920.0,372.0,41.0,1841,145.0,0.0,1160.0,27.0,508.0,1930,1127.0,0.0,259.0,540.0,5.0,407.0,9768.0
808,2020MM11,10493.0,300.0,10193.0,301.0,7942.0,1071.0,86.0,5911.0,746.0,128.0,3.0,1650.0,911.0,739.0,257.0,40.0,1791,446.0,0.0,950.0,45.0,350.0,1850,911.0,0.0,481.0,455.0,3.0,417.0,9717.0
809,2020MM12,10930.0,317.0,10613.0,357.0,8266.0,1075.0,106.0,6113.0,829.0,143.0,7.0,1815.0,945.0,870.0,128.0,39.0,1727,336.0,0.0,917.0,14.0,460.0,1597,919.0,0.0,555.0,123.0,0.0,436.0,10308.0
810,2020KW04,31987.0,917.0,31070.0,1013.0,23767.0,3240.0,301.0,17498.0,2319.0,408.0,13.0,5400.0,2871.0,2529.0,758.0,120.0,5359,928.0,0.0,3027.0,86.0,1318.0,5376,2957.0,1.0,1294.0,1117.0,8.0,1260.0,29793.0
811,2020JJ00,123278.0,3440.0,119838.0,3865.0,91621.0,9601.0,1319.0,71196.0,7891.0,1615.0,46.0,15278.0,9794.0,5484.0,8567.0,461.0,19773,3782.0,2082.0,8748.0,541.0,4621.0,22433,7806.0,1053.0,8677.0,4787.0,110.0,4744.0,112434.0
812,2021MM01,11674.0,389.0,11285.0,358.0,8897.0,1596.0,110.0,6113.0,936.0,142.0,7.0,1794.0,934.0,860.0,196.0,34.0,1542,184.0,153.0,1075.0,0.0,130.0,1667,1146.0,97.0,368.0,0.0,56.0,447.0,10713.0
813,2021MM02,10933.0,343.0,10590.0,321.0,7948.0,1037.0,102.0,5882.0,819.0,109.0,4.0,1834.0,932.0,902.0,444.0,38.0,1378,460.0,180.0,730.0,7.0,0.0,1977,600.0,152.0,845.0,380.0,0.0,401.0,9591.0
814,2021MM03,11646.0,362.0,11285.0,360.0,8412.0,1212.0,99.0,6091.0,875.0,135.0,12.0,1623.0,900.0,724.0,835.0,42.0,1269,393.0,242.0,605.0,0.0,30.0,2199,595.0,104.0,1296.0,204.0,0.0,412.0,9942.0
815,2021KW01,34253.0,1093.0,33160.0,1039.0,25257.0,3845.0,310.0,18086.0,2630.0,385.0,23.0,5251.0,2765.0,2486.0,1475.0,114.0,4189,1037.0,576.0,2410.0,7.0,159.0,5843,2341.0,354.0,2508.0,584.0,56.0,1260.0,30246.0
816,2021MM04,9802.0,323.0,9479.0,333.0,6410.0,799.0,130.0,4557.0,789.0,135.0,8.0,1354.0,733.0,621.0,1332.0,42.0,1384,253.0,279.0,473.0,0.0,380.0,1711,666.0,73.0,924.0,0.0,47.0,378.0,8774.0
817,2021MM05,9257.0,309.0,8949.0,210.0,5918.0,714.0,104.0,4234.0,725.0,142.0,9.0,1286.0,774.0,512.0,1484.0,41.0,1868,833.0,252.0,414.0,0.0,370.0,1492,435.0,73.0,913.0,0.0,71.0,379.0,8945.0
818,2021MM06,8854.0,234.0,8620.0,,6143.0,653.0,85.0,4810.0,468.0,127.0,10.0,643.0,334.0,309.0,1801.0,24.0,1985,690.0,239.0,582.0,7.0,468.0,1181,202.0,97.0,495.0,377.0,10.0,371.0,9053.0
819,2021KW02,27914.0,866.0,27048.0,542.0,18471.0,2165.0,319.0,13601.0,1982.0,405.0,27.0,3283.0,1842.0,1442.0,4617.0,107.0,5237,1776.0,769.0,1468.0,7.0,1217.0,4384,1304.0,244.0,2332.0,377.0,128.0,1129.0,26772.0
820,2021MM07,9933.0,360.0,9572.0,329.0,6600.0,1491.0,98.0,4015.0,843.0,153.0,9.0,1016.0,575.0,441.0,1577.0,41.0,1770,688.0,96.0,584.0,0.0,402.0,1707,235.0,46.0,767.0,630.0,28.0,389.0,9247.0
821,2021MM08,8853.0,361.0,8493.0,350.0,5324.0,1546.0,115.0,2510.0,996.0,156.0,12.0,1372.0,750.0,622.0,1390.0,44.0,2174,711.0,212.0,987.0,9.0,255.0,1351,353.0,66.0,284.0,601.0,47.0,368.0,8948.0
822,2021MM09,9073.0,339.0,8733.0,339.0,6317.0,1439.0,118.0,3815.0,817.0,129.0,4.0,906.0,513.0,394.0,1129.0,37.0,2165,237.0,375.0,1321.0,5.0,228.0,1477,660.0,28.0,248.0,536.0,5.0,378.0,9044.0
823,2021KW03,27858.0,1060.0,26798.0,1018.0,18242.0,4477.0,331.0,10341.0,2655.0,438.0,25.0,3294.0,1837.0,1457.0,4096.0,122.0,6109,1636.0,683.0,2891.0,14.0,885.0,4534,1248.0,140.0,1298.0,1768.0,80.0,1135.0,27238.0
824,2021MM10,9820.0,406.0,9414.0,314.0,6230.0,1982.0,127.0,3178.0,825.0,119.0,4.0,2178.0,1267.0,911.0,642.0,45.0,1938,267.0,358.0,841.0,18.0,454.0,1569,638.0,11.0,375.0,528.0,17.0,411.0,9372.0
825,2021MM11,10891.0,407.0,10485.0,346.0,8223.0,1836.0,120.0,5258.0,884.0,125.0,3.0,1577.0,851.0,725.0,293.0,43.0,1647,172.0,336.0,653.0,17.0,470.0,2013,879.0,46.0,527.0,555.0,6.0,422.0,9697.0
826,2021MM12,11434.0,419.0,11015.0,358.0,8336.0,2192.0,99.0,5056.0,842.0,146.0,5.0,2095.0,1251.0,844.0,181.0,40.0,1764,330.0,283.0,822.0,14.0,316.0,2289,909.0,80.0,600.0,621.0,78.0,440.0,10050.0
827,2021KW04,32145.0,1232.0,30913.0,1019.0,22789.0,6011.0,345.0,13492.0,2551.0,390.0,12.0,5850.0,3369.0,2481.0,1116.0,127.0,5350,769.0,977.0,2316.0,48.0,1240.0,5871,2427.0,138.0,1502.0,1704.0,101.0,1274.0,29118.0
828,2021JJ00,122170.0,4252.0,117919.0,3618.0,84759.0,16497.0,1306.0,55520.0,9817.0,1619.0,88.0,17679.0,9813.0,7865.0,11304.0,471.0,20885,5218.0,3006.0,9085.0,76.0,3501.0,20632,7320.0,875.0,7641.0,4432.0,364.0,4797.0,113375.0
829,2022MM01,11167.0,420.0,10747.0,361.0,7838.0,1704.0,92.0,5041.0,865.0,136.0,9.0,2256.0,1428.0,829.0,234.0,49.0,1913,186.0,394.0,920.0,45.0,368.0,2104,1102.0,30.0,416.0,502.0,54.0,454.0,10102.0
830,2022MM02,9705.0,375.0,9329.0,326.0,5332.0,928.0,129.0,3463.0,688.0,124.0,10.0,3083.0,2007.0,1075.0,535.0,43.0,1927,216.0,400.0,983.0,12.0,315.0,1793,823.0,8.0,406.0,523.0,33.0,407.0,9056.0
831,2022MM03,10931.0,385.0,10546.0,351.0,7278.0,1533.0,141.0,4576.0,889.0,141.0,11.0,1391.0,854.0,537.0,1470.0,45.0,1501,197.0,244.0,722.0,14.0,323.0,2522,1390.0,116.0,377.0,607.0,33.0,418.0,9107.0
832,2022KW01,31803.0,1181.0,30622.0,1038.0,20448.0,4165.0,361.0,13080.0,2442.0,400.0,30.0,6730.0,4289.0,2441.0,2239.0,137.0,5341,599.0,1038.0,2626.0,72.0,1006.0,6419,3315.0,153.0,1199.0,1632.0,120.0,1279.0,28265.0
833,2022MM04,9365.0,308.0,9057.0,103.0,5243.0,1122.0,116.0,3393.0,484.0,128.0,10.0,1891.0,1217.0,674.0,1763.0,47.0,1712,389.0,266.0,728.0,151.0,178.0,1676,792.0,82.0,428.0,311.0,62.0,384.0,8709.0
834,2022MM05,9373.0,301.0,9072.0,356.0,5094.0,594.0,129.0,3729.0,512.0,130.0,3.0,1279.0,815.0,464.0,2290.0,50.0,1683,564.0,252.0,487.0,361.0,19.0,1439,414.0,105.0,783.0,128.0,10.0,385.0,8931.0
835,2022MM06,10545.0,347.0,10198.0,341.0,6323.0,1320.0,154.0,3857.0,856.0,135.0,2.0,1029.0,632.0,397.0,2468.0,34.0,995,305.0,159.0,268.0,262.0,0.0,2011,647.0,176.0,1006.0,183.0,0.0,377.0,8804.0
836,2022KW02,29283.0,957.0,28327.0,800.0,16660.0,3035.0,400.0,10980.0,1851.0,394.0,15.0,4200.0,2664.0,1536.0,6522.0,131.0,4390,1258.0,678.0,1483.0,774.0,197.0,5126,1854.0,362.0,2216.0,622.0,72.0,1146.0,26445.0
837,2022MM07,10309.0,349.0,9960.0,347.0,6096.0,1556.0,157.0,3362.0,882.0,140.0,1.0,1015.0,617.0,398.0,2455.0,46.0,1179,301.0,265.0,393.0,220.0,0.0,1679,537.0,106.0,751.0,285.0,0.0,395.0,9065.0
838,2022MM08,10354.0,348.0,10006.0,345.0,6443.0,1597.0,147.0,3719.0,832.0,149.0,0.0,857.0,505.0,353.0,2311.0,49.0,1029,461.0,118.0,261.0,189.0,0.0,1725,314.0,186.0,977.0,248.0,0.0,373.0,8937.0
839,2022MM09,9692.0,364.0,9328.0,338.0,6141.0,1928.0,133.0,3218.0,735.0,128.0,1.0,1329.0,753.0,576.0,1475.0,45.0,1207,510.0,141.0,293.0,260.0,3.0,1686,347.0,204.0,972.0,163.0,0.0,384.0,8465.0
840,2022KW03,30355.0,1061.0,29294.0,1030.0,18681.0,5080.0,437.0,10299.0,2449.0,417.0,1.0,3201.0,1875.0,1326.0,6241.0,141.0,3415,1272.0,525.0,946.0,669.0,3.0,5091,1197.0,497.0,2700.0,697.0,0.0,1152.0,26467.0
841,2022MM10,9754.0,344.0,9409.0,355.0,6024.0,1265.0,106.0,4037.0,489.0,127.0,1.0,2031.0,1270.0,762.0,949.0,49.0,1736,714.0,202.0,494.0,285.0,42.0,2162,493.0,193.0,1274.0,115.0,87.0,417.0,8566.0
842,2022MM11,9295.0,359.0,8936.0,346.0,5415.0,1236.0,106.0,3199.0,756.0,119.0,1.0,2663.0,1680.0,983.0,464.0,46.0,2150,628.0,136.0,714.0,279.0,393.0,1868,653.0,6.0,1019.0,178.0,11.0,428.0,8790.0
843,2022MM12,11083.0,397.0,10686.0,361.0,7789.0,1700.0,144.0,5078.0,746.0,121.0,2.0,2246.0,1358.0,889.0,242.0,45.0,1513,402.0,160.0,745.0,43.0,163.0,2145,997.0,73.0,502.0,444.0,129.0,447.0,9607.0
844,2022KW04,30132.0,1100.0,29031.0,1062.0,19229.0,4201.0,356.0,12314.0,1990.0,367.0,4.0,6941.0,4307.0,2634.0,1656.0,141.0,5399,1744.0,497.0,1952.0,607.0,598.0,6175,2144.0,272.0,2795.0,738.0,227.0,1293.0,26963.0
845,2022JJ00,121573.0,4299.0,117274.0,3930.0,75018.0,16481.0,1554.0,46672.0,8733.0,1578.0,50.0,21071.0,13134.0,7936.0,16657.0,549.0,18544,4873.0,2738.0,7008.0,2123.0,1803.0,22811,8510.0,1284.0,8910.0,3689.0,419.0,4869.0,108139.0
846,2023MM01,10472.0,384.0,10088.0,361.0,6205.0,1438.0,130.0,3787.0,724.0,125.0,12.0,3141.0,2042.0,1099.0,320.0,49.0,2129,433.0,297.0,1100.0,45.0,255.0,2082,768.0,100.0,609.0,534.0,72.0,469.0,9667.0
847,2023MM02,10051.0,358.0,9693.0,326.0,6601.0,1484.0,123.0,4151.0,722.0,122.0,10.0,2043.0,1324.0,719.0,669.0,44.0,1384,134.0,287.0,599.0,3.0,362.0,2122,924.0,86.0,560.0,545.0,6.0,420.0,8535.0
848,2023MM03,10915.0,350.0,10565.0,346.0,6206.0,1345.0,95.0,4034.0,602.0,130.0,12.0,2747.0,1681.0,1066.0,1207.0,47.0,1520,240.0,179.0,843.0,12.0,246.0,2401,937.0,163.0,588.0,633.0,80.0,432.0,9252.0
849,2023KW01,31438.0,1092.0,30346.0,1033.0,19012.0,4266.0,347.0,11972.0,2049.0,377.0,34.0,7931.0,5047.0,2884.0,2196.0,140.0,5033,807.0,763.0,2542.0,59.0,863.0,6605,2628.0,349.0,1757.0,1712.0,159.0,1321.0,27454.0
850,2023MM04,9784.0,308.0,9476.0,,5435.0,1063.0,157.0,3381.0,709.0,126.0,11.0,1928.0,1276.0,651.0,2059.0,43.0,1480,317.0,236.0,669.0,17.0,242.0,2334,1038.0,107.0,637.0,479.0,73.0,396.0,8227.0
851,2023MM05,9883.0,278.0,9605.0,347.0,4679.0,511.0,132.0,3349.0,586.0,102.0,10.0,1557.0,912.0,645.0,2967.0,44.0,1623,455.0,210.0,595.0,76.0,286.0,2376,727.0,187.0,1078.0,324.0,60.0,397.0,8454.0
852,2023MM06,10267.0,229.0,10039.0,341.0,4653.0,192.0,96.0,4022.0,246.0,97.0,2.0,1529.0,858.0,671.0,3494.0,19.0,1337,402.0,120.0,389.0,164.0,262.0,2214,419.0,233.0,1226.0,286.0,50.0,389.0,8772.0
853,2023KW02,29934.0,814.0,29120.0,689.0,14768.0,1766.0,385.0,10751.0,1541.0,325.0,23.0,5014.0,3047.0,1967.0,8521.0,106.0,4440,1174.0,566.0,1653.0,256.0,791.0,6924,2184.0,527.0,2941.0,1089.0,183.0,1183.0,25452.0
854,2023MM07,10035.0,254.0,9780.0,350.0,4286.0,272.0,126.0,3441.0,339.0,108.0,2.0,2355.0,1401.0,953.0,2744.0,44.0,1704,600.0,233.0,378.0,222.0,271.0,2334,562.0,136.0,1300.0,283.0,53.0,408.0,8743.0
855,2023MM08,10188.0,297.0,9891.0,350.0,5515.0,384.0,151.0,4345.0,505.0,130.0,4.0,1557.0,877.0,679.0,2418.0,47.0,1366,449.0,146.0,251.0,277.0,242.0,2383,418.0,223.0,1487.0,231.0,25.0,385.0,8488.0
856,2023MM09,9646.0,309.0,9337.0,338.0,5489.0,467.0,132.0,4158.0,590.0,142.0,1.0,1456.0,840.0,616.0,2007.0,45.0,1416,304.0,199.0,366.0,331.0,217.0,1761,605.0,143.0,882.0,124.0,7.0,396.0,8596.0
857,2023KW03,29868.0,860.0,29008.0,1038.0,15290.0,1123.0,409.0,11944.0,1434.0,381.0,6.0,5368.0,3119.0,2249.0,7170.0,135.0,4486,1353.0,578.0,995.0,830.0,730.0,6478,1585.0,501.0,3668.0,639.0,84.0,1189.0,25828.0
858,2023MM10,9802.0,364.0,9438.0,355.0,4943.0,944.0,120.0,3164.0,570.0,146.0,1.0,3097.0,1769.0,1328.0,994.0,47.0,1890,329.0,304.0,812.0,180.0,265.0,1837,700.0,76.0,765.0,278.0,19.0,431.0,9060.0
859,2023MM11,9835.0,329.0,9506.0,348.0,5074.0,1051.0,119.0,3205.0,592.0,107.0,3.0,3563.0,2084.0,1479.0,473.0,45.0,1887,306.0,150.0,1155.0,107.0,168.0,1501,634.0,104.0,332.0,389.0,42.0,442.0,9449.0
860,2023MM12,10763.0,351.0,10412.0,303.0,5744.0,997.0,109.0,3940.0,586.0,113.0,2.0,4062.0,2416.0,1646.0,253.0,46.0,1811,425.0,191.0,958.0,128.0,108.0,1862,674.0,187.0,568.0,249.0,184.0,462.0,9899.0
861,2023KW04,30400.0,1045.0,29355.0,1007.0,15762.0,2991.0,349.0,10308.0,1747.0,366.0,6.0,10722.0,6269.0,4453.0,1720.0,138.0,5587,1061.0,645.0,2925.0,415.0,541.0,5199,2008.0,367.0,1665.0,915.0,245.0,1335.0,28408.0
862,2023JJ00,121641.0,3811.0,117830.0,3767.0,64832.0,10146.0,1490.0,44976.0,6771.0,1449.0,69.0,29035.0,17482.0,11553.0,19607.0,519.0,19547,4395.0,2552.0,8115.0,1560.0,2924.0,25206,8405.0,1744.0,10032.0,4355.0,671.0,5028.0,107142.0
863,2024MM01,11983.0,401.0,11581.0,362.0,6705.0,1000.0,103.0,4942.0,543.0,116.0,7.0,3851.0,2267.0,1585.0,603.0,55.0,1616,342.0,110.0,936.0,98.0,131.0,2293,943.0,123.0,748.0,360.0,120.0,439.0,10465.0
864,2024MM02,10492.0,372.0,10120.0,338.0,5345.0,856.0,116.0,3596.0,639.0,138.0,5.0,3791.0,2216.0,1575.0,587.0,54.0,1633,239.0,261.0,829.0,59.0,245.0,1978,785.0,99.0,657.0,400.0,37.0,393.0,9382.0
865,2024MM03,10823.0,334.0,10489.0,361.0,5661.0,855.0,114.0,3862.0,699.0,130.0,11.0,2893.0,1543.0,1350.0,1507.0,57.0,1562,159.0,207.0,863.0,92.0,242.0,2389,1138.0,164.0,587.0,429.0,71.0,405.0,9258.0
866,2024KW01,33298.0,1107.0,32191.0,1060.0,17711.0,2712.0,334.0,12399.0,1881.0,385.0,23.0,10535.0,6026.0,4509.0,2697.0,165.0,4812,740.0,578.0,2627.0,249.0,617.0,6661,2865.0,386.0,1993.0,1189.0,229.0,1237.0,29104.0
867,2024MM04,10015.0,254.0,9761.0,54.0,3884.0,448.0,80.0,2920.0,325.0,111.0,9.0,3446.0,1803.0,1643.0,2312.0,56.0,1553,310.0,111.0,672.0,247.0,213.0,2310,777.0,229.0,925.0,283.0,96.0,371.0,8633.0
868,2024MM05,9128.0,235.0,8893.0,,4100.0,508.0,85.0,3024.0,383.0,100.0,10.0,1662.0,830.0,832.0,3073.0,49.0,1846,498.0,196.0,627.0,203.0,321.0,1565,408.0,139.0,692.0,281.0,45.0,372.0,8802.0
869,2024MM06,9116.0,195.0,8921.0,167.0,3664.0,259.0,126.0,2955.0,226.0,99.0,9.0,1762.0,917.0,845.0,3273.0,45.0,1688,517.0,195.0,480.0,208.0,288.0,1618,352.0,145.0,751.0,316.0,54.0,365.0,8627.0
