ID,Vermogensklasse,Perioden,TotaleInzet_1,AardgasInzet_2,StookolieInzet_3,OverigeBrandstoffenInzet_4,TotaleInzet_5,AardgasInzet_6,StookolieInzet_7,OverigeBrandstoffenInzet_8,TotaleProductie_9,ProductieElektriciteit_10,ProductieStoomWarmWater_11,TotaleProductie_12,ProductieElektriciteit_13,ProductieStoomWarmWater_14,ElektrischVermogen_15,ThermischVermogen_16,AantalInstallaties_17
0,TOT,1998JJ00,56321.0,1717849.0,814.0,1918.0,56321.0,54370.0,33.0,1918.0,46179.0,5206390.0,27436.0,46179.0,18743.0,27436.0,1487.0,8016728.0,3677.0
1,TOT,1999JJ00,59046.0,1802698.0,951.0,1952.0,59046.0,57055.0,39.0,1952.0,48008.0,5429222.0,28463.0,48008.0,19545.0,28463.0,1550.0,8341797.0,3758.0
2,TOT,2000JJ00,59493.0,1821318.0,674.0,1821.0,59493.0,57645.0,28.0,1821.0,48206.0,5525016.0,28316.0,48206.0,19890.0,28316.0,1583.0,8495172.0,3767.0
3,TOT,2001JJ00,56715.0,1730285.0,111.0,1947.0,56715.0,54764.0,5.0,1947.0,45591.0,5226224.0,26776.0,45591.0,18814.0,26776.0,1558.0,8332882.0,3668.0
4,TOT,2002JJ00,56136.0,1708487.0,0.0,2063.0,56136.0,54074.0,0.0,2063.0,45148.0,5180561.0,26498.0,45148.0,18650.0,26498.0,1541.0,8206157.0,3573.0
5,V01,1998JJ00,956.0,23966.0,,197.0,956.0,759.0,0.0,197.0,706.0,76956.0,429.0,706.0,277.0,429.0,18.0,106516.0,265.0
6,V01,1999JJ00,952.0,23654.0,,203.0,952.0,749.0,0.0,203.0,713.0,77281.0,435.0,713.0,278.0,435.0,18.0,105271.0,264.0
7,V01,2000JJ00,840.0,21489.0,,160.0,840.0,680.0,0.0,160.0,643.0,69420.0,393.0,643.0,250.0,393.0,18.0,105721.0,262.0
8,V01,2001JJ00,817.0,20599.0,,165.0,817.0,652.0,0.0,165.0,623.0,66931.0,382.0,623.0,241.0,382.0,18.0,106026.0,265.0
9,V01,2002JJ00,763.0,18836.0,,166.0,763.0,596.0,0.0,166.0,589.0,64009.0,359.0,589.0,230.0,359.0,18.0,103665.0,260.0
10,V12,1998JJ00,5081.0,145055.0,,490.0,5081.0,4591.0,0.0,490.0,4075.0,439933.0,2491.0,4075.0,1584.0,2491.0,111.0,657299.0,672.0
11,V12,1999JJ00,5013.0,143974.0,,457.0,5013.0,4557.0,0.0,457.0,4031.0,435251.0,2464.0,4031.0,1567.0,2464.0,112.0,665576.0,682.0
12,V12,2000JJ00,4841.0,140613.0,,391.0,4841.0,4450.0,0.0,391.0,3890.0,427059.0,2353.0,3890.0,1537.0,2353.0,112.0,660594.0,678.0
13,V12,2001JJ00,4577.0,130229.0,,455.0,4577.0,4122.0,0.0,455.0,3571.0,389896.0,2168.0,3571.0,1404.0,2168.0,110.0,649156.0,666.0
14,V12,2002JJ00,4472.0,126697.0,,462.0,4472.0,4010.0,0.0,462.0,3536.0,391719.0,2126.0,3536.0,1410.0,2126.0,107.0,633110.0,650.0
15,V23,1998JJ00,7515.0,232863.0,,145.0,7515.0,7370.0,0.0,145.0,6190.0,682850.0,3731.0,6190.0,2458.0,3731.0,204.0,1193213.0,731.0
16,V23,1999JJ00,7770.0,241553.0,,124.0,7770.0,7645.0,0.0,124.0,6408.0,706260.0,3865.0,6408.0,2543.0,3865.0,204.0,1191199.0,731.0
17,V23,2000JJ00,7117.0,221443.0,,109.0,7117.0,7009.0,0.0,109.0,5785.0,651820.0,3438.0,5785.0,2347.0,3438.0,199.0,1165239.0,715.0
18,V23,2001JJ00,6896.0,214237.0,0.0,115.0,6896.0,6781.0,0.0,115.0,5622.0,634338.0,3339.0,5622.0,2284.0,3339.0,191.0,1113769.0,685.0
19,V23,2002JJ00,6928.0,215113.0,,120.0,6928.0,6808.0,0.0,120.0,5647.0,636707.0,3355.0,5647.0,2292.0,3355.0,181.0,1058423.0,653.0
20,V34,1998JJ00,10512.0,326731.0,,171.0,10512.0,10341.0,0.0,171.0,8689.0,966165.0,5211.0,8689.0,3478.0,5211.0,280.0,1602179.0,840.0
21,V34,1999JJ00,11001.0,342064.0,,175.0,11001.0,10826.0,0.0,175.0,9063.0,1003406.0,5450.0,9063.0,3612.0,5450.0,283.0,1616584.0,848.0
22,V34,2000JJ00,10025.0,312015.0,,150.0,10025.0,9875.0,0.0,150.0,8187.0,927857.0,4846.0,8187.0,3340.0,4846.0,281.0,1603938.0,839.0
23,V34,2001JJ00,9683.0,299785.0,,195.0,9683.0,9488.0,0.0,195.0,7814.0,880209.0,4645.0,7814.0,3169.0,4645.0,265.0,1513513.0,791.0
24,V34,2002JJ00,9143.0,282418.0,,205.0,9143.0,8939.0,0.0,205.0,7461.0,842858.0,4427.0,7461.0,3034.0,4427.0,254.0,1454484.0,760.0
25,V45,1998JJ00,5781.0,176272.0,,202.0,5781.0,5579.0,0.0,202.0,4767.0,534835.0,2842.0,4767.0,1925.0,2842.0,148.0,815472.0,316.0
26,V45,1999JJ00,5904.0,180554.0,,190.0,5904.0,5715.0,0.0,190.0,4833.0,544828.0,2872.0,4833.0,1961.0,2872.0,152.0,834922.0,326.0
27,V45,2000JJ00,5471.0,166711.0,,194.0,5471.0,5276.0,0.0,194.0,4423.0,507013.0,2598.0,4423.0,1825.0,2598.0,153.0,839192.0,328.0
28,V45,2001JJ00,5020.0,152478.0,,194.0,5020.0,4826.0,0.0,194.0,3997.0,464790.0,2323.0,3997.0,1673.0,2323.0,146.0,796142.0,312.0
29,V45,2002JJ00,4910.0,148320.0,,216.0,4910.0,4694.0,0.0,216.0,3968.0,455054.0,2330.0,3968.0,1638.0,2330.0,139.0,756009.0,297.0
30,V56,1998JJ00,5370.0,158815.0,126.0,338.0,5370.0,5026.0,5.0,338.0,4520.0,499076.0,2724.0,4520.0,1797.0,2724.0,150.0,826460.0,271.0
31,V56,1999JJ00,5634.0,166896.0,122.0,347.0,5634.0,5282.0,5.0,347.0,4674.0,522483.0,2793.0,4674.0,1881.0,2793.0,153.0,843795.0,277.0
32,V56,2000JJ00,5670.0,168599.0,0.0,333.0,5670.0,5336.0,0.0,333.0,4706.0,527043.0,2809.0,4706.0,1897.0,2809.0,152.0,836570.0,276.0
33,V56,2001JJ00,4914.0,145241.0,0.0,317.0,4914.0,4597.0,0.0,317.0,4064.0,453463.0,2432.0,4064.0,1632.0,2432.0,149.0,817388.0,270.0
34,V56,2002JJ00,5105.0,153717.0,0.0,240.0,5105.0,4865.0,0.0,240.0,4234.0,474033.0,2528.0,4234.0,1707.0,2528.0,143.0,791276.0,261.0
35,V67,1998JJ00,4823.0,150184.0,,70.0,4823.0,4753.0,0.0,70.0,4126.0,451835.0,2499.0,4126.0,1627.0,2499.0,129.0,709171.0,197.0
36,V67,1999JJ00,5064.0,157406.0,,82.0,5064.0,4982.0,0.0,82.0,4169.0,468726.0,2482.0,4169.0,1687.0,2482.0,133.0,731185.0,203.0
37,V67,2000JJ00,5056.0,155182.0,16.0,144.0,5056.0,4912.0,1.0,144.0,4143.0,469149.0,2454.0,4143.0,1689.0,2454.0,133.0,731841.0,203.0
38,V67,2001JJ00,4699.0,143998.0,,142.0,4699.0,4558.0,0.0,142.0,3848.0,437176.0,2275.0,3848.0,1574.0,2275.0,133.0,730197.0,203.0
39,V67,2002JJ00,4600.0,140862.0,,142.0,4600.0,4458.0,0.0,142.0,3744.0,423106.0,2221.0,3744.0,1523.0,2221.0,130.0,716592.0,199.0
40,V78,1998JJ00,1805.0,56900.0,,4.0,1805.0,1801.0,0.0,4.0,1517.0,169211.0,908.0,1517.0,609.0,908.0,51.0,279344.0,66.0
41,V78,1999JJ00,2080.0,65378.0,,11.0,2080.0,2069.0,0.0,11.0,1722.0,192553.0,1029.0,1722.0,693.0,1029.0,58.0,320572.0,76.0
42,V78,2000JJ00,2292.0,71660.0,,24.0,2292.0,2268.0,0.0,24.0,1882.0,214574.0,1110.0,1882.0,772.0,1110.0,64.0,345579.0,83.0
43,V78,2001JJ00,2268.0,70773.0,,28.0,2268.0,2240.0,0.0,28.0,1842.0,205807.0,1101.0,1842.0,741.0,1101.0,63.0,339458.0,82.0
44,V78,2002JJ00,2078.0,64734.0,,29.0,2078.0,2049.0,0.0,29.0,1669.0,190562.0,983.0,1669.0,686.0,983.0,64.0,343252.0,83.0
45,V89,1998JJ00,1239.0,39162.0,,0.0,1239.0,1239.0,0.0,0.0,1039.0,118002.0,614.0,1039.0,425.0,614.0,40.0,214072.0,46.0
46,V89,1999JJ00,1089.0,34405.0,,0.0,1089.0,1089.0,0.0,0.0,902.0,101360.0,537.0,902.0,365.0,537.0,38.0,211272.0,44.0
47,V89,2000JJ00,1197.0,37819.0,,0.0,1197.0,1197.0,0.0,0.0,1018.0,114981.0,604.0,1018.0,414.0,604.0,34.0,191459.0,40.0
48,V89,2001JJ00,1038.0,32786.0,,0.0,1038.0,1038.0,0.0,0.0,849.0,96593.0,502.0,849.0,348.0,502.0,31.0,175223.0,36.0
49,V89,2002JJ00,1152.0,32026.0,,139.0,1152.0,1014.0,0.0,139.0,857.0,99952.0,497.0,857.0,360.0,497.0,32.0,178658.0,37.0
50,V90,1998JJ00,3184.0,91123.0,,300.0,3184.0,2884.0,0.0,300.0,2585.0,293767.0,1527.0,2585.0,1058.0,1527.0,75.0,380425.0,79.0
51,V90,1999JJ00,3236.0,92264.0,,316.0,3236.0,2920.0,0.0,316.0,2594.0,292874.0,1540.0,2594.0,1054.0,1540.0,77.0,391017.0,81.0
52,V90,2000JJ00,3953.0,114931.0,,316.0,3953.0,3638.0,0.0,316.0,3183.0,357476.0,1896.0,3183.0,1287.0,1896.0,92.0,474098.0,97.0
53,V90,2001JJ00,4432.0,129425.0,,336.0,4432.0,4096.0,0.0,336.0,3579.0,408609.0,2108.0,3579.0,1471.0,2108.0,94.0,484053.0,99.0
54,V90,2002JJ00,4620.0,135071.0,,345.0,4620.0,4275.0,0.0,345.0,3678.0,419224.0,2169.0,3678.0,1509.0,2169.0,95.0,488755.0,100.0
55,V19,1998JJ00,10054.0,316778.0,688.0,0.0,10054.0,10026.0,28.0,0.0,7967.0,973760.0,4462.0,7967.0,3506.0,4462.0,282.0,1232577.0,194.0
56,V19,1999JJ00,11303.0,354550.0,829.0,48.0,11303.0,11222.0,34.0,48.0,8899.0,1084200.0,4996.0,8899.0,3903.0,4996.0,321.0,1430404.0,226.0
57,V19,2000JJ00,13031.0,410856.0,658.0,0.0,13031.0,13004.0,27.0,0.0,10346.0,1258624.0,5815.0,10346.0,4531.0,5815.0,344.0,1540941.0,246.0
58,V19,2001JJ00,12371.0,390734.0,111.0,0.0,12371.0,12367.0,5.0,0.0,9781.0,1188412.0,5503.0,9781.0,4278.0,5503.0,359.0,1607957.0,259.0
59,V19,2002JJ00,12365.0,390693.0,0.0,0.0,12365.0,12365.0,0.0,0.0,9765.0,1183337.0,5505.0,9765.0,4260.0,5505.0,378.0,1681933.0,273.0
