ID,HerkomstBestemming,Perioden,TotaalZwareMetalenInEquivalenten_1,ArseenverbindingenAlsAs_2,CadmiumverbindingenAlsCd_3,ChroomverbindingenAlsCr_4,KoperverbindingenAlsCu_5,KwikverbindingenAlsHg_6,LoodverbindingenAlsPb_7,NikkelverbindingenAlsNi_8,ZinkverbindingenAlsZn_9,TotaalNutrientenInEquivalenten_10,FosforverbindingenAlsP_11,StikstofverbindingenAlsN_12
237,320705,2008JJ00,3.1,581.0,225.0,3433.0,2699.0,14.0,984.0,2425.0,12001.0,631.0,268423.0,3624216.0
238,320705,2009JJ00,3.3,326.0,120.0,1682.0,5583.0,7.0,1904.0,2007.0,13279.0,479.0,246422.0,2327661.0
239,320705,2010JJ00,2.6,201.0,10.0,609.0,6172.0,3.0,157.0,1104.0,9089.0,395.0,184925.0,2098416.0
240,320700,1995JJ00,14.0,654.0,506.0,7001.0,8416.0,216.0,5336.0,6131.0,27843.0,3592.0,3140946.0,4507032.0
241,320700,1996JJ00,12.0,631.0,324.0,4798.0,7330.0,198.0,4267.0,5291.0,27454.0,3441.0,3044204.0,3963394.0
242,320700,1997JJ00,11.3,616.0,373.0,4110.0,6607.0,180.0,3551.0,4731.0,27052.0,3398.0,3036783.0,3611680.0
243,320700,1998JJ00,9.1,600.0,234.0,3816.0,5883.0,142.0,2800.0,4170.0,26904.0,3466.0,3142259.0,3239204.0
244,320700,1999JJ00,7.2,585.0,169.0,3282.0,5158.0,104.0,2014.0,3608.0,26728.0,3260.0,2975469.0,2845966.0
245,320700,2000JJ00,4.3,577.0,157.0,2495.0,4797.0,25.0,1625.0,3328.0,27034.0,1684.0,1416894.0,2670605.0
246,320700,2001JJ00,4.1,558.0,132.0,2708.0,4595.0,23.0,1609.0,3100.0,27211.0,567.0,311878.0,2551304.0
247,320700,2002JJ00,3.9,539.0,128.0,2260.0,4393.0,21.0,1592.0,3055.0,27388.0,436.0,187860.0,2478638.0
248,320700,2003JJ00,3.8,442.0,131.0,2323.0,4189.0,19.0,1576.0,2918.0,28220.0,526.0,285932.0,2403902.0
249,320700,2004JJ00,3.8,395.0,153.0,2473.0,3985.0,17.0,1558.0,2178.0,28613.0,504.0,266482.0,2377871.0
250,320700,2005JJ00,3.3,506.0,120.0,3147.0,3779.0,15.0,1541.0,1960.0,21903.0,504.0,192690.0,3113717.0
251,320700,2006JJ00,2.6,418.0,145.0,2863.0,2619.0,14.0,868.0,2560.0,8916.0,394.0,192997.0,2009821.0
252,320700,2007JJ00,3.0,644.0,276.0,2638.0,2049.0,9.0,1300.0,2019.0,14045.0,434.0,159443.0,2748734.0
