ID,Persoonskenmerken,Marges,CaribischNederland,Perioden,ZeerGoedGoed_1,MinderDanGoed_2,SuikerziekteTotaal_3,SuikerziekteType1_4,SuikerziekteType2_5,AandoeningenVanDeNekOfSchouder_6,AstmaChronischeBronchitisCARA_7,Chikungunya_8,ChronischEczeem_9,ChronischeGewrichtsontsteking_10,DarmstoornissenLangerDan3Maanden_11,DuizeligheidMetVallen_12,GewrichtsslijtageVanHeupenOfKnieen_13,HogeBloeddruk_14,Knokkelkoorts_15,MigraineOfErnstigeHoofdpijn_16,OnvrijwilligUrineverliesIncontinentie_17,Rugaandoening_18,VernauwingBloedvatenInBuikOfBenen_19,Zika_20,OverigeAandoeningen_21,BeroerteHersenbloedingHerseninfarct_22,Hartinfarct_23,Hartaandoening_24,Kanker_25,GeenLangdurigeAandoeningen_26,k_1LangdurigeAandoening_27,k_2LangdurigeAandoeningen_28,k_3OfMeerLangdurigeAandoeningen_29
201,2018740,MW00000,GM9003 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2018740,MW00000,GM9003 ,2017JJ00,74.5,25.5,8.6,,6.8,14.7,,,,9.4,,9.5,10.6,22.6,,26.0,,15.4,,,6.8,,,,,44.7,23.8,10.9,20.6
203,2018740,MW00000,GM9003 ,2021JJ00,79.0,21.0,4.8,,3.9,7.6,7.4,,,7.1,6.5,6.0,,19.3,,35.3,,13.3,5.2,,4.9,,,,3.7,37.6,36.0,9.9,16.5
204,2018740,B000150,CN01   ,2013JJ00,4.9,4.9,3.0,,2.8,2.8,2.2,,2.1,2.3,,2.8,3.0,4.7,2.3,4.7,,3.9,,,3.6,1.8,,2.5,2.2,6.1,5.7,3.7,3.3
205,2018740,B000150,CN01   ,2017JJ00,3.9,3.9,2.6,1.4,2.3,2.7,1.8,,1.2,1.9,1.7,2.4,2.7,3.5,1.6,3.5,1.1,2.7,1.4,,2.5,,1.5,1.4,1.5,4.8,4.0,2.7,3.1
206,2018740,B000150,CN01   ,2021JJ00,3.9,3.9,2.2,,1.9,2.4,2.3,1.2,1.4,1.5,1.8,2.2,1.8,3.6,,4.1,1.0,3.1,1.3,1.1,2.2,1.5,,1.0,1.1,5.0,4.2,3.4,2.8
207,2018740,B000150,GM9001 ,2013JJ00,5.5,5.5,2.7,,2.3,3.4,2.6,,2.0,2.3,,3.0,3.3,4.8,2.2,5.4,,4.4,,,4.1,2.2,,3.0,2.5,6.6,6.0,4.4,3.7
208,2018740,B000150,GM9001 ,2017JJ00,4.8,4.8,3.3,1.6,2.9,3.4,2.4,,1.4,1.7,2.3,2.8,3.5,4.1,2.1,4.0,1.4,3.2,,,3.4,,2.0,1.7,1.8,5.9,5.1,3.4,3.5
209,2018740,B000150,GM9001 ,2021JJ00,5.0,5.0,2.8,,2.3,3.0,2.7,2.2,2.1,1.8,2.0,3.3,2.7,5.0,,5.1,,4.1,,,3.6,2.8,,,,6.9,5.6,5.0,3.0
210,2018740,B000150,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2018740,B000150,GM9002 ,2017JJ00,8.9,8.9,5.1,,,,,,,5.4,,5.3,,8.0,,8.3,,4.8,4.8,,,,,,,10.5,8.2,5.7,6.9
212,2018740,B000150,GM9002 ,2021JJ00,8.4,8.4,5.0,,4.9,5.0,4.8,,,,,,,6.3,,7.5,,5.5,,,,,,,,9.0,6.7,6.3,4.6
213,2018740,B000150,GM9003 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2018740,B000150,GM9003 ,2017JJ00,10.9,10.9,7.0,,6.3,8.9,,,,7.3,,7.3,7.7,10.5,,11.0,,9.0,,,6.3,,,,,12.4,10.6,7.8,10.1
215,2018740,B000150,GM9003 ,2021JJ00,8.5,8.5,4.2,,3.8,5.9,5.9,,,5.1,5.8,5.5,,8.4,,10.6,,7.5,5.1,,4.3,,,,3.6,10.5,10.3,6.8,8.2
216,2018790,MW00000,CN01   ,2013JJ00,82.8,17.2,10.4,,9.9,3.1,,,,3.3,,4.9,8.3,13.0,,17.7,,10.5,2.7,,9.0,,,,6.1,56.4,26.2,9.3,8.1
217,2018790,MW00000,CN01   ,2017JJ00,85.2,14.8,5.7,,5.0,5.0,2.8,,3.3,5.6,3.3,5.9,8.1,17.5,3.7,11.9,1.5,7.6,2.2,,9.1,1.3,2.4,3.1,5.6,56.0,23.3,12.0,8.7
218,2018790,MW00000,CN01   ,2021JJ00,88.6,11.4,7.0,,6.5,3.8,3.6,,5.0,4.8,2.4,3.0,6.1,13.4,,16.1,2.6,6.2,2.8,,7.8,,2.0,1.1,5.0,56.9,28.5,8.7,6.0
219,2018790,MW00000,GM9001 ,2013JJ00,80.6,19.4,10.2,,9.4,4.1,,,,4.5,,4.8,12.2,15.3,,20.2,,14.1,,,8.7,,,,8.8,47.7,30.9,11.4,10.0
220,2018790,MW00000,GM9001 ,2017JJ00,83.6,16.4,5.5,,4.3,5.4,,,,2.8,5.2,5.7,11.0,17.7,4.9,10.9,2.7,8.8,3.2,,13.8,2.2,3.8,3.9,8.1,54.8,21.2,15.2,8.8
221,2018790,MW00000,GM9001 ,2021JJ00,86.8,13.2,9.9,,9.1,4.0,3.7,,5.6,,3.5,3.1,5.5,12.5,,12.3,,6.4,3.5,,9.4,,3.6,,4.7,57.9,28.8,9.0,4.3
222,2018790,MW00000,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,2018790,MW00000,GM9002 ,2017JJ00,74.2,25.8,,,,,,,,,,,,22.0,,12.2,,9.7,,,,,,,,56.3,27.7,10.4,
224,2018790,MW00000,GM9002 ,2021JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2018790,MW00000,GM9003 ,2013JJ00,84.6,15.4,11.3,0.0,11.3,,,,,,,,,,,9.7,,,,,,,,,,75.5,19.1,,
