ID,Persoonskenmerken,Marges,CaribischNederland,Perioden,ZeerGoedGoed_1,MinderDanGoed_2,SuikerziekteTotaal_3,SuikerziekteType1_4,SuikerziekteType2_5,AandoeningenVanDeNekOfSchouder_6,AstmaChronischeBronchitisCARA_7,Chikungunya_8,ChronischEczeem_9,ChronischeGewrichtsontsteking_10,DarmstoornissenLangerDan3Maanden_11,DuizeligheidMetVallen_12,GewrichtsslijtageVanHeupenOfKnieen_13,HogeBloeddruk_14,Knokkelkoorts_15,MigraineOfErnstigeHoofdpijn_16,OnvrijwilligUrineverliesIncontinentie_17,Rugaandoening_18,VernauwingBloedvatenInBuikOfBenen_19,Zika_20,OverigeAandoeningen_21,BeroerteHersenbloedingHerseninfarct_22,Hartinfarct_23,Hartaandoening_24,Kanker_25,GeenLangdurigeAandoeningen_26,k_1LangdurigeAandoening_27,k_2LangdurigeAandoeningen_28,k_3OfMeerLangdurigeAandoeningen_29
35,3000   ,MW00000,GM9003 ,2021JJ00,80.6,19.4,9.7,,7.3,6.7,2.6,,4.0,6.7,4.9,6.3,5.5,15.9,,20.3,3.4,7.6,,,8.0,,,4.7,8.4,50.8,31.9,7.9,9.3
36,3000   ,B000150,CN01   ,2013JJ00,3.8,3.8,2.3,1.3,2.0,2.4,1.9,,1.2,1.9,1.5,1.8,2.1,3.2,1.6,3.0,1.3,2.8,1.3,,2.4,1.1,1.3,1.8,1.3,4.6,4.1,2.8,2.2
37,3000   ,B000150,CN01   ,2017JJ00,2.7,2.7,1.9,0.7,1.7,1.7,1.0,,0.9,1.3,1.1,1.4,1.7,2.3,1.0,1.8,0.6,1.7,0.9,,1.6,0.7,0.9,1.0,1.0,3.3,2.9,1.8,1.5
38,3000   ,B000150,CN01   ,2021JJ00,3.2,3.2,2.2,1.1,1.9,1.6,1.4,,1.0,1.3,1.2,1.4,1.7,2.5,,2.7,0.8,2.1,1.0,,1.7,1.0,0.8,1.0,1.3,3.7,3.3,2.1,1.8
39,3000   ,B000150,GM9001 ,2013JJ00,4.4,4.4,2.5,1.6,2.0,2.8,2.2,,1.4,2.0,1.9,1.9,2.6,3.6,1.5,3.4,1.6,3.4,1.6,,2.7,1.3,1.7,2.3,1.8,5.2,4.6,3.1,2.8
40,3000   ,B000150,GM9001 ,2017JJ00,3.4,3.4,2.3,1.0,2.1,2.3,1.2,,1.1,1.4,1.4,2.0,2.5,2.9,1.5,2.3,0.9,2.3,1.1,,2.5,0.8,1.3,1.5,1.4,4.2,3.7,2.5,2.0
41,3000   ,B000150,GM9001 ,2021JJ00,4.5,4.5,2.8,1.3,2.5,2.2,1.6,,1.2,1.7,1.6,2.0,2.6,3.1,,3.0,1.2,3.2,1.6,,2.6,1.8,1.2,1.6,1.7,5.1,4.4,3.2,2.0
42,3000   ,B000150,GM9002 ,2013JJ00,10.2,10.2,8.4,,,,,,,,,,,9.5,,8.8,,,,,,,,,,13.2,12.5,8.7,
43,3000   ,B000150,GM9002 ,2017JJ00,5.7,5.7,3.5,,3.5,2.9,2.0,,,2.6,2.1,2.1,2.1,4.6,1.9,3.5,,3.2,,,,,,,,6.3,5.5,3.0,2.6
44,3000   ,B000150,GM9002 ,2021JJ00,5.7,5.7,4.5,2.5,3.9,2.8,3.3,,,,,1.9,2.9,5.4,,5.5,,3.1,,,2.2,,,,,6.6,5.6,3.5,3.8
45,3000   ,B000150,GM9003 ,2013JJ00,8.6,8.6,,,,,,,,,,,,8.6,,8.7,,,,,8.4,,,,,11.3,9.8,,
46,3000   ,B000150,GM9003 ,2017JJ00,6.0,6.0,5.5,,5.3,3.0,3.2,,,4.9,,3.1,3.6,7.2,,5.4,,3.6,3.2,,,,,,3.3,8.7,8.0,4.5,4.3
47,3000   ,B000150,GM9003 ,2021JJ00,6.6,6.6,5.4,,4.7,4.3,2.3,,3.5,3.9,4.2,3.8,3.7,6.1,,7.6,2.7,4.4,,,4.7,,,3.4,4.7,9.2,8.6,4.8,4.9
48,4000   ,MW00000,CN01   ,2013JJ00,69.7,30.3,10.0,1.7,8.1,7.8,5.7,,2.0,4.7,5.5,7.7,11.3,22.8,2.9,27.4,1.2,13.4,5.3,,8.6,2.6,1.4,3.5,4.0,40.6,28.4,15.9,15.1
49,4000   ,MW00000,CN01   ,2017JJ00,69.2,30.7,9.4,1.7,7.6,8.3,4.7,,3.0,6.7,3.7,11.0,9.3,21.1,4.1,20.5,2.5,10.6,3.9,,10.4,1.6,1.3,3.1,3.4,48.1,23.4,13.6,14.8
50,4000   ,MW00000,CN01   ,2021JJ00,70.6,29.4,8.9,1.5,7.3,6.7,6.4,1.2,2.3,6.9,4.0,6.7,8.9,18.7,,20.3,2.0,10.9,3.2,1.0,10.3,1.5,1.0,2.8,3.4,51.3,23.6,12.7,12.4
51,4000   ,MW00000,GM9001 ,2013JJ00,66.6,33.4,9.3,1.4,7.7,9.1,5.8,,2.6,3.0,4.8,9.5,11.9,22.7,2.7,27.6,,15.0,4.7,,9.9,3.1,1.8,4.2,4.1,37.8,30.4,16.4,15.4
52,4000   ,MW00000,GM9001 ,2017JJ00,70.6,29.4,8.4,1.2,7.2,7.3,4.8,,2.6,3.7,4.1,10.0,9.1,20.4,5.0,15.8,3.2,10.3,2.7,,13.7,1.5,1.8,3.9,4.1,50.0,24.2,13.0,12.7
53,4000   ,MW00000,GM9001 ,2021JJ00,70.4,29.6,8.0,,7.1,6.3,6.8,1.6,2.9,4.6,4.9,8.1,10.5,19.7,,16.8,1.1,8.2,2.3,1.4,12.4,1.2,1.2,3.1,3.8,50.8,24.9,13.5,10.8
54,4000   ,MW00000,GM9002 ,2013JJ00,78.4,21.6,13.0,,9.2,,,,0.0,12.4,,0.0,12.2,27.5,,25.8,,12.2,10.2,,,,,,,44.7,22.2,15.2,17.9
55,4000   ,MW00000,GM9002 ,2017JJ00,62.6,37.0,12.9,3.5,8.9,7.8,2.3,,2.4,11.2,,8.6,7.9,22.6,3.7,21.1,,8.1,4.4,,2.9,,,2.2,2.5,54.5,20.1,11.5,13.8
56,4000   ,MW00000,GM9002 ,2021JJ00,70.9,29.1,11.4,2.4,8.6,3.7,3.7,,,7.2,,3.9,6.2,15.2,,18.1,,10.0,2.7,,4.3,,,,,62.6,17.4,11.2,8.7
57,4000   ,MW00000,GM9003 ,2013JJ00,78.7,21.3,10.1,,9.1,,,,,,,,5.7,15.5,,28.2,,,,,,,,,,55.4,23.2,13.1,8.2
58,4000   ,MW00000,GM9003 ,2017JJ00,73.4,26.6,7.8,,6.8,13.2,8.0,,5.3,11.3,5.0,18.3,12.4,21.3,,37.5,,15.1,8.2,,8.8,,,,,31.6,25.1,18.9,24.4
59,4000   ,MW00000,GM9003 ,2021JJ00,70.4,29.6,7.6,,5.8,12.8,9.9,,,12.7,4.9,7.7,9.2,21.7,,33.6,4.9,19.9,6.5,,14.1,3.3,,4.0,6.3,33.9,30.2,13.1,22.8
60,4000   ,B000150,CN01   ,2013JJ00,4.0,4.0,2.6,1.1,2.4,2.3,1.9,,1.2,2.0,2.3,2.3,2.8,3.7,1.6,4.0,1.0,2.9,1.9,,2.5,1.4,1.1,1.7,1.9,4.3,4.0,3.3,3.1
61,4000   ,B000150,CN01   ,2017JJ00,3.2,3.2,2.0,0.9,1.8,1.9,1.5,,1.2,1.7,1.3,2.2,2.0,2.8,1.4,2.8,1.1,2.1,1.4,,2.1,0.9,0.8,1.2,1.3,3.5,2.9,2.4,2.5
62,4000   ,B000150,CN01   ,2021JJ00,3.4,3.4,2.1,0.9,2.0,1.9,1.9,0.9,1.1,1.9,1.4,1.9,2.1,3.0,,3.1,1.0,2.4,1.3,0.8,2.3,0.9,0.7,1.2,1.4,3.8,3.2,2.6,2.5
63,4000   ,B000150,GM9001 ,2013JJ00,4.7,4.7,2.9,1.2,2.7,2.8,2.3,,1.6,1.8,2.2,3.0,3.3,4.2,1.8,4.6,,3.5,2.2,,3.1,1.8,1.4,2.1,2.2,4.9,4.6,3.8,3.6
64,4000   ,B000150,GM9001 ,2017JJ00,4.1,4.1,2.5,1.0,2.3,2.3,1.9,,1.4,1.7,1.8,2.7,2.6,3.6,1.9,3.3,1.6,2.7,1.4,,3.1,1.1,1.2,1.7,1.8,4.5,3.8,3.0,3.0
65,4000   ,B000150,GM9001 ,2021JJ00,4.7,4.7,2.8,,2.7,2.5,2.7,1.4,1.7,2.3,2.3,2.9,3.2,4.2,,4.0,1.0,2.8,1.4,1.3,3.5,1.1,1.1,1.8,2.2,5.2,4.5,3.7,3.2
66,4000   ,B000150,GM9002 ,2013JJ00,9.7,9.7,7.8,,6.7,,,,,8.5,,,8.0,11.1,,11.2,,7.9,6.7,,,,,,,12.3,10.9,9.6,9.3
67,4000   ,B000150,GM9002 ,2017JJ00,7.0,7.0,4.8,2.6,4.1,3.9,2.1,,2.2,4.6,,4.1,3.9,6.0,2.7,5.9,,4.0,3.0,,2.5,,,2.1,2.3,7.2,5.8,4.6,5.0
68,4000   ,B000150,GM9002 ,2021JJ00,6.1,6.1,4.5,2.1,4.0,2.8,2.5,,,3.6,,2.6,3.4,4.8,,5.1,,4.1,2.2,,2.7,,,,,6.4,4.9,4.2,3.9
69,4000   ,B000150,GM9003 ,2013JJ00,10.4,10.4,8.0,,7.9,,,,,,,,5.6,8.5,,11.5,,,,,,,,,,12.4,11.0,8.6,6.6
70,4000   ,B000150,GM9003 ,2017JJ00,7.7,7.7,4.7,,4.4,5.9,4.8,,3.9,5.6,3.8,6.8,5.8,7.2,,8.5,,6.3,4.8,,5.0,,,,,8.1,7.6,6.9,7.5
71,4000   ,B000150,GM9003 ,2021JJ00,8.1,8.1,4.2,,3.8,5.7,5.4,,,5.6,3.4,4.9,4.6,7.6,,8.8,3.7,7.3,4.4,,5.7,3.2,,2.9,3.7,8.8,8.4,6.5,7.4
72,53050  ,MW00000,CN01   ,2013JJ00,86.4,13.6,,0.0,,5.1,6.4,,,,,7.5,,4.3,4.4,27.0,,9.2,,,6.8,,0.0,,,56.9,25.0,12.7,5.4
73,53050  ,MW00000,CN01   ,2017JJ00,87.8,12.2,,,,6.3,4.9,,1.8,,2.0,11.6,2.3,3.9,2.7,25.9,,6.0,,,6.3,,,,,61.8,18.5,13.6,6.1
74,53050  ,MW00000,CN01   ,2021JJ00,85.5,14.5,,,,3.4,11.4,,2.6,,3.3,3.8,3.1,3.0,,22.9,,6.7,,,4.0,,,,,64.2,19.0,8.6,8.2
75,53050  ,MW00000,GM9001 ,2013JJ00,85.3,14.7,,,,4.8,7.5,,,0.0,,9.1,0.0,4.4,,28.7,,8.5,,,5.7,,0.0,,,56.1,24.2,15.0,4.6
76,53050  ,MW00000,GM9001 ,2017JJ00,89.8,10.2,,,,6.4,4.5,,,,,10.9,,3.0,3.1,19.2,,4.8,,,10.0,,,1.6,,67.5,17.6,10.4,4.5
77,53050  ,MW00000,GM9001 ,2021JJ00,78.1,21.9,,,,,10.0,,,,4.1,5.4,4.2,,,14.8,,8.9,,,7.9,,,,,67.9,15.3,10.8,6.0
78,53050  ,MW00000,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,53050  ,MW00000,GM9002 ,2017JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,53050  ,MW00000,GM9002 ,2021JJ00,96.6,,,,,,11.3,,,,,,,,,21.7,,,,,,,,,,67.4,19.5,7.4,
81,53050  ,MW00000,GM9003 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,53050  ,MW00000,GM9003 ,2017JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,53050  ,MW00000,GM9003 ,2021JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,53050  ,B000150,CN01   ,2013JJ00,5.1,5.1,,,,4.8,3.5,,,,,4.2,,3.3,3.6,6.7,,4.5,,,4.3,,,,,7.6,7.0,4.9,3.6
85,53050  ,B000150,CN01   ,2017JJ00,4.2,4.2,,,,3.2,2.8,,1.7,,1.8,4.2,2.0,2.5,2.1,5.7,,3.1,,,3.2,,,,,6.3,5.0,4.5,3.1
86,53050  ,B000150,CN01   ,2021JJ00,5.5,5.5,,,,2.7,5.1,,2.5,,2.7,2.9,2.5,2.7,,6.7,,4.1,,,3.2,,,,,7.6,6.2,4.5,4.3
87,53050  ,B000150,GM9001 ,2013JJ00,6.3,6.3,,,,4.2,4.5,,,,,5.5,,3.9,,8.1,,4.9,,,4.5,,,,,8.8,7.7,6.4,4.1
88,53050  ,B000150,GM9001 ,2017JJ00,5.2,5.2,,,,4.1,3.5,,,,,5.3,,2.9,3.0,6.7,,3.6,,,5.1,,,2.1,,8.0,6.5,5.2,3.5
89,53050  ,B000150,GM9001 ,2021JJ00,9.2,9.2,,,,,6.8,,,,4.1,5.0,4.1,,,8.0,,6.5,,,6.2,,,,,10.5,8.2,7.0,5.0
90,53050  ,B000150,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,53050  ,B000150,GM9002 ,2017JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,53050  ,B000150,GM9002 ,2021JJ00,4.7,,,,,,8.7,,,,,,,,,11.3,,,,,,,,,,12.4,10.4,7.2,
93,53050  ,B000150,GM9003 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,53050  ,B000150,GM9003 ,2017JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,53050  ,B000150,GM9003 ,2021JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,53310  ,MW00000,CN01   ,2013JJ00,79.8,20.2,2.6,,1.8,4.9,5.3,,1.8,2.5,3.8,4.7,2.7,10.5,2.8,25.3,,10.9,1.6,,6.7,,,2.6,,54.2,25.9,11.6,8.3
97,53310  ,MW00000,CN01   ,2017JJ00,84.7,15.1,2.5,,2.2,5.4,3.7,,1.6,2.2,3.1,5.2,2.5,8.0,2.6,16.6,,7.2,1.1,,8.3,0.8,0.8,1.1,0.7,65.6,19.8,7.7,6.6
98,53310  ,MW00000,CN01   ,2021JJ00,86.0,14.0,1.2,,1.2,3.5,4.4,,2.1,1.0,2.3,3.7,1.7,6.0,,20.7,,6.8,,,6.0,,,0.8,,65.3,21.4,8.4,4.9
99,53310  ,MW00000,GM9001 ,2013JJ00,79.8,20.2,,,,6.2,5.3,,2.5,2.7,4.1,5.7,2.4,11.4,2.7,25.2,,12.1,,,7.8,,,3.5,,51.0,28.9,10.8,9.3
100,53310  ,MW00000,GM9001 ,2017JJ00,82.7,17.3,2.6,,2.1,6.4,3.8,,,,4.4,6.0,3.2,8.8,2.8,14.8,,9.3,,,11.3,,,1.5,1.2,63.8,20.2,8.3,7.2
101,53310  ,MW00000,GM9001 ,2021JJ00,86.6,13.4,,,,2.5,4.4,,2.1,,1.6,4.0,1.8,5.2,,16.9,,7.1,,,7.8,,,,,68.8,19.1,8.4,3.7
102,53310  ,MW00000,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,53310  ,MW00000,GM9002 ,2017JJ00,86.8,12.7,,,,,,,,4.4,,3.8,,4.4,3.7,17.5,,2.8,,,,,,,,73.8,16.8,5.5,3.8
104,53310  ,MW00000,GM9002 ,2021JJ00,83.7,16.3,,,,,3.8,,,,,,,6.6,,19.8,,4.3,,,,,,,,70.4,19.1,6.6,3.9
105,53310  ,MW00000,GM9003 ,2013JJ00,81.1,18.9,,,,,,,,,,,0.0,13.3,,23.5,,0.0,,,,,,,,65.4,23.5,,
106,53310  ,MW00000,GM9003 ,2017JJ00,89.2,10.8,,,,6.4,7.7,,,,,4.7,,10.8,,21.5,,5.8,,,5.6,,,,,60.2,22.7,8.6,8.5
107,53310  ,MW00000,GM9003 ,2021JJ00,87.8,12.2,,,,8.0,5.4,,,,5.4,6.2,,7.2,,31.8,,9.6,,,7.1,,,,,48.9,30.6,11.2,9.3
108,53310  ,B000150,CN01   ,2013JJ00,4.6,4.6,1.9,,1.6,2.3,2.7,,1.6,1.8,2.5,2.4,1.9,3.3,1.9,5.0,,3.5,1.4,,2.7,,,1.8,,5.7,5.0,3.8,2.9
109,53310  ,B000150,CN01   ,2017JJ00,2.9,2.9,1.3,,1.2,1.9,1.5,,1.0,1.2,1.4,1.8,1.3,2.2,1.3,3.1,,2.1,0.9,,2.3,0.7,0.7,0.9,0.7,3.9,3.3,2.2,2.0
110,53310  ,B000150,CN01   ,2021JJ00,3.3,3.3,1.0,,1.0,1.8,2.0,,1.3,0.8,1.5,1.7,1.1,2.3,,3.9,,2.4,,,2.2,,,0.7,,4.5,3.8,2.8,2.0
111,53310  ,B000150,GM9001 ,2013JJ00,5.2,5.2,,,,3.0,3.0,,2.2,2.1,2.6,2.9,2.1,4.0,2.1,5.6,,4.2,,,3.4,,,2.5,,6.5,5.9,4.0,3.6
112,53310  ,B000150,GM9001 ,2017JJ00,4.0,4.0,1.7,,1.5,2.6,2.0,,,,2.2,2.5,1.9,3.0,1.8,3.8,,3.1,,,3.4,,,1.3,1.1,5.1,4.3,2.9,2.8
113,53310  ,B000150,GM9001 ,2021JJ00,4.6,4.6,,,,1.9,2.7,,1.7,,1.6,2.4,1.6,2.9,,5.1,,3.5,,,3.6,,,,,6.1,5.1,4.0,2.3
114,53310  ,B000150,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,53310  ,B000150,GM9002 ,2017JJ00,5.7,5.6,,,,,,,,3.4,,3.2,,3.4,3.2,6.4,,2.8,,,,,,,,7.4,6.3,3.8,3.2
116,53310  ,B000150,GM9002 ,2021JJ00,6.1,6.1,,,,,3.3,,,,,,,4.0,,6.3,,3.3,,,,,,,,7.3,6.2,4.0,3.2
117,53310  ,B000150,GM9003 ,2013JJ00,12.4,12.4,,,,,,,,,,,,9.6,,12.6,,,,,,,,,,13.8,12.5,,
118,53310  ,B000150,GM9003 ,2017JJ00,6.3,6.3,,,,4.9,5.4,,,,,4.3,,6.3,,8.3,,4.7,,,4.7,,,,,9.9,8.5,5.7,5.6
119,53310  ,B000150,GM9003 ,2021JJ00,7.2,7.2,,,,6.3,5.1,,,,5.4,5.5,,6.4,,10.7,,6.5,,,5.2,,,,,11.5,10.3,7.7,6.5
120,53715  ,MW00000,CN01   ,2013JJ00,70.7,29.3,10.3,2.0,7.8,9.6,2.9,,1.4,4.9,4.6,4.7,11.4,24.5,2.7,12.9,1.4,12.1,5.5,,9.5,2.4,2.2,4.0,4.0,48.6,26.9,12.1,12.4
121,53715  ,MW00000,CN01   ,2017JJ00,69.9,30.1,12.5,0.8,11.6,9.0,3.1,,2.8,7.8,3.0,7.3,11.5,22.9,4.5,10.8,2.0,10.2,3.6,,7.6,1.6,2.0,3.8,3.8,50.8,26.1,10.3,12.8
122,53715  ,MW00000,CN01   ,2021JJ00,70.9,29.1,11.8,1.5,10.3,7.9,3.8,1.1,1.6,6.1,3.1,5.8,8.8,21.4,,14.8,1.1,11.9,3.1,,9.1,2.7,2.1,2.7,4.4,53.2,25.9,10.1,10.9
123,53715  ,MW00000,GM9001 ,2013JJ00,66.9,33.1,10.0,2.2,7.1,11.1,3.3,,1.9,3.6,4.5,5.2,12.2,23.3,2.3,14.1,1.7,15.0,5.3,,10.4,2.7,2.8,4.6,3.9,47.1,26.8,12.3,13.8
124,53715  ,MW00000,GM9001 ,2017JJ00,74.1,25.9,12.1,1.1,11.1,9.0,3.4,,3.3,5.8,2.1,8.1,12.4,21.4,5.4,9.8,2.6,9.8,2.7,,10.3,1.8,2.8,4.9,4.5,49.7,26.8,12.1,11.4
125,53715  ,MW00000,GM9001 ,2021JJ00,68.8,31.2,11.4,,10.3,9.6,3.4,,,4.4,4.8,7.0,11.0,19.5,,9.8,,10.3,3.1,,10.8,3.3,2.6,3.1,4.1,54.0,26.0,10.9,9.1
126,53715  ,MW00000,GM9002 ,2013JJ00,,,,,11.2,,,,0.0,,,,10.5,,,9.2,0.0,,7.5,,,,,,,,33.5,12.2,9.2
127,53715  ,MW00000,GM9002 ,2017JJ00,59.1,40.9,13.4,,12.2,7.1,,,,7.0,3.3,4.2,6.1,19.8,,9.1,,10.1,3.5,,,,,,,63.3,19.7,5.4,11.6
128,53715  ,MW00000,GM9002 ,2021JJ00,72.4,27.6,13.6,,11.5,4.8,5.0,,,5.5,,3.8,5.9,23.2,,20.4,,12.0,2.1,,4.6,,,,,57.3,21.0,10.3,11.4
129,53715  ,MW00000,GM9003 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,53715  ,MW00000,GM9003 ,2017JJ00,68.9,31.1,12.9,,12.9,13.1,,,5.8,19.6,7.3,9.2,17.3,36.7,,19.0,,12.5,8.8,,5.9,,,,5.1,32.0,34.7,10.7,22.6
131,53715  ,MW00000,GM9003 ,2021JJ00,75.2,24.8,10.0,,8.0,7.9,2.8,,,12.7,,5.3,7.3,24.0,,20.4,,16.6,,,12.2,,,4.6,9.9,43.0,34.6,7.1,15.3
132,53715  ,B000150,CN01   ,2013JJ00,4.7,4.7,3.2,1.5,2.9,3.1,1.8,,1.3,2.7,2.3,2.2,3.3,4.5,1.8,3.4,1.3,3.4,2.3,,3.2,1.6,1.6,2.1,2.3,5.3,4.8,3.4,3.4
133,53715  ,B000150,CN01   ,2017JJ00,3.7,3.7,2.7,0.7,2.6,2.3,1.4,,1.3,2.1,1.4,2.1,2.6,3.4,1.7,2.5,1.1,2.4,1.5,,2.1,1.0,1.1,1.5,1.5,4.0,3.5,2.4,2.7
134,53715  ,B000150,CN01   ,2021JJ00,3.9,3.9,2.8,1.1,2.7,2.3,1.6,0.9,1.1,2.2,1.5,2.0,2.4,3.6,,3.1,0.9,2.8,1.6,,2.5,1.5,1.2,1.4,1.9,4.3,3.8,2.6,2.7
135,53715  ,B000150,GM9001 ,2013JJ00,5.5,5.5,3.4,1.8,2.9,3.8,2.2,,1.6,2.4,2.5,2.5,3.9,4.9,1.9,4.0,1.7,4.3,2.8,,3.7,1.9,2.1,2.6,2.7,5.9,5.2,3.9,4.0
136,53715  ,B000150,GM9001 ,2017JJ00,4.4,4.4,3.3,1.0,3.2,2.9,1.8,,1.8,2.3,1.4,2.7,3.3,4.1,2.3,3.0,1.6,3.0,1.6,,3.1,1.3,1.7,2.2,2.1,5.0,4.5,3.3,3.2
137,53715  ,B000150,GM9001 ,2021JJ00,5.4,5.4,3.8,,3.6,3.4,2.1,,,2.4,2.7,3.0,3.6,4.7,,3.5,,3.6,2.2,,3.6,2.3,1.8,2.1,2.5,5.9,5.2,3.6,3.4
138,53715  ,B000150,GM9002 ,2013JJ00,,,,,11.2,,,,,,,,9.2,,,8.0,,,6.1,,,,,,,,14.7,9.5,8.4
139,53715  ,B000150,GM9002 ,2017JJ00,8.1,8.1,5.6,,5.4,4.2,,,,4.2,2.9,3.3,4.0,6.6,,4.7,,5.0,3.0,,,,,,,7.9,6.5,3.7,5.3
140,53715  ,B000150,GM9002 ,2021JJ00,6.7,6.7,5.3,,5.0,3.5,3.4,,,3.8,,3.1,3.7,6.4,,6.2,,5.2,2.0,,3.2,,,,,7.5,6.1,4.6,5.0
141,53715  ,B000150,GM9003 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,53715  ,B000150,GM9003 ,2017JJ00,10.7,10.7,7.7,,7.7,7.8,,,5.4,9.2,6.0,6.7,8.7,11.1,,9.1,,7.6,6.5,,5.4,,,,5.1,10.8,11.0,7.1,9.7
143,53715  ,B000150,GM9003 ,2021JJ00,10.1,10.1,7.5,,6.6,5.3,2.7,,,7.7,,4.7,6.0,9.7,,9.4,,8.3,,,7.3,,,4.4,6.8,11.4,11.0,5.7,8.1
144,80200  ,MW00000,CN01   ,2013JJ00,54.9,45.1,27.0,5.6,21.4,11.8,3.9,,,11.7,5.5,7.9,25.5,42.4,,6.1,5.1,15.7,7.9,,9.5,6.5,4.7,10.1,6.5,33.8,30.9,15.1,20.3
145,80200  ,MW00000,CN01   ,2017JJ00,53.4,46.6,22.8,6.4,16.4,8.8,2.4,,3.4,10.1,4.4,10.9,17.9,38.9,2.2,4.6,3.8,10.5,5.8,,10.6,2.7,3.2,4.8,8.2,36.8,32.4,15.7,14.6
146,80200  ,MW00000,CN01   ,2021JJ00,46.2,53.8,26.6,7.6,18.3,8.2,3.9,,2.5,14.6,4.9,8.6,19.5,35.3,,9.0,5.8,11.7,5.6,,12.6,3.0,3.3,6.3,10.0,39.2,28.2,16.1,16.5
147,80200  ,MW00000,GM9001 ,2013JJ00,51.1,48.9,26.4,4.3,22.1,12.1,,,,8.2,6.0,9.4,28.8,40.2,,,4.5,16.5,6.6,,9.0,7.0,,10.3,8.6,33.7,29.1,17.4,19.9
148,80200  ,MW00000,GM9001 ,2017JJ00,49.5,50.5,18.8,4.8,13.9,8.3,,,2.7,4.6,5.6,8.4,20.1,33.6,3.7,,4.6,9.9,5.8,,15.5,,4.5,6.2,8.6,38.4,34.0,15.1,11.9
149,80200  ,MW00000,GM9001 ,2021JJ00,48.4,51.6,22.3,6.2,15.5,6.3,3.6,,3.6,12.3,5.4,8.5,22.6,33.2,,4.2,4.6,9.7,4.9,,11.9,,3.2,4.7,8.3,34.4,33.8,18.2,13.6
150,80200  ,MW00000,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,80200  ,MW00000,GM9002 ,2017JJ00,52.4,47.6,27.3,10.0,17.3,11.4,,,,20.5,,14.6,12.7,50.4,,8.0,,11.7,,,,,,,,33.6,31.9,18.6,15.2
152,80200  ,MW00000,GM9002 ,2021JJ00,45.0,55.0,33.5,11.5,21.2,,,,,10.1,,6.3,11.7,33.5,,13.1,,9.2,,,,,,,,57.3,19.5,11.0,12.2
153,80200  ,MW00000,GM9003 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,80200  ,MW00000,GM9003 ,2017JJ00,71.4,28.6,32.4,,25.2,,,,,15.8,,15.3,17.3,42.1,,,,11.0,11.1,,,,,,10.4,35.1,26.7,13.4,24.8
155,80200  ,MW00000,GM9003 ,2021JJ00,42.6,57.4,27.9,6.1,21.8,18.6,8.4,,,26.9,9.0,12.4,22.5,43.5,,15.1,14.2,20.1,10.0,,24.4,5.6,5.7,14.8,23.3,24.5,27.1,18.6,29.8
156,80200  ,B000150,CN01   ,2013JJ00,8.2,8.2,7.4,4.1,6.8,5.1,3.6,,,5.5,4.0,4.6,7.2,8.2,,4.1,4.0,5.9,4.4,,4.9,4.5,4.2,5.7,4.4,8.0,7.6,6.1,6.5
157,80200  ,B000150,CN01   ,2017JJ00,6.3,6.3,5.3,3.1,4.7,3.6,2.0,,2.3,3.9,2.6,4.0,4.9,6.2,1.9,2.7,2.4,3.9,3.0,,3.9,2.1,2.3,2.7,3.5,6.1,6.0,4.6,4.5
158,80200  ,B000150,CN01   ,2021JJ00,6.5,6.5,5.9,3.5,5.2,3.4,2.3,,1.8,4.6,2.6,3.5,5.1,6.3,,3.8,2.8,4.1,2.7,,4.1,2.1,2.0,2.9,3.9,6.3,5.8,4.8,4.6
159,80200  ,B000150,GM9001 ,2013JJ00,9.4,9.4,8.3,4.2,7.9,6.0,,,,5.5,4.6,5.8,8.6,9.2,,,4.3,7.0,4.8,,5.7,5.4,,6.9,5.8,9.0,8.4,7.6,7.5
160,80200  ,B000150,GM9001 ,2017JJ00,8.2,8.2,6.4,3.5,5.6,4.5,,,2.7,3.4,3.8,4.5,6.6,7.8,3.1,,3.5,4.9,3.9,,5.9,,3.4,3.9,4.6,7.9,7.7,5.8,5.3
