ID,CaribischNederland,Perioden,TotaalHuishoudensEnBedrijven_1,Totaal_2,Prepaid_3,Postpaid_4,Bedrijven_5,Totaal_6,Fossiel_7,Hernieuwbaar_8,Oliedoorvoer_9,TotaalHuishoudensEnBedrijven_10,Huishoudens_11,Bedrijven_12,Productie_13
56,GM9001,2017JJ00,10404.0,8432.0,2068.0,6364.0,1972.0,113.4,81.9,31.5,,9648.0,8079.0,1569.0,1634.0
57,GM9001,2018JJ00,10677.0,8647.0,2267.0,6380.0,2030.0,113.1,76.0,37.1,,9884.0,8277.0,1607.0,1751.0
58,GM9001,2019JJ00,11155.0,9078.0,2433.0,6645.0,2077.0,120.6,88.1,32.5,,10348.0,8665.0,1683.0,1940.0
59,GM9001,2020JJ00,11546.0,9510.0,2324.0,7186.0,2036.0,123.8,95.7,28.1,,10604.0,8971.0,1633.0,1953.0
60,GM9001,2021JJ00,12048.0,9960.0,2411.0,7549.0,2088.0,133.6,101.5,32.2,,11323.0,9434.0,1889.0,2120.0
61,GM9001,2022JJ00,12697.0,10485.0,2564.0,7921.0,2212.0,140.7,107.3,33.5,,11792.0,9773.0,2019.0,2301.0
62,GM9001,2023JJ00,13425.0,11173.0,3314.0,7859.0,2252.0,156.3,121.3,35.0,,11985.0,10051.0,1934.0,2548.0
63,GM9001,2024JJ00,13405.0,11080.0,2697.0,8383.0,2325.0,172.7,132.2,40.5,,12536.0,10506.0,2030.0,2681.0
64,GM9002,1993JJ00,,,,,,3.8,,0.0,,,,,
65,GM9002,1994JJ00,,,,,,5.5,,0.0,,,,,
66,GM9002,1995JJ00,,,,,,6.1,,0.0,,,,,
67,GM9002,1996JJ00,,,,,,6.4,,0.0,,,,,
68,GM9002,1997JJ00,,,,,,6.6,,0.0,,,,,
69,GM9002,1998JJ00,,,,,,7.0,,0.0,,,,,
70,GM9002,1999JJ00,,,,,,7.8,,0.0,,,,,
71,GM9002,2000JJ00,,,,,,8.2,,0.0,,,,,
72,GM9002,2001JJ00,,,,,,8.7,,0.0,,,,,
73,GM9002,2002JJ00,,,,,,,,0.0,,,,,
74,GM9002,2003JJ00,,,,,,9.5,,0.0,,,,,
75,GM9002,2004JJ00,,,,,,9.9,,0.0,,,,,
76,GM9002,2005JJ00,,,,,,10.3,,0.0,,,,,
77,GM9002,2006JJ00,,,,,,10.5,,0.0,,,,,
78,GM9002,2007JJ00,,,,,,11.3,,0.0,,,,,
79,GM9002,2008JJ00,,,,,,11.1,,0.0,,,,,
80,GM9002,2009JJ00,,,,,,11.4,,0.0,,,,,
81,GM9002,2010JJ00,,,,,,12.8,,0.0,,,,,
82,GM9002,2011JJ00,,,,,,12.6,,0.0,,,,,
83,GM9002,2012JJ00,,,,,,13.7,13.7,0.0,,,,,
84,GM9002,2013JJ00,1711.0,1462.0,,,249.0,13.5,13.5,0.0,,,,,
85,GM9002,2014JJ00,,,,,,13.4,13.4,0.0,,,,,47.0
86,GM9002,2015JJ00,,,,,,13.9,13.9,0.0,,,,,57.0
87,GM9002,2016JJ00,,,,,261.0,13.9,11.6,2.3,,555.0,,,65.0
88,GM9002,2017JJ00,,,,,264.0,14.0,10.2,3.8,,635.0,,,68.0
89,GM9002,2018JJ00,1828.0,1556.0,,,272.0,14.3,7.8,6.5,,756.0,,,75.0
90,GM9002,2019JJ00,1845.0,1572.0,,,273.0,15.0,8.7,6.3,,878.0,,,94.0
91,GM9002,2020JJ00,1981.0,1709.0,,,272.0,15.2,10.4,4.8,,991.0,881.0,110.0,130.0
92,GM9002,2021JJ00,2005.0,1735.0,,,270.0,16.3,11.1,5.2,,1071.0,953.0,118.0,175.0
93,GM9002,2022JJ00,2081.0,1795.0,,,286.0,16.4,11.7,4.7,,1185.0,1061.0,124.0,188.0
94,GM9002,2023JJ00,2080.0,1762.0,,,318.0,17.1,12.0,5.1,,1250.0,1116.0,134.0,194.0
95,GM9002,2024JJ00,2050.0,1744.0,,,306.0,17.7,12.4,5.3,,1268.0,1133.0,135.0,185.0
96,GM9003,1993JJ00,,,,,,2.4,,0.0,,,,,
97,GM9003,1994JJ00,,,,,,3.6,,0.0,,,,,
98,GM9003,1995JJ00,,,,,,4.0,,0.0,,,,,
99,GM9003,1996JJ00,,,,,,4.4,,0.0,,,,,
100,GM9003,1997JJ00,,,,,,5.0,,0.0,,,,,
101,GM9003,1998JJ00,,,,,,5.7,,0.0,,,,,
102,GM9003,1999JJ00,,,,,,5.8,,0.0,,,,,
103,GM9003,2000JJ00,,,,,,5.7,,0.0,,,,,
104,GM9003,2001JJ00,,,,,,6.2,,0.0,,,,,
105,GM9003,2002JJ00,,,,,,,,0.0,,,,,
106,GM9003,2003JJ00,,,,,,6.7,,0.0,,,,,
107,GM9003,2004JJ00,,,,,,6.9,,0.0,,,,,
108,GM9003,2005JJ00,,,,,,7.5,,0.0,,,,,
109,GM9003,2006JJ00,,,,,,7.7,,0.0,,,,,
110,GM9003,2007JJ00,,,,,,8.1,,0.0,,,,,
111,GM9003,2008JJ00,,,,,,7.7,,0.0,,,,,
112,GM9003,2009JJ00,,,,,,8.3,,0.0,,,,,
113,GM9003,2010JJ00,,,,,,8.9,,0.0,,,,,
114,GM9003,2011JJ00,1177.0,943.0,,,234.0,8.8,,0.0,,,,,
