ID,Bedrijfsactiviteiten,Grootteklassen,Perioden,Bedrijven_1,WerknemersUltimoSeptember_2,TotaalProductiewaarde_3,IndustrieleVerkopen_4,VoorraadmutatiesProducten_5,MargeHandelOvOpbrengsten_6,TotaalVerbruikswaarde_7,IndustrieleInkopen_8,VoorraadmutatiesGrondEnHulpstoffen_9,Energieverbruik_10,OverigeBedrijfskosten_11,TotaalToegevoegdeWaarde_12,Arbeidskosten_13,HeffingenEnBelastingen_14,TotaalBrutoBedrijfsresultaat_15,SaldoInterest_16,SaldoOverigeBatenEnLasten_17,AfschrijvingenOpVasteActiva_18,ResultaatVoorBelastingen_19,CodeBedrijfsactiviteit_20
255,30    ,T,1999JJ00,640.0,79.0,2797.0,2656.0,17.0,124.0,2294.0,2035.0,22.0,9.0,272.0,503.0,321.0,-5.0,187.0,-10.0,-3.0,60.0,113.0,30    
256,30    ,S,1996JJ00,496.0,7.0,74.0,54.0,0.0,20.0,44.0,25.0,0.0,0.0,19.0,29.0,25.0,-1.0,5.0,-2.0,0.0,3.0,0.0,30    
257,30    ,S,1997JJ00,518.0,7.0,57.0,44.0,0.0,13.0,31.0,21.0,1.0,0.0,11.0,26.0,18.0,0.0,8.0,0.0,5.0,2.0,9.0,30    
258,30    ,S,1998JJ00,547.0,9.0,87.0,75.0,0.0,12.0,61.0,46.0,0.0,0.0,15.0,26.0,20.0,0.0,6.0,0.0,0.0,2.0,4.0,30    
259,30    ,S,1999JJ00,613.0,8.0,82.0,60.0,-1.0,23.0,51.0,34.0,-2.0,0.0,15.0,31.0,22.0,0.0,9.0,-2.0,1.0,4.0,4.0,30    
260,30    ,L,1996JJ00,23.0,70.0,1432.0,1296.0,21.0,115.0,1057.0,894.0,-19.0,7.0,137.0,375.0,250.0,-3.0,128.0,-12.0,-10.0,47.0,59.0,30    
261,30    ,L,1997JJ00,26.0,64.0,2348.0,2243.0,7.0,98.0,1893.0,1651.0,-5.0,7.0,230.0,455.0,252.0,1.0,202.0,-13.0,-25.0,41.0,124.0,30    
262,30    ,L,1998JJ00,24.0,65.0,2622.0,2492.0,30.0,100.0,2078.0,1805.0,-6.0,8.0,259.0,544.0,268.0,-5.0,281.0,-15.0,-9.0,49.0,208.0,30    
263,30    ,L,1999JJ00,27.0,71.0,2715.0,2597.0,17.0,101.0,2243.0,2000.0,22.0,8.0,257.0,471.0,299.0,-6.0,178.0,-8.0,-3.0,57.0,109.0,30    
264,31t3  ,T,1996JJ00,4200.0,924.0,12237.0,10050.0,115.0,2072.0,7674.0,5062.0,-7.0,98.0,2507.0,4562.0,3218.0,-68.0,1412.0,-139.0,-20.0,608.0,644.0,31t3  
265,31t3  ,T,1997JJ00,4351.0,888.0,13196.0,10599.0,106.0,2491.0,8386.0,4798.0,5.0,103.0,3490.0,4810.0,3208.0,-64.0,1666.0,-123.0,69.0,570.0,1041.0,31t3  
266,31t3  ,T,1998JJ00,4332.0,869.0,13613.0,10650.0,15.0,2948.0,8901.0,4976.0,-17.0,100.0,3808.0,4713.0,3247.0,-75.0,1541.0,-101.0,129.0,582.0,988.0,31t3  
267,31t3  ,T,1999JJ00,4478.0,839.0,14231.0,10584.0,122.0,3525.0,9547.0,4753.0,-5.0,99.0,4690.0,4684.0,3253.0,-66.0,1497.0,-108.0,324.0,625.0,1088.0,31t3  
268,31t3  ,S,1996JJ00,3830.0,108.0,1098.0,970.0,9.0,119.0,614.0,443.0,8.0,8.0,171.0,483.0,282.0,-3.0,204.0,-17.0,-3.0,40.0,143.0,31t3  
269,31t3  ,S,1997JJ00,3961.0,120.0,1119.0,1013.0,3.0,103.0,627.0,443.0,0.0,9.0,175.0,491.0,283.0,-4.0,212.0,-13.0,1.0,40.0,159.0,31t3  
270,31t3  ,S,1998JJ00,3942.0,116.0,1111.0,1009.0,-1.0,103.0,596.0,418.0,6.0,9.0,175.0,515.0,306.0,-2.0,211.0,-12.0,-1.0,49.0,149.0,31t3  
271,31t3  ,S,1999JJ00,4065.0,120.0,1207.0,1105.0,-1.0,103.0,648.0,453.0,3.0,10.0,188.0,559.0,324.0,-1.0,236.0,-14.0,1.0,54.0,169.0,31t3  
272,31t3  ,L,1996JJ00,370.0,816.0,11139.0,9080.0,106.0,1953.0,7060.0,4619.0,-14.0,91.0,2336.0,4079.0,2936.0,-65.0,1208.0,-122.0,-17.0,568.0,501.0,31t3  
273,31t3  ,L,1997JJ00,390.0,768.0,12077.0,9586.0,103.0,2388.0,7759.0,4354.0,4.0,94.0,3315.0,4318.0,2925.0,-61.0,1454.0,-110.0,67.0,530.0,881.0,31t3  
274,31t3  ,L,1998JJ00,390.0,753.0,12503.0,9641.0,17.0,2845.0,8305.0,4557.0,-24.0,91.0,3633.0,4197.0,2940.0,-73.0,1330.0,-89.0,130.0,533.0,839.0,31t3  
275,31t3  ,L,1999JJ00,413.0,719.0,13023.0,9480.0,121.0,3422.0,8899.0,4300.0,-9.0,88.0,4502.0,4125.0,2928.0,-64.0,1261.0,-94.0,322.0,571.0,918.0,31t3  
276,DM    ,T,1996JJ00,3119.0,484.0,8382.0,8280.0,-371.0,473.0,6236.0,5310.0,-40.0,63.0,823.0,2146.0,1571.0,-27.0,602.0,-52.0,-25.0,338.0,187.0,DM    
277,DM    ,T,1997JJ00,3142.0,489.0,9383.0,8820.0,185.0,378.0,6995.0,6085.0,11.0,62.0,859.0,2387.0,1585.0,-30.0,832.0,-47.0,-35.0,381.0,368.0,DM    
278,DM    ,T,1998JJ00,3089.0,517.0,11340.0,10530.0,461.0,349.0,8567.0,7520.0,17.0,64.0,1000.0,2773.0,1748.0,-31.0,1056.0,-42.0,-38.0,440.0,536.0,DM    
279,DM    ,T,1999JJ00,3214.0,534.0,11716.0,11492.0,-162.0,386.0,8821.0,7731.0,4.0,63.0,1031.0,2895.0,1840.0,-30.0,1085.0,-37.0,12.0,513.0,548.0,DM    
280,DM    ,S,1996JJ00,2804.0,77.0,871.0,788.0,-3.0,86.0,560.0,427.0,1.0,8.0,126.0,312.0,204.0,1.0,107.0,-13.0,0.0,32.0,61.0,DM    
281,DM    ,S,1997JJ00,2798.0,75.0,800.0,741.0,-2.0,61.0,508.0,386.0,2.0,10.0,114.0,292.0,177.0,2.0,113.0,-14.0,2.0,29.0,72.0,DM    
282,DM    ,S,1998JJ00,2757.0,85.0,937.0,879.0,1.0,57.0,606.0,481.0,3.0,10.0,118.0,331.0,219.0,-1.0,113.0,-13.0,4.0,35.0,68.0,DM    
283,DM    ,S,1999JJ00,2877.0,90.0,1016.0,925.0,12.0,79.0,642.0,492.0,4.0,10.0,144.0,374.0,240.0,-2.0,136.0,-14.0,7.0,39.0,89.0,DM    
284,DM    ,L,1996JJ00,315.0,407.0,7511.0,7492.0,-368.0,387.0,5676.0,4883.0,-42.0,54.0,697.0,1834.0,1367.0,-29.0,496.0,-39.0,-24.0,306.0,126.0,DM    
285,DM    ,L,1997JJ00,344.0,414.0,8583.0,8079.0,187.0,317.0,6488.0,5699.0,8.0,52.0,745.0,2096.0,1408.0,-31.0,719.0,-33.0,-37.0,352.0,297.0,DM    
286,DM    ,L,1998JJ00,332.0,432.0,10403.0,9650.0,461.0,292.0,7961.0,7039.0,14.0,54.0,882.0,2442.0,1530.0,-31.0,943.0,-29.0,-42.0,404.0,468.0,DM    
287,DM    ,L,1999JJ00,337.0,444.0,10701.0,10568.0,-174.0,307.0,8180.0,7239.0,-2.0,53.0,886.0,2520.0,1600.0,-29.0,949.0,-23.0,5.0,473.0,458.0,DM    
288,34    ,T,1996JJ00,888.0,256.0,5035.0,4691.0,12.0,332.0,3763.0,3238.0,-10.0,34.0,481.0,1272.0,820.0,-4.0,456.0,-39.0,3.0,259.0,162.0,34    
289,34    ,T,1997JJ00,909.0,266.0,5919.0,5700.0,12.0,207.0,4489.0,3959.0,-2.0,35.0,493.0,1430.0,847.0,-3.0,586.0,-34.0,-20.0,310.0,222.0,34    
290,34    ,T,1998JJ00,870.0,278.0,7132.0,6944.0,8.0,180.0,5498.0,4867.0,-4.0,34.0,593.0,1634.0,935.0,-4.0,703.0,-29.0,-18.0,358.0,298.0,34    
291,34    ,T,1999JJ00,881.0,288.0,7446.0,7241.0,11.0,194.0,5717.0,5099.0,-6.0,33.0,579.0,1728.0,986.0,-5.0,747.0,-22.0,-1.0,422.0,302.0,34    
292,34    ,S,1996JJ00,747.0,36.0,364.0,318.0,1.0,45.0,230.0,176.0,3.0,3.0,54.0,134.0,94.0,1.0,39.0,-3.0,-2.0,12.0,22.0,34    
293,34    ,S,1997JJ00,754.0,36.0,384.0,367.0,2.0,15.0,260.0,207.0,3.0,5.0,51.0,123.0,83.0,2.0,38.0,-4.0,1.0,11.0,25.0,34    
294,34    ,S,1998JJ00,714.0,36.0,393.0,372.0,0.0,21.0,266.0,217.0,-3.0,4.0,42.0,127.0,93.0,0.0,34.0,-5.0,0.0,14.0,15.0,34    
295,34    ,S,1999JJ00,723.0,35.0,398.0,360.0,0.0,38.0,248.0,197.0,3.0,4.0,50.0,150.0,96.0,0.0,54.0,-5.0,0.0,14.0,36.0,34    
296,34    ,L,1996JJ00,141.0,220.0,4671.0,4373.0,11.0,287.0,3533.0,3062.0,-12.0,31.0,428.0,1138.0,725.0,-4.0,417.0,-36.0,5.0,247.0,140.0,34    
297,34    ,L,1997JJ00,155.0,230.0,5535.0,5333.0,10.0,192.0,4229.0,3752.0,-5.0,30.0,442.0,1306.0,763.0,-5.0,548.0,-30.0,-21.0,299.0,197.0,34    
298,34    ,L,1998JJ00,156.0,242.0,6739.0,6572.0,8.0,159.0,5232.0,4650.0,-1.0,30.0,551.0,1507.0,842.0,-4.0,669.0,-25.0,-18.0,345.0,282.0,34    
299,34    ,L,1999JJ00,158.0,253.0,7047.0,6881.0,10.0,156.0,5469.0,4901.0,-9.0,30.0,529.0,1578.0,889.0,-4.0,693.0,-18.0,-1.0,407.0,266.0,34    
300,35    ,T,1996JJ00,2231.0,229.0,3348.0,3589.0,-382.0,141.0,2473.0,2072.0,-31.0,29.0,341.0,874.0,752.0,-24.0,146.0,-14.0,-28.0,79.0,25.0,35    
301,35    ,T,1997JJ00,2233.0,224.0,3464.0,3120.0,174.0,170.0,2507.0,2125.0,11.0,27.0,366.0,957.0,738.0,-26.0,245.0,-13.0,-15.0,72.0,146.0,35    
