ID,BedrijfstakBranchesSBI2008,NuttigeToepassingEnEindverwerking,Perioden,TotaalBedrijfsafvalstoffen_1,TotaalNietChemischAfval_2,Metaalafval_3,Glasafval_4,PapierKartonafval_5,KunststofRubberafval_6,Houtafval_7,TextielLederafval_8,DierlijkPlantaardigAfval_9,GemengdAfval_10,Slib_11,MineralenSteenachtigAfval_12,OverigNietChemischAfval_13,ChemischAfval_14,TotaalBedrijfsafvalstoffen_15,TotaalNuttigeToepassing_16,InzetAlsBrandstof_17,OverigNuttigeToepassing_18,TotaalEindverwerking_19,Verbranden_20,StortenLozen_21,ScheidenAchteraf_22
132,305700,T001618,2014JJ00,138.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,15.0,0.0,118.0,138.0,,,,138.0,3.0,130.0,6.0
133,305700,T001618,2015JJ00,96.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,79.0,96.0,,,,96.0,3.0,89.0,4.0
134,305700,T001618,2016JJ00,81.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,62.0,81.0,,,,81.0,1.0,71.0,8.0
135,305700,T001618,2017JJ00,74.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,57.0,74.0,,,,74.0,1.0,66.0,7.0
136,305700,T001618,2018JJ00,74.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,68.0,74.0,,,,74.0,1.0,68.0,6.0
137,305700,T001618,2019JJ00,65.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,60.0,65.0,,,,65.0,1.0,59.0,5.0
138,307500,T001523,1994JJ00,19245.0,18010.0,689.0,64.0,604.0,170.0,539.0,49.0,7692.0,999.0,658.0,6544.0,0.0,1235.0,19245.0,15400.0,,15400.0,3844.0,681.0,3040.0,123.0
139,307500,T001523,1996JJ00,18761.0,17532.0,619.0,47.0,652.0,173.0,466.0,44.0,7584.0,953.0,640.0,6354.0,0.0,1229.0,18761.0,15079.0,,15079.0,3682.0,667.0,2857.0,159.0
140,307500,T001523,1998JJ00,19183.0,17907.0,703.0,50.0,720.0,178.0,532.0,37.0,7447.0,975.0,747.0,6516.0,0.0,1276.0,19183.0,15336.0,,15336.0,3847.0,875.0,2797.0,175.0
141,307500,T001523,2000JJ00,19039.0,17680.0,797.0,45.0,833.0,198.0,569.0,29.0,7772.0,958.0,749.0,5717.0,13.0,1360.0,19039.0,16281.0,,16281.0,2758.0,1008.0,1389.0,361.0
142,307500,T001523,2001JJ00,18074.0,16801.0,730.0,41.0,811.0,200.0,562.0,28.0,7744.0,964.0,613.0,5096.0,12.0,1273.0,18074.0,15757.0,,15757.0,2316.0,1192.0,871.0,254.0
143,307500,T001523,2002JJ00,17595.0,16339.0,738.0,48.0,819.0,188.0,504.0,50.0,7270.0,924.0,841.0,4952.0,5.0,1256.0,17595.0,15030.0,,15030.0,2565.0,1552.0,787.0,226.0
144,307500,T001523,2003JJ00,16971.0,15694.0,711.0,46.0,807.0,188.0,491.0,49.0,7040.0,910.0,772.0,4675.0,5.0,1277.0,16971.0,14507.0,,14507.0,2454.0,1415.0,829.0,211.0
145,307500,T001523,2004JJ00,16372.0,15182.0,650.0,34.0,809.0,149.0,476.0,39.0,6571.0,906.0,665.0,4870.0,13.0,1190.0,16372.0,14978.0,871.0,14107.0,1394.0,736.0,408.0,251.0
146,307500,T001523,2005JJ00,16149.0,14929.0,654.0,35.0,805.0,152.0,485.0,37.0,6429.0,890.0,625.0,4803.0,13.0,1221.0,16149.0,14768.0,791.0,13979.0,1381.0,710.0,418.0,252.0
147,307500,T001523,2006JJ00,15981.0,14746.0,704.0,41.0,858.0,181.0,482.0,45.0,6536.0,859.0,596.0,4424.0,20.0,1235.0,15981.0,14653.0,862.0,13789.0,1328.0,743.0,443.0,142.0
148,307500,T001523,2007JJ00,16313.0,15045.0,737.0,42.0,863.0,167.0,504.0,44.0,6599.0,884.0,624.0,4561.0,21.0,1270.0,16313.0,15006.0,849.0,14158.0,1307.0,739.0,422.0,145.0
149,307500,T001523,2008JJ00,16072.0,14827.0,729.0,34.0,839.0,172.0,477.0,40.0,6444.0,820.0,679.0,4589.0,6.0,1245.0,16072.0,14740.0,937.0,13804.0,1332.0,712.0,472.0,147.0
150,307500,T001523,2009JJ00,14340.0,13226.0,591.0,30.0,768.0,150.0,403.0,35.0,6458.0,753.0,701.0,3332.0,5.0,1113.0,14340.0,13076.0,878.0,12197.0,1264.0,705.0,435.0,125.0
151,307500,T001523,2010JJ00,14400.0,13156.0,553.0,47.0,673.0,146.0,407.0,26.0,6405.0,1053.0,661.0,3184.0,2.0,1244.0,14400.0,13108.0,918.0,12190.0,1292.0,626.0,486.0,181.0
152,307500,T001523,2011JJ00,14630.0,13425.0,584.0,48.0,684.0,148.0,418.0,26.0,6382.0,997.0,745.0,3390.0,2.0,1205.0,14630.0,13437.0,1003.0,12434.0,1193.0,587.0,420.0,186.0
153,307500,T001523,2012JJ00,14357.0,13206.0,467.0,48.0,589.0,143.0,413.0,31.0,6500.0,1010.0,702.0,3299.0,4.0,1151.0,14357.0,13581.0,1410.0,12170.0,777.0,216.0,413.0,148.0
154,307500,T001523,2013JJ00,14052.0,12860.0,461.0,48.0,589.0,142.0,393.0,31.0,6639.0,1050.0,724.0,2779.0,4.0,1193.0,14052.0,13335.0,1497.0,11838.0,717.0,214.0,356.0,147.0
155,307500,T001523,2014JJ00,13811.0,12577.0,463.0,41.0,560.0,144.0,343.0,16.0,6494.0,966.0,704.0,2841.0,5.0,1234.0,13811.0,13141.0,1593.0,11548.0,670.0,193.0,285.0,192.0
