ID,ProductgroepenEnOverigePosten,Perioden,WaardeInWerkelijkePrijzen_1,WaardePrijsniveau2005_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4,WaardeInWerkelijkePrijzen_5,WaardePrijsniveau2005_6,VolumemutatieTOVVoorafgaandJaar_7,Prijsindexcijfers_8,WaardeInWerkelijkePrijzen_9,WaardePrijsniveau2005_10,VolumemutatieTOVVoorafgaandJaar_11,Prijsindexcijfers_12,WaardeInWerkelijkePrijzen_13,WaardePrijsniveau2005_14,VolumemutatieTOVVoorafgaandJaar_15,Prijsindexcijfers_16,WaardeInWerkelijkePrijzen_17,WaardePrijsniveau2005_18,VolumemutatieTOVVoorafgaandJaar_19,Prijsindexcijfers_20,WaardeInWerkelijkePrijzen_21,WaardePrijsniveau2005_22,VolumemutatieTOVVoorafgaandJaar_23,Prijsindexcijfers_24,WaardeInWerkelijkePrijzen_25,WaardePrijsniveau2005_26,VolumemutatieTOVVoorafgaandJaar_27,Prijsindexcijfers_28,WaardeInWerkelijkePrijzen_29,WaardeInWerkelijkePrijzen_30,WaardePrijsniveau2005_31,VolumemutatieTOVVoorafgaandJaar_32,Prijsindexcijfers_33
1400,5900000,1988JJ00,,,,,,,,,,,,,16836.0,22685.0,,74.2,3198.0,4191.0,,76.3,9648.0,13037.0,,74.0,3990.0,5474.0,,72.9,0.0,,,,
1401,5900000,1989JJ00,,,,,,,,,,,,,16535.0,23527.0,3.7,70.3,3168.0,4388.0,4.7,72.2,9514.0,13573.0,4.1,70.1,3853.0,5581.0,2.0,69.0,0.0,,,,
1402,5900000,1990JJ00,,,,,,,,,,,,,17594.0,24526.0,4.2,71.7,3335.0,4500.0,2.6,74.1,10208.0,14275.0,5.2,71.5,4051.0,5768.0,3.3,70.2,0.0,,,,
1403,5900000,1991JJ00,,,,,,,,,,,,,18622.0,25139.0,2.5,74.1,3669.0,4696.0,4.3,78.1,10924.0,14804.0,3.7,73.8,4029.0,5650.0,-2.0,71.3,0.0,,,,
1404,5900000,1992JJ00,,,,,,,,,,,,,19288.0,25778.0,2.5,74.8,3791.0,4832.0,2.9,78.4,11172.0,14944.0,0.9,74.8,4325.0,6019.0,6.5,71.9,0.0,,,,
1405,5900000,1993JJ00,,,,,,,,,,,,,19106.0,25861.0,0.3,73.9,3843.0,4984.0,3.1,77.1,11022.0,14874.0,-0.5,74.1,4241.0,6012.0,-0.1,70.5,0.0,,,,
1406,5900000,1994JJ00,,,,,,,,,,,,,20027.0,26769.0,3.5,74.8,4027.0,5141.0,3.1,78.3,11447.0,15251.0,2.5,75.1,4553.0,6396.0,6.4,71.2,0.0,,,,
1407,5900000,1995JJ00,,,,,,,,,,,,,20849.0,27545.0,2.9,75.7,4234.0,5280.0,2.7,80.2,11787.0,15582.0,2.2,75.6,4828.0,6709.0,4.9,72.0,0.0,,,,
1408,5900000,1996JJ00,,,,,,,,,,,,,22467.0,28778.0,4.5,78.1,4307.0,5543.0,5.0,77.7,12996.0,16201.0,4.0,80.2,5164.0,7062.0,5.3,73.1,0.0,,,,
1409,5900000,1997JJ00,,,,,,,,,,,,,23865.0,30108.0,4.6,79.3,4568.0,5814.0,4.9,78.6,13878.0,16933.0,4.5,82.0,5419.0,7392.0,4.7,73.3,0.0,,,,
