ID,SBI93,Perioden,TotaalWaterverbruik_1,TotaalLeidingwater_2,VerbruikVoorKoeling_3,OverigVerbruik_4,TotaalWaterVanAndereBedrijven_5,VerbruikVoorKoeling_6,OverigVerbruik_7,TotaalZoetGrondwater_8,VerbruikVoorKoeling_9,OverigVerbruik_10,TotaalBrakOfZoutGrondwater_11,VerbruikVoorKoeling_12,OverigVerbruik_13,TotaalZoetOppervlaktewater_14,VerbruikVoorKoeling_15,OverigVerbruik_16,TotaalBrakOfZoutOppervlaktewater_17,VerbruikVoorKoeling_18,OverigVerbruik_19,Zoetwaterverbruik_20
10,10005,1996JJ00,97.23,7.01,0.6,6.41,,,,27.13,0.52,26.61,1.47,0.08,1.39,51.55,38.64,12.91,10.07,10.06,0.01,47.05
11,10005,2001JJ00,80.53,6.98,0.44,6.54,0.95,0.05,0.9,15.85,0.43,15.42,1.4,0.03,1.37,40.35,22.4,17.95,15.0,15.0,0.0,41.73
12,10006,1996JJ00,719.01,29.5,5.9,23.6,,,,0.23,0.23,0.0,0.0,0.0,0.0,63.91,63.91,0.0,625.37,619.74,5.63,29.73
13,10006,2001JJ00,1064.67,27.46,5.63,21.83,-1.16,0.0,-1.16,0.04,0.04,0.0,0.12,0.03,0.09,720.73,720.73,0.0,317.5,317.11,0.39,26.34
14,10007,1996JJ00,1254.24,67.81,8.21,59.6,,,,53.22,26.55,26.67,2.3,2.16,0.14,280.83,241.86,38.97,850.08,817.7,32.38,160.0
15,10007,2001JJ00,1539.17,70.99,24.4,46.59,97.3,113.37,-16.07,26.23,16.0,10.23,0.83,0.78,0.05,288.13,280.17,7.96,1055.7,1055.56,0.14,202.48
16,10008,1996JJ00,16.44,2.64,1.06,1.58,,,,4.61,4.33,0.28,0.8,0.8,0.0,8.4,8.05,0.35,0.0,0.0,0.0,7.6
17,10008,2001JJ00,18.71,2.57,1.52,1.05,0.0,0.0,0.0,9.08,8.44,0.64,0.28,0.28,0.0,6.78,6.78,0.0,0.0,0.0,0.0,11.65
18,10009,1996JJ00,22.58,3.33,0.62,2.71,,,,8.06,1.86,6.2,0.0,0.0,0.0,11.19,3.75,7.44,0.0,0.0,0.0,18.83
19,10009,2001JJ00,14.47,3.94,1.63,2.31,0.02,0.0,0.02,6.87,2.7,4.17,0.44,0.44,0.0,3.2,1.93,1.27,0.0,0.0,0.0,12.1
20,10010,1996JJ00,117.45,34.78,23.64,11.14,,,,6.42,4.31,2.11,18.52,18.52,0.0,4.93,4.9,0.03,52.8,31.27,21.53,41.24
21,10010,2001JJ00,,,,,,,,,,,,,,,,,,,,
22,10011,1996JJ00,15.32,5.04,1.07,3.97,,,,3.74,2.22,1.52,0.01,0.0,0.01,6.12,3.52,2.6,0.39,0.03,0.36,11.38
23,10011,2001JJ00,10.42,5.12,1.12,4.0,0.35,0.0,0.35,2.79,1.95,0.84,0.0,0.0,0.0,2.15,1.41,0.74,0.0,0.0,0.0,9.01
24,10012,1996JJ00,14.11,8.09,2.21,5.88,,,,4.66,2.89,1.77,0.0,0.0,0.0,1.34,0.39,0.95,0.02,0.01,0.01,13.7
25,10012,2001JJ00,8.17,4.13,1.49,2.64,-0.01,0.0,-0.01,3.57,2.87,0.7,0.0,0.0,0.0,0.47,0.46,0.01,0.0,0.0,0.0,7.71
26,10013,1996JJ00,5.07,2.57,0.74,1.83,,,,0.62,0.37,0.25,0.0,0.0,0.0,1.37,0.78,0.59,0.5,0.49,0.01,3.79
27,10013,2001JJ00,3.72,2.58,0.75,1.83,0.35,0.0,0.35,0.6,0.41,0.19,0.0,0.0,0.0,0.18,0.17,0.01,0.0,0.0,0.0,3.56
28,10014,1996JJ00,3.69,1.63,0.23,1.4,,,,0.68,0.11,0.57,0.0,0.0,0.0,1.37,0.58,0.79,0.0,0.0,0.0,3.11
29,10014,2001JJ00,3.27,1.03,0.14,0.89,0.96,0.04,0.92,0.82,0.23,0.59,0.0,0.0,0.0,0.44,0.06,0.38,0.0,0.0,0.0,3.2
30,10016,1996JJ00,8050.8,3.27,0.0,3.27,,,,1.2,0.27,0.93,0.0,0.0,0.0,4262.08,4238.66,23.42,3784.31,3783.31,1.0,27.88
31,10016,2001JJ00,10586.32,2.28,0.03,2.25,-0.77,0.0,-0.77,1.43,0.0,1.43,0.0,0.0,0.0,6205.31,6203.76,1.55,4378.07,4377.07,1.0,4.49
