ID,Zorgfuncties,Zorgaanbieders,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
138,T001104,A019118,2011JJ00,918
139,T001104,A019118,2012JJ00,906
140,T001104,A019118,2013JJ00,970
141,T001104,A019118,2014JJ00,991
142,T001104,A019118,2015JJ00,1036
143,T001104,A019118,2016JJ00,1070
144,T001104,A019118,2017JJ00,1085
145,T001104,A019118,2018JJ00,1220
146,T001104,A019118,2019JJ00,1297
147,T001104,A019118,2020JJ00,1354
148,T001104,A019118,2021JJ00,1405
149,T001104,A019118,2022JJ00,1427
150,T001104,A019119,1998JJ00,10377
151,T001104,A019119,1999JJ00,11021
152,T001104,A019119,2000JJ00,11849
153,T001104,A019119,2001JJ00,13336
154,T001104,A019119,2002JJ00,15137
155,T001104,A019119,2003JJ00,16388
156,T001104,A019119,2004JJ00,16778
157,T001104,A019119,2005JJ00,17335
158,T001104,A019119,2006JJ00,18224
159,T001104,A019119,2007JJ00,18563
160,T001104,A019119,2008JJ00,19799
161,T001104,A019119,2009JJ00,20807
162,T001104,A019119,2010JJ00,21675
163,T001104,A019119,2011JJ00,22541
164,T001104,A019119,2012JJ00,24451
165,T001104,A019119,2013JJ00,24644
166,T001104,A019119,2014JJ00,24811
167,T001104,A019119,2015JJ00,23972
168,T001104,A019119,2016JJ00,24591
169,T001104,A019119,2017JJ00,25358
170,T001104,A019119,2018JJ00,26662
171,T001104,A019119,2019JJ00,28867
172,T001104,A019119,2020JJ00,32469
173,T001104,A019119,2021JJ00,32926
174,T001104,A019119,2022JJ00,33577
175,T001104,A019120,1998JJ00,7434
176,T001104,A019120,1999JJ00,7835
177,T001104,A019120,2000JJ00,8422
178,T001104,A019120,2001JJ00,9584
179,T001104,A019120,2002JJ00,10931
180,T001104,A019120,2003JJ00,11800
181,T001104,A019120,2004JJ00,11923
182,T001104,A019120,2005JJ00,12260
183,T001104,A019120,2006JJ00,12769
184,T001104,A019120,2007JJ00,12908
185,T001104,A019120,2008JJ00,13622
186,T001104,A019120,2009JJ00,14132
187,T001104,A019120,2010JJ00,14755
188,T001104,A019120,2011JJ00,15221
189,T001104,A019120,2012JJ00,16442
190,T001104,A019120,2013JJ00,16590
191,T001104,A019120,2014JJ00,16539
192,T001104,A019120,2015JJ00,15807
193,T001104,A019120,2016JJ00,15999
194,T001104,A019120,2017JJ00,16457
195,T001104,A019120,2018JJ00,17370
196,T001104,A019120,2019JJ00,18886
197,T001104,A019120,2020JJ00,21455
198,T001104,A019120,2021JJ00,21789
199,T001104,A019120,2022JJ00,21917
200,T001104,A019121,1998JJ00,2943
201,T001104,A019121,1999JJ00,3186
202,T001104,A019121,2000JJ00,3426
203,T001104,A019121,2001JJ00,3752
204,T001104,A019121,2002JJ00,4206
205,T001104,A019121,2003JJ00,4588
206,T001104,A019121,2004JJ00,4855
207,T001104,A019121,2005JJ00,5075
208,T001104,A019121,2006JJ00,5456
209,T001104,A019121,2007JJ00,5655
210,T001104,A019121,2008JJ00,6177
211,T001104,A019121,2009JJ00,6675
212,T001104,A019121,2010JJ00,6920
213,T001104,A019121,2011JJ00,7320
214,T001104,A019121,2012JJ00,8010
215,T001104,A019121,2013JJ00,8054
216,T001104,A019121,2014JJ00,8272
217,T001104,A019121,2015JJ00,8165
218,T001104,A019121,2016JJ00,8592
219,T001104,A019121,2017JJ00,8901
220,T001104,A019121,2018JJ00,9292
221,T001104,A019121,2019JJ00,9981
222,T001104,A019121,2020JJ00,11014
223,T001104,A019121,2021JJ00,11137
224,T001104,A019121,2022JJ00,11660
225,T001104,A019122,1998JJ00,5245
226,T001104,A019122,1999JJ00,5592
227,T001104,A019122,2000JJ00,5927
228,T001104,A019122,2001JJ00,6458
229,T001104,A019122,2002JJ00,7283
230,T001104,A019122,2003JJ00,7945
231,T001104,A019122,2004JJ00,8327
232,T001104,A019122,2005JJ00,8572
233,T001104,A019122,2006JJ00,9169
234,T001104,A019122,2007JJ00,9925
235,T001104,A019122,2008JJ00,11005
236,T001104,A019122,2009JJ00,11596
237,T001104,A019122,2010JJ00,11583
238,T001104,A019122,2011JJ00,12153
239,T001104,A019122,2012JJ00,12351
240,T001104,A019122,2013JJ00,12398
241,T001104,A019122,2014JJ00,12838
242,T001104,A019122,2015JJ00,12931
243,T001104,A019122,2016JJ00,13632
244,T001104,A019122,2017JJ00,13915
245,T001104,A019122,2018JJ00,14438
246,T001104,A019122,2019JJ00,15229
247,T001104,A019122,2020JJ00,15285
248,T001104,A019122,2021JJ00,16305
249,T001104,A019122,2022JJ00,16745
250,T001104,A019123,1998JJ00,2531
251,T001104,A019123,1999JJ00,2678
252,T001104,A019123,2000JJ00,2760
253,T001104,A019123,2001JJ00,2967
254,T001104,A019123,2002JJ00,3377
255,T001104,A019123,2003JJ00,3702
256,T001104,A019123,2004JJ00,3960
257,T001104,A019123,2005JJ00,4080
258,T001104,A019123,2006JJ00,4350
259,T001104,A019123,2007JJ00,4635
260,T001104,A019123,2008JJ00,5252
261,T001104,A019123,2009JJ00,5497
262,T001104,A019123,2010JJ00,5209
263,T001104,A019123,2011JJ00,5426
264,T001104,A019123,2012JJ00,5492
265,T001104,A019123,2013JJ00,5649
266,T001104,A019123,2014JJ00,5909
267,T001104,A019123,2015JJ00,5645
268,T001104,A019123,2016JJ00,5936
269,T001104,A019123,2017JJ00,6042
