ID,Perioden,Boter_1,Margarine_2,Halvarine_3,SpijsvettenVoorIndustrieelGebruik_4,SpijsvettenVoorHuishoudelijkGebruik_5,VolleMelk_6,HalfvolleMelk_7,MagereMelk_8,Karnemelk_9,Chocolademelk_10,Yoghurt_11,PapEnVla_12,Kwark_13,Koffiemelk_14,Room_15,Kaas_16,TotaalVlees_17,RundEnKalfsvlees_18,Varkensvlees_19,GeslachtPluimvee_20,OverigVlees_21,Vis_22,Kippeneieren_23,TarwebloemEnMeel_24,TarwebloemEnMeelBestemdVoorBrood_25,Brood_26,BiskwieBanketEnSnijkoek_27,HartigeVersnaperingen_28,TotaalKruidenierswaren_29,Consumptierijst_30,OverigeKruidenierswaren_31,Suiker_32,Aardappelen_33,GroenteVers_34,TotaalVersFruit_35,TotaalVerseZuidvruchten_36,Bananen_37,Citroenen_38,Pompelmoezen_39,SinaasappelenEnMandarijnen_40,OverigeVerseZuidvruchten_41,OverigVersFruit_42,Chocolade_43,Suikerwerk_44,KoffieGebrand_45,Thee_46,Frisdranken_47,Mineraalwater_48,Vruchtensappen_49,Gedistilleerd_50,Bier_51,Wijn_52,Sigaren_53,Sigaretten_54,ShagEnPijptabak_55
0,1899JJ00,1.1,,,,0.0,,,,,,,,,,,4.8,,19.2,21.5,,,,,,,,,,,,,16.0,129.0,,,,,,,,,,,,7.6,0.6,,,0.0,,42.0,1.9,,,
1,1900JJ00,1.8,,,,0.0,,,,,,,,,,,5.8,,16.8,22.3,,,,,,,,,,,,,16.0,138.0,,,,,,,,,,,,7.2,0.7,,,0.0,,40.0,1.9,,,
2,1901JJ00,1.6,,,,0.0,,,,,,,,,,,5.6,,17.5,22.4,,,,,,,,,,,,,21.0,136.0,,,,,,,,,,,,7.8,0.7,,,0.0,,41.0,1.9,,,
3,1902JJ00,1.6,,,,0.0,,,,,,,,,,,5.5,,17.1,21.8,,,,,,,,,,,,,12.0,133.0,,,,,,,,,,,,9.4,0.7,,,0.0,,39.0,1.8,,,
4,1903JJ00,1.0,,,,0.0,,,,,,,,,,,4.7,,15.0,22.4,,,,,,,,,,,,,14.0,131.0,,,,,,,,,,,,7.2,0.7,,,0.0,,39.0,1.6,,,
5,1904JJ00,1.2,,,,0.0,,,,,,,,,,,4.8,,15.8,24.4,,,,,,,,,,,,,6.0,133.0,,,,,,,,,,,,5.1,0.7,,,0.0,,40.0,1.6,,,
6,1905JJ00,1.9,,,,0.0,,,,,,,,,,,5.7,,18.7,26.7,,,,,,,,,,,,,31.0,130.0,,,,,,,,,,,,5.6,0.7,,,0.0,,38.0,1.6,,,
7,1906JJ00,1.8,,,,0.0,,,,,,,,,,,5.6,,19.2,27.2,,,,,,,,,,,,,10.0,121.0,,,,,,,,,,,,7.3,0.7,,,0.0,,38.0,1.6,,,
8,1907JJ00,1.2,,,,0.0,,,,,,,,,,,5.0,,18.7,20.8,,,,,,,,,,,,,20.0,130.0,,,,,,,,,,,,6.4,0.8,,,0.0,,37.0,1.5,,,
9,1908JJ00,0.9,,,,0.0,,,,,,,,,,,4.7,,17.3,23.3,,,,,,,,,,,,,20.0,128.0,,,,,,,,,,,,6.5,0.8,,,0.0,,34.0,1.4,,,
10,1909JJ00,0.6,,,,0.0,,,,,,,,,,,4.4,,17.0,25.7,,,,,,,,,,,,,19.0,121.0,,,,,,,,,,,,6.7,0.8,,,0.0,,32.0,1.4,,,
11,1910JJ00,0.9,,,,0.0,,,,,,,,,,,4.8,,17.4,26.8,,,,,,,,,,,,,20.0,98.0,,,,,,,,,,,,7.0,0.8,,,0.0,,34.0,1.4,,,
12,1911JJ00,2.2,,,,0.0,,,,,,,,,,,6.3,,16.4,23.9,,,,,,,,,,,,,22.0,153.0,,,,,,,,,,,,6.5,0.9,,,0.0,,38.0,1.4,,,
13,1912JJ00,1.7,,,,0.0,,,,,,,,,,,6.0,,15.4,26.5,,,,,,,,,,,,,24.0,159.0,,,,,,,,,,,,7.7,0.9,,,0.0,,35.0,1.4,,,
14,1913JJ00,1.0,,,,0.0,,,,,,,,,,,5.4,,16.0,26.7,,,,,,,,,,,,,13.0,94.0,,,,,,,,,,,,5.8,0.9,,,0.0,,37.0,1.4,,,
15,1914JJ00,,,,,0.0,,,,,,,,,,,5.5,,16.0,17.3,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,1.0,,,0.0,,38.0,1.1,,,
