ID,Populatie,Geslacht,Persoonskenmerken,Perioden,Verkeersdeelname_1,GebruikVanHetOpenbaarVervoer_2
0, 6000050,    1100, 4000000,2010JJ00,79.8,6.8
1, 6000050,    1100, 4000000,2011JJ00,79.9,7.1
2, 6000050,    1100, 4000000,2012JJ00,79.6,6.7
3, 6000050,    1100, 4000000,2013JJ00,79.8,7.0
4, 6000050,    1100, 4000000,2014JJ00,80.2,6.7
5, 6000050,    1100, 2030500,2010JJ00,77.2,10.4
6, 6000050,    1100, 2030500,2011JJ00,78.0,10.7
7, 6000050,    1100, 2030500,2012JJ00,77.9,10.4
8, 6000050,    1100, 2030500,2013JJ00,77.6,10.7
9, 6000050,    1100, 2030500,2014JJ00,77.9,10.2
10, 6000050,    1100, 2030510,2010JJ00,79.7,8.4
11, 6000050,    1100, 2030510,2011JJ00,80.2,9.2
12, 6000050,    1100, 2030510,2012JJ00,78.9,8.8
13, 6000050,    1100, 2030510,2013JJ00,79.2,8.9
14, 6000050,    1100, 2030510,2014JJ00,79.7,9.0
15, 6000050,    1100, 2030520,2010JJ00,82.2,3.1
16, 6000050,    1100, 2030520,2011JJ00,81.6,3.2
17, 6000050,    1100, 2030520,2012JJ00,81.2,2.8
18, 6000050,    1100, 2030520,2013JJ00,81.9,3.2
19, 6000050,    1100, 2030520,2014JJ00,82.4,2.9
20, 6000050,    1100, 1020870,2010JJ00,76.8,10.4
21, 6000050,    1100, 1020870,2011JJ00,76.2,11.6
22, 6000050,    1100, 1020870,2012JJ00,77.0,10.1
23, 6000050,    1100, 1020870,2013JJ00,77.5,11.9
24, 6000050,    1100, 1020870,2014JJ00,77.5,10.3
25, 6000050,    1100, 1020880,2010JJ00,73.3,6.3
26, 6000050,    1100, 1020880,2011JJ00,75.8,6.5
27, 6000050,    1100, 1020880,2012JJ00,74.2,7.6
28, 6000050,    1100, 1020880,2013JJ00,75.4,7.4
29, 6000050,    1100, 1020880,2014JJ00,75.2,7.3
30, 6000050,    1100, 1020890,2010JJ00,76.3,6.2
31, 6000050,    1100, 1020890,2011JJ00,77.1,6.0
32, 6000050,    1100, 1020890,2012JJ00,76.7,5.6
33, 6000050,    1100, 1020890,2013JJ00,76.8,5.3
34, 6000050,    1100, 1020890,2014JJ00,76.2,4.3
35, 6000050,    1100, 1020900,2010JJ00,80.9,6.4
36, 6000050,    1100, 1020900,2011JJ00,79.7,5.5
37, 6000050,    1100, 1020900,2012JJ00,79.8,6.2
38, 6000050,    1100, 1020900,2013JJ00,80.4,5.9
39, 6000050,    1100, 1020900,2014JJ00,79.7,5.9
40, 6000050,    1100, 1020910,2010JJ00,82.3,5.9
41, 6000050,    1100, 1020910,2011JJ00,80.7,6.9
42, 6000050,    1100, 1020910,2012JJ00,80.5,6.0
43, 6000050,    1100, 1020910,2013JJ00,80.0,5.7
44, 6000050,    1100, 1020910,2014JJ00,81.2,6.0
45, 6000050,    1100, 1020920,2010JJ00,81.0,5.9
46, 6000050,    1100, 1020920,2011JJ00,82.3,6.4
47, 6000050,    1100, 1020920,2012JJ00,80.1,5.6
48, 6000050,    1100, 1020920,2013JJ00,81.3,6.6
49, 6000050,    1100, 1020920,2014JJ00,83.3,6.7
50, 6000050,    1100, 1020930,2010JJ00,82.8,7.2
51, 6000050,    1100, 1020930,2011JJ00,82.3,6.3
52, 6000050,    1100, 1020930,2012JJ00,82.9,6.5
53, 6000050,    1100, 1020930,2013JJ00,81.6,6.3
54, 6000050,    1100, 1020930,2014JJ00,82.0,5.3
55, 6000050,    1100, 1020940,2010JJ00,84.1,6.3
56, 6000050,    1100, 1020940,2011JJ00,81.9,7.1
57, 6000050,    1100, 1020940,2012JJ00,83.2,6.1
58, 6000050,    1100, 1020940,2013JJ00,82.4,5.9
59, 6000050,    1100, 1020940,2014JJ00,83.9,6.4
60, 6000050,    1100, 1020950,2010JJ00,82.1,6.4
61, 6000050,    1100, 1020950,2011JJ00,83.7,7.7
62, 6000050,    1100, 1020950,2012JJ00,82.6,6.2
63, 6000050,    1100, 1020950,2013JJ00,83.1,7.1
64, 6000050,    1100, 1020950,2014JJ00,84.3,6.7
65, 6000050,    1100, 1020960,2010JJ00,81.1,5.6
66, 6000050,    1100, 1020960,2011JJ00,81.9,5.9
67, 6000050,    1100, 1020960,2012JJ00,81.1,5.7
68, 6000050,    1100, 1020960,2013JJ00,82.0,6.7
69, 6000050,    1100, 1020960,2014JJ00,82.4,6.1
70, 6000050,    1100, 1012600,2010JJ00,80.6,5.5
71, 6000050,    1100, 1012600,2011JJ00,80.4,5.8
72, 6000050,    1100, 1012600,2012JJ00,80.5,5.6
73, 6000050,    1100, 1012600,2013JJ00,80.3,5.8
74, 6000050,    1100, 1012600,2014JJ00,81.0,5.5
75, 6000050,    1100, 2012655,2010JJ00,77.6,8.3
76, 6000050,    1100, 2012655,2011JJ00,77.1,8.5
77, 6000050,    1100, 2012655,2012JJ00,76.3,7.2
78, 6000050,    1100, 2012655,2013JJ00,77.7,8.0
79, 6000050,    1100, 2012655,2014JJ00,77.5,8.8
