ID,Logiesvormen,Toeristengebieden,Perioden,AlleLanden_1,Nederland_2,Buitenland_3,AlleLanden_4,Nederland_5,Buitenland_6
65,TOT,TR04  ,2003JJ00,644.8,400.2,244.6,2814.3,1661.3,1153.0
66,TOT,TR04  ,2004JJ00,676.7,436.9,239.9,2788.3,1786.5,1001.8
67,TOT,TR04  ,2005JJ00,627.3,401.0,226.4,2743.4,1768.0,975.5
68,TOT,TR04  ,2006JJ00,714.2,474.6,239.6,2902.1,1860.3,1041.8
69,TOT,TR04  ,2007JJ00,822.5,547.7,274.8,3334.6,2162.9,1171.7
70,TOT,TR04  ,2008JJ00,656.3,412.9,243.5,2701.1,1677.5,1023.6
71,TOT,TR04  ,2009JJ00,669.1,448.8,220.2,2584.1,1683.8,900.3
72,TOT,TR04  ,2010JJ00,706.1,478.3,227.9,2706.7,1767.7,939.0
73,TOT,TR04  ,2011JJ00,733.0,457.5,275.5,2659.6,1521.1,1138.5
74,TOT,TR04  ,2012JJ00,685.3,433.1,252.1,2331.2,1337.4,993.8
75,TOT,TR05  ,1998JJ00,421.8,331.1,90.6,1347.1,1036.0,311.0
76,TOT,TR05  ,1999JJ00,414.1,320.8,93.3,1358.9,1057.2,301.7
77,TOT,TR05  ,2000JJ00,355.3,282.4,72.9,1149.2,910.9,238.3
78,TOT,TR05  ,2001JJ00,471.9,374.0,98.0,1635.5,1283.1,352.3
79,TOT,TR05  ,2002JJ00,387.1,306.1,81.0,1271.8,985.6,286.2
80,TOT,TR05  ,2003JJ00,477.8,375.8,102.0,1475.9,1184.2,291.7
81,TOT,TR05  ,2004JJ00,435.3,342.7,92.5,1338.9,1076.8,262.2
82,TOT,TR05  ,2005JJ00,430.0,335.0,95.0,1399.6,1111.5,288.1
83,TOT,TR05  ,2006JJ00,467.7,375.0,92.7,1542.3,1257.2,285.1
84,TOT,TR05  ,2007JJ00,470.8,385.3,85.5,1326.2,1116.6,209.6
85,TOT,TR05  ,2008JJ00,489.9,418.8,71.1,1504.5,1299.4,205.1
86,TOT,TR05  ,2009JJ00,508.0,433.2,74.8,1582.9,1325.8,257.1
87,TOT,TR05  ,2010JJ00,469.9,396.2,73.8,1437.1,1196.1,241.0
88,TOT,TR05  ,2011JJ00,427.0,332.3,94.7,1156.8,914.5,242.2
89,TOT,TR05  ,2012JJ00,375.5,321.9,53.6,983.0,827.1,155.9
90,TOT,TR06  ,1998JJ00,263.7,130.9,132.8,549.3,267.3,282.0
91,TOT,TR06  ,1999JJ00,252.3,119.7,132.7,511.1,225.8,285.3
92,TOT,TR06  ,2000JJ00,286.4,139.6,146.8,601.0,274.0,327.0
93,TOT,TR06  ,2001JJ00,255.9,132.9,123.0,512.6,254.6,258.0
94,TOT,TR06  ,2002JJ00,260.4,142.5,118.0,525.3,306.7,218.6
95,TOT,TR06  ,2003JJ00,142.7,100.6,42.1,325.8,236.9,88.8
96,TOT,TR06  ,2004JJ00,149.9,94.4,55.6,326.0,213.7,112.4
97,TOT,TR06  ,2005JJ00,147.4,89.0,58.4,290.6,182.9,107.6
98,TOT,TR06  ,2006JJ00,190.1,116.3,73.8,344.9,220.3,124.6
99,TOT,TR06  ,2007JJ00,156.0,89.0,67.0,258.5,143.8,114.7
100,TOT,TR06  ,2008JJ00,150.7,92.7,58.0,282.4,176.1,106.3
101,TOT,TR06  ,2009JJ00,146.4,89.6,56.8,296.7,192.1,104.6
102,TOT,TR06  ,2010JJ00,111.2,61.7,49.5,243.8,166.8,77.1
103,TOT,TR06  ,2011JJ00,209.0,145.5,63.5,391.6,285.6,106.1
104,TOT,TR06  ,2012JJ00,172.3,117.2,55.0,323.2,227.7,95.5
105,TOT,TR07  ,1998JJ00,483.3,364.3,119.0,1414.8,1152.4,262.5
106,TOT,TR07  ,1999JJ00,524.9,402.1,122.8,1537.5,1209.0,328.4
107,TOT,TR07  ,2000JJ00,505.5,382.3,123.2,1402.2,1103.1,299.1
108,TOT,TR07  ,2001JJ00,479.4,347.3,132.0,1374.1,1069.4,304.7
109,TOT,TR07  ,2002JJ00,494.7,369.3,125.3,1462.9,1179.8,283.1
110,TOT,TR07  ,2003JJ00,447.0,357.8,89.2,1263.4,1042.2,221.2
111,TOT,TR07  ,2004JJ00,519.7,415.6,104.1,1316.5,1094.3,222.1
112,TOT,TR07  ,2005JJ00,590.4,450.2,140.2,1697.0,1398.3,298.7
113,TOT,TR07  ,2006JJ00,622.4,479.3,143.1,1653.2,1368.6,284.6
114,TOT,TR07  ,2007JJ00,640.0,493.4,146.6,1694.6,1394.2,300.4
115,TOT,TR07  ,2008JJ00,693.4,574.1,119.3,1682.6,1416.9,265.7
116,TOT,TR07  ,2009JJ00,646.2,522.4,123.8,1651.2,1398.8,252.3
117,TOT,TR07  ,2010JJ00,654.7,507.6,147.2,1429.7,1154.1,275.6
118,TOT,TR07  ,2011JJ00,660.5,511.7,148.8,1530.5,1218.5,312.0
119,TOT,TR07  ,2012JJ00,680.6,542.7,137.9,1483.5,1220.6,262.9
120,TOT,TR08  ,1998JJ00,1870.2,1657.9,212.4,7241.9,6625.5,616.4
121,TOT,TR08  ,1999JJ00,2000.6,1748.5,252.1,7466.1,6693.5,772.6
122,TOT,TR08  ,2000JJ00,1963.9,1718.6,245.3,7182.6,6507.8,674.8
