ID,Perioden,TotaalVerbruikCacaobonen_1,OntwikkelingVanVerbruik_2
0,1993KW01,78338,
1,1993KW02,75548,
2,1993KW03,81183,
3,1993KW04,84991,
4,1993JJ00,320060,
5,1994KW01,83963,7.18
6,1994KW02,78055,3.32
7,1994KW03,84249,3.78
8,1994KW04,88117,3.68
9,1994JJ00,334384,4.48
10,1995KW01,91314,8.76
11,1995KW02,85248,9.22
12,1995KW03,85311,1.26
13,1995KW04,93619,6.24
14,1995JJ00,355492,6.31
15,1996KW01,100866,10.46
16,1996KW02,90724,6.42
17,1996KW03,99549,16.69
18,1996KW04,97273,3.9
19,1996JJ00,388412,9.26
20,1997KW01,102338,1.46
21,1997KW02,100132,10.37
22,1997KW03,101817,2.28
23,1997KW04,103053,5.94
24,1997JJ00,407340,4.87
25,1998KW01,104936,2.54
26,1998KW02,108101,7.96
27,1998KW03,108580,6.64
28,1998KW04,105776,2.64
29,1998JJ00,427393,4.92
30,1999KW01,107189,2.15
31,1999KW02,102933,-4.78
32,1999KW03,98828,-8.98
33,1999KW04,106303,0.5
34,1999JJ00,415253,-2.84
35,2000KW01,114487,6.81
36,2000KW02,106005,2.98
37,2000KW03,109129,10.42
38,2000KW04,113149,6.44
39,2000JJ00,442770,6.63
40,2001KW01,114449,-0.03
41,2001KW02,112781,6.39
42,2001KW03,111539,2.21
43,2001KW04,101611,-10.2
44,2001JJ00,440380,-0.54
45,2002KW01,98550,-13.89
46,2002KW02,109920,-2.54
