ID,DutchEconomy,Periods,TotalCO2_1,CO2ExclBiomass_2,CO2Biomass_3,N2O_4,CH4_5,GreenhouseGasEquivalents_6,NOx_7,SO2_8,NH3_9,AcidificationEquivalents_10,CFK12Equivalents_11,CO_12,NMVOC_13,PM10_14
0,B000579,1990JJ00,180789.0,174766,6022.5,60.5,1280.7,240000,797.7,256.7,346.7,45.7,6194.4,1225.0,615.5,87.4
1,B000579,1991JJ00,187962.0,181634,6328.0,61.2,1297.4,247642,769.1,220.3,361.1,44.8,5109.8,1155.4,570.8,81.4
2,B000579,1992JJ00,188452.0,182228,6224.5,62.2,1281.1,248958,769.5,219.4,296.9,41.0,4025.2,1150.1,538.3,78.3
3,B000579,1993JJ00,189292.0,182726,6565.7,63.2,1263.1,250278,754.9,214.0,323.8,42.1,2940.6,1100.1,505.5,74.4
4,B000579,1994JJ00,191671.0,185270,6400.6,61.7,1221.5,252894,733.9,204.8,291.9,39.5,1856.0,1027.0,474.4,70.8
5,B000579,1995JJ00,195882.0,189264,6617.8,61.2,1191.2,254111,723.4,204.0,219.9,35.0,771.4,969.6,441.8,70.8
6,B000579,1996JJ00,203773.0,196316,7457.0,61.4,1164.1,265053,705.9,196.3,177.4,31.9,527.4,933.3,422.1,64.9
7,B000579,1997JJ00,199080.0,191435,7644.3,60.5,1098.2,259126,687.6,184.3,173.4,30.9,404.5,889.2,392.6,62.4
8,B000579,1998JJ00,200394.0,192665,7729.6,58.7,1068.8,259872,674.7,183.8,158.1,29.7,282.1,854.3,376.4,60.8
9,B000579,1999JJ00,197203.0,189298,7904.8,56.5,1017.9,248676,696.6,189.0,153.0,30.0,273.4,830.3,362.2,62.3
10,B000579,2000JJ00,201275.0,193072,8202.6,54.4,973.2,248914,684.4,175.6,175.5,30.7,252.0,808.9,345.6,61.5
11,B000579,2001JJ00,206440.0,197895,8544.6,51.3,946.9,250085,669.2,172.3,169.2,29.9,231.3,803.3,316.4,59.4
12,B000579,2002JJ00,205569.0,196553,9015.4,48.4,901.2,247583,643.0,156.6,161.7,28.4,204.2,784.8,300.2,56.6
