ID,AfnameOpJaarbasis,Perioden,HoogsteTarief_1,GemiddeldeTarief_2,LaagsteTarief_3
0,050,1997JJ00,2.55,1.66,0.74
1,050,1998JJ00,2.57,1.67,0.74
2,050,1999JJ00,2.57,1.73,0.78
3,050,2000JJ00,2.66,1.95,0.89
4,050,2001JJ00,2.75,2.01,0.94
5,050,2002JJ00,2.69,1.93,0.96
6,050,2003JJ00,2.85,1.95,1.04
7,050,2004JJ00,2.87,1.96,1.14
8,050,2005JJ00,2.91,1.98,1.25
9,050,2006JJ00,3.56,2.03,1.39
10,050,2007JJ00,3.36,2.04,1.47
11,050,2008JJ00,3.3,2.04,1.54
12,050,2009JJ00,3.37,2.05,1.64
13,050,2010JJ00,3.45,2.09,1.68
14,050,2011JJ00,3.49,2.13,1.71
15,050,2012JJ00,3.34,2.06,1.57
16,050,2013JJ00,3.31,2.09,1.64
17,100,1997JJ00,2.01,1.34,0.74
18,100,1998JJ00,2.02,1.36,0.74
19,100,1999JJ00,2.02,1.42,0.78
20,100,2000JJ00,2.14,1.59,0.9
21,100,2001JJ00,2.14,1.63,0.94
22,100,2002JJ00,2.07,1.59,0.99
23,100,2003JJ00,2.14,1.6,1.05
24,100,2004JJ00,2.15,1.61,1.13
25,100,2005JJ00,2.17,1.61,1.22
26,100,2006JJ00,2.47,1.63,1.27
27,100,2007JJ00,2.28,1.62,1.3
28,100,2008JJ00,2.21,1.6,1.33
29,100,2009JJ00,2.25,1.61,1.37
30,100,2010JJ00,2.31,1.63,1.38
31,100,2011JJ00,2.34,1.65,1.41
32,100,2012JJ00,2.19,1.53,1.23
33,100,2013JJ00,2.22,1.54,1.25
34,300,1997JJ00,1.65,1.13,0.73
35,300,1998JJ00,1.66,1.16,0.73
36,300,1999JJ00,1.66,1.21,0.78
37,300,2000JJ00,1.84,1.34,0.91
38,300,2001JJ00,1.85,1.38,0.95
39,300,2002JJ00,1.72,1.36,1.0
40,300,2003JJ00,1.67,1.36,1.07
41,300,2004JJ00,1.67,1.37,1.13
42,300,2005JJ00,1.68,1.36,1.13
43,300,2006JJ00,1.75,1.36,1.11
44,300,2007JJ00,1.63,1.34,1.08
45,300,2008JJ00,1.63,1.31,1.05
46,300,2009JJ00,1.55,1.31,1.06
47,300,2010JJ00,1.56,1.32,1.07
48,300,2011JJ00,1.59,1.32,1.05
49,300,2012JJ00,1.56,1.18,0.84
50,300,2013JJ00,1.56,1.17,0.86
